time (ms),latency (ms),consume (ms)
0,1,0
12,0,12
24,0,12
35,1,11
46,0,11
57,0,11
68,1,11
79,0,11
91,0,12
102,1,11
113,0,11
125,0,12
136,0,11
146,0,10
158,0,12
169,1,11
180,0,11
192,0,12
203,1,11
214,0,11
226,0,12
237,1,11
248,0,11
259,0,11
270,1,11
281,0,11
292,0,11
303,1,11
314,0,11
325,0,11
336,1,11
347,0,11
358,0,11
368,0,10
380,0,12
391,0,11
401,0,10
413,0,12
424,0,11
435,1,11
446,0,11
457,0,11
468,1,11
479,0,11
491,0,12
502,1,11
513,0,11
524,0,11
535,1,11
546,0,11
557,0,11
567,0,10
579,0,12
590,0,11
600,0,10
612,0,12
623,1,11
634,0,11
646,0,12
657,1,11
668,0,11
679,0,11
690,1,11
701,0,11
712,0,11
724,0,12
735,1,11
746,0,11
758,0,12
769,1,11
780,0,11
792,0,12
803,1,11
814,0,11
826,0,12
837,1,11
848,0,11
860,0,12
871,1,11
882,0,11
893,0,11
904,1,11
915,0,11
926,0,11
937,1,11
948,0,11
959,0,11
970,1,11
981,0,11
993,0,12
1004,1,11
1015,0,11
1027,0,12
1038,0,11
1050,1,12
1062,0,12
1073,0,11
1086,0,13
1100,0,14
1111,0,11
1122,1,11
1133,0,11
1148,1,15
1160,1,12
1171,0,11
1183,0,12
1195,0,12
1207,0,12
1219,0,12
1230,0,11
1241,0,11
1253,0,12
1265,0,12
1276,0,11
1287,1,11
1299,0,12
1311,0,12
1323,0,12
1335,0,12
1347,0,12
1359,0,12
1370,0,11
1381,1,11
1393,1,12
1405,1,12
1417,0,12
1428,0,11
1439,0,11
1450,0,11
1462,0,12
1478,1,16
1507,1,29
1521,0,14
1534,1,13
1546,1,12
1557,0,11
1570,1,13
1582,1,12
1594,1,12
1606,1,12
1618,1,12
1629,0,11
1641,0,12
1654,1,13
1665,0,11
1677,0,12
1688,1,11
1700,1,12
1711,0,11
1723,0,12
1734,1,11
1746,1,12
1758,1,12
1769,0,11
1780,0,11
1790,0,10
1802,0,12
1813,0,11
1824,1,11
1835,0,11
1847,0,12
1858,0,11
1869,1,11
1881,1,12
1893,1,12
1905,1,12
1917,1,12
1929,0,12
1941,0,12
1954,1,13
1966,1,12
1978,0,12
1991,1,13
2003,1,12
2015,1,12
2026,0,11
2039,1,13
2051,1,12
2063,1,12
2074,0,11
2086,0,12
2098,0,12
2109,0,11
2120,0,11
2131,0,11
2142,0,11
2153,1,11
2165,1,12
2177,1,12
2189,1,12
2201,1,12
2212,0,11
2224,0,12
2237,1,13
2250,0,13
2264,0,14
2279,3,15
2293,1,14
2305,0,12
2316,0,11
2327,0,11
2339,0,12
2350,0,11
2362,0,12
2374,0,12
2385,0,11
2396,1,11
2408,1,12
2420,1,12
2432,1,12
2444,1,12
2456,1,12
2468,1,12
2480,1,12
2491,0,11
2503,0,12
2514,0,11
2525,0,11
2536,1,11
2547,0,11
2559,0,12
2571,0,12
2582,0,11
2593,0,11
2604,0,11
2615,1,11
2627,1,12
2639,1,12
2651,1,12
2663,0,12
2674,1,11
2686,1,12
2698,1,12
2709,0,11
2721,0,12
2733,0,12
2744,0,11
2755,0,11
2766,1,11
2778,1,12
2789,0,11
2801,0,12
2812,0,11
2823,0,11
2834,0,11
2845,0,11
2856,0,11
2868,0,12
2880,0,12
2893,1,13
2905,1,12
2917,1,12
2930,1,13
2942,1,12
2954,1,12
2968,1,14
2980,1,12
2992,1,12
3004,1,12
3016,1,12
3028,1,12
3040,1,12
3052,1,12
3064,1,12
3076,1,12
3087,0,11
3098,0,11
3108,0,10
3120,0,12
3131,1,11
3142,0,11
3154,0,12
3165,1,11
3176,0,11
3187,0,11
3197,0,10
3209,0,12
3220,1,11
3231,0,11
3243,0,12
3254,1,11
3265,0,11
3276,0,11
3286,0,10
3298,0,12
3309,0,11
3320,0,11
3332,0,12
3343,1,11
3354,0,11
3365,0,11
3375,0,10
3387,0,12
3398,1,11
3409,0,11
3421,0,12
3432,0,11
3444,1,12
3455,0,11
3467,0,12
3478,0,11
3489,1,11
3500,0,11
3512,0,12
3523,1,11
3534,0,11
3546,0,12
3557,1,11
3568,0,11
3580,0,12
3591,1,11
3602,0,11
3614,0,12
3625,1,11
3636,0,11
3648,0,12
3659,1,11
3670,0,11
3682,0,12
3693,0,11
3704,1,11
3715,0,11
3726,0,11
3737,1,11
3748,0,11
3759,0,11
3770,1,11
3781,0,11
3792,0,11
3803,1,11
3814,0,11
3826,0,12
3837,1,11
3848,0,11
3859,0,11
3870,1,11
3881,0,11
3892,1,11
3903,0,11
3914,0,11
3924,0,10
3936,0,12
3947,1,11
3958,0,11
3969,0,11
3980,1,11
3991,0,11
4002,0,11
4013,1,11
4024,0,11
4035,1,11
4046,0,11
4058,0,12
4069,1,11
4080,0,11
4091,0,11
4101,0,10
4113,0,12
4124,1,11
4135,0,11
4147,0,12
4158,0,11
4169,1,11
4180,0,11
4191,0,11
4202,0,11
4212,0,10
4224,0,12
