time (ms),latency (ms),consume (ms)
0,7,0
11,2,11
23,2,12
34,1,11
46,2,12
57,1,11
69,1,12
81,1,12
94,3,13
105,1,11
118,2,13
130,2,12
142,2,12
157,4,15
169,1,12
181,1,12
193,1,12
206,1,13
218,2,12
231,1,13
243,1,12
254,1,11
266,1,12
278,1,12
290,1,12
302,1,12
315,2,13
328,2,13
340,1,12
354,1,14
366,1,12
382,2,16
394,2,12
406,1,12
418,2,12
429,1,11
442,2,13
454,2,12
466,1,12
478,1,12
490,1,12
501,0,11
513,1,12
524,1,11
535,1,11
548,2,13
563,2,15
574,2,11
585,1,11
596,1,11
607,1,11
618,1,11
629,1,11
640,0,11
651,0,11
662,0,11
674,0,12
685,0,11
697,1,12
708,1,11
719,1,11
730,1,11
741,0,11
753,1,12
764,1,11
775,1,11
787,1,12
798,1,11
809,1,11
820,1,11
831,1,11
843,1,12
854,1,11
865,1,11
876,0,11
887,0,11
899,1,12
910,1,11
922,1,12
934,2,12
946,1,12
958,1,12
970,1,12
982,1,12
994,1,12
1005,1,11
1017,1,12
1029,1,12
1040,1,11
1052,1,12
1063,1,11
1074,0,11
1085,0,11
1098,2,13
1110,2,12
1123,2,13
1134,1,11
1146,1,12
1159,1,13
1170,1,11
1181,1,11
1192,0,11
1204,1,12
1215,1,11
1226,0,11
1238,1,12
1249,1,11
1260,1,11
1271,0,11
1283,1,12
1294,1,11
1307,3,13
1321,1,14
1332,1,11
1344,1,12
1356,1,12
1368,1,12
1379,1,11
1394,4,15
1407,2,13
1419,1,12
1432,1,13
1444,1,12
1456,1,12
1468,1,12
1481,1,13
1495,1,14
1507,1,12
1518,0,11
1530,1,12
1541,0,11
1553,1,12
1564,1,11
1576,1,12
1587,1,11
1599,1,12
1610,1,11
1622,1,12
1638,1,16
1650,1,12
1661,1,11
1673,1,12
1685,1,12
1697,2,12
1709,1,12
1720,0,11
1733,2,13
1744,0,11
1756,1,12
1767,1,11
1779,1,12
1792,1,13
1804,1,12
1815,1,11
1827,1,12
1839,1,12
1852,1,13
1864,1,12
1880,1,16
1892,1,12
1903,1,11
1915,1,12
1926,1,11
1938,1,12
1949,0,11
1961,1,12
1973,1,12
1985,2,12
1999,4,14
2013,1,14
2025,1,12
2036,1,11
2048,1,12
2060,1,12
2071,1,11
2083,1,12
2094,1,11
2106,2,12
2117,1,11
2129,0,12
2141,1,12
2152,1,11
2164,1,12
2175,1,11
2187,1,12
2199,1,12
2212,2,13
2224,2,12
2237,2,13
2254,7,17
2262,4,8
2276,1,14
2289,1,13
2300,0,11
2312,1,12
2324,1,12
2335,1,11
2346,1,11
2357,1,11
2369,1,12
2380,1,11
2391,1,11
2402,1,11
2414,1,12
2425,1,11
2437,1,12
2448,1,11
2460,1,12
2471,1,11
2483,1,12
2494,1,11
2506,1,12
2517,1,11
2529,1,12
2540,0,11
2552,1,12
2564,1,12
2582,8,18
2589,1,7
2601,1,12
2612,1,11
2623,1,11
2637,4,14
2648,1,11
2659,1,11
2670,1,11
2681,1,11
2692,1,11
2703,1,11
2714,1,11
2726,1,12
2737,1,11
2748,1,11
2759,1,11
2770,1,11
2782,2,12
2794,2,12
2806,2,12
2817,1,11
2828,1,11
2839,0,11
2851,1,12
2863,1,12
2876,2,13
2888,1,12
2901,2,13
2913,1,12
2927,3,14
2939,1,12
2952,2,13
2965,3,13
2978,2,13
2990,2,12
3002,1,12
3015,2,13
3027,1,12
3039,1,12
3050,1,11
3062,1,12
3073,1,11
3085,1,12
3097,1,12
3108,1,11
3119,1,11
3130,0,11
3142,1,12
3153,1,11
3164,1,11
3176,1,12
3187,1,11
3199,1,12
3210,1,11
3222,1,12
3234,2,12
3245,1,11
3256,1,11
3268,1,12
3279,1,11
3290,1,11
3302,1,12
3313,1,11
3324,0,11
3336,1,12
3347,1,11
3359,1,12
3371,1,12
3382,1,11
3394,1,12
3405,1,11
3417,1,12
3428,1,11
3440,2,12
3451,1,11
3463,1,12
3474,1,11
3486,1,12
3498,2,12
3512,1,14
3523,0,11
3535,1,12
3548,3,13
3559,1,11
3571,1,12
3583,2,12
3594,1,11
3605,0,11
3617,1,12
3628,1,11
3639,1,11
3651,1,12
3662,1,11
3679,5,17
3691,1,12
3702,1,11
3714,2,12
3725,1,11
3736,0,11
3748,1,12
3759,1,11
3777,1,18
3789,1,12
3801,1,12
3812,1,11
3824,1,12
3838,4,14
3849,1,11
3861,1,12
3872,1,11
3886,3,14
3898,1,12
3909,1,11
3920,0,11
3932,1,12
3943,1,11
3954,1,11
3966,1,12
3977,1,11
3989,1,12
4002,1,13
4013,1,11
4025,1,12
4036,1,11
4048,1,12
4059,1,11
4071,1,12
4082,0,11
4094,1,12
4105,1,11
4117,1,12
4128,1,11
4140,1,12
4151,1,11
4163,1,12
4174,1,11
4186,1,12
4197,1,11
4209,1,12
4221,1,12
4232,1,11
4244,2,12
4255,1,11
4267,1,12
4279,1,12
4291,2,12
4302,1,11
4314,1,12
4326,1,12
4338,1,12
4350,2,12
4361,1,11
4375,3,14
4387,2,12
4398,1,11
4410,1,12
4423,1,13
4435,1,12
4449,1,14
4464,2,15
4479,4,15
4494,2,15
4505,1,11
4517,1,12
4528,1,11
4556,5,28
4570,2,14
4581,1,11
4592,0,11
4603,0,11
4615,1,12
4626,1,11
4637,1,11
4648,1,11
4659,0,11
4671,1,12
4682,1,11
4693,1,11
4704,0,11
4716,1,12
4727,1,11
4738,0,11
4750,1,12
4761,1,11
4772,1,11
4783,0,11
4794,1,11
4805,0,11
4817,1,12
4828,1,11
4839,1,11
4850,1,11
4861,1,11
4872,0,11
4883,0,11
4894,1,11
4905,1,11
4917,1,12
4928,1,11
4939,0,11
4950,0,11
4962,1,12
4973,1,11
4984,1,11
4995,0,11
5009,1,14
5020,1,11
5031,1,11
5043,1,12
5054,1,11
5066,1,12
5077,1,11
5089,1,12
5100,1,11
5111,1,11
5123,1,12
5134,1,11
5146,1,12
5157,1,11
5169,1,12
5181,1,12
5193,1,12
5205,1,12
5216,1,11
5227,0,11
5239,1,12
5250,1,11
5261,1,11
5273,1,12
5284,1,11
5295,1,11
5307,1,12
5318,1,11
5330,1,12
5341,1,11
5353,1,12
5364,1,11
5376,1,12
5387,0,11
5399,1,12
5410,1,11
5422,1,12
5433,1,11
5444,1,11
5455,0,11
5467,1,12
5478,1,11
5489,0,11
5501,1,12
5513,2,12
5524,1,11
5535,1,11
5546,0,11
5558,1,12
5569,1,11
5581,1,12
5592,1,11
5603,1,11
5615,1,12
5626,1,11
5638,1,12
5649,1,11
5661,2,12
5672,1,11
5684,1,12
5696,1,12
5710,4,14
5723,1,13
5734,1,11
5746,1,12
5757,1,11
5768,0,11
5779,0,11
5791,1,12
5802,1,11
5814,1,12
5825,1,11
5837,1,12
5848,1,11
5859,1,11
5870,0,11
5882,1,12
5894,2,12
5905,1,11
5917,1,12
5928,1,11
5942,3,14
5958,2,16
5970,1,12
5982,2,12
5993,1,11
6005,1,12
6017,1,12
6029,1,12
6041,1,12
6052,1,11
6064,1,12
6075,1,11
6087,1,12
6098,1,11
6109,0,11
6121,1,12
6132,1,11
6144,1,12
6156,1,12
6168,1,12
6181,3,13
6193,1,12
6205,1,12
6216,1,11
6228,1,12
6239,1,11
6251,1,12
6262,1,11
6274,1,12
