time (ms),latency (ms),consume (ms)
0,10,0
12,4,12
24,3,12
35,2,11
49,4,14
62,3,13
73,1,11
85,1,12
98,2,13
110,2,12
123,2,13
135,2,12
147,2,12
161,3,14
173,1,12
185,1,12
197,1,12
210,1,13
223,2,13
236,1,13
249,1,13
261,2,12
273,2,12
284,1,11
297,2,13
309,1,12
321,1,12
334,2,13
346,1,12
361,1,15
373,1,12
390,2,17
405,3,15
417,2,12
430,2,13
442,1,12
456,2,14
469,3,13
483,3,14
498,2,15
510,2,12
521,1,11
532,0,11
544,1,12
556,1,12
568,1,12
580,1,12
594,3,14
606,1,12
619,2,13
631,1,12
643,1,12
655,1,12
667,2,12
679,2,12
691,1,12
704,1,13
723,2,19
735,1,12
747,1,12
759,1,12
772,2,13
784,1,12
798,1,14
811,2,13
824,1,13
836,1,12
848,1,12
861,2,13
876,3,15
889,2,13
906,4,17
920,2,14
934,2,14
948,3,14
962,2,14
976,3,14
990,2,14
1006,3,16
1019,2,13
1031,1,12
1044,2,13
1057,2,13
1071,3,14
1084,1,13
1097,1,13
1109,1,12
1121,1,12
1136,1,15
1147,1,11
1159,1,12
1171,2,12
1182,1,11
1194,1,12
1206,2,12
1219,2,13
1231,1,12
1242,1,11
1254,1,12
1266,1,12
1277,1,11
1289,1,12
1300,1,11
1312,1,12
1323,1,11
1334,1,11
1346,1,12
1358,1,12
1370,1,12
1382,1,12
1394,1,12
1408,4,14
1421,1,13
1432,0,11
1444,1,12
1457,1,13
1468,1,11
1480,1,12
1501,3,21
1513,1,12
1525,1,12
1537,1,12
1549,1,12
1561,1,12
1574,1,13
1587,1,13
1600,1,13
1612,1,12
1624,1,12
1635,1,11
1647,1,12
1662,1,15
1674,2,12
1686,2,12
1697,1,11
1709,1,12
1722,2,13
1733,1,11
1745,1,12
1757,1,12
1769,1,12
1780,1,11
1792,1,12
1805,3,13
1817,2,12
1829,2,12
1841,2,12
1853,1,12
1865,2,12
1877,2,12
1888,1,11
1901,1,13
1913,1,12
1925,1,12
1937,1,12
1949,1,12
1962,1,13
1974,1,12
1989,1,15
2001,1,12
2013,2,12
2024,1,11
2036,1,12
2048,1,12
2060,1,12
2072,2,12
2083,1,11
2095,1,12
2109,3,14
2121,2,12
2144,13,23
2144,2,0
2153,1,9
2164,1,11
2174,1,10
2185,1,11
2196,2,11
2206,1,10
2216,1,10
2229,1,13
2241,1,12
2254,2,13
2265,1,11
2277,1,12
2290,1,13
2304,1,14
2324,3,20
2336,1,12
2351,2,15
2363,2,12
2373,1,10
2393,2,20
2405,1,12
2418,2,13
2430,2,12
2442,1,12
2454,1,12
2466,1,12
2478,1,12
2490,1,12
2502,1,12
2514,2,12
2525,1,11
2537,1,12
2549,1,12
2561,1,12
2572,1,11
2584,1,12
2598,2,14
2610,1,12
2621,1,11
2633,1,12
2645,1,12
2657,1,12
2668,1,11
2688,1,20
2700,1,12
2720,9,20
2729,1,9
2740,1,11
2751,1,11
2762,1,11
2777,4,15
2788,1,11
2800,1,12
2811,1,11
2822,1,11
2833,1,11
2845,1,12
2856,1,11
2867,1,11
2878,1,11
2889,1,11
2901,2,12
2912,1,11
2924,2,12
2936,1,12
2948,1,12
2960,1,12
2971,1,11
2983,1,12
2996,2,13
3009,2,13
3023,3,14
3036,1,13
3050,2,14
3062,1,12
3077,4,15
3088,1,11
3101,2,13
3114,3,13
3126,1,12
3138,2,12
3150,2,12
3162,2,12
3176,1,14
3188,1,12
3199,1,11
3211,1,12
3222,1,11
3234,1,12
3245,1,11
3258,2,13
3269,1,11
3281,1,12
3293,1,12
3304,1,11
3316,1,12
3327,1,11
3339,1,12
3350,1,11
3362,1,12
3373,1,11
3385,1,12
3397,1,12
3409,1,12
3420,1,11
3432,1,12
3443,1,11
3455,1,12
3466,1,11
3478,1,12
3489,1,11
3501,1,12
3512,1,11
3524,1,12
3535,1,11
3547,1,12
3558,1,11
3569,1,11
3580,0,11
3592,1,12
3603,1,11
3614,0,11
3625,0,11
3637,1,12
3650,3,13
3664,1,14
3676,2,12
3687,1,11
3701,3,14
3712,1,11
3724,1,12
3735,1,11
3746,0,11
3757,1,11
3768,0,11
3780,1,12
3791,1,11
3802,1,11
3814,1,12
3825,1,11
3837,1,12
3848,1,11
3860,1,12
3871,1,11
3882,1,11
3894,1,12
3906,1,12
3921,1,15
3933,1,12
3945,0,12
3957,1,12
3968,1,11
3982,3,14
3993,1,11
4004,1,11
4015,0,11
4030,4,15
4041,1,11
