time (ms),latency (ms),consume (ms)
0,13,0
12,5,12
25,4,13
38,3,13
51,3,13
63,2,12
76,2,13
88,2,12
101,3,13
113,2,12
126,2,13
138,2,12
151,2,13
171,4,20
187,2,16
199,2,12
211,2,12
224,2,13
238,4,14
252,2,14
265,3,13
278,2,13
291,2,13
304,2,13
316,2,12
329,2,13
342,2,13
356,2,14
370,2,14
385,2,15
397,2,12
411,2,14
424,2,13
437,3,13
450,2,13
462,2,12
475,1,13
488,2,13
500,2,12
513,1,13
527,3,14
540,3,13
552,2,12
565,2,13
579,3,14
595,6,16
609,4,14
623,4,14
637,3,14
650,3,13
663,3,13
675,2,12
687,1,12
700,2,13
714,3,14
727,2,13
743,5,16
756,2,13
768,2,12
782,3,14
795,3,13
808,2,13
823,4,15
836,3,13
848,2,12
860,2,12
873,2,13
885,1,12
897,1,12
909,1,12
921,1,12
934,2,13
946,2,12
958,2,12
971,2,13
987,6,16
999,1,12
1012,3,13
1024,2,12
1037,3,13
1050,1,13
1065,4,15
1080,3,15
1096,5,16
1108,2,12
1120,2,12
1132,1,12
1144,1,12
1156,1,12
1168,1,12
1180,1,12
1192,2,12
1203,1,11
1216,2,13
1230,3,14
1246,4,16
1260,3,14
1273,2,13
1288,4,15
1301,3,13
1314,2,13
1327,3,13
1340,2,13
1354,2,14
1367,2,13
1380,3,13
1393,3,13
1406,3,13
1420,3,14
1433,3,13
1445,2,12
1464,8,19
1480,5,16
1494,3,14
1508,3,14
1527,5,19
1543,2,16
1556,2,13
1573,6,17
1586,3,13
1598,2,12
1611,2,13
1624,2,13
1637,2,13
1649,2,12
1663,3,14
1677,4,14
1690,2,13
1702,1,12
1714,1,12
1727,2,13
1738,1,11
1750,1,12
1763,2,13
1775,2,12
1787,2,12
1798,1,11
1810,1,12
1822,1,12
1836,2,14
1847,1,11
1859,1,12
1871,1,12
1885,4,14
1897,2,12
1909,2,12
1922,3,13
1935,3,13
1948,2,13
1960,2,12
1973,2,13
1987,2,14
1999,2,12
2011,1,12
2023,1,12
2035,1,12
2048,1,13
2061,2,13
2079,2,18
2092,2,13
2122,20,30
2122,9,0
2125,2,3
2135,1,10
2146,1,11
2157,2,11
2168,2,11
2181,2,13
2195,4,14
2207,2,12
2219,2,12
2230,1,11
2242,1,12
2254,2,12
2266,2,12
2278,2,12
2289,1,11
2301,1,12
2313,2,12
2325,2,12
2337,2,12
2351,4,14
2363,1,12
2375,1,12
2387,1,12
2399,1,12
2413,3,14
2428,2,15
2443,2,15
2455,1,12
2467,1,12
2491,3,24
2503,2,12
2515,1,12
2528,2,13
2541,3,13
2553,2,12
2565,2,12
2577,2,12
2589,2,12
2601,2,12
2613,1,12
2626,2,13
2638,1,12
2650,2,12
2662,2,12
2674,1,12
2686,1,12
2698,1,12
2710,1,12
2723,2,13
2736,2,13
2748,1,12
2761,2,13
2774,3,13
2786,2,12
2798,1,12
2832,23,34
2832,7,0
2839,2,7
2851,2,12
2863,2,12
2881,7,18
2893,2,12
2905,1,12
2918,2,13
2930,1,12
2943,2,13
2955,2,12
2967,2,12
2979,1,12
2991,1,12
3004,1,13
3017,2,13
3030,2,13
3042,1,12
3059,6,17
3074,2,15
3087,1,13
3099,1,12
3112,1,13
3125,1,13
3138,3,13
3152,4,14
3167,2,15
3179,1,12
3191,1,12
3203,1,12
3215,1,12
3229,1,14
3242,1,13
3255,2,13
3269,4,14
3279,1,10
3291,1,12
3304,1,13
3316,1,12
3328,1,12
3339,1,11
3351,1,12
3362,1,11
3374,1,12
3385,1,11
3397,1,12
3408,1,11
3420,2,12
3432,1,12
3444,2,12
3459,5,15
3471,2,12
3483,2,12
3494,1,11
3505,1,11
3517,1,12
3529,2,12
3540,1,11
3551,1,11
3563,2,12
3575,2,12
3588,2,13
3601,3,13
3612,1,11
3624,1,12
3635,1,11
3646,1,11
3657,1,11
3669,1,12
3680,1,11
3692,1,12
3703,1,11
3715,1,12
3727,2,12
3738,1,11
3750,2,12
3761,1,11
3773,1,12
3787,4,14
3803,2,16
3814,1,11
3826,1,12
3842,5,16
3855,2,13
3868,2,13
3880,2,12
3893,2,13
3905,2,12
3918,3,13
3930,1,12
3942,1,12
3955,2,13
3966,1,11
3978,1,12
3991,2,13
4004,2,13
4016,2,12
4028,2,12
4040,2,12
4052,2,12
4064,2,12
4080,2,16
4095,2,15
4107,2,12
4118,1,11
4130,1,12
4151,4,21
4166,2,15
4180,2,14
4191,1,11
4207,6,16
4219,2,12
4231,2,12
4242,1,11
4254,1,12
4266,1,12
4278,1,12
4290,1,12
4302,2,12
4315,3,13
4327,2,12
