time (ms),latency (ms),consume (ms)
0,8,0
37,37,37
38,36,1
38,34,0
39,34,1
39,32,0
39,31,0
39,29,0
39,28,0
39,26,0
39,25,0
42,26,3
42,25,0
42,23,0
43,22,1
44,21,1
44,19,0
44,18,0
49,21,5
49,20,0
51,20,2
53,21,2
53,20,0
53,12,0
53,10,0
53,7,0
53,6,0
56,7,3
61,7,5
61,5,0
61,4,0
61,3,0
61,2,0
68,8,7
68,6,0
68,5,0
68,4,0
68,3,0
71,2,3
71,1,0
73,1,2
75,2,2
77,2,2
78,1,1
79,1,1
81,2,2
82,1,1
83,1,1
84,1,1
85,1,1
87,1,2
88,1,1
90,2,2
93,3,3
94,1,1
95,1,1
96,1,1
97,1,1
99,1,2
100,1,1
101,1,1
105,3,4
110,3,5
111,1,1
113,2,2
115,2,2
116,1,1
117,1,1
119,1,2
120,1,1
121,1,1
122,1,1
123,0,1
125,1,2
126,1,1
127,1,1
129,2,2
131,1,2
132,1,1
133,1,1
134,1,1
138,4,4
139,1,1
140,1,1
142,2,2
143,1,1
145,2,2
147,2,2
149,1,2
152,3,3
153,1,1
154,1,1
156,1,2
157,1,1
158,1,1
159,1,1
161,1,2
162,1,1
163,1,1
164,1,1
165,1,1
168,1,3
169,1,1
170,1,1
172,1,2
173,1,1
175,1,2
176,1,1
177,1,1
179,2,2
180,1,1
181,1,1
182,1,1
183,1,1
186,1,3
187,1,1
188,1,1
189,1,1
192,1,3
193,1,1
194,1,1
195,1,1
197,1,2
198,1,1
202,4,4
207,2,5
209,2,2
213,3,4
215,2,2
223,8,8
227,3,4
235,6,8
237,1,2
238,1,1
239,1,1
240,1,1
242,1,2
243,1,1
244,1,1
245,1,1
246,1,1
247,1,1
249,1,2
250,1,1
251,1,1
252,1,1
253,1,1
256,1,3
257,1,1
258,1,1
259,1,1
261,2,2
263,2,2
265,1,2
267,1,2
268,1,1
269,1,1
270,1,1
273,3,3
274,2,1
276,2,2
277,1,1
280,2,3
282,1,2
286,3,4
286,2,0
286,1,0
288,1,2
290,2,2
293,2,3
293,1,0
295,2,2
295,1,0
296,1,1
297,1,1
299,1,2
300,1,1
301,1,1
302,1,1
303,1,1
304,1,1
305,1,1
307,1,2
308,1,1
309,1,1
310,1,1
311,1,1
312,1,1
314,1,2
315,1,1
316,1,1
317,1,1
318,1,1
320,1,2
321,1,1
324,1,3
325,1,1
326,1,1
327,1,1
328,1,1
329,1,1
332,1,3
333,1,1
334,1,1
335,1,1
337,2,2
338,1,1
339,1,1
340,1,1
341,1,1
342,1,1
343,1,1
345,1,2
346,1,1
347,1,1
348,1,1
349,1,1
350,1,1
376,23,26
378,23,2
378,22,0
378,20,0
378,18,0
378,16,0
379,15,1
379,14,0
380,14,1
380,12,0
380,10,0
381,9,1
381,7,0
382,6,1
382,4,0
382,2,0
384,2,2
385,1,1
393,7,8
393,6,0
393,5,0
393,4,0
393,3,0
393,2,0
393,1,0
394,0,1
397,2,3
399,1,2
402,2,3
402,1,0
404,1,2
406,1,2
408,2,2
409,1,1
412,2,3
413,1,1
415,1,2
417,1,2
420,1,3
421,1,1
422,1,1
423,1,1
424,1,1
425,1,1
426,1,1
427,0,1
428,0,1
429,0,1
430,0,1
432,1,2
434,2,2
435,1,1
436,1,1
437,1,1
438,1,1
439,1,1
440,1,1
441,1,1
442,1,1
443,1,1
444,1,1
445,1,1
446,1,1
447,0,1
448,0,1
449,0,1
450,0,1
451,0,1
452,0,1
453,0,1
454,0,1
455,0,1
457,1,2
458,1,1
459,1,1
460,1,1
461,1,1
462,1,1
463,1,1
464,1,1
465,1,1
466,1,1
467,1,1
468,1,1
469,1,1
470,1,1
471,1,1
472,1,1
473,1,1
474,1,1
477,1,3
478,1,1
479,1,1
480,0,1
482,1,2
483,1,1
484,1,1
485,1,1
486,1,1
487,1,1
488,1,1
489,1,1
491,2,2
492,1,1
493,1,1
494,1,1
495,1,1
496,1,1
497,1,1
498,1,1
499,1,1
500,1,1
501,1,1
502,1,1
505,1,3
506,1,1
507,1,1
508,1,1
509,1,1
510,1,1
511,1,1
512,1,1
513,1,1
514,1,1
515,1,1
516,1,1
517,1,1
518,1,1
519,1,1
520,1,1
521,1,1
522,1,1
523,1,1
524,1,1
525,1,1
528,2,3
529,1,1
530,1,1
531,1,1
532,1,1
535,1,3
536,1,1
537,1,1
538,1,1
539,1,1
540,1,1
541,1,1
542,1,1
543,1,1
544,1,1
545,1,1
546,1,1
547,1,1
548,1,1
550,2,2
551,1,1
553,2,2
554,1,1
555,1,1
556,1,1
557,1,1
558,1,1
559,1,1
562,1,3
563,1,1
564,1,1
565,1,1
567,2,2
570,3,3
572,2,2
574,2,2
576,2,2
577,1,1
579,2,2
580,1,1
603,22,23
604,5,1
604,3,0
604,2,0
605,1,1
610,4,5
610,3,0
610,2,0
610,1,0
611,0,1
614,2,3
615,1,1
617,1,2
619,1,2
621,1,2
625,3,4
625,2,0
627,3,2
628,3,1
629,3,1
629,2,0
629,1,0
630,1,1
633,1,3
634,1,1
635,1,1
636,1,1
637,1,1
638,1,1
639,1,1
640,1,1
641,1,1
642,1,1
643,1,1
644,1,1
645,1,1
646,1,1
647,1,1
648,1,1
649,1,1
650,1,1
651,1,1
652,1,1
653,1,1
654,1,1
655,1,1
656,1,1
657,1,1
658,1,1
659,1,1
659,0,0
660,0,1
661,0,1
663,1,2
666,1,3
667,1,1
668,1,1
669,1,1
670,1,1
671,1,1
672,1,1
673,1,1
674,1,1
677,1,3
678,1,1
679,1,1
680,1,1
681,1,1
682,1,1
683,1,1
684,1,1
685,1,1
686,1,1
687,1,1
688,1,1
689,1,1
690,1,1
691,1,1
692,1,1
693,1,1
694,1,1
695,1,1
696,1,1
697,1,1
698,1,1
698,0,0
699,0,1
700,0,1
701,0,1
702,0,1
703,0,1
706,1,3
707,1,1
708,1,1
709,1,1
711,1,2
712,0,1
713,0,1
714,0,1
715,0,1
716,0,1
717,0,1
718,0,1
719,0,1
722,1,3
723,1,1
724,1,1
725,1,1
726,1,1
727,1,1
728,1,1
729,1,1
730,1,1
731,1,1
732,1,1
733,1,1
734,1,1
735,1,1
736,1,1
737,1,1
738,1,1
739,1,1
740,1,1
741,1,1
742,1,1
743,1,1
744,1,1
745,1,1
746,1,1
747,1,1
748,1,1
749,1,1
750,1,1
751,1,1
752,1,1
753,1,1
753,0,0
754,0,1
755,0,1
756,0,1
757,0,1
760,1,3
761,1,1
762,1,1
763,1,1
764,1,1
765,1,1
766,1,1
767,1,1
768,1,1
769,1,1
770,1,1
771,1,1
772,1,1
773,1,1
774,1,1
775,1,1
776,1,1
777,1,1
778,1,1
779,1,1
780,1,1
781,1,1
782,1,1
783,1,1
784,1,1
785,1,1
786,0,1
787,0,1
788,0,1
789,0,1
790,0,1
791,0,1
793,1,2
794,1,1
795,1,1
796,1,1
797,1,1
798,1,1
799,1,1
800,1,1
801,1,1
802,1,1
803,1,1
805,2,2
807,1,2
808,1,1
809,1,1
810,1,1
813,3,3
814,2,1
814,1,0
815,1,1
817,2,2
817,1,0
818,1,1
819,1,1
820,1,1
821,1,1
822,1,1
823,1,1
824,1,1
825,1,1
826,1,1
827,1,1
828,1,1
829,1,1
830,1,1
831,1,1
832,1,1
833,1,1
834,1,1
835,1,1
836,1,1
837,1,1
838,1,1
839,1,1
840,1,1
841,1,1
842,1,1
843,1,1
844,1,1
845,1,1
846,1,1
847,1,1
848,1,1
849,1,1
850,1,1
851,1,1
852,1,1
852,0,0
853,0,1
854,0,1
855,0,1
856,0,1
859,1,3
860,1,1
861,1,1
862,1,1
863,1,1
864,1,1
865,1,1
866,1,1
867,1,1
868,1,1
869,1,1
870,1,1
871,1,1
872,1,1
872,0,0
873,0,1
874,0,1
876,1,2
877,1,1
878,1,1
879,1,1
880,1,1
881,1,1
882,1,1
883,1,1
885,1,2
886,1,1
887,1,1
888,1,1
889,1,1
890,1,1
891,1,1
892,1,1
893,1,1
894,1,1
894,0,0
896,0,2
898,0,2
900,0,2
902,0,2
904,0,2
906,0,2
908,0,2
909,0,1
911,0,2
913,0,2
915,0,2
917,0,2
919,0,2
920,0,1
922,0,2
924,0,2
925,0,1
927,0,2
929,0,2
931,0,2
933,0,2
934,0,1
936,0,2
938,0,2
940,0,2
942,0,2
944,0,2
945,0,1
947,0,2
949,0,2
951,0,2
953,0,2
955,0,2
957,0,2
959,0,2
961,0,2
962,0,1
964,0,2
966,0,2
968,0,2
970,0,2
972,0,2
973,0,1
975,1,2
977,0,2
979,0,2
981,0,2
983,0,2
985,0,2
987,0,2
989,0,2
991,0,2
993,0,2
994,0,1
996,0,2
998,0,2
1000,0,2
1001,0,1
1003,0,2
1005,0,2
1007,0,2
1009,0,2
1010,0,1
1012,0,2
1014,0,2
1016,0,2
1018,0,2
1020,0,2
1021,0,1
1023,0,2
1025,0,2
1027,0,2
1029,0,2
1031,0,2
1033,0,2
