time (ms),latency (ms),consume (ms)
0,14,0
4,15,4
7,17,3
12,22,5
15,25,3
17,26,2
19,28,2
25,34,6
27,35,2
30,38,3
32,39,2
33,40,1
35,42,2
37,44,2
39,45,2
40,46,1
42,48,2
43,48,1
49,54,6
52,57,3
54,59,2
56,60,2
57,61,1
59,62,2
60,63,1
62,65,2
63,65,1
65,67,2
67,69,2
68,70,1
70,71,2
72,73,2
73,74,1
75,75,2
77,77,2
79,79,2
81,81,2
82,81,1
84,83,2
85,84,1
87,85,2
88,86,1
90,87,2
91,87,1
94,90,3
99,93,5
102,95,3
105,98,3
110,100,5
128,117,18
132,120,4
134,121,2
135,122,1
137,123,2
140,126,3
143,128,3
145,129,2
161,145,16
171,154,10
173,155,2
175,157,2
179,160,4
184,165,5
188,168,4
192,172,4
194,173,2
196,174,2
198,176,2
202,179,4
206,183,4
208,185,2
210,186,2
212,188,2
214,190,2
215,190,1
217,192,2
218,192,1
221,195,3
223,196,2
224,197,1
226,198,2
228,200,2
244,216,16
249,220,5
254,225,5
256,226,2
260,230,4
261,230,1
263,232,2
268,237,5
273,241,5
276,244,3
279,247,3
283,250,4
285,252,2
291,257,6
294,260,3
305,270,11
308,273,3
310,274,2
313,277,3
314,278,1
317,280,3
319,282,2
324,286,5
328,290,4
331,293,3
333,294,2
335,296,2
338,298,3
344,304,6
349,308,5
352,311,3
357,315,5
362,320,5
365,323,3
368,325,3
372,329,4
375,331,3
380,336,5
386,341,6
389,344,3
391,345,2
395,349,4
400,354,5
402,355,2
407,360,5
410,362,3
413,364,3
416,367,3
418,369,2
423,373,5
431,381,8
435,385,4
438,387,3
443,392,5
448,397,5
450,398,2
453,401,3
456,404,3
458,405,2
460,407,2
461,407,1
464,410,3
465,411,1
467,412,2
468,413,1
470,414,2
471,415,1
474,417,3
476,419,2
478,420,2
478,420,0
480,421,2
482,423,2
483,424,1
484,424,1
486,426,2
487,427,1
489,428,2
493,432,4
504,443,11
512,450,8
513,451,1
515,453,2
517,454,2
518,455,1
519,456,1
521,457,2
525,461,4
532,467,7
534,469,2
536,471,2
540,475,4
548,482,8
555,489,7
558,492,3
560,493,2
564,497,4
566,498,2
572,504,6
574,506,2
576,507,2
577,508,1
584,515,7
587,517,3
588,518,1
592,521,4
596,525,4
598,527,2
600,528,2
609,537,9
621,548,12
625,552,4
627,554,2
632,558,5
635,561,3
636,562,1
637,562,1
638,563,1
639,564,1
641,565,2
642,566,1
644,567,2
645,568,1
646,569,1
647,569,1
648,570,1
650,572,2
651,572,1
652,573,1
653,574,1
655,575,2
657,577,2
658,578,1
658,577,0
659,578,1
671,589,12
673,591,2
675,593,2
676,593,1
677,594,1
679,596,2
680,596,1
681,597,1
682,597,1
683,598,1
685,600,2
687,601,2
689,603,2
690,604,1
691,605,1
692,605,1
694,607,2
695,607,1
696,608,1
698,610,2
700,611,2
701,612,1
702,613,1
705,615,3
706,616,1
708,618,2
710,619,2
713,622,3
717,626,4
718,626,1
720,628,2
722,630,2
730,638,8
733,640,3
739,646,6
741,647,2
742,648,1
744,650,2
745,650,1
747,651,2
748,652,1
749,653,1
752,655,3
756,659,4
769,672,13
772,675,3
784,687,12
790,692,6
793,695,3
794,695,1
796,696,2
797,697,1
799,699,2
803,702,4
804,703,1
808,707,4
810,708,2
814,712,4
816,713,2
818,715,2
820,717,2
829,726,9
831,727,2
833,729,2
835,731,2
838,734,3
841,737,3
843,738,2
846,741,3
860,755,14
862,757,2
873,768,11
878,772,5
879,773,1
881,775,2
882,776,1
888,782,6
900,793,12
904,797,4
906,799,2
907,800,1
909,802,2
910,803,1
911,803,1
912,804,1
914,806,2
915,807,1
916,807,1
918,809,2
919,810,1
920,811,1
921,812,1
923,814,2
924,814,1
925,815,1
926,816,1
927,817,1
936,825,9
940,829,4
942,831,2
943,832,1
953,842,10
960,848,7
964,852,4
968,856,4
971,859,3
973,861,2
976,863,3
980,867,4
982,869,2
983,870,1
984,871,1
985,871,1
986,872,1
987,873,1
988,874,1
989,875,1
991,876,2
991,876,0
993,878,2
994,879,1
995,880,1
997,882,2
998,882,1
1001,885,3
1005,889,4
1011,895,6
1016,900,5
1020,903,4
1023,906,3
1025,908,2
1026,909,1
1027,909,1
1031,913,4
1033,915,2
1035,917,2
1038,920,3
1042,924,4
1044,925,2
1046,927,2
1048,929,2
1050,931,2
1053,934,3
1056,936,3
1064,944,8
1067,947,3
1069,949,2
1071,951,2
1073,952,2
1075,954,2
1078,957,3
1080,959,2
1081,960,1
1082,961,1
1084,962,2
1086,964,2
1088,966,2
1094,971,6
1096,973,2
1100,977,4
1103,980,3
1104,981,1
1106,983,2
1110,986,4
1111,987,1
1112,988,1
1114,990,2
1124,999,10
1132,1007,8
1148,1022,16
1159,1033,11
1166,1040,7
1168,1042,2
1169,1042,1
1171,1044,2
1175,1048,4
