time (ms),latency (ms),consume (ms)
0,14,0
2,12,2
2,8,0
2,7,0
2,7,0
3,8,1
3,7,0
3,7,0
3,7,0
4,7,1
4,7,0
4,7,0
4,6,0
4,6,0
5,7,1
5,6,0
5,6,0
5,4,0
8,6,3
8,2,0
9,3,1
9,2,0
10,3,1
11,3,1
11,1,0
18,8,7
19,8,1
19,8,0
19,7,0
19,7,0
19,6,0
20,7,1
20,6,0
20,6,0
20,5,0
20,5,0
21,5,1
21,5,0
21,4,0
22,5,1
27,9,5
27,9,0
27,9,0
27,8,0
27,8,0
27,7,0
27,7,0
28,8,1
28,7,0
28,7,0
28,6,0
28,6,0
28,5,0
28,5,0
28,5,0
28,4,0
29,5,1
29,5,0
29,4,0
29,4,0
29,3,0
29,3,0
30,3,1
31,3,1
31,3,0
31,2,0
31,2,0
32,2,1
32,2,0
32,1,0
33,2,1
34,2,1
34,2,0
34,1,0
35,2,1
36,3,1
36,2,0
36,1,0
37,2,1
38,2,1
38,1,0
39,2,1
40,2,1
41,2,1
42,2,1
42,1,0
43,2,1
44,2,1
44,1,0
45,2,1
45,1,0
46,1,1
47,2,1
48,2,1
48,1,0
49,2,1
49,1,0
49,1,0
50,1,1
50,1,0
51,1,1
51,1,0
52,1,1
52,1,0
52,1,0
53,1,1
53,1,0
54,1,1
54,1,0
55,2,1
55,1,0
55,1,0
56,1,1
56,1,0
57,1,1
57,1,0
58,2,1
58,1,0
62,5,4
63,5,1
63,5,0
64,5,1
64,5,0
64,5,0
64,5,0
65,5,1
65,5,0
65,5,0
66,5,1
66,5,0
66,5,0
66,5,0
66,5,0
67,5,1
67,5,0
67,5,0
68,6,1
68,5,0
68,5,0
72,9,4
73,10,1
73,9,0
73,9,0
76,12,3
76,12,0
76,11,0
77,12,1
77,12,0
77,12,0
77,12,0
77,11,0
77,11,0
77,11,0
77,11,0
77,10,0
77,10,0
78,11,1
78,11,0
78,10,0
78,10,0
78,10,0
78,10,0
78,9,0
78,9,0
79,10,1
79,10,0
79,10,0
79,9,0
79,9,0
79,9,0
79,8,0
79,8,0
79,8,0
79,8,0
80,8,1
80,8,0
80,8,0
80,8,0
80,7,0
80,7,0
80,7,0
80,7,0
80,7,0
80,6,0
81,7,1
81,7,0
81,7,0
81,6,0
81,6,0
81,6,0
81,5,0
81,4,0
82,5,1
82,4,0
82,4,0
82,3,0
82,2,0
82,2,0
82,1,0
82,1,0
83,1,1
84,2,1
84,1,0
84,1,0
85,1,1
85,1,0
86,1,1
87,2,1
87,1,0
88,2,1
88,1,0
89,2,1
89,1,0
90,2,1
90,1,0
90,1,0
91,1,1
91,1,0
92,2,1
92,1,0
92,1,0
93,1,1
93,1,0
94,2,1
94,1,0
94,1,0
95,1,1
95,1,0
98,4,3
98,3,0
99,4,1
99,3,0
99,3,0
99,2,0
99,2,0
99,2,0
100,2,1
100,2,0
100,1,0
100,1,0
101,1,1
101,1,0
102,2,1
103,2,1
103,1,0
103,1,0
104,1,1
104,1,0
105,2,1
105,1,0
106,2,1
106,1,0
106,1,0
107,1,1
107,1,0
108,1,1
108,1,0
109,1,1
109,1,0
110,2,1
110,1,0
110,1,0
111,2,1
111,1,0
112,2,1
112,1,0
112,1,0
113,1,1
113,1,0
114,2,1
114,1,0
114,1,0
115,1,1
115,1,0
116,1,1
116,1,0
116,1,0
117,1,1
117,1,0
117,1,0
118,1,1
118,1,0
119,1,1
119,1,0
120,2,1
120,1,0
120,1,0
121,1,1
121,1,0
121,1,0
122,1,1
122,1,0
123,2,1
123,1,0
127,5,4
127,4,0
127,4,0
127,4,0
127,3,0
128,4,1
128,4,0
128,3,0
128,3,0
129,4,1
129,3,0
129,3,0
130,3,1
130,3,0
130,3,0
130,2,0
130,2,0
130,2,0
