time (ms),latency (ms),consume (ms)
0,15,0
15,24,15
24,25,9
32,16,8
40,15,8
48,15,8
56,15,8
60,10,4
64,7,4
69,8,5
73,8,4
78,7,5
82,8,4
86,7,4
90,7,4
118,31,28
126,33,8
129,32,3
130,29,1
133,23,3
135,18,2
138,17,3
143,10,5
147,8,4
151,7,4
155,7,4
159,7,4
162,6,3
166,6,4
170,7,4
174,7,4
178,7,4
181,6,3
185,6,4
189,7,4
192,6,3
197,7,5
201,8,4
205,7,4
209,7,4
237,32,28
238,26,1
243,27,5
244,23,1
253,28,9
257,28,4
260,6,3
263,5,3
267,6,4
270,6,3
273,5,3
276,5,3
279,5,3
283,6,4
286,6,3
289,6,3
292,5,3
295,5,3
298,5,3
302,6,4
305,6,3
310,8,5
313,7,3
321,11,8
324,9,3
357,36,33
360,35,3
362,34,2
365,33,3
368,32,3
372,33,4
372,28,0
376,29,4
379,30,3
382,29,3
384,28,2
387,26,3
388,24,1
390,22,2
397,26,7
401,27,4
408,30,7
411,30,3
412,27,1
413,24,1
420,28,7
428,32,8
430,30,2
436,33,6
442,33,6
448,36,6
451,32,3
499,72,48
502,73,3
508,76,6
513,74,5
521,74,8
521,72,0
523,70,2
532,72,9
535,68,3
535,65,0
543,71,8
545,70,2
549,66,4
550,62,1
559,64,9
561,64,2
566,65,5
572,65,6
574,61,2
578,58,4
583,61,5
585,54,2
585,51,0
594,48,9
597,50,3
598,45,1
641,81,43
648,85,7
649,78,1
655,82,6
671,94,16
673,80,2
673,77,0
679,67,6
679,63,0
682,59,3
682,45,0
683,44,1
689,24,6
695,15,6
698,9,3
698,7,0
703,11,5
704,8,1
708,11,4
710,7,2
711,7,1
714,9,3
714,8,0
720,13,6
720,12,0
748,36,28
753,34,5
753,33,0
754,33,1
754,32,0
759,35,5
759,28,0
760,28,1
764,31,4
764,30,0
764,28,0
767,29,3
767,28,0
767,24,0
771,27,4
771,26,0
772,26,1
774,25,2
774,21,0
775,21,1
776,20,1
776,19,0
777,18,1
778,16,1
779,16,1
780,15,1
793,27,13
793,25,0
793,24,0
797,27,4
797,25,0
798,25,1
799,12,1
799,10,0
799,9,0
801,10,2
801,9,0
801,7,0
807,12,6
808,12,1
808,11,0
808,9,0
811,9,3
811,8,0
811,7,0
814,9,3
814,8,0
814,7,0
817,8,3
818,8,1
820,8,2
820,7,0
832,17,12
833,17,1
833,15,0
835,16,2
835,14,0
835,13,0
839,16,4
839,14,0
839,13,0
844,16,5
844,15,0
844,14,0
847,16,3
847,14,0
847,11,0
849,12,2
849,11,0
849,9,0
851,10,2
851,9,0
851,8,0
851,6,0
856,10,5
858,10,2
860,3,2
861,2,1
866,6,5
868,4,2
868,3,0
870,3,2
871,3,1
873,3,2
874,2,1
875,2,1
877,3,2
878,2,1
879,2,1
881,3,2
882,2,1
884,3,2
886,3,2
887,3,1
888,2,1
890,2,2
891,2,1
893,3,2
894,2,1
895,2,1
897,3,2
898,2,1
900,3,2
912,13,12
912,12,0
915,12,3
915,11,0
916,10,1
916,9,0
918,10,2
920,10,2
921,10,1
921,8,0
922,8,1
922,6,0
924,7,2
924,5,0
925,5,1
930,8,5
932,9,2
933,2,1
935,3,2
936,2,1
939,4,3
940,4,1
942,3,2
944,3,2
946,4,2
947,3,1
958,12,11
962,14,4
962,12,0
962,10,0
965,12,3
965,10,0
965,9,0
968,11,3
968,8,0
969,8,1
972,9,3
972,8,0
972,6,0
973,6,1
975,6,2
975,5,0
976,5,1
979,6,3
979,5,0
979,3,0
980,3,1
982,4,2
982,2,0
985,4,3
988,5,3
988,4,0
988,2,0
1004,17,16
1004,15,0
1005,15,1
1006,15,1
1006,13,0
1006,12,0
1009,13,3
1010,13,1
1012,3,2
1013,2,1
1015,3,2
1016,2,1
1017,2,1
1019,3,2
1020,2,1
1021,2,1
1023,3,2
1024,2,1
1025,2,1
1027,3,2
1028,2,1
1029,2,1
1031,3,2
1032,2,1
1033,2,1
1041,9,8
1041,7,0
1044,6,3
1044,5,0
1044,4,0
1046,4,2
1047,4,1
1047,2,0
1049,3,2
1051,4,2
1054,5,3
1054,3,0
1055,2,1
1057,3,2
1058,2,1
1059,2,1
1060,2,1
1062,2,2
1063,2,1
1065,3,2
1066,2,1
1067,2,1
1069,3,2
