time (ms),latency (ms),consume (ms)
0,10,0
2,8,2
10,15,8
10,9,0
11,8,1
11,7,0
11,7,0
11,6,0
12,7,1
16,10,4
29,23,13
29,15,0
30,16,1
30,14,0
31,14,1
31,13,0
32,10,1
32,8,0
41,16,9
46,14,5
46,13,0
47,14,1
47,13,0
49,14,2
49,14,0
51,15,2
59,22,8
59,16,0
60,12,1
60,12,0
60,12,0
61,11,1
61,8,0
61,5,0
68,12,7
68,6,0
68,6,0
69,6,1
69,6,0
69,6,0
69,5,0
70,5,1
79,14,9
79,9,0
79,8,0
80,8,1
80,8,0
80,7,0
80,6,0
81,5,1
87,11,6
87,6,0
87,5,0
88,6,1
88,6,0
88,5,0
88,5,0
89,5,1
106,22,17
106,17,0
106,16,0
107,17,1
107,16,0
107,11,0
107,8,0
108,6,1
115,12,7
116,8,1
116,7,0
116,7,0
116,7,0
118,8,2
118,8,0
118,8,0
123,12,5
123,6,0
124,7,1
125,7,1
125,6,0
129,10,4
129,9,0
133,13,4
139,19,6
139,13,0
157,30,18
158,30,1
158,26,0
159,27,1
159,26,0
160,26,1
168,32,8
169,26,1
169,6,0
169,5,0
169,5,0
170,6,1
170,5,0
170,5,0
176,11,6
176,6,0
176,5,0
176,5,0
176,4,0
177,5,1
177,5,0
177,4,0
183,10,6
184,6,1
184,6,0
184,6,0
184,5,0
184,5,0
185,6,1
185,5,0
191,11,6
191,6,0
191,5,0
192,6,1
192,5,0
192,5,0
192,4,0
193,5,1
203,15,10
203,10,0
204,10,1
204,8,0
204,8,0
204,7,0
204,7,0
205,7,1
215,16,10
218,13,3
219,9,1
220,10,1
220,10,0
221,10,1
222,11,1
222,11,0
226,14,4
226,8,0
226,7,0
228,8,2
228,7,0
228,7,0
228,6,0
230,7,2
234,11,4
234,7,0
234,7,0
235,6,1
235,6,0
235,6,0
235,5,0
237,6,2
245,14,8
245,9,0
245,9,0
245,8,0
246,9,1
246,8,0
247,9,1
247,9,0
254,15,7
254,5,0
254,5,0
255,6,1
255,5,0
255,5,0
255,5,0
256,5,1
261,10,5
261,5,0
262,6,1
262,5,0
263,6,1
263,6,0
263,5,0
264,6,1
269,11,5
270,6,1
270,6,0
271,6,1
272,7,1
272,6,0
273,7,1
273,7,0
278,12,5
278,6,0
278,5,0
279,5,1
279,5,0
279,5,0
279,4,0
280,5,1
285,10,5
286,6,1
286,6,0
286,5,0
286,5,0
287,6,1
287,5,0
287,5,0
293,11,6
293,6,0
293,5,0
293,5,0
294,5,1
294,5,0
294,5,0
294,4,0
301,11,7
301,6,0
301,6,0
301,5,0
302,6,1
302,5,0
302,5,0
302,5,0
308,10,6
309,6,1
309,6,0
309,5,0
309,5,0
310,6,1
310,5,0
310,5,0
341,35,31
341,29,0
342,30,1
342,28,0
343,29,1
343,29,0
344,27,1
344,27,0
345,27,1
345,24,0
346,24,1
346,24,0
346,22,0
349,25,3
349,24,0
350,24,1
352,26,2
352,22,0
352,22,0
352,19,0
353,20,1
354,21,1
354,20,0
354,20,0
355,19,1
358,19,3
358,18,0
358,17,0
359,17,1
360,18,1
360,17,0
361,17,1
361,16,0
361,11,0
363,13,2
363,12,0
363,11,0
363,10,0
363,10,0
364,9,1
368,13,4
368,9,0
368,8,0
368,7,0
370,8,2
370,8,0
370,6,0
370,6,0
375,10,5
376,7,1
376,7,0
376,5,0
376,5,0
376,4,0
377,5,1
377,5,0
383,10,6
383,6,0
383,5,0
384,6,1
384,5,0
384,5,0
384,4,0
384,4,0
390,10,6
391,6,1
391,6,0
391,5,0
391,5,0
391,4,0
392,5,1
392,5,0
398,10,6
398,6,0
398,5,0
399,6,1
399,5,0
399,5,0
399,5,0
399,4,0
405,10,6
406,6,1
406,6,0
406,5,0
406,5,0
406,4,0
407,5,1
407,5,0
413,10,6
413,6,0
413,5,0
413,5,0
413,4,0
414,5,1
414,5,0
414,4,0
420,10,6
420,5,0
420,5,0
421,6,1
421,5,0
421,5,0
421,4,0
421,4,0
441,24,20
441,19,0
441,19,0
441,18,0
442,5,1
442,5,0
442,5,0
442,4,0
448,10,6
448,5,0
448,5,0
448,5,0
449,5,1
449,5,0
449,5,0
449,4,0
456,11,7
456,6,0
456,6,0
456,6,0
456,5,0
457,6,1
457,6,0
457,5,0
463,10,6
463,5,0
463,5,0
465,7,2
465,6,0
466,7,1
466,7,0
467,7,1
472,12,5
472,6,0
473,6,1
473,5,0
473,5,0
473,5,0
473,4,0
497,28,24
498,29,1
498,24,0
498,24,0
499,23,1
499,23,0
500,24,1
500,19,0
502,21,2
502,20,0
502,18,0
502,17,0
502,17,0
503,18,1
503,17,0
503,17,0
506,20,3
519,32,13
520,29,1
520,28,0
521,29,1
522,30,1
522,27,0
522,25,0
541,42,19
542,25,1
542,19,0
542,18,0
542,18,0
543,18,1
544,19,1
548,22,4
549,22,1
549,21,0
550,18,1
550,18,0
551,18,1
551,18,0
551,18,0
551,17,0
553,18,2
553,18,0
553,13,0
553,13,0
557,17,4
557,16,0
557,16,0
557,14,0
559,16,2
559,16,0
559,11,0
559,11,0
563,14,4
563,13,0
563,13,0
563,12,0
565,13,2
565,13,0
565,9,0
565,9,0
565,9,0
567,9,2
567,9,0
567,9,0
567,7,0
571,11,4
571,7,0
571,7,0
571,7,0
572,6,1
574,8,2
574,8,0
574,6,0
578,10,4
578,6,0
579,7,1
579,7,0
579,6,0
580,7,1
580,7,0
581,6,1
586,11,5
586,7,0
586,6,0
586,5,0
586,5,0
587,5,1
587,5,0
587,5,0
593,10,6
593,5,0
593,5,0
593,5,0
594,5,1
594,5,0
594,5,0
594,4,0
600,10,6
600,5,0
600,5,0
600,5,0
600,4,0
601,5,1
601,5,0
601,4,0
607,10,6
607,5,0
607,5,0
607,5,0
607,4,0
608,5,1
608,5,0
608,4,0
613,9,5
614,6,1
614,5,0
614,5,0
614,4,0
614,4,0
615,5,1
615,4,0
620,9,5
621,6,1
621,5,0
621,5,0
621,5,0
621,4,0
622,5,1
622,5,0
628,10,6
628,6,0
628,5,0
628,5,0
628,5,0
628,4,0
629,5,1
629,5,0
635,10,6
635,5,0
635,5,0
635,5,0
635,4,0
657,26,22
658,27,1
658,26,0
659,27,1
660,22,1
660,22,0
660,20,0
660,20,0
664,24,4
664,22,0
668,26,4
668,26,0
668,18,0
668,17,0
671,20,3
671,20,0
672,20,1
672,20,0
675,23,3
676,23,1
676,20,0
676,20,0
677,21,1
677,20,0
680,23,3
680,22,0
680,21,0
680,21,0
682,19,2
682,19,0
682,17,0
682,17,0
682,17,0
684,17,2
684,17,0
684,15,0
684,12,0
685,12,1
686,13,1
686,13,0
686,12,0
686,11,0
690,14,4
690,14,0
691,10,1
691,10,0
692,9,1
692,9,0
692,9,0
696,11,4
696,11,0
697,11,1
697,8,0
698,8,1
698,7,0
698,7,0
699,7,1
699,6,0
