time (ms),latency (ms),consume (ms)
0,6,0
2,5,2
2,3,0
2,1,0
3,1,1
6,2,3
6,0,0
8,1,2
10,1,2
11,1,1
13,1,2
14,0,1
16,1,2
18,1,2
19,0,1
21,1,2
22,0,1
24,1,2
26,1,2
27,0,1
29,1,2
30,0,1
32,1,2
34,1,2
37,2,3
37,1,0
38,0,1
40,1,2
41,0,1
43,1,2
45,1,2
46,0,1
48,1,2
50,1,2
51,1,1
53,1,2
55,1,2
56,1,1
58,1,2
59,0,1
61,1,2
63,1,2
64,1,1
66,1,2
67,0,1
69,1,2
71,1,2
72,1,1
74,1,2
75,0,1
77,1,2
79,1,2
80,0,1
82,1,2
84,1,2
85,1,1
86,1,1
87,0,1
89,1,2
90,1,1
92,1,2
93,0,1
95,1,2
96,0,1
98,1,2
100,1,2
101,0,1
103,1,2
104,0,1
106,1,2
107,0,1
109,1,2
111,1,2
112,1,1
114,1,2
115,0,1
117,1,2
119,1,2
121,1,2
124,2,3
126,2,2
128,2,2
130,1,2
132,1,2
135,2,3
136,1,1
138,1,2
140,1,2
142,1,2
144,1,2
146,1,2
148,1,2
150,1,2
153,2,3
155,2,2
157,2,2
159,2,2
161,2,2
163,1,2
165,1,2
167,1,2
169,1,2
171,1,2
173,1,2
175,1,2
177,1,2
179,1,2
181,1,2
183,1,2
185,1,2
187,1,2
189,1,2
192,2,3
194,2,2
196,2,2
198,1,2
200,1,2
202,2,2
203,1,1
205,2,2
206,1,1
208,2,2
209,1,1
211,1,2
212,1,1
214,1,2
216,1,2
218,2,2
219,1,1
221,2,2
222,1,1
224,2,2
225,1,1
227,2,2
228,1,1
230,2,2
231,1,1
233,2,2
234,1,1
236,2,2
237,1,1
239,2,2
240,1,1
242,2,2
243,1,1
244,1,1
246,2,2
247,1,1
249,2,2
250,1,1
252,2,2
253,1,1
254,1,1
256,2,2
257,1,1
259,2,2
260,1,1
261,1,1
263,1,2
264,1,1
266,1,2
267,1,1
269,2,2
270,1,1
272,2,2
273,1,1
274,1,1
276,2,2
277,1,1
279,2,2
280,1,1
281,1,1
283,1,2
284,1,1
286,2,2
287,1,1
289,2,2
290,1,1
291,1,1
293,1,2
294,1,1
296,2,2
297,1,1
299,2,2
300,1,1
302,2,2
303,1,1
305,2,2
306,1,1
308,2,2
309,1,1
311,2,2
312,1,1
313,1,1
315,1,2
316,1,1
318,2,2
319,1,1
321,2,2
322,1,1
323,1,1
325,2,2
326,1,1
328,2,2
329,1,1
331,2,2
332,2,1
333,1,1
335,2,2
336,1,1
337,1,1
339,1,2
340,1,1
342,2,2
343,1,1
345,2,2
346,1,1
366,20,20
366,19,0
366,17,0
367,17,1
367,15,0
367,14,0
367,13,0
367,11,0
367,10,0
367,8,0
367,7,0
369,7,2
369,6,0
369,4,0
369,3,0
369,2,0
370,1,1
371,1,1
373,1,2
374,1,1
376,2,2
377,1,1
379,2,2
380,1,1
382,2,2
383,1,1
384,1,1
386,1,2
387,1,1
389,1,2
390,1,1
392,2,2
393,1,1
395,2,2
396,1,1
398,2,2
399,1,1
401,2,2
402,1,1
404,1,2
405,1,1
407,1,2
408,1,1
410,2,2
411,1,1
413,2,2
414,1,1
416,2,2
417,1,1
419,2,2
420,1,1
421,1,1
423,2,2
424,1,1
426,2,2
427,1,1
428,1,1
430,1,2
431,1,1
433,2,2
434,1,1
436,2,2
437,1,1
438,1,1
440,2,2
441,1,1
443,2,2
444,1,1
446,2,2
447,2,1
448,1,1
450,2,2
451,1,1
452,1,1
454,2,2
455,1,1
456,1,1
458,2,2
459,1,1
461,2,2
462,1,1
463,1,1
465,1,2
466,1,1
468,2,2
469,1,1
470,1,1
472,2,2
473,1,1
475,2,2
476,1,1
477,1,1
479,2,2
480,1,1
482,2,2
483,1,1
484,1,1
486,2,2
487,1,1
489,2,2
490,1,1
493,3,3
494,2,1
494,1,0
495,1,1
497,1,2
499,2,2
500,1,1
501,1,1
503,2,2
507,4,4
508,4,1
508,2,0
509,2,1
510,2,1
512,2,2
513,2,1
514,1,1
515,1,1
517,1,2
518,1,1
520,2,2
521,1,1
522,1,1
524,2,2
525,1,1
526,1,1
528,1,2
529,1,1
531,2,2
532,1,1
533,1,1
535,1,2
536,1,1
537,1,1
539,1,2
540,1,1
542,2,2
543,1,1
544,1,1
546,1,2
547,1,1
549,2,2
550,1,1
551,1,1
553,2,2
554,1,1
556,2,2
557,1,1
558,1,1
560,2,2
561,1,1
562,1,1
564,2,2
565,1,1
567,2,2
568,1,1
570,2,2
571,1,1
572,1,1
574,2,2
575,1,1
577,2,2
579,2,2
580,2,1
581,1,1
582,1,1
584,1,2
585,1,1
589,4,4
589,2,0
589,1,0
591,1,2
592,1,1
594,2,2
595,1,1
597,2,2
598,1,1
599,1,1
601,2,2
602,1,1
603,1,1
605,1,2
606,1,1
608,2,2
609,1,1
610,1,1
612,2,2
613,1,1
614,1,1
616,1,2
617,1,1
619,2,2
620,1,1
621,1,1
623,2,2
624,1,1
625,1,1
627,1,2
628,1,1
630,2,2
631,1,1
632,1,1
634,2,2
635,1,1
637,2,2
639,3,2
639,1,0
640,1,1
642,1,2
643,1,1
644,1,1
646,1,2
648,2,2
648,1,0
650,1,2
651,1,1
653,2,2
654,1,1
655,1,1
657,1,2
658,1,1
659,1,1
661,1,2
662,1,1
664,2,2
665,1,1
666,1,1
672,6,6
672,4,0
675,6,3
675,5,0
675,3,0
676,3,1
676,2,0
677,1,1
678,1,1
680,1,2
681,1,1
683,2,2
684,1,1
685,1,1
687,2,2
688,1,1
690,2,2
691,1,1
692,1,1
694,2,2
695,1,1
696,1,1
698,2,2
699,1,1
700,1,1
702,1,2
703,1,1
705,2,2
706,1,1
707,1,1
709,2,2
710,1,1
711,1,1
713,1,2
714,1,1
715,1,1
717,1,2
718,1,1
720,2,2
721,1,1
727,6,6
727,4,0
727,3,0
727,2,0
728,1,1
729,1,1
731,2,2
733,2,2
734,2,1
735,1,1
736,1,1
738,2,2
739,1,1
740,1,1
742,2,2
743,1,1
744,1,1
746,1,2
747,1,1
748,1,1
750,1,2
751,1,1
755,4,4
756,3,1
756,2,0
757,1,1
771,2,14
772,2,1
773,1,1
775,2,2
776,1,1
778,2,2
779,1,1
780,1,1
782,2,2
783,1,1
788,5,5
788,4,0
788,2,0
793,5,5
793,4,0
793,2,0
794,2,1
795,2,1
796,1,1
797,1,1
799,2,2
800,1,1
801,1,1
803,2,2
804,1,1
805,1,1
806,1,1
808,1,2
809,1,1
811,2,2
813,2,2
816,4,3
816,2,0
816,1,0
818,2,2
819,1,1
820,1,1
821,1,1
823,1,2
824,1,1
825,1,1
827,1,2
828,1,1
829,1,1
831,2,2
832,1,1
835,3,3
836,3,1
836,1,0
837,1,1
839,1,2
840,1,1
841,1,1
843,1,2
844,1,1
845,1,1
847,2,2
848,1,1
849,1,1
851,1,2
852,1,1
853,1,1
855,1,2
856,1,1
857,1,1
859,1,2
860,1,1
862,2,2
863,1,1
864,1,1
866,2,2
867,1,1
868,1,1
870,2,2
871,1,1
872,1,1
874,1,2
875,1,1
876,1,1
878,1,2
879,1,1
880,1,1
882,1,2
883,1,1
884,1,1
886,1,2
887,1,1
889,2,2
890,1,1
891,1,1
893,2,2
894,1,1
895,1,1
897,2,2
898,1,1
899,1,1
901,2,2
902,1,1
903,1,1
905,2,2
906,1,1
907,1,1
909,1,2
910,1,1
911,1,1
913,1,2
914,1,1
916,2,2
917,1,1
918,1,1
920,2,2
921,1,1
922,1,1
924,2,2
925,1,1
927,2,2
928,2,1
929,1,1
930,1,1
932,2,2
933,1,1
935,2,2
936,1,1
937,1,1
938,1,1
940,1,2
941,1,1
943,2,2
948,5,5
950,1,2
951,1,1
952,1,1
954,1,2
955,1,1
956,1,1
958,1,2
959,1,1
960,1,1
962,1,2
963,1,1
964,1,1
966,1,2
967,1,1
968,1,1
970,1,2
971,1,1
972,1,1
974,1,2
975,1,1
976,1,1
978,1,2
979,1,1
981,2,2
982,1,1
983,1,1
986,3,3
986,1,0
987,1,1
989,1,2
990,1,1
991,1,1
992,1,1
994,1,2
995,1,1
996,1,1
998,1,2
999,1,1
1000,1,1
1002,1,2
1003,1,1
1004,1,1
1006,1,2
1007,1,1
1008,1,1
1010,1,2
1011,1,1
1012,1,1
1014,1,2
1015,1,1
1016,1,1
1018,1,2
1019,1,1
1020,1,1
1022,1,2
1023,1,1
1024,1,1
1026,1,2
1027,1,1
1028,1,1
1030,1,2
1032,2,2
1033,1,1
1035,1,2
1036,1,1
1037,1,1
1039,1,2
1040,1,1
1041,1,1
1043,1,2
1044,1,1
1045,1,1
1047,1,2
1048,1,1
1049,1,1
1051,1,2
1052,1,1
1054,2,2
1055,1,1
1056,1,1
1057,1,1
1059,1,2
1060,1,1
1061,1,1
1063,1,2
1064,1,1
1065,1,1
1067,1,2
1068,1,1
1069,1,1
1071,1,2
1072,1,1
1073,1,1
1075,1,2
1076,1,1
1077,1,1
1079,1,2
1080,1,1
1081,1,1
1083,1,2
1084,1,1
1085,1,1
1087,1,2
1088,1,1
1089,1,1
1091,1,2
1092,1,1
1093,1,1
1095,1,2
1096,1,1
1097,1,1
1099,1,2
1100,1,1
1101,1,1
1103,2,2
1104,1,1
1105,1,1
1107,1,2
1108,1,1
1109,1,1
1110,1,1
1112,1,2
1113,1,1
1115,2,2
1116,1,1
1117,1,1
1119,2,2
1120,1,1
1121,1,1
1123,1,2
1124,1,1
1125,1,1
1127,2,2
1128,1,1
1129,1,1
1130,1,1
1132,1,2
1133,1,1
1134,1,1
1136,1,2
1137,1,1
1138,1,1
1140,1,2
1141,1,1
1142,1,1
1143,1,1
1145,1,2
1146,1,1
1147,1,1
1149,2,2
1150,1,1
1151,1,1
1153,2,2
1154,1,1
1155,1,1
1156,1,1
1158,1,2
1159,1,1
1160,1,1
1162,1,2
1163,1,1
1164,1,1
1166,2,2
1167,1,1
1168,1,1
1170,2,2
1171,1,1
1172,1,1
1173,1,1
1175,1,2
1176,1,1
1177,1,1
1179,1,2
1180,1,1
1181,1,1
1183,2,2
1184,1,1
1185,1,1
1186,1,1
1188,1,2
1189,1,1
1190,1,1
1192,1,2
1193,1,1
1194,1,1
1196,1,2
1197,1,1
1198,1,1
1200,1,2
1201,1,1
1202,1,1
1204,1,2
1205,1,1
1207,2,2
1211,4,4
1211,3,0
1211,2,0
1212,1,1
1213,1,1
1214,1,1
1216,2,2
1217,1,1
1218,1,1
1220,2,2
1221,1,1
1222,1,1
1223,1,1
1225,1,2
1227,2,2
1227,1,0
1229,1,2
1230,1,1
1231,1,1
1232,1,1
1234,1,2
1235,1,1
1236,1,1
1238,1,2
1239,1,1
1240,1,1
1241,1,1
1243,1,2
1244,1,1
1245,1,1
1246,1,1
1248,1,2
1249,1,1
1250,1,1
1252,1,2
1253,1,1
1255,2,2
1256,1,1
1257,1,1
1259,2,2
1260,1,1
1261,1,1
1263,2,2
1264,1,1
1265,1,1
1267,2,2
1268,1,1
1269,1,1
1270,1,1
1272,1,2
1273,1,1
1274,1,1
1276,1,2
1277,1,1
1278,1,1
1280,1,2
1282,2,2
1284,2,2
1285,1,1
1286,1,1
1287,1,1
1289,1,2
1290,1,1
1291,1,1
1293,1,2
1294,1,1
1295,1,1
1297,1,2
1298,1,1
1299,1,1
1303,4,4
1303,2,0
1303,1,0
1307,4,4
1307,2,0
1307,1,0
1311,3,4
1311,2,0
1311,1,0
1314,2,3
1314,1,0
1315,1,1
1317,1,2
1318,1,1
1319,1,1
1321,2,2
1322,1,1
1323,1,1
1324,1,1
1326,1,2
1327,1,1
1328,1,1
1330,1,2
1331,1,1
1335,4,4
1335,2,0
1336,2,1
1337,2,1
1338,1,1
1340,2,2
1341,1,1
1342,1,1
1344,2,2
1345,1,1
1346,1,1
1348,1,2
1349,1,1
1350,1,1
1352,1,2
1353,1,1
1354,1,1
1356,2,2
1357,1,1
1358,1,1
1360,2,2
1361,1,1
1362,1,1
1364,2,2
1365,1,1
1366,1,1
1367,1,1
1369,1,2
1370,1,1
1371,1,1
1373,1,2
1374,1,1
1375,1,1
1377,1,2
1378,1,1
1379,1,1
1381,2,2
1382,1,1
1383,1,1
1384,1,1
1386,1,2
1387,1,1
1388,1,1
1390,2,2
1391,1,1
1392,1,1
1393,1,1
1395,1,2
1396,1,1
1397,1,1
1399,1,2
1400,1,1
1401,1,1
1403,2,2
1404,1,1
1405,1,1
1406,1,1
1408,1,2
1409,1,1
1410,1,1
1412,1,2
1413,1,1
1414,1,1
1416,2,2
1417,1,1
1418,1,1
1420,2,2
