time (ms),latency (ms),consume (ms)
0,24,0
1,21,1
3,21,2
3,19,0
3,18,0
3,17,0
4,16,1
5,16,1
6,15,1
6,13,0
6,12,0
48,46,42
48,44,0
48,43,0
48,41,0
48,39,0
49,38,1
49,37,0
49,36,0
50,36,1
54,38,4
54,37,0
55,37,1
55,36,0
56,35,1
56,33,0
56,31,0
61,35,5
62,34,1
62,33,0
62,31,0
62,26,0
65,28,3
70,20,5
71,20,1
71,16,0
72,15,1
72,13,0
72,11,0
72,9,0
72,8,0
75,7,3
78,9,3
78,7,0
79,6,1
80,6,1
80,3,0
81,3,1
83,3,2
84,1,1
86,2,2
87,1,1
89,2,2
92,3,3
94,2,2
95,1,1
97,2,2
98,1,1
100,1,2
102,2,2
103,1,1
105,2,2
110,4,5
113,2,3
117,4,4
119,1,2
121,2,2
122,1,1
124,2,2
125,1,1
127,2,2
128,1,1
130,1,2
132,2,2
133,1,1
135,2,2
136,1,1
138,2,2
139,1,1
140,1,1
142,1,2
146,4,4
147,1,1
149,1,2
151,2,2
152,1,1
154,1,2
156,2,2
157,1,1
162,4,5
164,1,2
166,2,2
168,2,2
172,4,4
173,1,1
176,2,3
178,2,2
180,1,2
182,1,2
183,1,1
185,1,2
186,1,1
188,1,2
189,1,1
191,1,2
192,1,1
194,1,2
195,1,1
197,1,2
198,1,1
200,2,2
201,1,1
203,2,2
204,1,1
207,3,3
209,1,2
211,2,2
212,1,1
213,1,1
215,1,2
216,1,1
218,1,2
219,1,1
221,2,2
224,3,3
226,2,2
227,1,1
232,3,5
235,2,3
241,6,6
244,2,3
253,7,9
255,2,2
256,1,1
258,2,2
259,1,1
261,2,2
262,1,1
264,2,2
265,1,1
267,2,2
268,1,1
270,2,2
271,1,1
273,2,2
274,1,1
276,2,2
278,2,2
279,1,1
281,1,2
282,1,1
284,1,2
285,1,1
287,1,2
288,1,1
290,2,2
291,1,1
293,1,2
296,3,3
298,1,2
300,1,2
342,42,42
342,40,0
345,40,3
346,39,1
347,37,1
347,35,0
347,31,0
347,30,0
347,29,0
349,30,2
349,29,0
349,27,0
350,27,1
351,26,1
351,24,0
352,24,1
352,22,0
352,19,0
352,18,0
352,17,0
355,19,3
355,17,0
356,16,1
358,17,2
358,14,0
358,13,0
358,12,0
358,10,0
358,8,0
358,6,0
360,6,2
360,5,0
363,6,3
366,3,3
367,1,1
369,1,2
370,1,1
372,1,2
373,1,1
375,2,2
376,1,1
378,2,2
379,1,1
380,1,1
382,1,2
383,1,1
385,2,2
386,1,1
387,1,1
389,1,2
390,1,1
392,2,2
393,1,1
394,1,1
396,1,2
397,1,1
399,1,2
402,3,3
403,1,1
404,1,1
406,1,2
407,1,1
409,2,2
410,1,1
412,2,2
413,1,1
415,2,2
416,1,1
417,1,1
419,1,2
420,1,1
422,2,2
423,1,1
425,2,2
426,1,1
427,1,1
429,1,2
430,1,1
432,2,2
433,1,1
435,2,2
436,1,1
437,1,1
439,1,2
440,1,1
442,2,2
443,1,1
445,2,2
447,1,2
448,1,1
450,1,2
451,1,1
453,1,2
455,1,2
456,1,1
458,2,2
459,1,1
461,2,2
462,1,1
464,2,2
465,1,1
467,2,2
468,1,1
469,1,1
471,1,2
472,1,1
474,2,2
475,1,1
476,1,1
478,1,2
479,1,1
481,2,2
482,1,1
483,1,1
485,1,2
486,1,1
488,2,2
489,1,1
490,1,1
492,1,2
493,1,1
495,1,2
496,1,1
498,2,2
499,1,1
500,1,1
502,1,2
503,1,1
505,2,2
506,1,1
508,2,2
509,1,1
510,1,1
512,1,2
513,1,1
515,2,2
516,1,1
518,2,2
519,1,1
520,1,1
522,1,2
523,1,1
525,2,2
526,1,1
528,2,2
529,1,1
530,1,1
532,1,2
533,1,1
535,2,2
536,1,1
537,1,1
539,1,2
540,1,1
542,2,2
543,1,1
544,1,1
546,1,2
547,1,1
549,2,2
550,1,1
552,2,2
