time (ms),latency (ms),consume (ms)
0,9,0
6,3,6
14,3,8
21,2,7
28,2,7
35,2,7
42,1,7
49,1,7
57,3,8
64,2,7
72,2,8
79,2,7
86,1,7
97,6,11
104,2,7
110,1,6
117,1,7
125,2,8
134,4,9
141,1,7
150,2,9
157,2,7
164,2,7
171,2,7
177,1,6
184,1,7
192,1,8
200,2,8
208,2,8
216,1,8
222,1,6
232,1,10
239,1,7
246,1,7
252,1,6
259,2,7
266,1,7
273,2,7
281,2,8
288,2,7
295,2,7
301,1,6
308,1,7
315,2,7
321,1,6
329,2,8
335,1,6
342,1,7
348,1,6
354,1,6
360,0,6
367,1,7
373,1,6
379,1,6
386,1,7
394,3,8
402,3,8
410,2,8
417,2,7
424,2,7
431,1,7
438,1,7
444,1,6
452,1,8
459,1,7
467,1,8
475,1,8
482,2,7
488,1,6
495,1,7
501,1,6
509,2,8
516,1,7
522,1,6
528,1,6
536,2,8
542,1,6
550,2,8
556,1,6
563,2,7
571,1,8
589,11,18
589,4,0
596,4,7
604,2,8
612,1,8
619,1,7
625,1,6
632,2,7
638,1,6
645,1,7
652,1,7
665,3,13
671,1,6
678,1,7
686,2,8
695,2,9
701,1,6
708,1,7
715,2,7
721,1,6
728,1,7
734,1,6
740,0,6
747,1,7
753,1,6
760,1,7
766,1,6
773,1,7
781,1,8
787,1,6
796,3,9
803,1,7
810,2,7
820,1,10
827,1,7
834,2,7
841,1,7
848,1,7
854,1,6
862,2,8
868,1,6
875,1,7
882,2,7
888,1,6
895,1,7
901,1,6
908,1,7
915,2,7
921,1,6
928,2,7
934,1,6
942,1,8
949,1,7
955,1,6
961,1,6
968,1,7
974,1,6
980,1,6
987,1,7
993,1,6
999,1,6
1005,1,6
1013,2,8
1019,1,6
1026,1,7
1033,2,7
1039,1,6
1045,0,6
1052,1,7
1058,1,6
1066,1,8
1072,1,6
1079,1,7
1085,1,6
1091,1,6
1097,1,6
1105,1,8
1114,1,9
1121,1,7
1127,1,6
1134,1,7
1140,1,6
1146,1,6
1152,1,6
1158,1,6
1165,1,7
1171,1,6
1178,1,7
1187,2,9
1194,2,7
1202,1,8
1209,1,7
1215,1,6
1222,1,7
1228,1,6
1234,1,6
1241,1,7
1247,1,6
1253,1,6
1260,1,7
1267,2,7
1273,1,6
1280,1,7
1286,1,6
1292,1,6
1301,3,9
1308,1,7
1316,2,8
1322,1,6
1328,1,6
1342,2,14
1348,1,6
1355,1,7
1362,2,7
1368,1,6
1375,1,7
1381,1,6
1388,1,7
1394,1,6
1400,1,6
1406,1,6
1412,0,6
1419,1,7
1425,1,6
1431,1,6
1437,1,6
1444,1,7
1450,1,6
1456,1,6
1462,1,6
1469,1,7
1475,1,6
1481,1,6
1487,0,6
