time (ms),latency (ms),consume (ms)
0,11,0
3,4,3
7,2,4
13,2,6
19,3,6
24,2,5
29,2,5
35,2,6
40,2,5
46,2,6
51,1,5
57,2,6
62,1,5
68,2,6
73,1,5
79,2,6
85,2,6
90,2,5
96,2,6
103,2,7
109,2,6
114,2,5
120,2,6
125,1,5
131,2,6
136,1,5
142,2,6
147,2,5
153,2,6
158,1,5
164,2,6
170,2,6
176,2,6
181,2,5
187,2,6
192,1,5
198,2,6
203,1,5
209,2,6
215,2,6
220,1,5
226,2,6
231,1,5
237,2,6
242,1,5
249,3,7
253,1,4
262,5,9
264,1,2
270,1,6
276,2,6
282,2,6
287,2,5
293,2,6
298,2,5
304,2,6
309,1,5
315,2,6
320,1,5
326,2,6
332,2,6
337,2,5
343,2,6
348,1,5
354,2,6
359,1,5
365,2,6
370,2,5
376,2,6
381,2,5
387,2,6
392,2,5
397,1,5
403,2,6
408,1,5
414,2,6
419,1,5
425,2,6
430,1,5
436,2,6
442,2,6
447,2,5
453,2,6
458,1,5
464,2,6
469,1,5
474,1,5
480,2,6
485,1,5
491,2,6
496,1,5
502,2,6
507,1,5
513,2,6
518,1,5
524,2,6
529,1,5
535,2,6
540,1,5
546,2,6
551,1,5
560,2,9
565,1,5
571,2,6
576,1,5
581,1,5
587,1,6
592,1,5
598,2,6
603,1,5
609,2,6
614,1,5
620,2,6
626,2,6
631,2,5
636,1,5
642,1,6
648,2,6
654,1,6
660,2,6
665,1,5
671,2,6
677,1,6
682,1,5
688,1,6
694,2,6
700,2,6
706,1,6
712,1,6
718,2,6
723,1,5
729,1,6
734,1,5
740,1,6
746,2,6
751,1,5
757,1,6
763,2,6
768,1,5
774,1,6
780,2,6
785,1,5
791,2,6
796,1,5
802,1,6
808,2,6
813,1,5
819,1,6
824,1,5
830,1,6
836,2,6
841,1,5
847,2,6
852,1,5
858,1,6
864,2,6
869,2,5
874,1,5
880,1,6
885,1,5
891,2,6
896,1,5
902,1,6
908,2,6
913,1,5
919,1,6
924,1,5
930,1,6
936,2,6
942,2,6
947,1,5
952,1,5
958,1,6
964,1,6
970,1,6
976,1,6
982,1,6
988,1,6
994,1,6
1001,2,7
1006,1,5
1011,1,5
1018,2,7
1024,1,6
1030,1,6
1037,2,7
1042,1,5
1048,2,6
1053,1,5
1059,1,6
1064,1,5
1070,1,6
1076,2,6
1082,2,6
1087,1,5
1092,1,5
1098,1,6
1104,2,6
1109,2,5
1114,1,5
1120,2,6
1125,1,5
1142,1,17
1148,1,6
1153,1,5
1159,2,6
1164,1,5
1170,2,6
1179,5,9
1181,2,2
1186,1,5
1192,2,6
1197,1,5
1203,2,6
1208,1,5
1214,2,6
1219,1,5
1236,13,17
1236,8,0
1236,2,0
1241,2,5
1246,1,5
1252,2,6
1257,1,5
1263,1,6
1268,1,5
1274,1,6
1279,1,5
1285,2,6
1290,1,5
1296,2,6
1301,1,5
1306,1,5
1312,1,6
1317,1,5
1323,1,6
1328,1,5
1334,1,6
1339,1,5
1345,2,6
1350,1,5
1356,2,6
1361,1,5
1367,2,6
1372,1,5
1377,1,5
1383,1,6
1388,1,5
1394,2,6
1399,1,5
1405,2,6
1410,1,5
1416,1,6
1422,2,6
1427,1,5
1434,2,7
1439,2,5
1445,2,6
1450,1,5
1455,1,5
1460,1,5
1466,1,6
1471,1,5
1477,1,6
1482,1,5
1488,2,6
1493,1,5
1498,1,5
1504,1,6
1509,1,5
1515,2,6
1520,1,5
1525,1,5
1531,1,6
1536,1,5
1542,1,6
1547,1,5
1553,2,6
1558,1,5
1563,1,5
1569,1,6
1574,1,5
1580,2,6
1585,1,5
1590,1,5
1596,1,6
1601,1,5
1607,2,6
1612,1,5
1617,1,5
1623,1,6
1629,2,6
1634,1,5
1639,1,5
1645,1,6
1650,1,5
1656,2,6
1661,1,5
1666,1,5
1672,1,6
1677,1,5
1683,2,6
1688,1,5
1693,1,5
1699,1,6
1704,1,5
1710,1,6
1723,9,13
1725,5,2
1726,1,1
1732,1,6
1737,1,5
1743,2,6
1748,1,5
1753,1,5
1759,1,6
1764,1,5
1770,2,6
1775,1,5
1783,3,8
1787,1,4
1793,2,6
1798,1,5
1803,1,5
1809,1,6
1814,1,5
1820,1,6
1825,1,5
1831,1,6
1836,1,5
1842,1,6
1847,1,5
1853,1,6
1858,1,5
1863,1,5
1869,1,6
1875,2,6
1884,5,9
1885,0,1
1891,0,6
1898,1,7
1904,1,6
1910,1,6
1915,1,5
1920,1,5
1926,1,6
1931,1,5
1937,1,6
1942,1,5
1947,1,5
1953,1,6
1958,1,5
1963,1,5
1969,1,6
1974,1,5
1980,1,6
1985,1,5
1990,1,5
1996,1,6
2001,1,5
2007,2,6
2012,1,5
2017,1,5
2023,1,6
2028,1,5
2034,2,6
2039,1,5
2044,1,5
2050,1,6
2055,1,5
2061,2,6
2066,1,5
2071,1,5
2077,1,6
2082,1,5
2088,1,6
2093,1,5
2098,1,5
2104,1,6
2110,2,6
2115,1,5
2121,1,6
2126,1,5
2143,2,17
2149,2,6
2154,1,5
2160,1,6
2165,1,5
2171,1,6
2177,2,6
2182,1,5
2188,2,6
2193,1,5
2199,1,6
2205,1,6
2212,2,7
2218,1,6
2224,1,6
2230,1,6
2235,1,5
2241,1,6
2246,1,5
2251,1,5
2257,1,6
2262,1,5
2268,2,6
2273,1,5
2278,1,5
2284,2,6
2289,1,5
2294,1,5
2300,1,6
2305,1,5
2310,1,5
2316,1,6
2321,1,5
2326,1,5
2332,1,6
2337,1,5
2343,2,6
2348,1,5
2353,1,5
2359,2,6
2364,1,5
2369,1,5
2375,1,6
2380,1,5
2385,1,5
2391,1,6
2396,1,5
2402,2,6
2407,1,5
2412,1,5
2418,1,6
2423,1,5
2429,2,6
2434,1,5
2439,1,5
2445,2,6
2450,1,5
2455,1,5
2461,1,6
2466,1,5
2472,2,6
2477,1,5
2482,1,5
2488,2,6
2493,1,5
2498,1,5
2504,1,6
2509,1,5
2515,2,6
2520,1,5
2525,1,5
2531,1,6
2536,1,5
2542,2,6
2547,1,5
2552,1,5
2558,1,6
2563,1,5
2570,2,7
2575,1,5
2581,1,6
2587,1,6
2594,2,7
2599,1,5
2605,2,6
2610,1,5
2615,1,5
2621,2,6
2626,1,5
2631,1,5
2637,2,6
2642,1,5
2647,1,5
2653,2,6
2658,1,5
2663,1,5
2669,2,6
2674,1,5
2679,1,5
2685,2,6
2690,1,5
2702,8,12
2704,2,2
2709,2,5
2714,1,5
2719,1,5
2725,1,6
2730,1,5
2736,2,6
2742,2,6
2746,1,4
2752,2,6
2757,1,5
2762,1,5
2768,2,6
2773,1,5
2778,1,5
2784,2,6
2789,1,5
2794,1,5
2800,1,6
2805,1,5
2811,2,6
2818,3,7
2822,2,4
2827,1,5
2832,1,5
2838,2,6
2844,2,6
2849,2,5
2854,1,5
2860,1,6
2865,1,5
2871,2,6
2876,1,5
2881,1,5
2886,1,5
2892,1,6
2897,1,5
2902,1,5
2908,1,6
2913,1,5
2918,1,5
2924,1,6
2929,1,5
2934,1,5
2940,2,6
2945,1,5
2950,1,5
2956,2,6
2961,1,5
2966,1,5
2971,1,5
2977,1,6
2982,1,5
2987,1,5
2993,1,6
2998,1,5
3004,2,6
3009,1,5
3014,1,5
3020,2,6
3027,1,7
3032,1,5
3038,1,6
3043,1,5
3049,2,6
3059,6,10
3060,2,1
3068,2,8
3073,2,5
3078,1,5
3083,1,5
3089,2,6
3094,1,5
3099,1,5
3105,2,6
3110,1,5
3116,2,6
3121,1,5
3126,1,5
3131,1,5
3137,1,6
3142,1,5
3148,2,6
3154,2,6
3159,1,5
3164,1,5
3170,2,6
3175,1,5
3180,1,5
3186,1,6
3191,1,5
3197,2,6
3202,1,5
3207,1,5
3213,2,6
3218,1,5
3223,1,5
3229,2,6
3234,1,5
3239,1,5
3245,2,6
3250,1,5
3255,1,5
3261,2,6
3266,1,5
3271,1,5
3277,2,6
3282,1,5
3287,1,5
3293,2,6
3298,1,5
3304,2,6
3315,5,11
3317,2,2
3322,1,5
3328,2,6
3333,2,5
3338,1,5
3343,1,5
3349,2,6
3354,1,5
3359,1,5
3365,2,6
3370,1,5
3375,1,5
3381,2,6
3386,1,5
3391,1,5
3397,2,6
3402,1,5
3407,1,5
3413,1,6
3418,1,5
3423,1,5
3429,1,6
3434,1,5
3440,2,6
3447,1,7
3453,2,6
3458,1,5
3463,1,5
3468,1,5
3474,1,6
3479,1,5
3484,1,5
3490,1,6
3495,1,5
3500,1,5
3506,1,6
3511,1,5
3516,1,5
3522,1,6
3527,1,5
3533,2,6
3538,1,5
3543,1,5
3549,2,6
3554,1,5
3559,1,5
3564,1,5
3570,1,6
3575,1,5
3581,2,6
3586,1,5
3591,1,5
3597,2,6
3602,1,5
3607,1,5
3613,2,6
3618,1,5
3623,1,5
3628,1,5
3634,1,6
3639,1,5
3644,1,5
3650,1,6
3655,1,5
3660,1,5
3666,1,6
3671,1,5
3676,1,5
3682,1,6
3687,1,5
3692,1,5
3698,1,6
3703,1,5
3708,1,5
3714,1,6
3719,1,5
3724,1,5
3730,1,6
3735,1,5
3741,2,6
3746,1,5
3751,1,5
3756,1,5
3762,1,6
3767,1,5
3773,2,6
3781,4,8
3785,2,4
3790,1,5
3796,2,6
3801,2,5
3806,1,5
3812,2,6
3817,2,5
3822,1,5
3828,2,6
3833,1,5
3839,2,6
3844,2,5
3849,1,5
3854,1,5
3860,2,6
3865,1,5
3871,2,6
3876,1,5
3881,1,5
3886,1,5
3892,1,6
3897,1,5
3903,2,6
3908,1,5
3914,2,6
3919,1,5
3924,1,5
3930,2,6
3935,1,5
3940,1,5
3946,1,6
3951,1,5
3957,1,6
3962,1,5
3968,2,6
