time (ms),latency (ms),consume (ms)
0,37,0
1,28,1
1,22,0
1,17,0
2,12,1
44,49,42
46,44,2
46,39,0
46,33,0
46,27,0
49,25,3
49,20,0
49,14,0
49,8,0
52,5,3
58,3,6
63,3,5
70,4,7
73,2,3
79,2,6
88,6,9
92,3,4
98,3,6
103,2,5
108,2,5
113,2,5
119,1,6
125,2,6
130,2,5
135,2,5
141,2,6
146,2,5
151,2,5
156,2,5
161,2,5
191,21,30
192,17,1
193,13,1
194,8,1
195,3,1
200,3,5
208,5,8
213,2,5
221,5,8
226,2,5
231,2,5
237,2,6
242,2,5
247,2,5
253,2,6
258,2,5
264,2,6
269,2,5
275,3,6
280,2,5
286,2,6
291,2,5
296,2,5
303,2,7
308,2,5
313,2,5
320,2,7
327,4,7
332,4,5
337,3,5
344,3,7
349,2,5
355,1,6
361,2,6
366,2,5
371,2,5
377,2,6
382,2,5
387,2,5
392,2,5
398,2,6
405,3,7
410,2,5
415,2,5
421,2,6
426,2,5
433,3,7
437,2,4
443,1,6
449,2,6
454,2,5
461,2,7
466,2,5
471,2,5
479,4,8
484,2,5
490,3,6
496,1,6
502,2,6
507,2,5
512,2,5
520,3,8
525,3,5
530,2,5
535,2,5
541,1,6
547,2,6
552,2,5
557,2,5
563,1,6
569,2,6
574,2,5
580,2,6
586,2,6
591,2,5
596,2,5
602,1,6
608,2,6
613,2,5
633,17,20
634,11,1
636,8,2
636,2,0
641,2,5
646,1,5
652,2,6
658,2,6
663,2,5
668,2,5
676,4,8
682,3,6
686,2,4
693,4,7
700,5,7
710,7,10
716,5,6
725,7,9
729,2,4
734,1,5
739,1,5
745,2,6
750,2,5
755,2,5
761,1,6
766,1,5
772,2,6
777,2,5
782,2,5
788,1,6
794,2,6
799,2,5
804,2,5
810,2,6
816,1,6
822,2,6
827,2,5
834,3,7
840,2,6
845,2,5
851,3,6
856,2,5
862,2,6
867,1,5
873,2,6
878,2,5
883,2,5
888,2,5
893,2,5
898,2,5
904,1,6
909,1,5
915,2,6
920,2,5
925,2,5
931,2,6
937,1,6
943,2,6
948,2,5
953,2,5
958,2,5
965,2,7
970,2,5
975,2,5
980,2,5
985,2,5
991,1,6
996,1,5
1002,2,6
1007,2,5
1012,2,5
1017,2,5
1024,2,7
1029,2,5
1034,2,5
1039,2,5
1046,2,7
1051,2,5
1057,1,6
1063,1,6
1069,2,6
1074,2,5
1081,4,7
1085,2,4
1090,2,5
1096,2,6
1102,2,6
1107,2,5
1112,2,5
1117,2,5
1123,2,6
1129,1,6
1135,2,6
1140,2,5
1145,2,5
1150,2,5
1156,1,6
1162,2,6
1167,2,5
1172,2,5
1178,1,6
1184,2,6
1189,2,5
1194,2,5
1199,2,5
1205,1,6
1211,2,6
1216,2,5
1221,2,5
1226,2,5
1232,1,6
1238,2,6
1243,2,5
1248,2,5
1254,1,6
1260,2,6
1265,2,5
1270,2,5
1275,2,5
1281,1,6
1287,2,6
1292,2,5
1297,2,5
1303,1,6
1309,2,6
1314,2,5
1319,2,5
1325,2,6
1330,2,5
1335,2,5
1340,2,5
1346,1,6
1352,2,6
1357,2,5
1362,2,5
1369,2,7
1374,2,5
1379,2,5
1387,5,8
1390,2,3
1395,2,5
1400,2,5
1406,2,6
1411,2,5
1416,2,5
1421,2,5
1427,1,6
1433,2,6
1438,2,5
1443,2,5
1448,2,5
1454,1,6
1459,1,5
1465,2,6
1470,2,5
1475,2,5
1481,1,6
1487,2,6
1492,2,5
1497,2,5
1502,2,5
1508,2,6
1514,1,6
1520,2,6
1525,2,5
1530,2,5
1535,2,5
1541,1,6
1547,2,6
1552,2,5
1557,2,5
1563,1,6
1569,2,6
1574,2,5
1579,2,5
1584,2,5
1590,2,6
1595,2,5
1600,2,5
1606,1,6
1612,2,6
1617,2,5
1622,2,5
1627,2,5
1633,1,6
1638,1,5
1644,2,6
1649,2,5
1654,2,5
1659,2,5
1665,2,6
1670,2,5
1685,11,15
1687,8,2
1687,2,0
1691,1,4
1697,2,6
1703,2,6
1708,2,5
1713,2,5
1719,2,6
1724,2,5
1730,2,6
1736,2,6
1741,2,5
1746,2,5
1751,2,5
1756,2,5
1761,2,5
1767,1,6
1773,2,6
1778,2,5
1783,2,5
1789,2,6
1795,2,6
1800,2,5
1805,2,5
1810,2,5
1816,1,6
1822,2,6
1827,2,5
1832,2,5
1837,2,5
1843,1,6
1849,2,6
1854,2,5
1859,2,5
1865,1,6
1871,2,6
1876,2,5
1881,2,5
1886,2,5
1892,1,6
1898,2,6
1903,2,5
1908,2,5
1914,2,6
1920,2,6
1925,2,5
1931,3,6
1936,2,5
1941,2,5
1946,2,5
1952,1,6
1958,2,6
1963,2,5
1968,2,5
1974,2,6
1979,1,5
1985,2,6
1990,2,5
1995,2,5
2001,1,6
2007,2,6
2012,2,5
2017,2,5
2022,2,5
2029,2,7
2034,2,5
2039,2,5
2045,2,6
2051,1,6
2057,2,6
2062,2,5
2067,1,5
2073,2,6
2078,2,5
2083,2,5
2088,2,5
2094,1,6
2100,2,6
2106,3,6
2111,3,5
2116,2,5
2123,4,7
2127,3,4
2132,2,5
2139,4,7
2144,3,5
2173,26,29
2173,6,0
2175,1,2
2181,2,6
2187,2,6
2192,2,5
2197,2,5
2202,1,5
2208,2,6
2214,2,6
2220,2,6
2225,2,5
2230,2,5
2235,2,5
2240,2,5
2245,2,5
2251,1,6
2257,2,6
2262,2,5
2267,2,5
2272,2,5
2278,1,6
2284,2,6
2289,2,5
2294,2,5
2299,2,5
2305,2,6
2310,2,5
2315,2,5
2320,2,5
2326,2,6
2331,2,5
2336,2,5
2342,2,6
2347,1,5
2353,2,6
2358,2,5
2363,2,5
2368,2,5
2374,1,6
