time (ms),latency (ms),consume (ms)
0,6,0
3,2,3
5,1,2
7,1,2
9,1,2
11,1,2
13,0,2
16,1,3
19,2,3
21,1,2
24,1,3
26,1,2
29,1,3
36,5,7
38,1,2
40,1,2
43,1,3
46,1,3
50,3,4
54,2,4
58,2,4
60,1,2
62,0,2
65,1,3
68,1,3
71,1,3
73,0,2
76,1,3
79,1,3
82,1,3
84,1,2
87,1,3
90,1,3
93,1,3
94,0,1
97,1,3
98,0,1
101,1,3
103,1,2
105,0,2
108,1,3
110,1,2
112,1,2
113,0,1
115,0,2
118,1,3
120,0,2
125,3,5
127,1,2
129,1,2
131,1,2
133,1,2
135,0,2
137,1,2
140,1,3
141,0,1
144,1,3
146,1,2
148,1,2
150,1,2
153,1,3
156,1,3
158,1,2
160,0,2
163,1,3
165,1,2
167,0,2
169,0,2
171,0,2
173,0,2
175,0,2
178,1,3
180,1,2
182,1,2
184,1,2
186,1,2
187,0,1
189,0,2
191,0,2
194,1,3
196,1,2
199,2,3
201,1,2
203,1,2
205,1,2
207,1,2
208,0,1
210,0,2
212,0,2
215,1,3
217,1,2
219,1,2
221,1,2
222,0,1
224,0,2
227,1,3
229,1,2
231,1,2
233,1,2
235,0,2
237,0,2
239,0,2
241,1,2
243,1,2
245,1,2
247,1,2
249,1,2
251,1,2
253,1,2
255,1,2
257,1,2
261,3,4
263,1,2
265,1,2
267,0,2
270,0,3
273,1,3
275,1,2
277,1,2
278,0,1
280,0,2
282,0,2
284,0,2
286,0,2
288,0,2
290,0,2
292,1,2
296,3,4
298,0,2
300,0,2
302,1,2
304,1,2
306,1,2
308,0,2
310,1,2
312,1,2
314,1,2
316,1,2
317,0,1
319,0,2
321,0,2
323,0,2
325,1,2
328,2,3
330,1,2
332,1,2
334,1,2
336,0,2
338,0,2
340,1,2
342,1,2
344,1,2
346,1,2
348,1,2
350,1,2
352,1,2
353,0,1
355,0,2
357,0,2
359,0,2
361,1,2
363,1,2
365,1,2
367,1,2
368,0,1
370,0,2
372,0,2
374,1,2
376,1,2
378,1,2
380,1,2
382,1,2
383,0,1
385,0,2
387,0,2
389,0,2
391,1,2
393,1,2
395,1,2
397,1,2
398,0,1
401,1,3
403,1,2
405,1,2
407,1,2
409,1,2
412,2,3
414,1,2
416,1,2
417,0,1
419,0,2
422,1,3
423,0,1
426,1,3
428,1,2
430,1,2
432,1,2
434,1,2
436,1,2
437,0,1
439,0,2
441,0,2
443,0,2
445,0,2
447,0,2
449,0,2
451,0,2
453,0,2
455,1,2
457,1,2
459,1,2
461,0,2
463,0,2
465,1,2
467,1,2
469,1,2
471,0,2
482,9,11
483,5,1
483,3,0
484,3,1
485,2,1
489,3,4
491,1,2
492,0,1
494,1,2
496,1,2
497,0,1
499,0,2
501,1,2
502,0,1
504,1,2
506,1,2
507,0,1
509,1,2
512,2,3
514,1,2
516,1,2
517,0,1
519,1,2
521,1,2
523,1,2
525,2,2
528,2,3
529,1,1
531,1,2
532,1,1
535,2,3
535,0,0
538,2,3
541,3,3
541,2,0
542,1,1
543,0,1
547,3,4
547,1,0
548,0,1
550,1,2
551,0,1
553,1,2
555,1,2
556,0,1
558,1,2
560,1,2
562,1,2
564,1,2
566,0,2
569,1,3
571,1,2
573,1,2
575,0,2
578,1,3
580,1,2
582,1,2
584,1,2
586,1,2
588,1,2
590,1,2
591,0,1
593,0,2
595,0,2
598,1,3
600,1,2
602,1,2
604,1,2
606,0,2
609,1,3
611,0,2
613,0,2
615,1,2
617,1,2
618,0,1
620,0,2
623,1,3
624,0,1
626,0,2
628,0,2
