time (ms),latency (ms),consume (ms)
0,20,0
2,18,2
3,19,1
3,18,0
4,19,1
4,18,0
5,19,1
7,20,2
13,26,6
13,25,0
14,26,1
14,25,0
14,25,0
14,24,0
15,25,1
15,24,0
15,24,0
17,25,2
17,25,0
17,24,0
17,24,0
17,24,0
18,24,1
18,24,0
18,23,0
18,23,0
19,23,1
19,23,0
19,22,0
19,22,0
20,22,1
20,22,0
20,21,0
20,21,0
21,22,1
21,21,0
21,21,0
21,20,0
22,21,1
22,20,0
22,20,0
22,19,0
23,20,1
23,19,0
23,19,0
23,18,0
24,19,1
24,18,0
24,18,0
24,18,0
24,18,0
25,18,1
25,18,0
25,18,0
25,18,0
25,17,0
26,18,1
26,18,0
26,17,0
26,17,0
27,18,1
27,18,0
27,17,0
27,17,0
28,18,1
28,17,0
28,17,0
28,17,0
29,18,1
29,18,0
29,17,0
30,18,1
30,18,0
30,17,0
30,17,0
30,17,0
31,18,1
31,17,0
31,17,0
31,17,0
31,16,0
32,17,1
32,17,0
32,16,0
32,16,0
32,16,0
33,17,1
33,16,0
33,16,0
33,16,0
33,16,0
34,13,1
34,13,0
34,13,0
34,13,0
34,12,0
34,12,0
35,13,1
35,13,0
35,12,0
35,12,0
35,11,0
36,12,1
36,12,0
36,12,0
36,11,0
36,11,0
37,12,1
37,11,0
37,11,0
37,11,0
37,11,0
38,12,1
38,11,0
38,11,0
39,12,1
39,11,0
39,11,0
39,11,0
39,11,0
40,11,1
40,11,0
41,12,1
41,11,0
41,11,0
41,11,0
42,12,1
42,11,0
42,11,0
42,11,0
42,10,0
43,11,1
43,11,0
43,10,0
43,10,0
43,10,0
43,10,0
44,10,1
44,10,0
44,10,0
44,10,0
45,10,1
45,10,0
45,10,0
45,10,0
45,9,0
46,10,1
46,10,0
46,10,0
46,9,0
46,9,0
47,10,1
47,10,0
47,9,0
47,9,0
47,9,0
48,10,1
48,9,0
48,9,0
48,9,0
48,8,0
48,8,0
49,9,1
49,9,0
49,8,0
49,8,0
49,7,0
50,8,1
50,7,0
50,6,0
50,6,0
50,5,0
50,5,0
51,5,1
51,5,0
51,4,0
52,4,1
52,3,0
53,4,1
53,3,0
53,2,0
53,1,0
55,3,2
55,1,0
57,2,2
57,1,0
59,2,2
59,1,0
60,1,1
61,2,1
62,2,1
63,2,1
63,1,0
64,1,1
65,2,1
66,1,1
66,1,0
67,1,1
68,2,1
69,2,1
70,2,1
70,2,0
71,2,1
71,2,0
71,2,0
72,2,1
72,2,0
73,3,1
73,2,0
73,1,0
75,3,2
76,3,1
76,2,0
77,3,1
77,3,0
77,2,0
78,3,1
78,3,0
83,7,5
83,7,0
83,7,0
83,6,0
