time (ms),latency (ms),consume (ms)
0,11,0
7,5,7
15,2,8
27,3,12
36,2,9
47,2,11
57,1,10
68,2,11
79,2,11
89,1,10
100,2,11
111,2,11
121,2,10
132,2,11
142,1,10
153,2,11
163,1,10
174,2,11
185,2,11
195,1,10
206,2,11
216,1,10
227,2,11
237,1,10
248,2,11
259,1,11
270,2,11
281,2,11
293,2,12
305,2,12
315,2,10
327,2,12
337,1,10
348,2,11
358,1,10
369,1,11
380,2,11
391,2,11
401,1,10
413,2,12
424,2,11
435,2,11
446,2,11
456,1,10
467,2,11
478,2,11
488,1,10
499,2,11
510,2,11
520,1,10
531,2,11
541,1,10
552,2,11
562,1,10
573,2,11
584,2,11
594,2,10
605,1,11
616,1,11
628,2,12
639,2,11
650,2,11
661,2,11
672,1,11
684,2,12
695,2,11
707,2,12
717,1,10
728,2,11
738,1,10
749,2,11
759,1,10
770,2,11
780,1,10
792,2,12
802,1,10
813,2,11
823,1,10
834,2,11
844,1,10
855,1,11
866,2,11
876,1,10
887,2,11
898,2,11
908,1,10
919,2,11
929,1,10
940,1,11
951,1,11
961,1,10
972,1,11
983,2,11
993,1,10
1005,2,12
1015,1,10
1026,1,11
1037,2,11
1047,1,10
1058,1,11
1069,2,11
1079,1,10
1090,2,11
1101,2,11
1111,2,10
1121,1,10
1132,2,11
1142,1,10
1153,2,11
1163,1,10
1174,2,11
1185,2,11
1195,1,10
1207,2,12
1217,1,10
1228,1,11
1239,1,11
1249,1,10
1260,1,11
1271,2,11
1282,2,11
1292,1,10
1303,2,11
1314,2,11
1325,2,11
1335,1,10
1346,1,11
1357,2,11
1368,2,11
1378,1,10
1389,2,11
1399,1,10
1410,1,11
1421,2,11
1431,1,10
1441,1,10
1452,1,11
1462,1,10
1473,1,11
1483,1,10
1494,1,11
1504,1,10
1515,1,11
1526,2,11
1536,2,10
1547,1,11
1558,2,11
1569,2,11
1579,1,10
1590,2,11
1600,1,10
1611,2,11
1622,1,11
1633,1,11
1645,2,12
1656,1,11
1668,2,12
1679,2,11
1689,1,10
1700,2,11
1710,1,10
1721,1,11
1731,1,10
1742,1,11
1752,1,10
1763,1,11
1773,1,10
1784,1,11
1794,1,10
1805,1,11
1815,1,10
1826,2,11
1836,1,10
1847,2,11
1857,1,10
1868,2,11
1878,1,10
1889,1,11
1900,2,11
1910,1,10
1921,2,11
1932,2,11
1942,1,10
1953,2,11
1963,1,10
1974,1,11
1985,2,11
1995,1,10
2006,1,11
2017,2,11
2028,2,11
2038,1,10
2049,2,11
2060,2,11
2070,1,10
2081,2,11
2092,2,11
2102,1,10
2113,2,11
2123,1,10
2134,1,11
2145,2,11
2155,1,10
2166,1,11
2176,1,10
2187,1,11
2198,2,11
2209,2,11
2219,1,10
2230,2,11
2240,1,10
2251,1,11
2261,1,10
2272,1,11
2282,1,10
2293,1,11
2304,2,11
2326,13,22
2326,3,0
2335,1,9
2346,1,11
2357,2,11
2367,1,10
2378,1,11
2389,1,11
2399,1,10
2410,2,11
2420,1,10
2431,2,11
2441,1,10
2452,2,11
2462,1,10
2473,2,11
2483,1,10
2494,1,11
2505,2,11
2515,1,10
2526,2,11
2536,1,10
2547,1,11
2558,2,11
2568,1,10
2579,1,11
2590,2,11
2600,1,10
2611,1,11
2622,2,11
2632,1,10
2643,1,11
2654,2,11
2664,1,10
2675,1,11
2686,2,11
2697,2,11
2708,1,11
2720,2,12
2730,1,10
2741,2,11
2751,1,10
2762,2,11
2772,1,10
2783,1,11
2794,2,11
2804,1,10
2815,2,11
2826,2,11
2836,1,10
2847,2,11
2857,1,10
2868,2,11
2879,2,11
2889,1,10
2900,2,11
2910,1,10
2921,2,11
2932,2,11
2942,1,10
2953,2,11
2963,1,10
2973,1,10
2984,2,11
2994,1,10
3005,2,11
3015,1,10
3025,1,10
3036,1,11
3046,1,10
3057,1,11
3067,1,10
3078,2,11
3088,1,10
3099,2,11
3109,1,10
3120,2,11
3130,1,10
3140,1,10
3151,1,11
3161,1,10
3172,2,11
3182,1,10
3192,1,10
3203,1,11
3213,1,10
3224,2,11
3234,1,10
3245,2,11
3255,1,10
3265,1,10
3276,1,11
3286,1,10
3297,2,11
3307,1,10
3318,2,11
3328,1,10
3339,2,11
3352,4,13
3361,3,9
3370,2,9
3380,1,10
3392,1,12
3403,1,11
3413,1,10
3424,1,11
3434,1,10
3445,1,11
3456,2,11
3466,1,10
3477,2,11
3487,1,10
3498,2,11
3508,1,10
3519,1,11
3529,1,10
3540,1,11
3551,1,11
3563,2,12
3573,1,10
3583,1,10
3594,2,11
3604,1,10
3615,2,11
3625,1,10
3635,1,10
3646,2,11
3656,1,10
3667,2,11
3677,1,10
3687,1,10
3698,2,11
3708,1,10
3719,2,11
3729,1,10
3739,1,10
3750,1,11
3760,1,10
3771,1,11
3781,1,10
3792,2,11
3802,1,10
3812,1,10
3823,1,11
3833,1,10
3844,2,11
3854,1,10
3864,1,10
3875,1,11
3885,1,10
3896,2,11
3906,1,10
3916,1,10
3928,2,12
3938,1,10
3949,2,11
3959,1,10
3970,2,11
3980,1,10
3991,2,11
4007,7,16
4013,2,6
4024,2,11
4034,1,10
4045,2,11
4055,1,10
4080,3,25
4092,4,12
4102,1,10
4112,1,10
4123,2,11
4133,1,10
4144,2,11
4154,1,10
4165,2,11
4175,1,10
4186,2,11
4197,2,11
4207,1,10
4217,1,10
4228,1,11
4238,1,10
4249,2,11
4259,1,10
4270,2,11
4280,1,10
4290,1,10
4300,1,10
4311,1,11
4321,1,10
4332,2,11
4342,1,10
4352,1,10
4363,1,11
4373,1,10
4384,2,11
4394,1,10
4404,1,10
4415,1,11
4425,1,10
4436,1,11
4448,2,12
4458,1,10
4468,1,10
4479,2,11
4489,1,10
4499,1,10
4510,1,11
4520,1,10
4531,2,11
4541,1,10
4551,1,10
4562,2,11
4572,1,10
4582,1,10
4593,1,11
4603,1,10
4613,1,10
4624,1,11
4634,1,10
4645,1,11
4655,1,10
4666,1,11
4677,2,11
4687,1,10
4697,1,10
4708,2,11
4718,1,10
4729,2,11
4739,1,10
4750,2,11
4760,2,10
4770,1,10
