time (ms),latency (ms),consume (ms)
0,11,0
10,16,10
12,11,2
15,10,3
17,10,2
23,15,6
25,11,2
29,13,4
31,13,2
42,23,11
44,17,2
46,10,2
51,14,5
57,19,6
61,14,4
63,12,2
65,12,2
73,18,8
75,16,2
76,13,1
78,13,2
88,20,10
89,11,1
91,9,2
92,8,1
100,14,8
101,8,1
102,7,1
104,8,2
113,16,9
115,10,2
116,10,1
117,9,1
126,15,9
127,9,1
129,9,2
131,10,2
139,16,8
141,10,2
142,8,1
144,9,2
156,19,12
158,13,2
161,13,3
164,14,3
186,34,22
188,29,2
212,31,24
218,36,6
220,37,2
222,31,2
224,28,2
228,31,4
230,31,2
231,30,1
235,33,4
237,33,2
239,33,2
244,37,5
260,51,16
263,52,3
267,54,4
269,54,2
271,54,2
275,56,4
277,55,2
279,53,2
282,53,3
286,55,4
288,55,2
290,54,2
291,53,1
297,57,6
298,57,1
300,57,2
303,58,3
305,59,2
307,59,2
313,63,6
315,63,2
316,63,1
318,60,2
319,59,1
322,61,3
324,61,2
325,61,1
327,61,2
329,61,2
331,61,2
334,62,3
337,63,3
339,63,2
346,68,7
348,68,2
350,67,2
352,67,2
353,61,1
355,61,2
359,63,4
360,62,1
362,62,2
364,63,2
366,62,2
368,62,2
369,62,1
372,64,3
373,62,1
375,63,2
377,63,2
378,50,1
382,49,4
384,50,2
386,48,2
387,47,1
392,50,5
394,50,2
396,51,2
397,50,1
402,52,5
404,53,2
406,52,2
409,53,3
434,76,25
444,75,10
450,80,6
453,74,3
457,76,4
477,94,20
480,90,3
482,91,2
485,77,3
495,79,10
503,81,8
505,82,2
509,84,4
511,85,2
513,85,2
515,86,2
516,85,1
520,87,4
521,87,1
523,88,2
526,90,3
528,90,2
530,90,2
531,89,1
535,92,4
536,91,1
538,92,2
539,92,1
543,94,4
545,94,2
546,94,1
550,97,4
551,96,1
553,97,2
554,96,1
558,99,4
560,100,2
561,98,1
566,102,5
568,102,2
571,103,3
573,104,2
575,104,2
578,106,3
580,107,2
581,106,1
583,107,2
585,107,2
588,108,3
590,108,2
593,110,3
595,110,2
596,109,1
598,110,2
601,111,3
606,115,5
609,116,3
611,116,2
614,117,3
616,117,2
618,118,2
620,118,2
621,117,1
625,119,4
627,119,2
628,119,1
629,119,1
633,121,4
634,116,1
636,117,2
639,117,3
641,117,2
643,117,2
644,117,1
647,118,3
661,129,14
663,129,2
664,128,1
668,131,4
669,129,1
671,129,2
674,130,3
675,129,1
677,130,2
680,131,3
681,130,1
683,131,2
686,131,3
687,130,1
689,130,2
692,131,3
694,132,2
695,131,1
698,132,3
699,131,1
701,132,2
704,132,3
705,131,1
706,131,1
710,134,4
711,132,1
713,131,2
715,131,2
716,130,1
718,131,2
719,130,1
722,132,3
723,132,1
725,131,2
726,130,1
727,130,1
730,131,3
732,130,2
733,130,1
734,129,1
737,130,3
739,130,2
740,130,1
741,129,1
744,131,3
746,131,2
747,130,1
748,130,1
751,129,3
752,128,1
753,127,1
755,127,2
758,128,3
760,128,2
761,128,1
762,126,1
765,128,3
767,127,2
769,128,2
772,130,3
774,130,2
775,129,1
777,129,2
778,126,1
781,128,3
782,127,1
784,128,2
785,128,1
789,130,4
790,129,1
793,131,3
795,131,2
796,131,1
798,131,2
800,132,2
802,132,2
803,132,1
805,132,2
806,132,1
823,147,17
824,146,1
827,148,3
829,148,2
830,148,1
833,149,3
834,149,1
838,151,4
839,151,1
841,151,2
844,153,3
845,153,1
847,154,2
850,154,3
851,154,1
852,153,1
854,154,2
857,155,3
859,156,2
861,156,2
863,156,2
864,156,1
865,156,1
868,158,3
869,157,1
870,156,1
872,156,2
873,156,1
875,156,2
876,156,1
877,154,1
879,155,2
880,153,1
882,154,2
883,153,1
885,154,2
887,154,2
888,153,1
889,153,1
891,153,2
892,153,1
893,151,1
895,152,2
896,151,1
898,152,2
899,150,1
902,152,3
906,154,4
907,153,1
908,152,1
909,152,1
910,151,1
911,151,1
912,149,1
914,150,2
916,150,2
917,149,1
919,149,2
920,149,1
921,146,1
922,144,1
925,146,3
927,147,2
928,146,1
933,148,5
934,147,1
935,147,1
936,146,1
937,146,1
941,149,4
942,148,1
944,149,2
947,150,3
949,151,2
950,149,1
953,150,3
955,151,2
956,150,1
977,169,21
979,170,2
980,168,1
985,172,5
987,172,2
991,175,4
993,176,2
997,178,4
998,178,1
999,177,1
1004,180,5
1005,180,1
1007,180,2
1010,182,3
1011,182,1
1013,182,2
1014,182,1
1017,183,3
1019,184,2
1021,185,2
1022,185,1
1024,185,2
1026,186,2
1028,186,2
1029,186,1
1030,185,1
1031,185,1
1036,188,5
1037,188,1
1039,188,2
1043,190,4
1053,199,10
1058,202,5
1060,203,2
1065,207,5
1067,207,2
1071,209,4
1073,210,2
1074,207,1
1088,216,14
1094,179,6
1096,178,2
1099,178,3
1100,177,1
1102,177,2
1106,180,4
1108,180,2
1109,180,1
1112,181,3
1113,181,1
1115,181,2
1119,183,4
1121,183,2
1122,182,1
1123,182,1
1124,181,1
1128,184,4
1129,183,1
1131,183,2
1131,181,0
1136,185,5
1137,185,1
1139,185,2
1140,184,1
1141,181,1
1142,181,1
1143,180,1
1144,180,1
1144,179,0
1145,178,1
1146,178,1
1148,178,2
1148,177,0
1149,177,1
1150,177,1
1150,176,0
1157,180,7
1160,182,3
1161,182,1
1162,181,1
1162,179,0
1163,178,1
1164,178,1
1165,177,1
1166,176,1
1167,176,1
1167,175,0
1169,176,2
1170,176,1
1171,175,1
1171,174,0
1172,173,1
1172,172,0
1173,171,1
1174,171,1
1175,171,1
1176,170,1
1177,169,1
1177,167,0
1178,167,1
1179,167,1
1181,166,2
1181,164,0
1182,163,1
1182,162,0
1183,162,1
1184,161,1
1184,158,0
1185,158,1
1187,157,2
1187,155,0
1188,154,1
1189,154,1
1189,153,0
1190,152,1
1191,151,1
1192,151,1
1193,150,1
1194,150,1
1194,149,0
1195,149,1
1196,147,1
1196,146,0
1197,145,1
1198,145,1
1199,143,1
1200,142,1
1201,141,1
1201,140,0
1203,140,2
1204,140,1
1205,139,1
1205,138,0
1206,138,1
1207,137,1
1208,136,1
1209,136,1
1210,135,1
1210,133,0
1211,133,1
1211,130,0
1213,131,2
1214,131,1
1215,130,1
1215,129,0
1216,128,1
1217,128,1
1217,126,0
1218,126,1
1219,126,1
1220,125,1
1221,125,1
1221,123,0
1222,122,1
1232,131,10
1233,130,1
1234,129,1
1235,129,1
1236,129,1
1237,129,1
1238,128,1
1238,126,0
1239,125,1
1240,125,1
1240,124,0
1241,123,1
1241,121,0
1243,121,2
1244,120,1
1245,120,1
1245,118,0
1246,118,1
1246,116,0
1248,116,2
1249,116,1
1250,115,1
1250,113,0
1251,111,1
1251,110,0
1252,110,1
1253,110,1
1255,110,2
1255,109,0
1256,109,1
1257,109,1
1257,108,0
1258,108,1
1260,109,2
1260,107,0
1261,106,1
1262,106,1
1262,104,0
1263,104,1
1264,104,1
1264,103,0
1265,102,1
1266,102,1
1267,102,1
1268,102,1
1269,102,1
1269,101,0
1270,101,1
1270,100,0
1272,100,2
1273,100,1
1274,100,1
1274,99,0
1275,99,1
1276,98,1
1278,99,2
1278,98,0
1279,97,1
1279,96,0
1280,96,1
1281,96,1
1283,97,2
1283,95,0
1284,95,1
1284,94,0
1285,93,1
1286,92,1
1286,91,0
1287,90,1
1288,90,1
1289,90,1
1290,90,1
1290,89,0
1291,89,1
1292,89,1
1294,90,2
1295,90,1
1295,89,0
1303,96,8
1303,95,0
1304,95,1
1305,94,1
1306,94,1
1306,93,0
1307,93,1
1308,92,1
1308,91,0
1309,91,1
1311,92,2
1311,91,0
1312,90,1
1312,89,0
1313,89,1
1314,89,1
1314,88,0
1315,88,1
1316,88,1
1317,86,1
1318,86,1
1319,86,1
1320,86,1
1320,84,0
1321,83,1
1321,82,0
1322,81,1
1323,81,1
1324,81,1
1325,81,1
1326,80,1
1326,79,0
1327,79,1
1328,79,1
1330,79,2
1330,78,0
1331,78,1
1331,77,0
1332,76,1
1333,76,1
1333,75,0
1334,74,1
1336,74,2
1336,73,0
1337,72,1
1338,72,1
1340,73,2
1340,72,0
1341,71,1
1342,71,1
1342,70,0
1343,70,1
1345,71,2
1345,70,0
1346,70,1
1347,70,1
1347,68,0
1348,68,1
1350,69,2
1350,68,0
1351,68,1
1352,67,1
1352,66,0
1353,66,1
1354,66,1
1354,65,0
1355,64,1
1356,64,1
1357,64,1
1358,64,1
1359,64,1
1359,63,0
1360,62,1
1360,61,0
1363,63,3
1363,62,0
1364,62,1
1364,60,0
1372,67,8
1374,67,2
1375,67,1
1375,66,0
1376,64,1
1377,64,1
1377,63,0
1379,64,2
1380,63,1
1380,61,0
1381,60,1
1382,60,1
1382,59,0
1384,60,2
1384,59,0
1385,58,1
1386,58,1
1387,58,1
1387,56,0
1388,56,1
1389,56,1
1390,56,1
1391,56,1
1392,56,1
1392,55,0
1393,55,1
1393,54,0
1395,55,2
1396,55,1
1397,55,1
1397,54,0
1398,53,1
1398,52,0
1399,52,1
1400,52,1
1400,49,0
1402,50,2
1402,49,0
1403,48,1
1404,48,1
1404,47,0
1405,47,1
1407,47,2
1407,46,0
1408,46,1
1409,46,1
1409,44,0
1410,44,1
1411,44,1
1411,43,0
1413,43,2
1413,42,0
1414,42,1
1415,42,1
1415,41,0
1416,41,1
1418,42,2
1418,40,0
1419,40,1
1420,40,1
1421,40,1
1421,38,0
1423,38,2
1423,37,0
1424,37,1
1424,36,0
1425,36,1
1426,36,1
1426,35,0
1427,34,1
1429,35,2
