time (ms),latency (ms),consume (ms)
0,22,0
2,15,2
13,19,11
14,13,1
31,23,17
32,18,1
42,20,10
43,10,1
59,19,16
62,17,3
74,21,12
75,14,1
85,18,10
86,10,1
97,15,11
98,10,1
107,13,9
108,8,1
129,24,21
130,20,1
142,26,12
143,11,1
154,15,11
154,9,0
165,14,11
166,10,1
177,15,11
178,10,1
191,17,13
192,12,1
214,28,22
215,22,1
215,16,0
217,12,2
224,13,7
226,10,2
237,15,11
238,11,1
246,13,8
247,9,1
258,15,11
258,9,0
269,15,11
271,10,2
281,14,10
281,8,0
293,15,12
293,9,0
303,13,10
304,8,1
319,18,15
319,12,0
329,13,10
329,8,0
339,13,10
340,8,1
351,14,11
353,10,2
363,14,10
364,9,1
375,15,11
375,9,0
386,15,11
386,10,0
397,15,11
398,10,1
408,13,10
409,9,1
420,15,11
421,10,1
429,12,8
430,8,1
440,13,10
441,9,1
452,14,11
453,9,1
464,14,11
465,10,1
496,35,31
496,23,0
498,18,2
498,13,0
505,14,7
506,9,1
516,14,10
517,10,1
528,15,11
529,10,1
574,49,45
576,45,2
577,38,1
580,30,3
580,25,0
584,24,4
584,18,0
585,12,1
594,13,9
594,8,0
604,13,10
604,8,0
616,15,12
616,10,0
626,13,10
627,9,1
638,14,11
638,9,0
648,13,10
649,9,1
659,13,10
660,9,1
673,16,13
674,11,1
684,16,10
685,11,1
696,16,11
696,9,0
706,13,10
706,8,0
715,12,9
716,8,1
726,13,10
728,10,2
739,15,11
740,11,1
750,15,10
751,9,1
767,19,16
768,14,1
782,19,14
782,13,0
796,19,14
806,22,10
813,20,7
814,10,1
822,13,8
823,8,1
834,14,11
834,9,0
844,12,10
845,8,1
856,14,11
856,9,0
868,15,12
868,9,0
880,15,12
880,9,0
889,12,9
890,8,1
903,16,13
904,11,1
914,14,10
915,10,1
926,15,11
926,9,0
936,13,10
937,8,1
947,13,10
948,9,1
959,14,11
959,9,0
971,15,12
972,9,1
983,14,11
983,9,0
993,13,10
994,8,1
1005,14,11
1005,8,0
1017,14,12
1018,10,1
1030,16,12
1031,11,1
1043,17,12
1044,11,1
1059,19,15
1059,13,0
1065,14,6
1066,10,1
1076,14,10
1077,9,1
1087,14,10
1087,9,0
1098,14,11
1098,8,0
1108,13,10
1109,8,1
1120,14,11
1120,8,0
1130,13,10
1131,8,1
1142,14,11
1142,8,0
1153,13,11
1154,9,1
1164,13,10
1165,9,1
1175,13,10
1176,9,1
1188,15,12
1189,9,1
1200,15,11
1201,10,1
1210,13,9
1210,8,0
1221,14,11
1221,8,0
1233,14,12
1233,9,0
1243,13,10
1244,8,1
1255,14,11
1255,9,0
1265,13,10
1266,8,1
1277,14,11
1278,9,1
1290,16,12
1291,11,1
1299,13,8
1300,8,1
1311,14,11
1311,9,0
1324,16,13
1324,9,0
1334,14,10
1335,9,1
1345,14,10
1346,9,1
1356,13,10
1356,8,0
1367,14,11
1367,9,0
1378,14,11
1378,9,0
1390,15,12
1390,8,0
1401,14,11
1401,8,0
1412,13,11
1412,8,0
1422,12,10
1423,8,1
1433,13,10
1434,9,1
1446,15,12
1446,8,0
1457,14,11
1457,8,0
1468,13,11
1469,9,1
1480,14,11
1480,8,0
1490,13,10
1490,7,0
1501,13,11
1502,9,1
1512,13,10
1513,9,1
1525,15,12
1525,8,0
1550,28,25
1551,23,1
1562,29,11
1562,8,0
1573,14,11
1574,9,1
1583,12,9
1584,8,1
1594,13,10
1595,9,1
1611,19,16
1612,14,1
1617,13,5
1618,9,1
1627,12,9
1628,8,1
1639,14,11
1639,9,0
1650,14,11
1650,9,0
1661,14,11
1661,8,0
1672,14,11
1673,9,1
1682,12,9
1682,7,0
1693,13,11
1694,9,1
1705,14,11
1705,9,0
1716,14,11
1716,8,0
1726,12,10
1727,8,1
1738,14,11
1738,8,0
1749,14,11
1749,8,0
1759,12,10
1759,7,0
1770,13,11
1771,9,1
1782,14,11
1782,8,0
