time (ms),latency (ms),consume (ms)
0,12,0
6,4,6
15,2,9
27,3,12
36,2,9
47,2,11
58,2,11
68,1,10
79,2,11
90,2,11
100,1,10
111,2,11
121,1,10
132,1,11
144,2,12
155,2,11
166,1,11
177,2,11
187,1,10
198,2,11
208,1,10
219,2,11
229,1,10
240,1,11
251,2,11
261,1,10
272,2,11
282,1,10
293,2,11
304,2,11
315,2,11
326,2,11
337,2,11
348,2,11
358,1,10
369,2,11
379,1,10
391,2,12
402,2,11
412,1,10
423,2,11
434,2,11
444,1,10
455,1,11
466,2,11
477,2,11
488,2,11
498,2,10
509,2,11
520,2,11
530,1,10
541,2,11
551,1,10
562,2,11
572,1,10
583,2,11
593,1,10
604,2,11
614,1,10
625,2,11
635,1,10
646,1,11
657,2,11
667,1,10
678,2,11
688,1,10
699,2,11
709,1,10
720,2,11
730,1,10
741,2,11
751,1,10
761,1,10
772,1,11
783,2,11
793,1,10
804,2,11
814,2,10
824,1,10
835,2,11
845,1,10
856,2,11
866,1,10
877,1,11
888,2,11
898,1,10
908,1,10
919,1,11
929,1,10
940,2,11
950,1,10
961,2,11
971,1,10
982,1,11
992,1,10
1003,1,11
1014,2,11
1024,1,10
1035,2,11
1045,1,10
1055,1,10
1066,1,11
1077,2,11
1087,1,10
1098,2,11
1108,1,10
1118,1,10
1129,1,11
1139,1,10
1150,1,11
1161,2,11
1171,1,10
1182,2,11
1192,1,10
1203,1,11
1214,2,11
1224,1,10
1234,1,10
1245,1,11
1256,2,11
1266,1,10
1277,2,11
1287,1,10
1298,1,11
1308,1,10
1319,1,11
1330,2,11
1340,1,10
1351,2,11
1361,1,10
1372,2,11
1382,1,10
1392,1,10
1403,1,11
1413,1,10
1424,2,11
1434,1,10
1445,2,11
1455,1,10
1466,2,11
1476,1,10
1487,2,11
1497,1,10
1507,1,10
1518,1,11
1528,1,10
1539,1,11
1550,2,11
1560,1,10
1571,1,11
1582,2,11
1592,1,10
1603,2,11
1613,1,10
1624,1,11
1635,2,11
1645,1,10
1656,2,11
1666,1,10
1677,2,11
1687,1,10
1698,2,11
1708,1,10
1719,2,11
1729,1,10
1739,1,10
1750,2,11
1760,1,10
1771,2,11
1781,1,10
1791,1,10
1802,2,11
1812,1,10
1823,2,11
1833,1,10
1843,1,10
1854,1,11
1864,1,10
1875,2,11
1885,1,10
1895,1,10
1907,2,12
1916,1,9
1927,1,11
1937,1,10
1948,1,11
1958,1,10
1969,1,11
1980,2,11
1990,1,10
2001,2,11
2011,1,10
2022,1,11
2033,2,11
2043,1,10
2054,2,11
2064,1,10
2075,1,11
2085,1,10
2096,1,11
2106,1,10
2117,1,11
2127,1,10
2138,1,11
2148,1,10
2159,2,11
2169,1,10
2179,1,10
2190,1,11
2200,1,10
2211,1,11
2221,1,10
2231,1,10
2242,1,11
2252,1,10
2263,1,11
2273,1,10
2295,12,22
2295,2,0
2305,2,10
2315,1,10
2325,1,10
2336,1,11
2346,1,10
2357,1,11
2367,1,10
2378,1,11
2388,1,10
2399,2,11
2409,1,10
2419,1,10
2430,1,11
2440,1,10
2451,1,11
2461,1,10
2472,2,11
2482,1,10
2492,1,10
2503,1,11
2513,1,10
2524,1,11
2534,1,10
2545,2,11
2555,1,10
2566,2,11
2576,1,10
2586,1,10
2597,1,11
2607,1,10
2618,1,11
2628,1,10
2639,2,11
2650,2,11
2660,1,10
2671,2,11
2683,2,12
2694,1,11
2706,3,12
2715,1,9
2725,1,10
2736,2,11
2746,1,10
2756,1,10
2767,2,11
2777,1,10
2787,1,10
2799,1,12
2810,1,11
2821,1,11
2833,2,12
2843,1,10
2853,1,10
2864,2,11
2874,1,10
2885,2,11
2895,1,10
2906,2,11
2916,1,10
2926,1,10
2937,2,11
2947,1,10
2958,2,11
2968,1,10
2978,1,10
2989,2,11
2999,1,10
3010,2,11
3020,1,10
3030,1,10
3041,2,11
3051,1,10
3062,2,11
3072,1,10
3083,1,11
3093,1,10
3104,1,11
3117,4,13
3125,2,8
3135,1,10
3146,1,11
3156,1,10
3167,1,11
3177,1,10
3188,1,11
3198,1,10
3209,1,11
3219,1,10
3230,1,11
3240,1,10
3251,1,11
3262,2,11
3272,1,10
3282,1,10
3293,1,11
3303,1,10
3314,1,11
3325,2,11
3335,1,10
3346,1,11
3357,1,11
3367,1,10
3378,1,11
3388,1,10
3399,1,11
3409,1,10
3420,2,11
3430,1,10
3440,1,10
3451,1,11
3461,1,10
3472,2,11
3482,1,10
3493,2,11
3503,1,10
3513,1,10
3524,1,11
3534,1,10
3545,2,11
3555,1,10
3566,2,11
3576,1,10
3586,1,10
3597,2,11
3607,1,10
3617,1,10
3628,1,11
3639,1,11
3650,1,11
3660,1,10
3671,1,11
3682,1,11
3693,2,11
3703,1,10
3713,1,10
3724,1,11
3734,1,10
3745,2,11
3755,1,10
3765,1,10
3776,1,11
3786,1,10
3797,2,11
3807,1,10
3818,2,11
3828,1,10
3838,1,10
3849,2,11
3859,1,10
3869,1,10
3880,1,11
3890,1,10
3901,1,11
3911,1,10
3922,2,11
3932,1,10
3942,1,10
3953,1,11
3964,2,11
3976,2,12
3986,1,10
3997,1,11
4007,1,10
4018,2,11
4040,1,22
4051,2,11
4061,1,10
4072,2,11
4082,1,10
4093,2,11
4103,1,10
4113,1,10
4124,1,11
4135,1,11
4146,1,11
4156,1,10
4167,1,11
4177,1,10
4187,1,10
4198,1,11
4208,1,10
4219,2,11
4229,1,10
4239,1,10
4250,1,11
4260,1,10
4270,1,10
4281,1,11
4291,1,10
4301,1,10
4312,1,11
4322,1,10
4332,1,10
4343,1,11
4353,1,10
4363,1,10
4374,1,11
4384,1,10
4394,1,10
4405,1,11
4416,1,11
4426,1,10
4437,2,11
4447,1,10
4457,1,10
4468,1,11
4478,1,10
4489,2,11
4499,1,10
4509,1,10
4519,1,10
4530,1,11
4540,1,10
4551,1,11
4561,1,10
4571,1,10
4582,1,11
4592,1,10
4603,2,11
4613,1,10
4623,1,10
4634,2,11
