time (ms),latency (ms),consume (ms)
0,10,0
3,2,3
9,3,6
17,4,8
21,2,4
27,2,6
32,1,5
39,2,7
45,2,6
51,2,6
57,1,6
63,1,6
69,2,6
74,1,5
80,2,6
85,1,5
91,2,6
97,2,6
102,1,5
108,2,6
113,1,5
120,2,7
126,2,6
132,2,6
139,2,7
144,2,5
150,2,6
155,2,5
161,2,6
166,1,5
172,2,6
177,1,5
183,2,6
192,3,9
196,1,4
202,2,6
208,2,6
213,1,5
219,2,6
225,1,6
231,1,6
237,1,6
243,1,6
249,1,6
255,1,6
262,2,7
268,2,6
274,2,6
280,2,6
286,1,6
292,2,6
297,1,5
303,1,6
309,1,6
315,1,6
322,2,7
329,2,7
335,2,6
340,1,5
346,1,6
352,2,6
358,2,6
363,1,5
369,1,6
375,2,6
380,1,5
386,2,6
391,1,5
397,1,6
403,2,6
408,1,5
414,2,6
419,1,5
424,1,5
430,2,6
435,1,5
441,2,6
446,1,5
452,2,6
457,1,5
463,2,6
469,1,6
475,2,6
481,2,6
486,1,5
492,2,6
497,1,5
502,1,5
508,1,6
513,1,5
519,1,6
525,2,6
530,1,5
536,2,6
541,1,5
547,2,6
552,1,5
558,2,6
563,1,5
569,1,6
575,2,6
581,2,6
587,1,6
593,2,6
598,1,5
604,2,6
609,1,5
615,2,6
620,1,5
626,2,6
631,1,5
637,1,6
643,2,6
649,2,6
654,1,5
660,1,6
666,2,6
671,1,5
677,2,6
682,1,5
688,1,6
694,1,6
700,2,6
706,2,6
711,1,5
717,1,6
723,2,6
728,1,5
734,2,6
739,1,5
745,2,6
750,1,5
755,1,5
761,1,6
766,1,5
772,1,6
778,2,6
783,1,5
789,1,6
794,1,5
800,1,6
806,2,6
812,2,6
818,2,6
823,2,5
828,1,5
835,2,7
840,2,5
846,2,6
851,1,5
856,1,5
862,1,6
868,2,6
873,1,5
879,2,6
884,1,5
890,2,6
895,1,5
901,1,6
906,1,5
912,2,6
917,1,5
923,1,6
928,1,5
934,1,6
939,1,5
945,1,6
950,1,5
956,1,6
961,1,5
967,2,6
972,1,5
978,2,6
983,1,5
988,1,5
994,1,6
1000,2,6
1005,2,5
1010,1,5
1016,2,6
1021,1,5
1027,2,6
1033,1,6
1039,1,6
1045,1,6
1051,1,6
1056,1,5
1062,1,6
1068,2,6
1073,1,5
1079,2,6
1084,1,5
1090,1,6
1096,2,6
1101,1,5
1106,1,5
1112,2,6
1117,1,5
1123,2,6
1128,1,5
1134,2,6
1139,1,5
1145,2,6
1150,1,5
1159,5,9
1161,1,2
1172,7,11
1174,3,2
1177,1,3
1183,1,6
1188,1,5
1197,2,9
1202,1,5
1208,2,6
1213,1,5
1218,1,5
1224,2,6
1240,12,16
1240,7,0
1240,1,0
1246,1,6
1251,1,5
1259,3,8
1265,2,6
1270,1,5
1276,2,6
1281,1,5
1287,2,6
1292,1,5
1297,1,5
1303,2,6
1308,1,5
1314,2,6
1319,1,5
1324,1,5
1330,1,6
1337,3,7
1344,3,7
1349,2,5
1354,1,5
1365,7,11
1372,3,7
1376,2,4
1381,1,5
1387,1,6
1393,2,6
1398,1,5
1404,2,6
1409,1,5
1416,2,7
1421,1,5
1427,2,6
1433,2,6
1439,2,6
1445,2,6
1457,6,12
1461,1,4
1467,2,6
1472,1,5
1478,2,6
1483,1,5
1488,1,5
1494,1,6
1500,2,6
1505,1,5
1511,2,6
1516,1,5
1522,1,6
1527,1,5
1533,1,6
1538,1,5
1544,1,6
1549,1,5
1555,1,6
1561,2,6
1566,1,5
1572,2,6
1577,1,5
1582,1,5
1588,2,6
1593,1,5
1599,2,6
1604,1,5
1610,2,6
1615,1,5
1621,2,6
1626,1,5
1632,2,6
1637,1,5
1643,2,6
1648,1,5
1654,2,6
1660,2,6
1665,1,5
1671,2,6
1676,1,5
1681,1,5
1687,2,6
1692,1,5
1698,2,6
1703,1,5
1709,2,6
1714,1,5
1720,1,6
1725,1,5
1731,2,6
1736,1,5
1742,2,6
1747,1,5
1753,2,6
1758,1,5
1764,2,6
1769,1,5
1774,1,5
1780,2,6
1785,1,5
1791,2,6
1796,1,5
1802,2,6
1807,1,5
1813,1,6
1819,2,6
1824,1,5
1830,2,6
1838,5,8
1840,1,2
1846,2,6
1851,1,5
1856,1,5
1862,1,6
1868,2,6
1873,1,5
1879,2,6
1884,1,5
1890,2,6
1895,1,5
1900,1,5
1906,2,6
1911,1,5
1917,1,6
1923,1,6
1928,1,5
1934,1,6
1939,1,5
1945,2,6
1950,1,5
1956,2,6
1961,1,5
1966,1,5
1972,2,6
1977,1,5
1983,2,6
1988,1,5
1993,1,5
1999,1,6
2005,2,6
2010,1,5
2015,1,5
2020,1,5
2026,1,6
2031,1,5
2037,2,6
2042,1,5
2048,2,6
2053,1,5
2058,1,5
2064,2,6
2070,2,6
2075,2,5
2080,1,5
2086,2,6
2091,1,5
2097,2,6
2102,1,5
2108,2,6
2113,1,5
2118,1,5
2124,2,6
2131,2,7
2136,1,5
2142,1,6
2148,2,6
2153,1,5
2173,3,20
2178,2,5
2185,1,7
2190,1,5
2196,2,6
2201,1,5
2206,1,5
2212,2,6
2217,1,5
2222,1,5
2228,2,6
2233,1,5
2238,1,5
2244,1,6
2249,1,5
2255,2,6
2260,1,5
2265,1,5
2271,2,6
2276,1,5
2281,1,5
2287,1,6
2292,1,5
2297,1,5
2303,1,6
2308,1,5
2314,2,6
2319,1,5
2325,2,6
2330,1,5
2335,1,5
2341,2,6
2346,1,5
2351,1,5
2357,1,6
2362,1,5
2368,2,6
2373,1,5
2378,1,5
2384,2,6
2389,1,5
2395,2,6
2400,1,5
2406,2,6
2411,1,5
2416,1,5
2422,1,6
2427,1,5
2433,2,6
2438,1,5
2443,1,5
2449,1,6
2454,1,5
2460,1,6
2466,2,6
2471,1,5
2477,2,6
2482,1,5
2488,2,6
2497,5,9
2499,2,2
2505,2,6
2510,1,5
2516,2,6
2521,1,5
2527,2,6
2532,2,5
2537,1,5
2543,2,6
2548,1,5
2554,2,6
2559,1,5
2565,1,6
2570,1,5
2576,2,6
2581,1,5
2587,2,6
2592,1,5
2598,2,6
2603,2,5
2608,1,5
2614,2,6
2619,1,5
2625,2,6
2630,1,5
2635,1,5
2641,2,6
2646,1,5
2651,1,5
2657,1,6
2662,1,5
2668,2,6
2674,2,6
2678,1,4
2684,2,6
2689,1,5
2698,5,9
2701,1,3
2706,1,5
2712,2,6
2717,1,5
2723,2,6
2728,1,5
2734,2,6
2740,2,6
2745,2,5
2750,1,5
2756,2,6
2762,2,6
2766,1,4
2771,1,5
2777,1,6
2782,1,5
2788,2,6
2793,1,5
2798,1,5
2804,2,6
2809,1,5
2814,1,5
2820,2,6
2825,1,5
2830,1,5
2836,2,6
2841,1,5
2847,2,6
2852,1,5
2857,1,5
2864,3,7
2869,2,5
2874,2,5
2880,2,6
2885,1,5
2891,2,6
2897,2,6
2903,2,6
2908,1,5
2913,1,5
2919,2,6
2924,1,5
2930,2,6
2935,1,5
2940,1,5
2946,1,6
2952,2,6
2957,1,5
2962,1,5
2967,1,5
2973,1,6
