time (ms),latency (ms),consume (ms)
0,6,0
12,2,12
25,3,13
36,1,11
48,2,12
59,1,11
72,2,13
83,1,11
96,2,13
107,1,11
119,1,12
131,1,12
143,1,12
157,3,14
169,1,12
180,1,11
192,1,12
203,1,11
217,3,14
228,1,11
240,1,12
251,1,11
262,1,11
274,2,12
290,1,16
301,1,11
313,1,12
325,1,12
336,0,11
348,1,12
359,1,11
370,0,11
382,1,12
393,1,11
405,1,12
416,1,11
428,2,12
439,1,11
450,1,11
462,1,12
473,1,11
485,1,12
497,2,12
509,2,12
520,1,11
532,2,12
544,1,12
558,4,14
570,1,12
582,2,12
593,1,11
605,1,12
616,1,11
628,1,12
639,1,11
652,2,13
663,1,11
675,1,12
686,1,11
698,1,12
709,0,11
720,0,11
732,1,12
744,1,12
756,2,12
768,1,12
779,0,11
790,0,11
802,1,12
812,0,10
823,0,11
834,1,11
845,0,11
856,0,11
867,1,11
878,1,11
889,1,11
901,1,12
912,1,11
924,2,12
936,1,12
948,2,12
960,2,12
973,3,13
985,1,12
997,1,12
1009,1,12
1020,1,11
1034,1,14
1045,1,11
1056,0,11
1067,0,11
1078,0,11
1089,0,11
1101,1,12
1113,2,12
1124,1,11
1136,1,12
1147,1,11
1159,1,12
1170,1,11
1181,1,11
1192,1,11
1203,1,11
1214,1,11
1225,0,11
1236,0,11
1247,0,11
1259,1,12
1270,1,11
1281,0,11
1294,3,13
1308,1,14
1319,1,11
1330,1,11
1342,1,12
1354,1,12
1366,1,12
1378,2,12
1390,1,12
1403,2,13
1414,1,11
1426,1,12
1438,1,12
1450,1,12
1462,1,12
1473,1,11
1485,1,12
1496,1,11
1508,2,12
1519,1,11
1530,1,11
1541,1,11
1553,1,12
1564,1,11
1575,1,11
1586,1,11
1597,1,11
1608,1,11
1620,1,12
1632,1,12
1643,1,11
1654,1,11
1667,2,13
1678,1,11
1689,1,11
1701,1,12
1713,1,12
1724,1,11
1736,2,12
1748,2,12
1761,1,13
1772,1,11
1784,1,12
1796,2,12
1807,1,11
1820,1,13
1831,1,11
1845,1,14
1857,1,12
1868,2,11
1878,1,10
1889,2,11
1899,1,10
1909,1,10
1919,1,10
1930,1,11
1940,1,10
1952,2,12
1961,1,9
1972,1,11
1983,1,11
1994,1,11
2006,1,12
2017,1,11
2028,1,11
2040,1,12
2051,1,11
2062,1,11
2072,0,10
2083,0,11
2095,2,12
2106,1,11
2117,1,11
2128,1,11
2139,0,11
2151,2,12
2163,1,12
2175,1,12
2186,1,11
2199,3,13
2219,1,20
2234,1,15
2246,2,12
2257,1,11
2268,1,11
2278,0,10
2289,1,11
2301,1,12
2312,1,11
2323,0,11
2334,0,11
2346,1,12
2357,1,11
2368,1,11
2379,0,11
2391,1,12
2402,1,11
2413,1,11
2424,1,11
2435,1,11
2447,1,12
2458,1,11
2469,1,11
2480,1,11
2491,1,11
2502,1,11
2519,6,17
2530,1,11
2541,1,11
2552,1,11
2563,1,11
2577,4,14
2588,1,11
2599,1,11
2610,1,11
2620,0,10
2631,1,11
2642,1,11
2653,1,11
2664,1,11
2675,1,11
2686,1,11
2697,1,11
2708,1,11
2720,2,12
2731,1,11
2743,2,12
2754,1,11
2766,2,12
2777,1,11
2788,1,11
2800,2,12
2812,2,12
2823,0,11
2835,2,12
2846,1,11
2857,1,11
2870,1,13
2882,2,12
2895,3,13
2906,1,11
2918,2,12
2929,1,11
2940,1,11
2951,0,11
2962,0,11
2973,0,11
2984,1,11
2995,1,11
3006,1,11
3016,0,10
3027,1,11
3038,0,11
3049,1,11
3060,1,11
3071,1,11
3082,1,11
3093,1,11
3104,1,11
3114,0,10
3125,0,11
3136,1,11
3147,1,11
3158,0,11
3169,1,11
3180,1,11
3191,0,11
3202,0,11
3213,0,11
3224,0,11
3235,1,11
3246,1,11
3257,1,11
3268,1,11
3278,0,10
3289,0,11
3300,1,11
3311,1,11
3322,1,11
3332,0,10
3343,1,11
3354,1,11
3365,1,11
3375,0,10
3386,1,11
3399,3,13
3411,1,12
3421,0,10
3432,0,11
3445,3,13
3456,1,11
3466,0,10
3477,0,11
3488,1,11
3499,1,11
3510,1,11
3520,0,10
3531,0,11
3542,1,11
3553,1,11
3563,0,10
3574,0,11
3585,1,11
3596,1,11
3607,1,11
3617,0,10
3628,0,11
3639,1,11
3654,1,15
3665,1,11
3676,1,11
3687,1,11
3698,1,11
3711,3,13
3724,1,13
3735,1,11
3745,0,10
3759,4,14
3771,2,12
3782,1,11
3793,1,11
3804,1,11
3815,1,11
3826,1,11
3837,1,11
3849,1,12
3860,1,11
3871,1,11
3883,1,12
3894,1,11
3906,1,12
3917,1,11
3929,1,12
3940,1,11
3952,2,12
3963,1,11
3974,1,11
3985,1,11
3996,1,11
4007,1,11
4018,0,11
4030,1,12
4041,1,11
4053,1,12
4064,1,11
4075,1,11
4086,1,11
4098,2,12
4109,1,11
4120,1,11
4131,1,11
4142,1,11
4154,2,12
4165,1,11
4176,1,11
4186,0,10
4197,1,11
4208,1,11
4219,1,11
4231,2,12
4241,0,10
4252,1,11
4263,1,11
4274,1,11
4285,1,11
4297,2,12
4309,2,12
4322,3,13
4333,0,11
4347,0,14
4358,0,11
4369,0,11
4397,6,28
4410,1,13
4421,1,11
4432,1,11
4442,0,10
4453,0,11
4464,0,11
4475,0,11
4486,1,11
4497,1,11
4508,1,11
4518,0,10
4529,1,11
4540,1,11
4550,0,10
4561,1,11
4572,1,11
4582,0,10
4593,0,11
4604,1,11
4615,1,11
4625,0,10
4636,0,11
4647,1,11
4658,1,11
4668,0,10
4679,0,11
4690,1,11
4701,1,11
4712,1,11
4722,0,10
4733,0,11
4744,1,11
4755,1,11
4766,1,11
4780,4,14
4787,1,7
4797,0,10
4808,1,11
4818,1,10
4828,0,10
4839,1,11
4850,1,11
4861,1,11
4872,1,11
4883,1,11
4894,1,11
4905,1,11
4917,1,12
4928,1,11
4939,1,11
4950,1,11
4961,1,11
4972,1,11
4983,1,11
4995,1,12
5006,1,11
5017,1,11
5028,1,11
5039,0,11
5051,1,12
5062,1,11
5073,1,11
5084,1,11
5095,1,11
5106,1,11
5117,1,11
5128,1,11
5139,1,11
5152,1,13
5163,1,11
5174,1,11
5185,1,11
5196,1,11
5207,1,11
5218,0,11
5229,0,11
5240,0,11
5251,1,11
5262,0,11
5273,0,11
5284,1,11
5295,1,11
5306,1,11
5318,2,12
5329,1,11
