time (ms),latency (ms),consume (ms)
0,20,0
5,13,5
9,15,4
10,12,1
13,9,3
16,10,3
17,8,1
18,7,1
19,5,1
21,3,2
23,3,2
25,3,2
27,3,2
33,7,6
34,2,1
37,2,3
39,1,2
43,2,4
48,4,5
51,1,3
54,1,3
57,1,3
60,1,3
63,1,3
67,1,4
70,1,3
74,2,4
77,1,3
81,2,4
87,2,6
90,1,3
97,1,7
100,1,3
104,2,4
106,0,2
109,1,3
112,1,3
115,2,3
117,1,2
121,1,4
124,1,3
127,1,3
130,1,3
133,2,3
136,2,3
139,1,3
142,1,3
148,5,6
151,1,3
154,1,3
156,1,2
159,1,3
161,1,2
163,0,2
166,1,3
169,1,3
172,1,3
175,1,3
178,1,3
181,1,3
184,1,3
187,1,3
190,1,3
193,1,3
196,1,3
199,1,3
202,1,3
205,1,3
208,1,3
211,1,3
214,1,3
217,1,3
221,2,4
224,1,3
228,1,4
231,1,3
234,1,3
237,1,3
240,1,3
243,1,3
248,1,5
251,1,3
254,1,3
257,1,3
260,1,3
263,1,3
266,1,3
269,1,3
272,1,3
275,1,3
278,1,3
281,1,3
284,1,3
287,1,3
290,1,3
294,2,4
297,2,3
300,2,3
303,1,3
306,2,3
308,1,2
311,1,3
314,1,3
317,1,3
320,1,3
322,1,2
325,1,3
328,1,3
331,1,3
334,1,3
336,1,2
339,1,3
343,2,4
345,0,2
348,1,3
354,1,6
356,1,2
362,1,6
364,1,2
367,1,3
369,1,2
372,1,3
375,1,3
406,18,31
414,23,8
416,24,2
417,23,1
420,24,3
423,25,3
426,26,3
428,27,2
432,29,4
436,31,4
437,30,1
438,30,1
439,29,1
442,30,3
443,29,1
444,28,1
445,28,1
447,28,2
452,31,5
454,32,2
455,31,1
457,30,2
459,30,2
460,29,1
461,28,1
464,29,3
465,28,1
467,27,2
468,27,1
469,25,1
470,24,1
472,20,2
473,19,1
474,18,1
476,18,2
479,19,3
480,18,1
482,16,2
483,14,1
484,13,1
488,15,4
490,15,2
492,14,2
493,13,1
495,12,2
498,13,3
499,10,1
500,8,1
501,7,1
506,10,5
510,13,4
512,12,2
513,11,1
515,7,2
515,5,0
521,10,6
523,9,2
524,8,1
525,7,1
528,6,3
530,5,2
531,3,1
535,6,4
537,5,2
539,1,2
548,2,9
551,1,3
554,1,3
557,1,3
559,1,2
562,1,3
565,1,3
567,1,2
570,1,3
573,1,3
576,2,3
578,1,2
581,1,3
584,1,3
604,2,20
607,1,3
609,1,2
612,1,3
614,1,2
617,1,3
619,1,2
622,1,3
624,1,2
627,1,3
630,2,3
633,1,3
636,1,3
638,0,2
641,1,3
677,34,36
678,29,1
679,28,1
681,28,2
683,28,2
690,33,7
692,31,2
693,30,1
694,29,1
696,30,2
697,29,1
698,28,1
706,34,8
710,36,4
711,36,1
712,35,1
714,35,2
716,34,2
720,36,4
724,37,4
728,37,4
733,40,5
736,41,3
737,40,1
738,39,1
740,39,2
741,37,1
744,38,3
745,38,1
747,38,2
748,37,1
750,38,2
751,36,1
752,33,1
757,36,5
759,36,2
760,35,1
768,41,8
785,53,17
787,52,2
789,51,2
790,49,1
792,48,2
793,47,1
794,45,1
796,45,2
797,44,1
798,43,1
799,42,1
801,43,2
803,42,2
804,28,1
808,26,4
811,26,3
812,25,1
813,24,1
815,24,2
816,22,1
818,23,2
820,22,2
825,25,5
826,24,1
827,23,1
830,22,3
831,20,1
832,18,1
834,17,2
835,16,1
838,17,3
839,15,1
841,13,2
842,11,1
844,11,2
847,11,3
849,12,2
852,12,3
853,11,1
854,9,1
857,11,3
859,11,2
860,8,1
862,7,2
863,6,1
869,10,6
872,11,3
875,7,3
876,6,1
877,5,1
878,4,1
879,1,1
882,2,3
884,2,2
887,1,3
889,1,2
891,1,2
893,1,2
895,1,2
898,1,3
900,1,2
902,1,2
904,1,2
912,7,8
914,1,2
916,1,2
918,0,2
921,1,3
923,1,2
925,0,2
930,1,5
932,1,2
935,1,3
937,1,2
941,1,4
944,1,3
946,1,2
948,0,2
951,1,3
953,1,2
955,1,2
958,1,3
960,1,2
963,1,3
965,1,2
967,1,2
969,0,2
972,1,3
975,2,3
977,1,2
980,1,3
982,1,2
984,0,2
987,1,3
990,2,3
992,1,2
995,1,3
997,1,2
999,1,2
1002,1,3
1005,1,3
1008,1,3
1010,1,2
1013,1,3
1016,1,3
1019,1,3
1021,1,2
1024,1,3
1026,1,2
1029,1,3
1032,1,3
1035,2,3
1038,1,3
1041,1,3
1043,1,2
1047,1,4
1050,1,3
1054,1,4
1058,1,4
1062,1,4
1065,1,3
1067,1,2
1070,1,3
1074,1,4
1076,1,2
1079,1,3
1081,1,2
1084,1,3
1087,1,3
1092,3,5
1094,1,2
1097,1,3
1099,0,2
1102,1,3
1104,1,2
1107,1,3
1109,1,2
1112,1,3
1114,1,2
1117,1,3
1119,1,2
1122,1,3
1124,1,2
1127,1,3
1129,1,2
1132,1,3
1134,1,2
1137,1,3
1139,1,2
1141,0,2
1144,1,3
1146,1,2
1149,1,3
1151,1,2
1154,1,3
1157,1,3
1159,1,2
1162,1,3
1164,1,2
1167,1,3
1169,1,2
1172,1,3
1174,1,2
1176,0,2
1179,1,3
1181,1,2
1184,1,3
1186,1,2
1190,1,4
1192,1,2
1195,1,3
1197,1,2
1200,1,3
1202,1,2
1204,0,2
1207,1,3
1209,1,2
1212,1,3
1214,1,2
1216,0,2
1219,1,3
1221,1,2
1224,1,3
1226,1,2
1228,0,2
1231,1,3
1233,1,2
1236,1,3
1238,1,2
1240,1,2
1243,1,3
1245,1,2
1248,1,3
1250,1,2
1253,1,3
1255,1,2
1257,0,2
1260,1,3
1272,6,12
1274,7,2
1275,6,1
1280,7,5
1285,5,5
1291,9,6
1295,12,4
1300,15,5
1309,21,9
1312,20,3
1316,22,4
1321,20,5
1324,22,3
1328,24,4
1329,21,1
1332,22,3
1340,23,8
1345,27,5
1348,28,3
1351,26,3
1356,30,5
1361,29,5
1368,34,7
1374,39,6
1376,34,2
1380,37,4
1388,43,8
1393,44,5
1394,44,1
1395,38,1
1400,41,5
1412,52,12
1415,47,3
1416,46,1
1420,49,4
1428,55,8
1430,53,2
1431,50,1
1432,49,1
1434,45,2
1440,49,6
1442,49,2
1446,50,4
1447,46,1
1453,51,6
1456,44,3
1457,43,1
1464,44,7
1470,48,6
1472,49,2
1476,48,4
1484,54,8
1489,58,5
1490,57,1
1492,58,2
1496,54,4
1500,56,4
1504,59,4
1508,56,4
1509,53,1
1510,46,1
1512,46,2
1516,49,4
1524,55,8
1529,56,5
1532,47,3
1533,47,1
1534,46,1
1535,43,1
1540,47,5
1545,48,5
1555,54,10
1557,51,2
1560,49,3
1564,51,4
1565,48,1
1566,48,1
1567,43,1
1572,46,5
1580,53,8
1584,52,4
1588,48,4
1589,48,1
1590,47,1
1591,47,1
1592,45,1
1593,33,1
1594,33,1
1596,34,2
1604,38,8
1607,35,3
1612,39,5
1617,43,5
1618,42,1
1620,40,2
1624,42,4
1627,42,3
1628,38,1
1640,48,12
1642,47,2
1648,44,6
1653,48,5
1655,48,2
1660,47,5
1665,50,5
1669,53,4
1672,53,3
1673,49,1
1675,49,2
1677,44,2
1681,47,4
1682,47,1
1683,46,1
1684,43,1
1685,36,1
1686,35,1
1687,35,1
1688,28,1
1690,28,2
1692,29,2
1693,28,1
1694,25,1
1696,25,2
1697,23,1
1698,21,1
1699,19,1
1700,17,1
1701,16,1
1702,15,1
1703,14,1
1705,14,2
1705,12,0
1710,15,5
1711,13,1
1712,12,1
1714,12,2
1714,10,0
1716,10,2
1725,16,9
1728,17,3
1729,16,1
1730,15,1
1731,11,1
1732,11,1
1733,7,1
1734,6,1
1736,6,2
1737,4,1
1738,3,1
1739,3,1
1744,6,5
1745,2,1
1746,2,1
1747,1,1
1749,1,2
1751,1,2
1752,0,1
1754,1,2
1757,1,3
1759,1,2
1761,0,2
1764,1,3
1766,1,2
1769,1,3
1771,1,2
1773,0,2
1776,1,3
1778,1,2
1781,1,3
1783,1,2
1785,1,2
1787,0,2
1790,1,3
1792,1,2
1795,1,3
1797,1,2
1799,0,2
1802,1,3
1804,1,2
1807,1,3
1809,1,2
1812,1,3
1814,1,2
1817,1,3
1819,1,2
1821,1,2
1869,12,48
1872,1,3
1875,1,3
1877,1,2
1880,1,3
1882,1,2
1884,0,2
1887,1,3
1889,1,2
1891,0,2
1894,1,3
1896,1,2
1898,0,2
1901,1,3
1903,1,2
1905,1,2
1907,0,2
1910,1,3
1912,1,2
1915,1,3
1917,1,2
1919,1,2
1922,1,3
1924,1,2
1926,1,2
1929,1,3
1931,1,2
1934,1,3
1936,1,2
1938,1,2
1940,1,2
1942,0,2
1945,1,3
1947,1,2
1949,1,2
1951,0,2
1953,0,2
1956,1,3
1957,0,1
1960,1,3
1962,1,2
1964,1,2
1966,1,2
1968,0,2
1970,0,2
1973,1,3
1975,1,2
1978,1,3
1980,0,2
1983,1,3
1985,1,2
1987,1,2
1989,0,2
1991,0,2
1995,1,4
