time (ms),latency (ms),consume (ms)
0,22,0
4,23,4
4,22,0
4,22,0
4,21,0
4,20,0
4,20,0
4,19,0
5,20,1
5,19,0
5,19,0
5,18,0
5,18,0
10,23,5
10,22,0
11,23,1
11,22,0
11,22,0
11,21,0
11,21,0
11,20,0
12,21,1
12,20,0
12,20,0
16,23,4
17,24,1
17,24,0
17,24,0
17,23,0
18,24,1
18,24,0
19,24,1
19,24,0
21,25,2
22,26,1
22,25,0
23,26,1
24,26,1
25,27,1
26,27,1
27,28,1
28,28,1
29,29,1
30,29,1
31,30,1
32,31,1
33,31,1
33,31,0
33,30,0
34,31,1
34,31,0
34,30,0
35,31,1
36,31,1
36,31,0
36,30,0
37,31,1
37,31,0
37,30,0
38,31,1
38,30,0
38,30,0
38,30,0
38,29,0
39,29,1
39,29,0
40,29,1
40,29,0
40,29,0
40,28,0
40,28,0
40,27,0
41,28,1
41,28,0
41,28,0
41,27,0
41,27,0
42,28,1
42,28,0
42,28,0
42,27,0
43,28,1
43,28,0
43,27,0
43,27,0
44,28,1
44,28,0
44,27,0
44,27,0
44,27,0
45,28,1
45,27,0
46,28,1
46,28,0
47,29,1
47,28,0
47,28,0
48,29,1
48,29,0
48,28,0
49,29,1
49,29,0
49,29,0
49,28,0
50,29,1
50,29,0
50,29,0
51,30,1
51,29,0
51,29,0
52,30,1
52,30,0
52,29,0
52,29,0
53,30,1
53,30,0
53,29,0
53,29,0
54,30,1
54,30,0
54,29,0
55,30,1
55,30,0
55,29,0
55,29,0
56,30,1
56,30,0
57,30,1
57,30,0
57,30,0
58,30,1
58,30,0
58,30,0
59,31,1
59,30,0
59,30,0
60,31,1
60,31,0
60,31,0
60,30,0
61,31,1
61,31,0
61,31,0
61,30,0
61,30,0
61,30,0
62,31,1
62,30,0
62,30,0
62,30,0
62,30,0
62,29,0
63,30,1
63,30,0
63,30,0
63,30,0
63,29,0
63,29,0
64,30,1
64,30,0
69,34,5
69,34,0
70,35,1
70,35,0
71,36,1
71,35,0
71,35,0
71,35,0
72,36,1
72,35,0
72,35,0
73,36,1
73,35,0
73,35,0
74,36,1
74,36,0
74,36,0
75,36,1
75,36,0
75,36,0
75,36,0
76,36,1
76,36,0
76,36,0
77,37,1
77,36,0
78,37,1
78,37,0
78,37,0
78,37,0
78,36,0
79,37,1
79,37,0
79,37,0
79,36,0
79,36,0
80,37,1
80,37,0
80,36,0
80,36,0
80,36,0
80,36,0
