time (ms),latency (ms),consume (ms)
0,11,0
7,3,7
17,3,10
28,3,11
38,2,10
49,2,11
59,1,10
70,1,11
81,2,11
92,2,11
103,2,11
113,1,10
124,1,11
135,2,11
146,2,11
157,2,11
167,1,10
178,2,11
189,2,11
199,1,10
210,1,11
221,2,11
231,1,10
242,1,11
253,2,11
264,2,11
274,1,10
285,2,11
296,2,11
306,1,10
317,2,11
328,2,11
338,1,10
349,1,11
360,2,11
370,1,10
381,1,11
392,2,11
402,1,10
414,2,12
425,2,11
435,1,10
446,2,11
457,2,11
467,1,10
478,1,11
489,2,11
499,1,10
511,2,12
525,4,14
533,2,8
543,1,10
554,2,11
564,1,10
575,2,11
585,1,10
596,2,11
607,2,11
617,1,10
628,2,11
639,2,11
649,2,10
660,2,11
671,2,11
681,1,10
692,2,11
703,2,11
713,1,10
724,2,11
734,1,10
745,1,11
756,2,11
766,1,10
777,1,11
788,2,11
799,2,11
809,1,10
820,2,11
830,1,10
841,2,11
852,2,11
863,2,11
874,2,11
885,2,11
895,2,10
906,2,11
916,1,10
926,1,10
937,2,11
947,1,10
958,2,11
968,1,10
979,2,11
989,1,10
1000,2,11
1011,2,11
1021,1,10
1032,2,11
1042,1,10
1053,2,11
1063,1,10
1073,1,10
1084,1,11
1094,1,10
1105,2,11
1115,1,10
1126,2,11
1136,1,10
1147,2,11
1157,1,10
1167,1,10
1178,1,11
1188,1,10
1200,2,12
1211,1,11
1222,2,11
1232,1,10
1243,2,11
1253,1,10
1265,2,12
1275,2,10
1286,2,11
1296,1,10
1307,2,11
1318,2,11
1328,2,10
1338,1,10
1349,2,11
1359,1,10
1370,2,11
1381,2,11
1391,2,10
1401,1,10
1412,2,11
1422,1,10
1433,2,11
1443,1,10
1454,2,11
1464,1,10
1474,1,10
1485,2,11
1495,1,10
1505,1,10
1516,1,11
1529,4,13
1537,1,8
1548,2,11
1558,1,10
1569,2,11
1579,2,10
1589,1,10
1600,2,11
1610,1,10
1621,2,11
1631,1,10
1642,2,11
1652,1,10
1663,2,11
1673,1,10
1684,2,11
1694,1,10
1704,1,10
1715,1,11
1725,1,10
1736,2,11
1746,1,10
1757,2,11
1767,1,10
1778,2,11
1788,1,10
1798,1,10
1809,1,11
1819,1,10
1830,2,11
1840,1,10
1851,2,11
1861,1,10
1872,1,11
1882,1,10
1893,2,11
1906,4,13
1914,1,8
1924,1,10
1935,1,11
1946,2,11
1956,1,10
1968,3,12
1979,1,11
1990,1,11
2001,2,11
2011,1,10
2023,2,12
2033,1,10
2044,2,11
2054,1,10
2065,1,11
2076,2,11
2086,1,10
2097,1,11
2107,1,10
2118,1,11
2128,1,10
2150,2,22
2160,1,10
2171,1,11
2181,1,10
2192,1,11
2203,2,11
2213,1,10
2224,1,11
2234,1,10
2245,1,11
2256,2,11
2266,1,10
2277,1,11
2288,2,11
2298,1,10
2320,13,22
2320,2,0
2330,2,10
2340,1,10
2350,1,10
2364,4,14
2375,1,11
2386,2,11
2396,1,10
2406,1,10
2417,2,11
2427,1,10
2438,2,11
2448,1,10
2459,2,11
2469,1,10
2480,1,11
2491,2,11
2505,4,14
2513,1,8
2524,2,11
2534,1,10
2545,2,11
2555,1,10
2565,1,10
2576,2,11
2586,1,10
2597,2,11
2607,1,10
2618,2,11
2628,1,10
2638,1,10
2649,2,11
2659,1,10
2670,2,11
2682,3,12
2692,2,10
2702,2,10
2713,2,11
2723,1,10
2734,2,11
2744,2,10
2754,1,10
2765,1,11
2775,1,10
2786,1,11
2797,2,11
2807,1,10
2818,2,11
2828,1,10
2839,1,11
2850,1,11
2862,2,12
2873,1,11
2884,1,11
2896,2,12
2907,2,11
2917,1,10
2928,2,11
2938,1,10
2949,2,11
2959,1,10
2969,1,10
2980,2,11
2990,1,10
3001,2,11
3011,1,10
3021,1,10
3032,2,11
3042,1,10
3053,2,11
3063,1,10
3073,1,10
3084,2,11
3094,1,10
3105,2,11
3115,1,10
3125,1,10
3136,2,11
3146,1,10
3157,2,11
3167,1,10
3178,2,11
3188,2,10
3198,1,10
3209,2,11
3219,1,10
3230,2,11
3240,1,10
3250,1,10
3261,2,11
3271,1,10
3281,1,10
3292,1,11
3302,1,10
3313,2,11
3323,1,10
3333,1,10
3344,1,11
3354,1,10
3365,2,11
3375,1,10
3386,2,11
3396,1,10
3406,1,10
3417,1,11
3427,1,10
3438,2,11
3448,1,10
3458,1,10
3469,1,11
3479,1,10
3490,2,11
3500,1,10
3511,2,11
3524,4,13
3533,2,9
3543,1,10
3553,1,10
3564,2,11
3574,1,10
3585,2,11
3595,1,10
3605,1,10
3616,2,11
3626,1,10
3636,1,10
3647,2,11
3657,1,10
3668,2,11
3678,1,10
3688,1,10
3699,2,11
3709,1,10
3720,2,11
3730,1,10
3740,1,10
3751,2,11
3761,1,10
3772,2,11
3782,1,10
3792,1,10
3803,2,11
3813,1,10
3824,2,11
3834,1,10
3845,2,11
3855,2,10
3865,1,10
3876,2,11
3886,1,10
3896,1,10
3907,2,11
3918,2,11
3928,1,10
3941,2,13
3951,1,10
3961,1,10
3972,2,11
3982,1,10
3996,5,14
4008,3,12
4019,2,11
4029,1,10
4040,2,11
4052,3,12
4075,2,23
4086,2,11
4096,1,10
4106,1,10
4117,2,11
4127,1,10
4137,1,10
4148,2,11
4158,1,10
4168,1,10
4179,2,11
4189,1,10
4199,1,10
4210,1,11
4220,1,10
4230,1,10
4241,1,11
4252,2,11
4263,3,11
4272,1,9
4283,2,11
4293,1,10
4303,1,10
4314,1,11
4324,1,10
4334,1,10
4345,1,11
4355,1,10
4365,1,10
4376,1,11
4386,1,10
4397,2,11
4408,2,11
4417,1,9
4428,2,11
4438,1,10
4448,1,10
4459,1,11
4469,1,10
4480,2,11
4490,1,10
4500,1,10
4511,2,11
