time (ms),latency (ms),consume (ms)
0,18,0
0,9,0
0,8,0
2,8,2
2,7,0
2,7,0
2,6,0
10,11,8
10,10,0
11,9,1
11,8,0
11,7,0
11,7,0
12,7,1
12,4,0
19,10,7
19,8,0
19,7,0
20,7,1
22,7,2
22,6,0
22,5,0
28,10,6
30,9,2
30,8,0
30,7,0
30,6,0
31,6,1
31,4,0
32,3,1
34,1,2
38,1,4
39,1,1
41,0,2
42,0,1
43,1,1
44,0,1
45,1,1
48,1,3
49,1,1
50,1,1
51,1,1
51,0,0
52,0,1
53,1,1
55,1,2
56,0,1
59,3,3
60,1,1
62,1,2
66,1,4
67,1,1
67,0,0
68,1,1
69,1,1
70,1,1
71,1,1
73,2,2
73,0,0
75,2,2
76,1,1
78,1,2
79,1,1
81,0,2
86,1,5
86,0,0
87,0,1
88,1,1
88,0,0
89,0,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
94,0,0
95,0,1
96,1,1
97,1,1
99,2,2
99,0,0
101,1,2
105,2,4
108,3,3
109,0,1
111,1,2
111,0,0
112,0,1
113,1,1
113,0,0
117,1,4
119,1,2
119,0,0
120,1,1
121,1,1
121,0,0
122,0,1
125,2,3
126,1,1
127,1,1
127,0,0
130,1,3
131,1,1
132,1,1
134,1,2
135,1,1
136,1,1
137,0,1
139,1,2
142,2,3
143,1,1
145,2,2
148,1,3
152,2,4
153,1,1
154,1,1
155,0,1
158,1,3
159,1,1
160,1,1
162,1,2
163,1,1
166,1,3
170,2,4
171,1,1
172,1,1
173,1,1
174,1,1
175,1,1
177,0,2
178,0,1
179,1,1
179,0,0
181,0,2
182,0,1
183,0,1
184,0,1
185,1,1
189,1,4
192,1,3
193,1,1
194,1,1
195,1,1
196,1,1
197,1,1
201,1,4
202,0,1
203,0,1
204,1,1
205,1,1
206,0,1
210,1,4
211,1,1
212,1,1
213,1,1
214,1,1
215,1,1
215,0,0
216,0,1
217,0,1
222,1,5
223,1,1
224,1,1
225,1,1
226,1,1
226,0,0
227,0,1
228,1,1
230,2,2
231,1,1
232,1,1
233,1,1
234,1,1
235,1,1
236,1,1
237,1,1
239,1,2
239,0,0
240,0,1
241,1,1
241,0,0
243,1,2
244,1,1
244,0,0
245,0,1
250,1,5
253,3,3
254,1,1
258,2,4
259,1,1
261,1,2
270,5,9
271,1,1
271,0,0
272,0,1
273,1,1
273,0,0
274,0,1
275,1,1
275,0,0
276,1,1
276,0,0
277,0,1
278,1,1
279,1,1
281,1,2
282,1,1
283,1,1
284,1,1
285,1,1
286,1,1
286,0,0
287,0,1
289,1,2
290,1,1
310,1,20
314,1,4
350,36,36
351,24,1
351,22,0
351,18,0
351,18,0
357,24,6
358,22,1
358,22,0
358,22,0
358,22,0
358,20,0
358,18,0
358,17,0
358,16,0
358,16,0
358,15,0
358,14,0
358,14,0
358,13,0
358,13,0
364,17,6
364,16,0
364,16,0
364,15,0
364,15,0
364,13,0
364,12,0
364,10,0
364,9,0
364,7,0
364,6,0
364,5,0
364,5,0
373,9,9
374,5,1
374,1,0
374,0,0
375,1,1
377,0,2
378,0,1
379,1,1
379,0,0
380,1,1
380,0,0
381,0,1
382,1,1
382,0,0
383,1,1
387,1,4
388,1,1
388,0,0
389,1,1
389,0,0
390,0,1
391,1,1
391,0,0
392,1,1
393,1,1
393,0,0
394,1,1
394,0,0
395,1,1
397,0,2
398,1,1
398,0,0
399,1,1
401,0,2
402,1,1
402,0,0
404,2,2
404,0,0
405,0,1
406,1,1
406,0,0
407,1,1
407,0,0
408,1,1
409,1,1
409,0,0
410,1,1
413,1,3
414,1,1
414,0,0
417,3,3
417,0,0
418,1,1
419,1,1
419,0,0
420,1,1
420,0,0
421,1,1
421,0,0
422,0,1
423,1,1
423,0,0
424,1,1
424,0,0
425,1,1
425,0,0
426,0,1
427,1,1
427,0,0
434,1,7
434,0,0
437,0,3
438,0,1
439,1,1
439,0,0
440,0,1
441,1,1
441,0,0
445,4,4
445,0,0
446,0,1
447,1,1
447,0,0
448,1,1
448,0,0
449,1,1
450,1,1
450,0,0
451,1,1
453,0,2
454,1,1
459,1,5
459,0,0
460,0,1
461,1,1
461,0,0
462,1,1
462,0,0
463,1,1
464,1,1
464,0,0
465,1,1
465,0,0
466,1,1
466,0,0
467,1,1
469,0,2
471,2,2
471,0,0
472,0,1
473,1,1
473,0,0
474,1,1
474,0,0
475,1,1
475,0,0
476,1,1
476,0,0
477,1,1
478,1,1
479,1,1
480,1,1
480,0,0
481,0,1
482,1,1
485,0,3
487,1,2
491,4,4
491,0,0
492,1,1
493,1,1
495,1,2
495,0,0
496,0,1
498,2,2
499,1,1
501,0,2
502,1,1
502,0,0
503,1,1
503,0,0
504,0,1
505,1,1
505,0,0
506,1,1
507,0,1
508,1,1
508,0,0
509,1,1
513,0,4
514,1,1
515,1,1
515,0,0
516,1,1
516,0,0
517,1,1
517,0,0
518,1,1
518,0,0
519,0,1
520,1,1
520,0,0
521,1,1
521,0,0
522,1,1
522,0,0
523,1,1
523,0,0
524,1,1
524,0,0
525,0,1
526,1,1
526,0,0
528,1,2
528,0,0
529,1,1
529,0,0
530,0,1
530,0,0
531,0,1
531,0,0
532,0,1
532,0,0
533,0,1
534,1,1
534,0,0
535,1,1
535,0,0
536,1,1
536,0,0
537,1,1
540,1,3
540,0,0
541,1,1
541,0,0
542,1,1
542,0,0
543,1,1
543,0,0
544,0,1
545,1,1
545,0,0
546,1,1
546,0,0
547,1,1
547,0,0
548,1,1
548,0,0
549,1,1
549,0,0
550,1,1
550,0,0
551,1,1
551,0,0
552,1,1
553,0,1
554,1,1
554,0,0
555,1,1
555,0,0
556,1,1
556,0,0
557,1,1
562,1,5
562,0,0
563,0,1
564,1,1
564,0,0
565,1,1
565,0,0
566,1,1
566,0,0
567,1,1
567,0,0
568,1,1
568,0,0
569,1,1
569,0,0
570,1,1
570,0,0
571,1,1
571,0,0
572,1,1
572,0,0
573,1,1
573,0,0
574,1,1
574,0,0
575,1,1
575,0,0
576,1,1
576,0,0
577,1,1
577,0,0
580,3,3
580,0,0
581,0,1
582,1,1
582,0,0
583,1,1
585,0,2
604,7,19
605,0,1
606,1,1
609,0,3
612,1,3
612,0,0
613,1,1
614,1,1
614,0,0
615,1,1
615,0,0
616,1,1
616,0,0
618,2,2
619,1,1
620,1,1
620,0,0
621,0,1
621,0,0
622,0,1
623,1,1
623,0,0
624,1,1
624,0,0
625,1,1
626,1,1
626,0,0
627,1,1
627,0,0
628,1,1
629,0,1
630,1,1
630,0,0
631,1,1
633,1,2
637,0,4
638,1,1
640,1,2
640,0,0
641,1,1
641,0,0
642,1,1
642,0,0
643,1,1
644,0,1
644,0,0
645,0,1
646,1,1
646,0,0
647,1,1
649,0,2
653,0,4
654,1,1
654,0,0
655,1,1
655,0,0
656,1,1
656,0,0
657,1,1
657,0,0
658,1,1
658,0,0
659,1,1
659,0,0
660,1,1
660,0,0
661,1,1
661,0,0
662,1,1
662,0,0
663,1,1
663,0,0
664,1,1
664,0,0
665,1,1
669,0,4
670,0,1
671,1,1
671,0,0
672,1,1
672,0,0
673,1,1
673,0,0
674,1,1
674,0,0
675,1,1
675,0,0
676,1,1
676,0,0
677,1,1
677,0,0
678,1,1
681,0,3
682,0,1
682,0,0
683,0,1
683,0,0
684,0,1
685,1,1
685,0,0
686,1,1
686,0,0
687,1,1
687,0,0
687,0,0
688,0,1
689,1,1
689,0,0
690,1,1
690,0,0
691,1,1
691,0,0
692,1,1
693,1,1
693,0,0
694,1,1
695,1,1
695,0,0
696,1,1
697,0,1
699,2,2
699,0,0
700,1,1
701,1,1
710,1,9
710,0,0
711,1,1
714,3,3
715,1,1
715,0,0
716,1,1
716,0,0
717,1,1
717,0,0
718,1,1
719,1,1
719,0,0
719,0,0
720,0,1
720,0,0
721,0,1
721,0,0
722,0,1
722,0,0
723,0,1
723,0,0
724,1,1
724,0,0
725,1,1
727,2,2
728,1,1
728,0,0
729,1,1
729,0,0
733,4,4
737,0,4
738,1,1
738,0,0
739,1,1
739,0,0
740,1,1
740,0,0
741,1,1
741,0,0
742,1,1
742,0,0
743,1,1
744,0,1
745,1,1
745,0,0
749,0,4
750,1,1
750,0,0
751,1,1
751,0,0
752,1,1
752,0,0
753,0,1
757,0,4
761,0,4
762,1,1
762,0,0
763,1,1
763,0,0
764,1,1
764,0,0
765,1,1
765,0,0
766,1,1
766,0,0
767,1,1
767,0,0
768,1,1
768,0,0
769,1,1
769,0,0
770,1,1
770,0,0
771,1,1
771,0,0
772,1,1
772,0,0
773,1,1
773,0,0
774,1,1
774,0,0
775,1,1
775,0,0
777,0,2
778,1,1
778,0,0
779,1,1
779,0,0
780,1,1
780,0,0
780,0,0
781,0,1
785,0,4
786,1,1
787,1,1
789,0,2
790,1,1
790,0,0
791,1,1
791,0,0
793,0,2
794,1,1
794,0,0
795,1,1
795,0,0
796,1,1
796,0,0
797,1,1
797,0,0
798,1,1
798,0,0
799,1,1
799,0,0
800,1,1
800,0,0
801,1,1
801,0,0
805,0,4
809,0,4
810,0,1
811,1,1
811,0,0
812,1,1
812,0,0
813,1,1
813,0,0
814,1,1
814,0,0
815,1,1
815,0,0
816,1,1
817,0,1
818,1,1
818,0,0
819,1,1
819,0,0
820,1,1
820,0,0
821,1,1
821,0,0
822,1,1
822,0,0
823,1,1
825,0,2
826,1,1
826,0,0
827,1,1
827,0,0
828,1,1
828,0,0
829,1,1
829,0,0
833,0,4
834,1,1
834,0,0
835,1,1
837,0,2
838,1,1
838,0,0
839,1,1
839,0,0
840,1,1
840,0,0
841,1,1
841,0,0
845,1,4
849,0,4
850,0,1
850,0,0
851,0,1
852,1,1
852,0,0
853,1,1
853,0,0
854,1,1
854,0,0
855,1,1
855,0,0
856,1,1
856,0,0
857,1,1
857,0,0
858,1,1
858,0,0
859,1,1
859,0,0
860,1,1
860,0,0
861,1,1
862,1,1
862,0,0
866,1,4
866,0,0
867,1,1
868,1,1
868,0,0
874,1,6
875,1,1
875,0,0
877,2,2
878,1,1
878,0,0
879,1,1
881,0,2
882,1,1
883,1,1
883,0,0
885,0,2
886,1,1
887,1,1
887,0,0
888,1,1
888,0,0
889,1,1
889,0,0
890,0,1
890,0,0
893,0,3
895,1,2
896,1,1
897,1,1
897,0,0
898,1,1
901,1,3
902,1,1
903,1,1
903,0,0
904,1,1
905,1,1
906,1,1
906,0,0
910,1,4
910,0,0
913,0,3
914,0,1
915,1,1
916,1,1
916,0,0
917,1,1
921,0,4
922,0,1
923,1,1
924,1,1
924,0,0
925,1,1
926,1,1
926,0,0
927,0,1
928,1,1
929,0,1
930,1,1
931,1,1
932,1,1
933,0,1
934,1,1
934,0,0
937,0,3
938,0,1
939,1,1
939,0,0
940,1,1
940,0,0
941,0,1
945,1,4
946,1,1
946,0,0
947,0,1
947,0,0
948,0,1
948,0,0
949,1,1
949,0,0
950,1,1
953,0,3
954,1,1
954,0,0
955,1,1
955,0,0
956,1,1
956,0,0
957,1,1
957,0,0
958,1,1
958,0,0
961,0,3
962,1,1
962,0,0
963,1,1
963,0,0
964,1,1
964,0,0
965,1,1
965,0,0
966,1,1
966,0,0
967,1,1
967,0,0
968,1,1
968,0,0
969,1,1
969,0,0
970,1,1
970,0,0
971,1,1
971,0,0
972,1,1
972,0,0
973,0,1
973,0,0
977,0,4
978,1,1
980,0,2
981,1,1
981,0,0
982,1,1
982,0,0
985,0,3
986,1,1
986,0,0
987,0,1
987,0,0
988,0,1
988,0,0
989,1,1
989,0,0
990,1,1
990,0,0
991,1,1
991,0,0
992,1,1
992,0,0
993,1,1
993,0,0
994,1,1
995,1,1
996,1,1
996,0,0
996,0,0
997,0,1
998,1,1
998,0,0
999,1,1
999,0,0
999,0,0
1001,1,2
1005,0,4
1006,0,1
1009,0,3
1010,1,1
1010,0,0
1011,1,1
1011,0,0
1012,1,1
1012,0,0
1013,1,1
1014,1,1
1014,0,0
1014,0,0
1015,0,1
1015,0,0
1016,1,1
1016,0,0
1017,1,1
1017,0,0
1018,1,1
1018,0,0
1019,1,1
1019,0,0
1020,1,1
1020,0,0
1021,1,1
1021,0,0
1022,1,1
1022,0,0
1023,1,1
1023,0,0
1024,0,1
1025,1,1
1025,0,0
1029,0,4
1030,1,1
1030,0,0
1031,0,1
1031,0,0
1032,1,1
1032,0,0
1033,1,1
1033,0,0
1037,0,4
1038,0,1
1039,1,1
1039,0,0
1040,1,1
1040,0,0
1041,1,1
1041,0,0
1041,0,0
1042,0,1
1042,0,0
1043,1,1
1043,0,0
1044,1,1
1044,0,0
1045,1,1
1045,0,0
1046,1,1
1046,0,0
1047,1,1
1047,0,0
1048,1,1
1048,0,0
1048,0,0
1049,0,1
1049,0,0
1050,0,1
1050,0,0
1051,0,1
1051,0,0
1052,1,1
1052,0,0
1053,1,1
1053,0,0
1057,1,4
1058,1,1
1058,0,0
1059,1,1
1059,0,0
1061,0,2
1062,1,1
1062,0,0
1063,1,1
1063,0,0
1064,1,1
1064,0,0
1065,1,1
1065,0,0
1066,1,1
1066,0,0
1067,0,1
1070,2,3
1071,1,1
1071,0,0
1072,1,1
1073,0,1
1074,1,1
1074,0,0
1075,1,1
1075,0,0
1076,1,1
1076,0,0
1077,1,1
1077,0,0
1078,1,1
1081,0,3
1085,0,4
1086,1,1
1086,0,0
1087,1,1
1087,0,0
1088,1,1
1088,0,0
1089,1,1
1089,0,0
1090,1,1
1090,0,0
1091,1,1
1091,0,0
1092,1,1
1092,0,0
1092,0,0
1093,0,1
1093,0,0
1094,1,1
1094,0,0
1095,1,1
1095,0,0
1096,1,1
1096,0,0
1097,1,1
1097,0,0
1098,1,1
1100,1,2
1100,0,0
1101,1,1
1101,0,0
1102,1,1
1102,0,0
1103,1,1
1103,0,0
1103,0,0
1104,0,1
1104,0,0
1105,1,1
1105,0,0
1111,0,6
1112,1,1
1113,0,1
1114,1,1
1114,0,0
1115,1,1
1115,0,0
1116,1,1
1116,0,0
1117,1,1
1121,0,4
1125,0,4
1129,0,4
1130,1,1
1130,0,0
1131,1,1
1131,0,0
1132,1,1
1132,0,0
1133,1,1
1133,0,0
1133,0,0
1134,0,1
1134,0,0
1135,1,1
1135,0,0
1136,1,1
1136,0,0
1137,1,1
1137,0,0
1138,1,1
1138,0,0
1138,0,0
1139,0,1
1139,0,0
1140,1,1
1140,0,0
1141,1,1
1141,0,0
1142,1,1
1142,0,0
1143,1,1
1143,0,0
1143,0,0
1144,1,1
1144,0,0
1145,0,1
1145,0,0
1146,0,1
1146,0,0
1149,0,3
1150,1,1
1150,0,0
1151,1,1
1151,0,0
1152,1,1
1152,0,0
1153,1,1
1157,0,4
1161,0,4
1162,1,1
1162,0,0
1163,1,1
1163,0,0
1164,1,1
1164,0,0
1165,1,1
1165,0,0
1165,0,0
1166,0,1
1166,0,0
1167,1,1
1167,0,0
1168,1,1
1168,0,0
1169,1,1
1169,0,0
1170,1,1
1170,0,0
1170,0,0
1173,0,3
1174,1,1
1174,0,0
1175,1,1
1175,0,0
1175,0,0
1176,0,1
1176,0,0
1177,1,1
1177,0,0
1178,1,1
1178,0,0
1179,1,1
1179,0,0
1179,0,0
1180,0,1
1180,0,0
1181,1,1
1181,0,0
1182,1,1
1182,0,0
1183,1,1
1183,0,0
1184,1,1
1184,0,0
1185,1,1
1185,0,0
1186,1,1
1186,0,0
1187,1,1
1189,0,2
1190,1,1
1190,0,0
1191,0,1
1192,1,1
1192,0,0
1193,1,1
1193,0,0
1193,0,0
1194,0,1
1196,1,2
1196,0,0
1196,0,0
1198,1,2
1198,0,0
1199,1,1
1199,0,0
1199,0,0
1200,0,1
1200,0,0
1201,1,1
1201,0,0
1202,1,1
1202,0,0
1203,1,1
1205,0,2
1206,1,1
1209,0,3
1210,1,1
1210,0,0
1211,1,1
1211,0,0
1212,1,1
1213,1,1
1213,0,0
1214,1,1
1214,0,0
1215,1,1
1215,0,0
1215,0,0
1216,0,1
1216,0,0
1217,1,1
1217,0,0
1218,1,1
1218,0,0
1219,1,1
1219,0,0
1220,1,1
1220,0,0
1221,0,1
1222,1,1
1222,0,0
1223,1,1
1225,0,2
1226,1,1
1226,0,0
1227,1,1
1227,0,0
1228,0,1
1228,0,0
1229,1,1
1229,0,0
1230,1,1
1230,0,0
1233,0,3
1234,1,1
1234,0,0
1235,1,1
1235,0,0
1236,1,1
1236,0,0
1237,1,1
1237,0,0
1238,1,1
1238,0,0
1241,0,3
1242,1,1
1242,0,0
1243,1,1
1243,0,0
1244,1,1
1244,0,0
1244,0,0
1245,0,1
1245,0,0
1246,1,1
1246,0,0
1247,1,1
1247,0,0
1248,1,1
1248,0,0
1248,0,0
1249,0,1
1249,0,0
1253,0,4
1254,1,1
1254,0,0
1255,1,1
1255,0,0
1256,1,1
1256,0,0
1256,0,0
1257,0,1
1257,0,0
1258,1,1
1258,0,0
1259,1,1
1259,0,0
1260,1,1
1261,0,1
1262,1,1
1262,0,0
1262,0,0
1263,0,1
1263,0,0
1264,1,1
1264,0,0
1265,1,1
1265,0,0
1266,1,1
1266,0,0
1267,1,1
1267,0,0
1269,0,2
1270,1,1
1270,0,0
1271,1,1
1271,0,0
1272,1,1
1272,0,0
1273,1,1
1273,0,0
1274,1,1
1274,0,0
1274,0,0
1275,1,1
1277,0,2
1278,1,1
1278,0,0
1279,1,1
1279,0,0
1280,1,1
1280,0,0
1281,0,1
1282,1,1
1282,0,0
1282,0,0
1283,1,1
1283,0,0
1285,0,2
1286,1,1
1286,0,0
1287,1,1
1287,0,0
1288,1,1
1288,0,0
1289,1,1
1289,0,0
1292,1,3
1292,0,0
1293,1,1
1293,0,0
1294,1,1
1296,1,2
1297,1,1
1297,0,0
1298,1,1
1298,0,0
1299,1,1
1299,0,0
1300,1,1
1300,0,0
1301,1,1
1301,0,0
1302,1,1
1302,0,0
1303,1,1
1303,0,0
1304,1,1
1305,0,1
1306,1,1
1309,1,3
1310,1,1
1310,0,0
1311,1,1
1311,0,0
1312,1,1
1312,0,0
1313,1,1
1313,0,0
1317,0,4
1318,0,1
1318,0,0
1319,0,1
1319,0,0
1320,1,1
1320,0,0
1321,1,1
1321,0,0
1322,1,1
1322,0,0
1323,1,1
1323,0,0
1324,1,1
1324,0,0
1324,0,0
1325,1,1
1325,0,0
1326,1,1
1326,0,0
1327,1,1
1327,0,0
1328,1,1
1328,0,0
1329,1,1
1329,0,0
1330,1,1
1331,1,1
1331,0,0
1332,1,1
1332,0,0
1333,1,1
1333,0,0
1334,1,1
1334,0,0
1335,1,1
1335,0,0
1336,1,1
1336,0,0
1337,1,1
1337,0,0
1338,1,1
1338,0,0
1338,0,0
1341,0,3
1342,1,1
1342,0,0
1343,1,1
1343,0,0
1344,1,1
1344,0,0
1344,0,0
1345,0,1
1345,0,0
1346,1,1
1346,0,0
1347,1,1
1347,0,0
1348,1,1
1348,0,0
1349,1,1
1349,0,0
1349,0,0
1350,0,1
1350,0,0
1351,1,1
1351,0,0
1352,1,1
1352,0,0
1353,1,1
1353,0,0
1354,1,1
1354,0,0
1357,0,3
1358,0,1
1358,0,0
1359,0,1
1359,0,0
1360,1,1
1360,0,0
1361,1,1
1361,0,0
1362,1,1
1362,0,0
1363,1,1
1363,0,0
1363,0,0
1364,0,1
1364,0,0
1365,1,1
1365,0,0
1366,1,1
1366,0,0
1367,1,1
1367,0,0
1367,0,0
1368,1,1
1368,0,0
1370,2,2
1370,0,0
1371,1,1
1371,0,0
1372,1,1
1372,0,0
1373,1,1
1374,1,1
1374,0,0
1377,0,3
1378,1,1
1378,0,0
1379,1,1
1379,0,0
1379,0,0
1380,0,1
1380,0,0
1381,1,1
1381,0,0
1382,1,1
1382,0,0
1383,1,1
1383,0,0
1384,1,1
1384,0,0
1384,0,0
1385,0,1
1386,1,1
1386,0,0
1387,0,1
1388,1,1
1388,0,0
1388,0,0
1389,0,1
1389,0,0
1390,1,1
1392,1,2
1393,1,1
1393,0,0
1396,3,3
1397,1,1
1397,0,0
1398,1,1
1399,1,1
1399,0,0
1400,1,1
1400,0,0
1401,1,1
1402,1,1
1406,1,4
1406,0,0
1407,1,1
1408,1,1
1408,0,0
