time (ms),latency (ms),consume (ms)
0,23,0
18,27,18
33,30,15
47,23,14
60,19,13
73,19,13
85,19,12
95,16,10
106,14,11
118,15,12
128,14,10
140,14,12
151,15,11
163,15,12
173,13,10
188,18,15
196,16,8
208,17,12
218,16,10
228,14,10
241,15,13
253,17,12
265,14,12
276,15,11
287,14,11
298,13,11
309,14,11
320,13,11
331,14,11
342,14,11
354,15,12
364,14,10
375,14,11
385,13,10
396,13,11
407,14,11
418,14,11
429,14,11
439,13,10
465,28,26
465,18,0
473,14,8
484,14,11
495,14,11
520,28,25
530,28,10
542,14,12
552,12,10
564,14,12
575,15,11
585,12,10
597,14,12
607,13,10
618,13,11
629,14,11
639,12,10
650,13,11
660,13,10
671,13,11
683,15,12
692,13,9
703,14,11
714,14,11
725,14,11
735,14,10
762,30,27
765,22,3
774,15,9
785,16,11
796,16,11
807,16,11
818,16,11
831,18,13
840,16,9
851,16,11
861,14,10
872,15,11
883,15,11
894,15,11
906,16,12
916,15,10
927,15,11
937,15,10
947,15,10
958,16,11
969,16,11
979,15,10
995,20,16
1017,32,22
1026,14,9
1037,14,11
1048,13,11
1059,14,11
1070,14,11
1080,12,10
1091,13,11
1102,14,11
1113,13,11
1124,14,11
1134,12,10
1145,13,11
1155,12,10
1166,13,11
1176,13,10
1187,13,11
1198,14,11
1208,12,10
1220,14,12
1230,13,10
1241,13,11
1251,13,10
1262,13,11
1272,13,10
1295,25,23
1296,16,1
1306,14,10
1317,13,11
1327,13,10
1338,13,11
1349,14,11
1360,13,11
1371,14,11
1382,13,11
1394,15,12
1405,15,11
1416,14,11
1429,15,13
1438,13,9
1453,17,15
1465,18,12
1479,18,14
1505,32,26
1511,24,6
1524,15,13
1533,14,9
1544,13,11
1555,14,11
1567,14,12
1580,17,13
1588,13,8
1599,14,11
1609,13,10
1620,14,11
1630,13,10
1641,14,11
1651,13,10
1662,14,11
1672,13,10
1683,14,11
1695,15,12
1705,15,10
1715,14,10
1726,14,11
1736,13,10
1746,12,10
1757,13,11
1768,14,11
1779,13,11
1790,14,11
1801,13,11
1812,14,11
1824,15,12
1845,24,21
1846,15,1
1855,13,9
1866,14,11
1876,13,10
1887,14,11
1897,13,10
1908,14,11
1918,13,10
1929,14,11
1939,13,10
1950,14,11
1960,13,10
1980,23,20
1991,23,11
2002,14,11
2012,12,10
2024,14,12
2034,12,10
2044,12,10
2056,14,12
2066,12,10
2077,13,11
2088,14,11
2099,13,11
2109,13,10
2127,21,18
2131,13,4
2142,14,11
2153,13,11
2164,14,11
2174,13,10
2184,13,10
2195,13,11
2206,14,11
2217,14,11
2228,13,11
2238,13,10
2249,14,11
2259,13,10
2270,13,11
2281,14,11
2292,13,11
2303,14,11
2314,13,11
2325,14,11
2335,13,10
2345,13,10
2355,12,10
2367,14,12
2379,14,12
2388,13,9
2399,14,11
2409,13,10
2420,14,11
2430,13,10
2441,14,11
2464,26,23
2474,26,10
2485,14,11
2495,12,10
2505,12,10
2515,12,10
2527,14,12
2537,12,10
2548,13,11
2559,14,11
2569,12,10
2579,12,10
2591,14,12
2601,13,10
2612,13,11
2622,13,10
2633,13,11
2644,14,11
2655,13,11
2665,13,10
2682,20,17
2686,13,4
2697,13,11
2708,14,11
2718,13,10
2728,13,10
2739,13,11
2750,14,11
2761,13,11
2772,14,11
2783,13,11
2794,14,11
2805,13,11
2815,13,10
2826,13,11
2837,14,11
2848,13,11
2858,13,10
2869,13,11
2880,14,11
2890,12,10
2901,13,11
2911,13,10
2922,13,11
2945,26,23
2953,22,8
2966,15,13
2975,14,9
2986,13,11
2996,13,10
3007,14,11
3019,15,12
3029,15,10
3039,14,10
3050,14,11
3060,13,10
3071,14,11
3081,13,10
3092,14,11
3102,13,10
3113,14,11
3123,13,10
3134,14,11
3144,13,10
3155,14,11
3165,13,10
3175,13,10
3185,12,10
3197,14,12
3209,14,12
3219,13,10
3237,21,18
3243,16,6
3252,13,9
3263,14,11
3274,13,11
3285,14,11
3296,13,11
3307,14,11
3318,13,11
3329,14,11
3340,13,11
3351,14,11
3362,13,11
3373,14,11
3384,13,11
3394,13,10
3405,13,11
3423,21,18
3434,21,11
3444,13,10
3455,13,11
3465,13,10
3475,12,10
3486,13,11
3498,14,12
3514,19,16
3519,14,5
