time (ms),latency (ms),consume (ms)
0,6,0
4,3,4
8,1,4
14,2,6
19,1,5
24,1,5
29,1,5
35,1,6
40,1,5
45,0,5
51,1,6
56,1,5
61,0,5
67,1,6
72,1,5
77,0,5
83,1,6
88,1,5
93,0,5
99,1,6
104,1,5
110,1,6
115,1,5
120,0,5
126,1,6
131,0,5
137,1,6
142,1,5
148,1,6
153,1,5
158,0,5
164,1,6
169,0,5
175,1,6
181,1,6
186,1,5
192,1,6
197,1,5
203,1,6
208,0,5
214,1,6
219,0,5
225,1,6
230,1,5
235,0,5
241,1,6
247,1,6
252,1,5
258,1,6
264,1,6
269,0,5
275,1,6
280,1,5
285,0,5
291,1,6
296,0,5
302,1,6
308,1,6
314,2,6
320,1,6
326,1,6
332,2,6
339,2,7
344,1,5
350,1,6
356,1,6
362,2,6
367,1,5
373,1,6
378,1,5
384,1,6
390,1,6
396,1,6
402,1,6
408,1,6
414,1,6
420,1,6
429,4,9
432,1,3
438,2,6
444,2,6
449,1,5
456,3,7
461,2,5
467,2,6
472,1,5
478,2,6
483,1,5
489,2,6
494,1,5
500,2,6
505,1,5
510,1,5
517,2,7
522,1,5
529,2,7
535,2,6
541,1,6
547,1,6
554,2,7
560,2,6
566,1,6
572,1,6
578,1,6
584,1,6
591,2,7
597,2,6
602,1,5
607,1,5
613,1,6
618,1,5
625,2,7
631,2,6
636,1,5
642,1,6
648,2,6
653,1,5
659,2,6
665,2,6
670,1,5
676,2,6
681,1,5
687,1,6
693,2,6
698,1,5
704,1,6
710,2,6
716,2,6
721,1,5
727,2,6
732,1,5
738,1,6
744,2,6
749,1,5
755,2,6
761,2,6
766,1,5
772,2,6
777,1,5
783,2,6
788,1,5
794,2,6
799,1,5
805,2,6
810,1,5
816,2,6
822,2,6
827,2,5
832,1,5
838,2,6
843,1,5
849,2,6
854,2,5
860,2,6
865,1,5
871,2,6
876,1,5
882,2,6
887,1,5
893,1,6
898,1,5
904,2,6
909,1,5
915,1,6
921,2,6
926,1,5
932,2,6
938,2,6
943,2,5
949,2,6
954,2,5
960,2,6
965,2,5
971,2,6
976,2,5
984,4,8
987,2,3
992,1,5
998,2,6
1003,1,5
1009,2,6
1014,1,5
1020,1,6
1025,1,5
1031,1,6
1037,2,6
1044,3,7
1049,2,5
1055,2,6
1060,1,5
1066,2,6
1072,2,6
1078,2,6
1085,3,7
1090,2,5
1096,1,6
1101,1,5
1107,1,6
1113,2,6
1119,2,6
1125,1,6
1131,1,6
1149,2,18
1154,2,5
1160,2,6
1165,1,5
1171,1,6
1177,1,6
1183,2,6
1189,2,6
1194,2,5
1199,1,5
1205,1,6
1211,1,6
1217,1,6
1224,2,7
1229,1,5
1249,16,20
1251,12,2
1252,7,1
1254,3,2
1257,1,3
1263,1,6
1269,2,6
1275,2,6
1280,1,5
1286,1,6
1291,1,5
1297,1,6
1303,2,6
1308,1,5
1314,2,6
1319,1,5
1324,1,5
1330,1,6
1336,2,6
1341,1,5
1347,1,6
1352,1,5
1358,1,6
1363,1,5
1369,1,6
1375,1,6
1381,2,6
1386,1,5
1392,2,6
1397,1,5
1403,1,6
1409,2,6
1414,1,5
1420,1,6
1427,3,7
1432,2,5
1437,2,5
1442,1,5
1448,1,6
1453,1,5
1459,1,6
1465,2,6
1470,1,5
1476,2,6
1481,1,5
1487,2,6
1492,1,5
1498,1,6
1504,2,6
1509,1,5
1515,2,6
1520,1,5
1526,2,6
1531,1,5
1537,2,6
1542,1,5
1548,2,6
1553,1,5
1559,1,6
1564,1,5
1570,1,6
1576,2,6
1581,1,5
1587,2,6
1592,1,5
1598,2,6
1603,1,5
1609,1,6
1614,1,5
1620,1,6
1625,1,5
1631,1,6
1637,2,6
1642,1,5
1648,2,6
1653,1,5
1659,2,6
1664,1,5
1669,1,5
1675,1,6
1681,2,6
1686,1,5
1692,2,6
1697,1,5
1702,1,5
1708,1,6
1713,1,5
1719,1,6
1724,1,5
1730,1,6
1735,1,5
1741,1,6
1746,1,5
1752,2,6
1757,1,5
1763,2,6
1769,2,6
1774,2,5
1779,1,5
1785,1,6
1790,1,5
1796,2,6
1801,1,5
1807,1,6
1814,1,7
1820,2,6
1825,1,5
1831,2,6
1836,2,5
1841,1,5
1847,2,6
1852,1,5
1858,2,6
1863,1,5
1869,2,6
1874,2,5
1879,1,5
1885,2,6
1890,1,5
1895,1,5
1901,1,6
1906,1,5
1912,2,6
1917,1,5
1922,1,5
1928,1,6
1933,1,5
1939,2,6
1944,1,5
1949,1,5
1955,2,6
1960,1,5
1966,2,6
1971,1,5
1977,2,6
1982,1,5
1988,2,6
1993,2,5
1998,1,5
2004,2,6
2009,1,5
2014,1,5
2020,2,6
2025,1,5
2031,2,6
2036,1,5
2042,1,6
2048,2,6
2053,1,5
2059,1,6
2065,2,6
2070,1,5
2076,2,6
2082,2,6
2087,1,5
2092,1,5
2098,1,6
2104,2,6
2109,1,5
2115,2,6
2121,2,6
2127,2,6
2132,2,5
2138,2,6
2143,1,5
2149,1,6
2168,3,19
2174,3,6
2178,1,4
2184,2,6
2189,1,5
2195,2,6
2200,1,5
2205,1,5
2211,1,6
2216,1,5
2222,1,6
2227,1,5
2233,1,6
2238,1,5
2244,1,6
2249,1,5
2255,2,6
2260,1,5
2266,2,6
2272,2,6
2277,2,5
2282,1,5
2288,2,6
2293,1,5
2298,1,5
2304,2,6
2309,1,5
2314,1,5
2319,1,5
2325,1,6
2330,1,5
2336,1,6
2341,1,5
2347,2,6
2352,1,5
2357,1,5
2363,2,6
2368,1,5
2374,2,6
2379,1,5
2384,1,5
2390,2,6
2395,1,5
2401,2,6
2406,1,5
2411,1,5
2417,1,6
2422,1,5
2428,2,6
2433,1,5
2438,1,5
2444,2,6
2449,1,5
2454,1,5
2460,2,6
2465,1,5
2470,1,5
2476,1,6
2482,2,6
2487,1,5
2492,1,5
2498,1,6
2504,2,6
2509,1,5
2514,1,5
2520,2,6
2525,1,5
2530,1,5
2536,2,6
2541,1,5
2546,1,5
2552,2,6
2557,1,5
2562,1,5
2568,2,6
2573,1,5
2578,1,5
2584,2,6
2589,1,5
2594,1,5
2600,1,6
2605,1,5
2610,1,5
2616,1,6
2621,1,5
