time (ms),latency (ms),consume (ms)
0,11,0
0,8,0
2,10,2
2,9,0
3,10,1
3,10,0
3,9,0
3,9,0
3,8,0
3,8,0
4,8,1
4,8,0
4,7,0
4,7,0
4,6,0
4,6,0
5,6,1
5,6,0
5,5,0
5,5,0
9,8,4
10,9,1
11,9,1
11,9,0
12,10,1
12,9,0
12,9,0
12,9,0
12,9,0
13,9,1
13,9,0
13,9,0
13,8,0
13,8,0
14,9,1
14,8,0
14,8,0
14,8,0
15,8,1
15,7,0
15,7,0
15,7,0
16,7,1
16,7,0
16,6,0
16,6,0
17,6,1
17,6,0
18,6,1
18,6,0
18,5,0
18,5,0
19,5,1
19,5,0
20,5,1
20,5,0
20,4,0
21,5,1
21,4,0
21,4,0
22,4,1
22,4,0
23,4,1
23,4,0
23,3,0
24,4,1
24,3,0
24,3,0
25,3,1
25,3,0
25,2,0
26,3,1
26,2,0
27,3,1
28,4,1
28,3,0
28,3,0
29,3,1
29,3,0
30,3,1
30,3,0
30,3,0
31,3,1
31,3,0
32,3,1
32,3,0
33,4,1
33,3,0
34,4,1
34,4,0
34,3,0
34,3,0
35,3,1
35,3,0
35,3,0
35,2,0
36,3,1
36,2,0
36,2,0
38,3,2
38,3,0
39,3,1
39,3,0
39,3,0
39,2,0
39,2,0
40,3,1
40,2,0
40,2,0
41,2,1
41,2,0
42,2,1
42,2,0
42,1,0
43,2,1
44,2,1
46,2,2
47,3,1
47,3,0
50,5,3
50,5,0
50,5,0
51,5,1
51,5,0
51,4,0
52,4,1
52,4,0
53,4,1
53,4,0
53,3,0
53,3,0
53,3,0
53,2,0
54,3,1
54,2,0
54,2,0
54,2,0
54,1,0
55,2,1
55,2,0
56,2,1
56,2,0
57,3,1
57,2,0
57,2,0
58,2,1
58,2,0
58,2,0
59,2,1
59,2,0
59,2,0
60,2,1
60,2,0
60,2,0
61,2,1
61,2,0
61,2,0
62,2,1
62,2,0
62,2,0
63,2,1
63,2,0
63,1,0
64,2,1
64,2,0
64,1,0
66,2,2
67,3,1
68,4,1
68,3,0
69,4,1
69,3,0
69,3,0
69,3,0
70,4,1
70,3,0
71,4,1
71,4,0
71,4,0
72,5,1
72,4,0
73,5,1
73,5,0
73,5,0
74,5,1
80,11,6
80,11,0
80,11,0
80,11,0
80,10,0
80,10,0
81,11,1
81,11,0
81,10,0
81,10,0
81,10,0
81,10,0
81,10,0
82,10,1
82,10,0
82,10,0
82,10,0
82,9,0
82,9,0
82,9,0
83,10,1
83,10,0
83,9,0
83,9,0
83,9,0
83,9,0
83,8,0
83,8,0
83,8,0
83,8,0
83,7,0
83,7,0
84,8,1
84,8,0
84,8,0
84,7,0
84,7,0
84,7,0
84,7,0
84,6,0
84,6,0
84,6,0
84,6,0
85,7,1
85,6,0
85,6,0
85,6,0
85,6,0
86,7,1
86,6,0
86,6,0
86,6,0
86,6,0
86,5,0
86,5,0
87,6,1
87,6,0
87,5,0
87,5,0
87,5,0
87,4,0
87,4,0
87,4,0
88,5,1
88,4,0
88,4,0
88,4,0
88,4,0
88,2,0
88,1,0
92,5,4
92,1,0
93,1,1
94,1,1
95,1,1
96,2,1
97,2,1
98,2,1
99,2,1
99,1,0
100,1,1
101,1,1
102,2,1
103,2,1
104,2,1
104,1,0
105,1,1
105,1,0
107,1,2
107,1,0
108,1,1
109,2,1
109,1,0
109,1,0
109,1,0
110,2,1
110,2,0
110,1,0
111,2,1
112,3,1
112,2,0
112,2,0
113,3,1
114,4,1
114,4,0
114,3,0
114,3,0
114,3,0
114,3,0
115,4,1
115,3,0
116,4,1
117,5,1
117,5,0
118,5,1
118,5,0
118,5,0
118,5,0
118,5,0
119,5,1
119,5,0
120,6,1
120,5,0
120,5,0
121,6,1
122,7,1
122,7,0
122,6,0
122,6,0
123,7,1
123,7,0
123,7,0
124,7,1
124,7,0
125,8,1
125,7,0
126,8,1
126,8,0
126,8,0
126,8,0
126,7,0
127,8,1
127,8,0
127,8,0
128,9,1
128,8,0
128,8,0
128,8,0
129,9,1
129,9,0
129,8,0
130,9,1
131,10,1
131,10,0
131,10,0
131,9,0
131,9,0
132,10,1
132,10,0
132,10,0
133,10,1
133,10,0
133,10,0
133,9,0
134,10,1
135,11,1
135,11,0
135,11,0
136,12,1
137,12,1
137,12,0
137,12,0
137,12,0
137,12,0
138,12,1
138,12,0
139,13,1
139,13,0
139,13,0
139,12,0
139,12,0
139,12,0
139,12,0
140,13,1
140,12,0
140,12,0
140,12,0
140,12,0
140,11,0
140,11,0
140,11,0
140,11,0
141,12,1
141,11,0
141,11,0
141,11,0
141,11,0
141,11,0
142,11,1
142,11,0
145,14,3
145,13,0
145,13,0
145,13,0
145,13,0
145,12,0
145,12,0
145,12,0
145,12,0
146,13,1
146,13,0
146,12,0
146,12,0
146,12,0
146,12,0
146,12,0
146,11,0
146,11,0
146,11,0
146,11,0
147,11,1
147,11,0
147,11,0
147,11,0
147,11,0
147,11,0
147,11,0
147,10,0
147,10,0
147,10,0
148,11,1
148,10,0
148,10,0
148,10,0
148,10,0
148,10,0
148,10,0
148,9,0
149,10,1
149,10,0
149,10,0
149,10,0
149,9,0
149,9,0
149,9,0
149,9,0
149,9,0
149,8,0
150,9,1
150,9,0
150,9,0
150,8,0
150,8,0
150,8,0
150,8,0
150,8,0
150,7,0
150,7,0
151,8,1
151,8,0
151,8,0
151,8,0
151,7,0
151,7,0
151,7,0
151,7,0
151,7,0
151,6,0
152,7,1
152,7,0
152,7,0
152,7,0
152,7,0
152,6,0
152,6,0
152,6,0
152,6,0
152,6,0
152,5,0
152,5,0
152,5,0
152,5,0
152,5,0
152,4,0
152,4,0
152,4,0
153,5,1
153,5,0
153,5,0
153,4,0
154,5,1
154,5,0
154,5,0
154,5,0
154,5,0
154,4,0
155,5,1
155,5,0
156,6,1
156,6,0
156,6,0
156,5,0
157,6,1
157,6,0
158,7,1
158,7,0
158,7,0
158,7,0
158,6,0
159,7,1
159,7,0
159,7,0
159,7,0
159,7,0
160,7,1
160,7,0
161,8,1
164,11,3
164,11,0
164,11,0
167,13,3
167,13,0
168,14,1
168,13,0
169,14,1
171,16,2
174,19,3
174,18,0
175,19,1
175,19,0
175,19,0
176,20,1
176,20,0
176,19,0
177,20,1
178,21,1
178,21,0
178,21,0
178,20,0
178,20,0
179,21,1
179,21,0
180,22,1
181,23,1
181,22,0
181,22,0
181,22,0
181,22,0
181,22,0
182,23,1
183,24,1
183,23,0
183,23,0
184,24,1
184,24,0
185,25,1
185,25,0
185,24,0
185,24,0
186,25,1
186,25,0
187,26,1
187,26,0
188,27,1
189,27,1
189,27,0
189,27,0
189,27,0
189,27,0
190,28,1
190,27,0
191,28,1
192,29,1
193,30,1
194,31,1
194,31,0
195,32,1
195,31,0
195,31,0
195,31,0
195,31,0
195,31,0
195,31,0
195,31,0
196,31,1
196,31,0
196,31,0
196,31,0
196,31,0
196,31,0
197,32,1
197,31,0
197,31,0
197,31,0
197,31,0
197,31,0
197,31,0
197,31,0
197,30,0
198,31,1
198,31,0
198,31,0
198,31,0
198,30,0
198,30,0
198,30,0
198,30,0
198,30,0
198,30,0
198,30,0
198,29,0
198,29,0
198,29,0
198,29,0
198,29,0
198,29,0
198,29,0
198,28,0
198,28,0
199,29,1
199,29,0
199,29,0
199,29,0
199,29,0
199,28,0
199,28,0
199,28,0
199,28,0
199,28,0
199,28,0
199,27,0
200,28,1
200,28,0
200,28,0
200,28,0
200,28,0
200,28,0
200,27,0
200,27,0
200,27,0
200,27,0
200,27,0
200,27,0
200,26,0
200,26,0
200,26,0
201,27,1
201,27,0
201,27,0
201,26,0
201,26,0
201,26,0
201,26,0
201,26,0
201,25,0
201,25,0
201,25,0
201,25,0
201,25,0
202,26,1
202,26,0
202,25,0
202,25,0
202,25,0
202,25,0
202,25,0
202,25,0
202,25,0
202,25,0
202,24,0
202,24,0
202,24,0
202,24,0
202,24,0
203,25,1
203,24,0
203,24,0
203,24,0
203,24,0
203,24,0
203,24,0
203,24,0
203,23,0
203,23,0
203,23,0
203,23,0
203,23,0
203,22,0
203,22,0
203,22,0
203,22,0
204,23,1
204,23,0
204,23,0
204,22,0
204,22,0
204,22,0
204,22,0
204,22,0
204,22,0
204,21,0
205,22,1
205,22,0
205,22,0
205,22,0
205,22,0
206,22,1
206,22,0
206,22,0
