time (ms),latency (ms),consume (ms)
0,7,0
38,37,38
39,37,1
39,35,0
39,33,0
39,32,0
40,31,1
40,30,0
40,28,0
40,27,0
40,25,0
43,27,3
43,25,0
43,24,0
44,23,1
45,22,1
45,20,0
45,19,0
50,22,5
52,22,2
54,23,2
55,23,1
55,22,0
55,21,0
55,11,0
55,8,0
55,7,0
63,14,8
63,10,0
64,8,1
64,7,0
64,6,0
64,5,0
70,10,6
70,9,0
70,8,0
71,7,1
71,6,0
72,4,1
72,3,0
73,2,1
74,1,1
76,1,2
79,2,3
79,1,0
80,1,1
81,1,1
82,1,1
84,2,2
85,1,1
86,1,1
87,1,1
89,2,2
92,2,3
93,1,1
94,1,1
96,1,2
97,1,1
98,1,1
99,1,1
101,2,2
105,4,4
109,2,4
111,2,2
112,1,1
114,2,2
116,1,2
117,1,1
118,1,1
119,1,1
120,1,1
122,1,2
123,1,1
124,1,1
125,1,1
126,1,1
128,2,2
130,1,2
131,1,1
132,1,1
133,1,1
136,3,3
138,2,2
139,1,1
140,1,1
142,2,2
143,1,1
144,1,1
147,3,3
150,2,3
152,1,2
153,1,1
154,1,1
155,1,1
157,1,2
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
164,1,2
165,1,1
166,1,1
167,1,1
168,1,1
171,1,3
172,1,1
173,1,1
174,1,1
175,1,1
176,1,1
178,1,2
179,1,1
180,1,1
181,1,1
182,1,1
183,1,1
184,1,1
186,1,2
187,1,1
188,1,1
189,1,1
190,1,1
192,2,2
196,4,4
201,2,5
202,1,1
206,2,4
208,2,2
216,8,8
220,3,4
228,7,8
229,1,1
230,1,1
232,1,2
233,1,1
235,1,2
236,1,1
237,1,1
238,1,1
239,1,1
240,1,1
242,1,2
243,1,1
244,1,1
245,1,1
246,1,1
247,1,1
249,1,2
250,1,1
251,1,1
252,1,1
253,1,1
255,1,2
258,3,3
260,3,2
260,1,0
263,2,3
263,1,0
265,1,2
267,2,2
269,2,2
277,8,8
277,7,0
277,6,0
277,5,0
277,4,0
277,3,0
278,3,1
279,3,1
279,2,0
280,1,1
282,1,2
284,1,2
286,1,2
289,2,3
290,1,1
293,2,3
295,1,2
296,1,1
297,1,1
298,1,1
300,2,2
301,1,1
302,1,1
303,1,1
304,1,1
305,1,1
306,1,1
309,1,3
310,1,1
311,1,1
312,1,1
314,1,2
315,1,1
316,1,1
318,1,2
319,1,1
320,1,1
321,1,1
322,1,1
323,1,1
324,1,1
326,2,2
327,1,1
328,1,1
329,1,1
332,1,3
333,1,1
334,1,1
335,1,1
336,1,1
339,1,3
340,1,1
341,1,1
342,1,1
343,1,1
344,1,1
346,1,2
347,1,1
366,19,19
366,15,0
366,13,0
366,11,0
367,10,1
368,10,1
368,8,0
368,6,0
368,4,0
368,2,0
377,8,9
377,7,0
377,6,0
377,5,0
377,4,0
377,3,0
377,2,0
377,1,0
378,1,1
381,2,3
382,1,1
389,6,7
389,5,0
389,4,0
389,3,0
389,2,0
389,1,0
390,1,1
392,1,2
395,2,3
396,2,1
397,2,1
398,2,1
398,1,0
400,1,2
401,1,1
402,1,1
403,1,1
404,1,1
405,1,1
406,1,1
407,1,1
408,0,1
410,1,2
411,1,1
412,1,1
413,1,1
414,1,1
415,1,1
416,1,1
417,1,1
420,1,3
421,1,1
422,1,1
423,1,1
424,1,1
425,1,1
426,0,1
428,1,2
429,1,1
430,1,1
431,1,1
432,1,1
433,1,1
434,1,1
437,1,3
438,1,1
439,1,1
440,1,1
441,1,1
442,1,1
444,1,2
445,1,1
446,1,1
447,1,1
448,1,1
449,1,1
450,1,1
451,1,1
452,1,1
453,1,1
456,1,3
457,1,1
458,1,1
459,1,1
460,1,1
461,1,1
462,1,1
465,1,3
466,1,1
467,1,1
468,1,1
469,1,1
472,1,3
473,1,1
475,1,2
476,1,1
477,1,1
478,1,1
479,1,1
480,1,1
483,1,3
484,1,1
485,1,1
486,1,1
488,2,2
489,1,1
490,1,1
492,1,2
493,1,1
494,1,1
495,1,1
496,1,1
497,1,1
498,1,1
499,1,1
500,1,1
501,1,1
504,1,3
505,1,1
506,1,1
507,1,1
508,1,1
509,1,1
512,1,3
513,1,1
514,1,1
515,1,1
516,1,1
517,1,1
518,1,1
520,1,2
521,1,1
522,1,1
523,1,1
524,0,1
526,1,2
527,1,1
528,1,1
529,1,1
530,1,1
531,1,1
532,1,1
533,1,1
534,1,1
535,1,1
538,1,3
539,1,1
540,1,1
541,1,1
542,1,1
543,1,1
546,1,3
547,1,1
548,0,1
550,1,2
551,1,1
554,1,3
555,1,1
556,1,1
558,2,2
559,1,1
560,1,1
562,2,2
563,1,1
565,2,2
568,3,3
571,2,3
573,2,2
574,1,1
576,1,2
578,2,2
579,1,1
605,25,26
605,6,0
605,5,0
605,3,0
606,2,1
607,2,1
608,1,1
611,2,3
613,2,2
615,2,2
617,2,2
620,2,3
620,1,0
622,1,2
625,2,3
625,1,0
627,1,2
630,2,3
630,1,0
633,2,3
634,2,1
634,1,0
636,2,2
636,1,0
637,1,1
638,1,1
639,1,1
640,1,1
643,1,3
644,1,1
645,1,1
646,1,1
647,1,1
648,1,1
649,1,1
650,1,1
652,0,2
654,1,2
655,1,1
656,1,1
657,1,1
658,1,1
659,1,1
660,1,1
661,1,1
662,1,1
663,1,1
664,1,1
667,1,3
668,1,1
669,1,1
670,1,1
671,1,1
672,1,1
673,1,1
674,0,1
676,1,2
677,1,1
678,1,1
679,1,1
680,1,1
681,1,1
682,1,1
683,1,1
685,2,2
686,1,1
687,1,1
688,1,1
691,1,3
692,1,1
693,1,1
694,1,1
695,1,1
696,1,1
697,1,1
698,1,1
699,1,1
702,1,3
703,1,1
704,1,1
705,1,1
706,1,1
707,1,1
708,1,1
709,1,1
710,1,1
713,1,3
714,1,1
715,1,1
716,1,1
717,1,1
718,1,1
719,1,1
720,1,1
721,1,1
724,1,3
725,1,1
727,1,2
728,1,1
729,1,1
730,1,1
731,1,1
732,1,1
733,1,1
734,1,1
737,1,3
738,1,1
739,1,1
740,1,1
741,1,1
742,1,1
743,1,1
744,1,1
745,0,1
747,1,2
748,1,1
749,1,1
750,1,1
751,1,1
752,1,1
753,1,1
754,1,1
755,1,1
756,1,1
757,1,1
758,1,1
759,1,1
760,1,1
763,1,3
764,1,1
765,1,1
766,1,1
767,1,1
768,1,1
769,1,1
770,1,1
773,1,3
774,1,1
775,1,1
776,1,1
777,1,1
778,1,1
779,1,1
780,1,1
781,1,1
782,1,1
783,1,1
786,1,3
788,2,2
789,1,1
790,1,1
791,1,1
792,1,1
793,0,1
795,1,2
796,1,1
797,1,1
798,1,1
799,1,1
800,1,1
801,1,1
802,1,1
803,1,1
804,1,1
805,1,1
806,1,1
807,1,1
810,1,3
811,1,1
812,1,1
813,1,1
814,1,1
815,1,1
816,1,1
817,1,1
820,1,3
821,1,1
822,1,1
823,1,1
824,1,1
825,1,1
826,1,1
827,1,1
828,0,1
830,1,2
831,1,1
832,1,1
833,1,1
834,1,1
835,1,1
836,1,1
840,4,4
841,1,1
842,1,1
843,1,1
844,1,1
850,5,6
851,5,1
851,3,0
851,2,0
851,1,0
852,1,1
855,2,3
857,2,2
858,1,1
859,1,1
860,1,1
861,1,1
862,1,1
863,1,1
864,1,1
865,1,1
866,1,1
867,0,1
869,1,2
870,1,1
871,1,1
872,1,1
873,1,1
874,1,1
875,1,1
876,1,1
877,1,1
878,1,1
879,1,1
880,1,1
883,1,3
884,1,1
885,1,1
886,1,1
887,1,1
888,1,1
889,1,1
890,1,1
893,1,3
894,1,1
895,1,1
896,1,1
897,1,1
898,1,1
899,1,1
900,1,1
901,1,1
904,1,3
905,1,1
906,1,1
907,1,1
908,1,1
909,1,1
911,2,2
912,1,1
913,1,1
914,1,1
915,1,1
916,1,1
917,1,1
920,1,3
921,1,1
922,1,1
923,1,1
925,1,2
926,1,1
927,1,1
928,1,1
930,1,2
931,1,1
932,1,1
933,1,1
934,1,1
935,1,1
936,1,1
937,1,1
938,1,1
939,1,1
