time (ms),latency (ms),consume (ms)
0,11,0
5,3,5
13,3,8
20,2,7
27,2,7
35,2,8
42,1,7
49,1,7
59,4,10
65,1,6
73,2,8
81,2,8
88,2,7
99,5,11
107,2,8
114,2,7
121,1,7
129,2,8
138,4,9
146,2,8
153,1,7
160,1,7
167,1,7
174,2,7
185,1,11
193,2,8
201,2,8
208,1,7
216,2,8
223,1,7
230,1,7
237,1,7
246,3,9
253,2,7
260,2,7
267,2,7
274,1,7
281,2,7
288,1,7
296,2,8
303,2,7
310,1,7
318,2,8
326,2,8
333,2,7
341,3,8
348,1,7
358,4,10
366,2,8
373,2,7
380,2,7
387,1,7
394,2,7
402,2,8
411,3,9
421,3,10
433,5,12
442,2,9
451,3,9
460,2,9
469,3,9
479,3,10
489,3,10
508,4,19
518,2,10
529,2,11
537,2,8
546,2,9
554,2,8
562,2,8
570,2,8
587,4,17
595,2,8
604,2,9
612,2,8
619,1,7
626,1,7
636,2,10
643,1,7
651,2,8
660,2,9
667,1,7
675,1,8
682,1,7
690,2,8
697,2,7
705,2,8
713,2,8
721,2,8
728,1,7
735,1,7
742,1,7
753,1,11
760,1,7
768,2,8
776,2,8
783,1,7
790,1,7
797,2,7
803,1,6
810,1,7
816,1,6
823,1,7
830,1,7
836,1,6
843,1,7
850,1,7
857,1,7
864,2,7
871,2,7
878,1,7
886,3,8
893,1,7
900,1,7
909,1,9
916,1,7
923,1,7
929,0,6
936,1,7
945,1,9
953,1,8
961,1,8
968,1,7
975,2,7
982,1,7
990,1,8
997,1,7
1004,1,7
1011,2,7
1017,1,6
1024,1,7
1030,1,6
1037,1,7
1043,1,6
1050,1,7
1056,1,6
1063,1,7
1069,0,6
1076,1,7
1083,1,7
1090,1,7
1096,1,6
1103,1,7
1111,3,8
1117,1,6
1124,1,7
1132,2,8
1139,1,7
1145,1,6
1152,1,7
1159,1,7
1166,1,7
1173,2,7
1180,2,7
1187,1,7
1194,2,7
1202,1,8
1209,1,7
1219,1,10
1226,1,7
1233,1,7
1240,1,7
1247,1,7
1254,1,7
1261,1,7
1268,1,7
1275,1,7
1282,2,7
1291,4,9
1298,1,7
1305,1,7
1312,1,7
1319,1,7
1326,1,7
1333,2,7
1339,1,6
1346,1,7
1354,1,8
1361,2,7
1369,2,8
