time (ms),latency (ms),consume (ms)
0,13,0
6,4,6
15,2,9
28,4,13
37,2,9
48,2,11
58,2,10
68,1,10
79,2,11
90,2,11
100,1,10
111,2,11
121,1,10
132,2,11
143,2,11
153,2,10
164,2,11
174,1,10
185,2,11
196,2,11
206,2,10
217,2,11
227,2,10
238,2,11
248,1,10
259,2,11
269,1,10
280,2,11
290,1,10
301,2,11
311,1,10
322,2,11
332,1,10
343,2,11
354,2,11
364,1,10
375,1,11
387,2,12
397,1,10
409,2,12
420,2,11
431,1,11
443,3,12
452,1,9
463,2,11
473,1,10
484,2,11
495,2,11
506,2,11
519,4,13
527,2,8
538,2,11
548,1,10
559,2,11
570,2,11
580,2,10
590,1,10
602,2,12
613,2,11
623,2,10
634,2,11
644,1,10
655,2,11
666,2,11
678,3,12
689,2,11
700,2,11
710,1,10
721,2,11
731,1,10
742,2,11
752,1,10
763,2,11
774,2,11
784,1,10
795,2,11
806,2,11
816,2,10
826,1,10
838,2,12
848,2,10
859,2,11
869,1,10
880,2,11
891,2,11
902,2,11
912,1,10
922,1,10
933,1,11
944,2,11
955,2,11
966,2,11
976,1,10
987,2,11
998,1,11
1009,2,11
1020,2,11
1030,1,10
1041,1,11
1052,2,11
1062,1,10
1073,1,11
1084,2,11
1095,2,11
1105,1,10
1116,2,11
1126,1,10
1138,2,12
1148,1,10
1159,2,11
1169,1,10
1181,3,12
1191,2,10
1201,1,10
1213,3,12
1224,2,11
1234,1,10
1245,2,11
1255,1,10
1266,2,11
1276,1,10
1287,2,11
1297,1,10
1308,1,11
1319,2,11
1329,1,10
1340,2,11
1351,2,11
1363,4,12
1372,2,9
1382,2,10
1392,1,10
1403,2,11
1413,1,10
1424,2,11
1434,1,10
1445,2,11
1455,1,10
1466,2,11
1476,1,10
1487,2,11
1497,1,10
1507,1,10
1518,1,11
1528,1,10
1539,1,11
1550,2,11
1560,1,10
1570,1,10
1581,2,11
1591,1,10
1602,2,11
1612,1,10
1623,2,11
1633,1,10
1644,2,11
1654,1,10
1665,2,11
1675,1,10
1686,2,11
1696,1,10
1707,2,11
1717,1,10
1728,2,11
1738,1,10
1749,2,11
1759,1,10
1770,2,11
1780,1,10
1791,2,11
1801,2,10
1811,1,10
1822,2,11
1832,1,10
1843,2,11
1853,1,10
1865,1,12
1876,2,11
1886,1,10
1896,1,10
1907,1,11
1918,2,11
1928,1,10
1938,1,10
1949,1,11
1959,1,10
1971,2,12
1983,2,12
1993,1,10
2003,1,10
2014,1,11
2025,2,11
2035,1,10
2046,2,11
2056,1,10
2066,1,10
2077,2,11
2087,1,10
2098,2,11
2108,1,10
2118,1,10
2129,1,11
2139,1,10
2150,2,11
2160,1,10
2170,1,10
2181,1,11
2191,1,10
2202,2,11
2212,1,10
2222,1,10
2233,1,11
2243,1,10
2254,2,11
2264,1,10
2274,1,10
2285,1,11
2309,15,24
2310,6,1
2316,1,6
2327,1,11
2338,2,11
2348,1,10
2359,2,11
2369,1,10
2380,2,11
2390,1,10
2401,2,11
2411,1,10
2421,1,10
2432,1,11
2442,1,10
2453,2,11
2463,1,10
2474,2,11
2484,1,10
2494,1,10
2505,1,11
2515,1,10
2526,2,11
2536,1,10
2547,2,11
2557,1,10
2568,2,11
2578,1,10
2589,2,11
2599,1,10
2610,2,11
2620,1,10
2633,4,13
2647,5,14
2658,2,11
2670,3,12
2679,2,9
2690,2,11
2701,2,11
2711,2,10
2721,1,10
2731,1,10
2742,1,11
2752,1,10
2763,2,11
2774,1,11
2786,2,12
2797,2,11
2808,1,11
2818,1,10
2829,2,11
2839,1,10
2850,2,11
2860,1,10
2870,1,10
2881,2,11
2891,1,10
2902,2,11
2912,1,10
2922,1,10
2933,2,11
2943,1,10
2953,1,10
2964,1,11
2974,1,10
2985,2,11
2995,1,10
3005,1,10
3016,1,11
3026,1,10
3037,2,11
