time (ms),latency (ms),consume (ms)
0,12,0
4,8,4
5,8,1
6,8,1
7,8,1
7,7,0
8,7,1
8,7,0
12,10,4
12,8,0
13,8,1
14,9,1
14,9,0
15,9,1
16,10,1
17,11,1
17,11,0
17,10,0
20,13,3
21,12,1
22,13,1
22,13,0
22,13,0
22,12,0
23,13,1
24,14,1
24,13,0
24,13,0
24,13,0
25,13,1
26,14,1
27,14,1
27,13,0
28,13,1
29,14,1
30,15,1
31,15,1
32,16,1
34,17,2
35,16,1
36,17,1
37,17,1
38,18,1
39,19,1
39,18,0
40,19,1
40,17,0
41,18,1
41,16,0
41,16,0
41,15,0
41,15,0
42,15,1
42,15,0
42,14,0
42,14,0
42,13,0
43,14,1
43,13,0
43,13,0
43,12,0
43,12,0
44,12,1
44,12,0
44,11,0
44,11,0
45,11,1
45,11,0
45,10,0
45,10,0
46,10,1
46,10,0
46,9,0
46,9,0
46,8,0
47,9,1
47,8,0
47,8,0
47,7,0
47,7,0
48,7,1
48,7,0
48,6,0
48,5,0
49,6,1
49,5,0
49,5,0
49,4,0
49,4,0
49,4,0
50,4,1
50,4,0
50,3,0
50,3,0
50,2,0
51,2,1
51,2,0
51,1,0
52,2,1
53,3,1
53,2,0
53,1,0
54,2,1
54,1,0
55,2,1
55,1,0
56,1,1
56,1,0
57,1,1
57,1,0
58,1,1
59,2,1
59,1,0
60,2,1
61,2,1
61,1,0
62,2,1
62,2,0
63,2,1
63,1,0
64,1,1
65,2,1
66,2,1
66,1,0
67,2,1
67,1,0
68,1,1
69,2,1
69,1,0
70,1,1
70,1,0
71,1,1
72,2,1
72,1,0
73,1,1
73,1,0
78,5,5
79,6,1
79,5,0
79,5,0
79,4,0
79,4,0
80,4,1
80,4,0
80,3,0
80,3,0
80,2,0
80,1,0
81,2,1
81,1,0
82,1,1
83,2,1
83,1,0
84,2,1
84,1,0
84,0,0
86,2,2
86,1,0
87,2,1
88,2,1
88,2,0
88,1,0
89,2,1
89,1,0
90,1,1
90,1,0
91,1,1
91,1,0
93,2,2
93,1,0
94,2,1
94,1,0
95,2,1
95,2,0
95,1,0
96,1,1
97,2,1
97,1,0
98,2,1
99,2,1
99,1,0
100,2,1
100,1,0
100,1,0
101,1,1
102,2,1
103,2,1
103,1,0
104,2,1
105,2,1
105,1,0
106,2,1
106,1,0
107,2,1
107,1,0
108,2,1
108,1,0
108,1,0
109,2,1
109,1,0
110,2,1
110,1,0
111,2,1
111,2,0
111,1,0
112,2,1
113,2,1
114,2,1
114,1,0
115,2,1
116,2,1
116,1,0
117,2,1
117,1,0
121,4,4
131,2,10
132,3,1
132,2,0
133,3,1
133,3,0
133,3,0
133,3,0
134,3,1
135,4,1
135,4,0
135,4,0
136,5,1
136,4,0
137,5,1
137,5,0
137,5,0
137,5,0
138,5,1
138,5,0
138,5,0
138,5,0
138,5,0
139,5,1
140,6,1
140,6,0
140,6,0
141,7,1
142,7,1
142,7,0
142,7,0
143,8,1
143,8,0
144,8,1
144,8,0
144,8,0
145,9,1
145,9,0
145,8,0
145,8,0
146,9,1
147,9,1
147,9,0
147,9,0
147,8,0
147,8,0
147,8,0
147,8,0
148,9,1
148,8,0
148,8,0
148,8,0
148,8,0
148,8,0
148,7,0
148,7,0
148,7,0
148,7,0
148,7,0
148,6,0
149,7,1
149,7,0
149,7,0
149,7,0
149,7,0
149,6,0
149,6,0
149,6,0
150,7,1
150,7,0
150,6,0
150,6,0
150,6,0
150,6,0
150,5,0
150,5,0
150,5,0
151,6,1
151,5,0
151,5,0
151,5,0
151,5,0
151,4,0
152,5,1
152,5,0
152,4,0
152,4,0
152,4,0
152,3,0
152,3,0
152,3,0
153,3,1
153,3,0
153,3,0
153,3,0
153,2,0
153,2,0
153,2,0
154,2,1
154,2,0
154,2,0
154,1,0
155,2,1
155,1,0
160,5,5
160,5,0
161,5,1
161,5,0
161,4,0
161,3,0
161,3,0
161,2,0
162,3,1
162,2,0
164,4,2
164,3,0
164,3,0
165,3,1
165,3,0
165,2,0
165,2,0
165,1,0
166,2,1
166,1,0
167,1,1
167,1,0
168,1,1
172,5,4
173,5,1
173,5,0
173,4,0
195,26,22
195,26,0
195,25,0
195,24,0
195,24,0
195,24,0
195,23,0
195,23,0
195,22,0
195,22,0
196,22,1
196,22,0
196,21,0
196,21,0
196,20,0
196,20,0
196,19,0
196,19,0
196,19,0
198,20,2
198,20,0
198,19,0
198,19,0
198,19,0
198,18,0
198,17,0
198,17,0
198,16,0
198,16,0
198,15,0
198,15,0
198,15,0
198,14,0
199,14,1
199,13,0
199,13,0
199,12,0
199,12,0
201,13,2
201,13,0
201,12,0
201,11,0
201,11,0
201,11,0
201,10,0
201,9,0
201,9,0
201,8,0
201,8,0
201,8,0
201,8,0
202,9,1
202,9,0
202,8,0
202,8,0
203,9,1
203,9,0
203,9,0
203,9,0
203,8,0
204,9,1
204,9,0
204,9,0
204,9,0
204,9,0
204,9,0
204,8,0
204,8,0
204,8,0
204,8,0
204,8,0
204,8,0
204,7,0
204,7,0
204,7,0
205,8,1
206,9,1
206,9,0
206,9,0
206,8,0
206,8,0
207,9,1
207,9,0
207,9,0
207,9,0
207,8,0
207,8,0
207,8,0
207,8,0
207,8,0
207,8,0
207,8,0
207,7,0
208,8,1
208,8,0
209,9,1
210,10,1
210,10,0
210,10,0
210,9,0
210,9,0
210,9,0
218,17,8
218,17,0
219,18,1
219,17,0
219,17,0
219,17,0
219,17,0
220,18,1
220,18,0
220,18,0
220,17,0
220,17,0
220,17,0
220,17,0
221,18,1
221,18,0
221,18,0
221,17,0
221,17,0
221,17,0
221,17,0
221,17,0
221,17,0
221,16,0
221,16,0
221,16,0
221,16,0
221,16,0
222,17,1
222,16,0
222,16,0
222,16,0
222,16,0
222,16,0
222,16,0
222,16,0
222,15,0
222,15,0
222,15,0
222,15,0
222,15,0
222,15,0
222,15,0
223,15,1
223,15,0
223,15,0
223,15,0
223,15,0
223,15,0
223,14,0
223,14,0
223,14,0
224,15,1
224,15,0
224,15,0
224,15,0
224,14,0
224,14,0
224,14,0
225,15,1
225,14,0
225,14,0
226,15,1
236,25,10
237,26,1
237,25,0
237,25,0
237,25,0
237,25,0
237,24,0
237,24,0
237,24,0
237,24,0
237,24,0
237,24,0
237,23,0
237,23,0
237,23,0
237,23,0
237,23,0
238,24,1
238,23,0
238,23,0
238,23,0
238,23,0
238,23,0
238,23,0
238,23,0
238,22,0
238,22,0
238,22,0
238,22,0
238,22,0
238,22,0
238,21,0
238,21,0
238,21,0
238,21,0
239,21,1
239,21,0
239,21,0
239,21,0
239,21,0
239,21,0
239,21,0
239,20,0
239,20,0
239,20,0
239,20,0
239,20,0
239,20,0
239,20,0
239,20,0
239,19,0
239,19,0
239,19,0
239,19,0
240,20,1
240,20,0
240,19,0
240,19,0
240,19,0
240,19,0
240,19,0
240,18,0
240,18,0
240,18,0
240,18,0
240,17,0
240,16,0
240,16,0
240,16,0
241,17,1
241,17,0
241,16,0
241,16,0
241,16,0
241,16,0
241,16,0
241,16,0
241,15,0
241,15,0
241,15,0
241,15,0
241,15,0
241,15,0
241,14,0
241,14,0
241,14,0
241,14,0
241,14,0
242,15,1
242,14,0
242,14,0
242,14,0
242,14,0
242,14,0
242,14,0
242,14,0
242,13,0
242,13,0
242,13,0
242,13,0
242,13,0
242,13,0
248,18,6
248,18,0
248,18,0
248,18,0
248,18,0
248,18,0
248,18,0
249,18,1
249,18,0
249,18,0
249,18,0
249,18,0
249,18,0
249,18,0
249,17,0
249,17,0
249,17,0
249,17,0
249,17,0
250,18,1
250,18,0
250,17,0
250,17,0
250,17,0
250,17,0
250,17,0
250,16,0
250,16,0
251,17,1
251,17,0
251,17,0
251,17,0
251,17,0
251,16,0
251,16,0
251,16,0
251,16,0
251,16,0
257,22,6
262,26,5
262,26,0
262,26,0
262,26,0
262,26,0
262,26,0
262,25,0
262,25,0
262,25,0
263,26,1
263,23,0
263,22,0
263,22,0
263,22,0
263,22,0
263,21,0
263,21,0
263,21,0
263,21,0
263,21,0
263,20,0
263,20,0
263,20,0
263,20,0
263,19,0
263,19,0
263,19,0
263,19,0
263,18,0
264,19,1
264,19,0
264,19,0
264,18,0
264,18,0
264,18,0
264,18,0
264,17,0
264,17,0
264,17,0
264,17,0
264,16,0
264,16,0
