time (ms),latency (ms),consume (ms)
0,38,0
0,29,0
2,25,2
2,19,0
2,13,0
42,48,40
44,43,2
44,37,0
44,32,0
46,28,2
48,24,2
48,18,0
49,14,1
49,4,0
53,3,4
59,2,6
65,2,6
73,3,8
78,2,5
84,3,6
94,6,10
98,4,4
104,4,6
109,2,5
114,2,5
119,2,5
124,2,5
129,1,5
135,2,6
140,2,5
146,3,6
153,4,7
156,2,3
161,2,5
168,2,7
173,2,5
178,2,5
185,3,7
190,1,5
196,2,6
203,4,7
211,5,8
216,3,5
224,5,8
229,2,5
235,3,6
241,2,6
246,2,5
252,2,6
257,2,5
262,2,5
268,2,6
273,2,5
279,3,6
285,1,6
291,2,6
296,2,5
301,1,5
307,2,6
312,2,5
317,2,5
324,2,7
331,4,7
335,2,4
343,3,8
352,5,9
355,1,3
361,2,6
366,2,5
371,1,5
377,2,6
382,2,5
387,2,5
393,1,6
399,2,6
403,1,4
410,3,7
415,2,5
421,2,6
427,1,6
433,2,6
440,4,7
443,2,3
448,1,5
454,2,6
460,3,6
464,2,4
470,2,6
475,2,5
483,5,8
488,2,5
495,3,7
502,2,7
507,2,5
512,2,5
517,2,5
523,2,6
529,3,6
535,3,6
539,1,4
545,2,6
550,2,5
555,2,5
561,2,6
567,2,6
572,2,5
577,2,5
582,2,5
588,1,6
594,2,6
599,2,5
604,2,5
610,1,6
616,2,6
622,3,6
629,2,7
645,13,16
646,9,1
646,4,0
650,2,4
655,1,5
661,2,6
667,2,6
672,2,5
679,4,7
684,2,5
689,2,5
696,4,7
703,5,7
713,7,10
718,4,5
730,8,12
733,2,3
738,2,5
743,2,5
748,1,5
755,3,7
760,1,5
766,2,6
772,2,6
778,2,6
784,1,6
790,2,6
795,2,5
800,2,5
806,1,6
812,2,6
817,2,5
822,2,5
828,2,6
833,1,5
840,3,7
845,2,5
850,2,5
855,2,5
861,1,6
867,2,6
872,2,5
880,5,8
901,17,21
903,13,2
904,9,1
905,3,1
909,2,4
915,2,6
921,2,6
926,2,5
932,3,6
938,2,6
943,2,5
949,3,6
954,3,5
958,2,4
964,3,6
968,2,4
973,2,5
979,1,6
985,2,6
990,2,5
995,2,5
1000,2,5
1005,2,5
1011,1,6
1017,2,6
1022,2,5
1027,2,5
1032,2,5
1038,2,6
1043,2,5
1048,2,5
1053,2,5
1058,2,5
1064,1,6
1070,2,6
1075,2,5
1080,2,5
1087,4,7
1091,2,4
1096,2,5
1102,1,6
1108,2,6
1113,2,5
1118,2,5
1123,2,5
1129,2,6
1135,1,6
1141,2,6
1146,2,5
1151,2,5
1156,2,5
1162,2,6
1167,1,5
1173,2,6
1178,2,5
1183,2,5
1189,2,6
1196,2,7
1201,2,5
1206,2,5
1211,2,5
1217,1,6
1223,2,6
1228,2,5
1233,2,5
1238,2,5
1244,1,6
1250,2,6
1255,2,5
