time (ms),latency (ms),consume (ms)
0,10,0
2,3,2
7,2,5
13,2,6
18,2,5
23,1,5
29,2,6
35,2,6
40,2,5
46,2,6
51,1,5
58,2,7
64,2,6
70,1,6
76,1,6
82,1,6
88,2,6
94,2,6
99,1,5
105,2,6
111,1,6
117,2,6
122,1,5
128,1,6
134,2,6
140,2,6
145,1,5
151,2,6
157,2,6
162,1,5
168,1,6
174,2,6
180,2,6
186,2,6
191,1,5
197,2,6
203,2,6
208,1,5
214,1,6
220,2,6
226,2,6
232,2,6
237,1,5
243,2,6
249,2,6
254,1,5
260,2,6
266,2,6
272,2,6
278,2,6
283,1,5
289,2,6
294,1,5
300,1,6
306,2,6
312,2,6
318,3,6
323,2,5
328,1,5
334,2,6
340,2,6
345,2,5
351,2,6
357,2,6
362,2,5
368,2,6
373,1,5
379,2,6
384,1,5
390,2,6
395,2,5
401,2,6
406,1,5
412,2,6
417,1,5
423,2,6
428,1,5
434,2,6
439,1,5
445,2,6
450,1,5
456,2,6
462,2,6
467,1,5
473,2,6
479,2,6
484,2,5
490,2,6
495,2,5
501,2,6
506,2,5
512,2,6
517,1,5
523,2,6
528,1,5
534,2,6
540,2,6
545,1,5
551,2,6
556,1,5
562,2,6
567,1,5
573,2,6
578,1,5
584,2,6
589,1,5
595,2,6
600,2,5
605,1,5
611,2,6
616,1,5
622,2,6
627,1,5
633,2,6
639,2,6
644,1,5
650,2,6
655,1,5
661,2,6
666,1,5
672,2,6
677,1,5
683,1,6
689,2,6
695,2,6
700,2,5
706,2,6
712,2,6
717,2,5
723,2,6
728,2,5
733,1,5
738,1,5
744,1,6
750,2,6
755,1,5
761,2,6
766,2,5
771,1,5
777,2,6
782,1,5
788,2,6
793,1,5
799,2,6
804,1,5
810,2,6
815,1,5
821,2,6
826,1,5
832,2,6
837,1,5
843,2,6
848,2,5
855,1,7
861,1,6
867,2,6
872,2,5
877,1,5
883,2,6
888,1,5
893,1,5
899,2,6
904,1,5
910,2,6
915,1,5
921,2,6
926,1,5
932,2,6
937,2,5
942,1,5
948,2,6
953,1,5
959,2,6
964,1,5
969,1,5
975,2,6
981,1,6
987,2,6
992,1,5
998,2,6
1003,2,5
1008,1,5
1014,2,6
1019,1,5
1025,2,6
1030,1,5
1035,1,5
1041,1,6
1047,2,6
1052,1,5
1057,1,5
1063,1,6
1069,2,6
1075,2,6
1079,1,4
1085,1,6
1090,1,5
1096,2,6
1101,1,5
1107,2,6
1112,1,5
1117,1,5
1123,2,6
1128,1,5
1134,2,6
1139,2,5
1144,1,5
1150,2,6
1155,1,5
1161,2,6
1166,1,5
1171,1,5
1177,2,6
1182,1,5
1188,2,6
1193,1,5
1198,1,5
1217,15,19
1217,9,0
1218,5,1
1220,1,2
1226,2,6
1231,2,5
1237,2,6
1242,1,5
1247,1,5
1253,2,6
1258,1,5
1263,1,5
1269,1,6
1274,1,5
1280,2,6
1285,1,5
1291,2,6
1296,1,5
1301,1,5
1308,3,7
1313,1,5
1318,1,5
1324,2,6
1329,1,5
1335,2,6
1340,1,5
1345,1,5
1351,2,6
1356,1,5
1362,2,6
1367,1,5
1373,2,6
1378,1,5
1383,1,5
1389,1,6
1394,1,5
1400,1,6
1405,1,5
1411,1,6
1417,1,6
1423,2,6
1429,2,6
1435,3,6
1439,2,4
1444,1,5
1450,2,6
1455,1,5
1461,2,6
1466,1,5
1471,1,5
1477,2,6
1482,1,5
1488,2,6
1493,2,5
1498,1,5
1504,2,6
1509,1,5
1515,2,6
1520,2,5
1525,1,5
1531,2,6
1536,1,5
1542,2,6
1547,2,5
1552,1,5
1558,2,6
1563,1,5
1569,2,6
1574,1,5
1579,1,5
1585,2,6
1590,1,5
1596,2,6
1601,1,5
1606,1,5
1612,2,6
1617,1,5
1623,2,6
1628,2,5
1633,1,5
1639,2,6
1644,1,5
1650,2,6
1655,2,5
1660,1,5
1666,2,6
1671,1,5
1676,1,5
1682,2,6
1687,1,5
1693,2,6
1698,1,5
1704,2,6
1709,2,5
1714,1,5
1719,1,5
1725,1,6
1730,1,5
1736,2,6
1741,1,5
1747,2,6
1752,1,5
1760,2,8
1765,1,5
1770,1,5
1776,2,6
1781,1,5
1786,1,5
1792,2,6
1797,1,5
1803,2,6
1808,1,5
1813,1,5
1819,2,6
1824,1,5
1830,2,6
1835,1,5
1840,1,5
1846,2,6
1852,2,6
1857,2,5
1862,1,5
1867,1,5
1873,2,6
1878,1,5
1883,1,5
1889,2,6
1894,1,5
1900,2,6
1905,1,5
1910,1,5
1916,2,6
1921,1,5
1926,1,5
1932,2,6
1937,1,5
1943,2,6
1948,1,5
1953,1,5
1959,2,6
1964,1,5
1969,1,5
1975,2,6
1980,1,5
1986,2,6
1991,1,5
1996,1,5
2002,2,6
2007,1,5
2012,1,5
2018,1,6
2023,1,5
2029,2,6
2034,1,5
2040,2,6
2045,1,5
2051,2,6
2056,1,5
2062,1,6
2067,1,5
2073,1,6
2079,2,6
2084,1,5
2090,2,6
2096,2,6
2101,1,5
2119,2,18
2124,1,5
2130,2,6
2135,1,5
2141,1,6
2146,1,5
2153,2,7
2158,1,5
2163,1,5
2169,1,6
2174,1,5
2179,1,5
2185,1,6
2190,1,5
2195,1,5
2201,1,6
2206,1,5
2211,1,5
2217,1,6
2222,1,5
2228,2,6
2235,3,7
2238,1,3
2244,1,6
2249,1,5
2254,1,5
2260,1,6
2265,1,5
2271,2,6
2276,1,5
2281,1,5
2287,2,6
2292,1,5
2297,1,5
2303,2,6
2308,1,5
2314,2,6
2319,1,5
2325,2,6
2330,1,5
2335,1,5
2341,2,6
2346,1,5
2352,2,6
2357,2,5
2362,1,5
2367,1,5
2373,2,6
2378,1,5
2383,1,5
2390,2,7
2394,1,4
2400,2,6
2405,1,5
2410,1,5
2416,1,6
2421,1,5
2427,2,6
2432,1,5
2437,1,5
2443,1,6
2448,1,5
2454,2,6
2459,1,5
2464,1,5
2470,1,6
2475,1,5
2480,1,5
2486,1,6
2491,1,5
2497,2,6
2503,1,6
2509,2,6
2515,2,6
2521,1,6
2526,1,5
2532,2,6
2537,1,5
2542,1,5
2548,1,6
2553,1,5
2558,1,5
2564,1,6
2569,1,5
2575,2,6
2580,1,5
2585,1,5
2591,2,6
2596,1,5
2601,1,5
2607,1,6
2612,1,5
2618,2,6
2623,1,5
2628,1,5
2634,1,6
2639,1,5
2645,2,6
2650,1,5
2655,1,5
2661,2,6
2670,5,9
2672,2,2
2677,2,5
2682,1,5
2687,1,5
2693,1,6
2698,1,5
2704,2,6
2709,1,5
2714,1,5
2720,2,6
2725,1,5
2730,1,5
2736,2,6
2741,1,5
2746,1,5
2752,2,6
2757,1,5
2762,1,5
2768,1,6
2773,1,5
2780,2,7
2785,1,5
2791,2,6
2796,1,5
2801,1,5
2807,1,6
2813,2,6
2818,1,5
2824,2,6
2829,1,5
2835,1,6
2840,1,5
2846,1,6
2852,1,6
2858,2,6
2863,1,5
2868,1,5
2874,2,6
2879,1,5
2884,1,5
2890,2,6
2895,1,5
2900,1,5
2906,1,6
2911,1,5
2917,2,6
2922,1,5
2927,1,5
2933,2,6
2938,1,5
2943,1,5
2949,2,6
2954,1,5
2959,1,5
2964,1,5
2970,1,6
2975,1,5
2982,3,7
2986,1,4
2991,1,5
2997,2,6
3002,1,5
3008,2,6
3013,2,5
3018,1,5
3023,1,5
3029,2,6
3034,1,5
3040,1,6
3046,1,6
3053,1,7
3058,1,5
3064,1,6
3070,1,6
3075,1,5
3081,1,6
3086,1,5
3092,1,6
3097,1,5
3103,1,6
3108,1,5
3114,2,6
3119,1,5
3125,2,6
3130,1,5
3135,1,5
3141,1,6
3146,1,5
3152,2,6
3157,1,5
3162,1,5
3167,1,5
3173,1,6
3178,1,5
3184,2,6
3189,1,5
3194,1,5
3199,1,5
3205,2,6
3210,1,5
3215,1,5
3221,2,6
3226,1,5
3231,1,5
3237,2,6
3242,1,5
3247,1,5
3253,2,6
3258,1,5
3263,1,5
3268,1,5
3274,1,6
3279,1,5
3284,1,5
3290,1,6
3296,2,6
3303,4,7
3306,1,3
3311,1,5
3317,2,6
3322,1,5
3327,1,5
3333,2,6
3338,1,5
3343,1,5
3349,2,6
3354,1,5
3359,1,5
3365,2,6
3370,1,5
3375,1,5
3380,1,5
3386,1,6
3391,1,5
3397,2,6
3402,1,5
3407,1,5
3412,1,5
3418,1,6
3423,1,5
3429,2,6
3434,1,5
3439,1,5
3445,2,6
3450,1,5
3455,1,5
3461,2,6
3467,2,6
3472,2,5
3477,2,5
3482,1,5
3488,2,6
3493,1,5
3498,1,5
3504,2,6
3509,1,5
3515,2,6
3520,1,5
3526,2,6
3531,1,5
3536,1,5
3542,2,6
3547,1,5
3552,1,5
3558,1,6
3563,1,5
3569,1,6
3574,1,5
3580,2,6
3585,1,5
3591,2,6
3596,1,5
3602,1,6
3608,1,6
3614,1,6
3619,1,5
3624,1,5
3630,1,6
3635,1,5
3641,2,6
3646,1,5
3651,1,5
3657,2,6
3662,1,5
3668,2,6
3673,1,5
3678,1,5
3684,2,6
3689,1,5
3694,1,5
3700,2,6
3705,1,5
3710,1,5
3716,2,6
3721,1,5
3726,1,5
3732,2,6
3737,1,5
3742,1,5
3748,2,6
3753,1,5
3758,1,5
3764,2,6
3769,1,5
3774,1,5
3779,1,5
3785,1,6
3790,1,5
3796,2,6
3801,1,5
3806,1,5
3812,1,6
3817,1,5
3822,1,5
3828,1,6
3833,1,5
3842,5,9
3844,1,2
3849,1,5
3854,1,5
3860,2,6
3865,1,5
3871,2,6
3876,1,5
3882,2,6
3888,2,6
3893,1,5
3898,1,5
3904,1,6
3916,6,12
3917,2,1
3923,2,6
3929,2,6
3934,1,5
3940,2,6
3945,1,5
3951,1,6
3957,1,6
3963,1,6
3969,1,6
3974,1,5
3980,1,6
