time (ms),latency (ms),consume (ms)
0,36,0
0,27,0
2,23,2
2,18,0
2,13,0
43,49,41
45,44,2
45,39,0
45,33,0
45,27,0
48,25,3
48,20,0
48,14,0
48,9,0
51,5,3
57,3,6
63,4,6
70,4,7
73,2,3
79,2,6
89,6,10
93,3,4
100,5,7
103,2,3
108,2,5
114,1,6
120,2,6
125,2,5
130,2,5
137,2,7
142,2,5
148,3,6
153,2,5
158,1,5
164,2,6
169,2,5
175,1,6
181,2,6
186,2,5
191,2,5
198,3,7
205,4,7
211,2,6
219,5,8
224,2,5
229,2,5
235,2,6
240,2,5
246,1,6
252,2,6
257,2,5
264,2,7
269,2,5
275,3,6
280,1,5
286,2,6
291,2,5
296,2,5
302,2,6
307,2,5
312,2,5
318,2,6
325,4,7
329,2,4
337,4,8
345,5,8
348,1,3
354,2,6
359,2,5
365,3,6
370,2,5
375,2,5
381,2,6
386,2,5
394,5,8
399,2,5
406,3,7
411,2,5
416,1,5
422,2,6
427,2,5
434,4,7
438,2,4
444,1,6
450,2,6
455,2,5
460,2,5
466,2,6
471,2,5
478,4,7
485,2,7
491,3,6
496,1,5
502,2,6
507,2,5
513,2,6
519,2,6
524,2,5
529,2,5
536,4,7
539,2,3
544,2,5
549,2,5
555,1,6
561,2,6
566,2,5
571,2,5
577,1,6
583,2,6
588,2,5
593,2,5
598,2,5
604,2,6
609,2,5
615,3,6
622,3,7
636,11,14
636,6,0
638,2,2
643,2,5
648,1,5
654,2,6
660,2,6
666,2,6
673,4,7
678,2,5
683,2,5
691,4,8
698,5,7
708,7,10
713,4,5
726,9,13
728,3,2
732,2,4
737,2,5
742,2,5
749,3,7
753,2,4
759,2,6
764,2,5
770,1,6
776,2,6
781,2,5
786,1,5
792,2,6
797,2,5
802,2,5
807,2,5
813,2,6
819,1,6
825,2,6
831,3,6
836,2,5
842,2,6
848,1,6
854,2,6
859,2,5
864,2,5
869,2,5
875,1,6
881,2,6
887,1,6
893,1,6
899,2,6
904,2,5
909,2,5
914,2,5
920,2,6
926,1,6
932,2,6
937,2,5
942,2,5
947,2,5
953,2,6
959,1,6
965,2,6
970,2,5
975,2,5
980,2,5
986,1,6
992,2,6
997,2,5
1002,2,5
1007,2,5
1013,2,6
1018,1,5
1024,2,6
1029,2,5
1035,2,6
1041,1,6
1047,2,6
1052,2,5
1057,2,5
1062,2,5
1067,2,5
1073,1,6
1080,3,7
1085,1,5
1091,2,6
1096,2,5
1101,2,5
1106,2,5
1112,2,6
1118,1,6
1124,2,6
1129,2,5
1134,2,5
1139,2,5
1145,2,6
1151,1,6
1157,2,6
1162,2,5
1167,2,5
1172,2,5
1178,1,6
1184,2,6
1189,2,5
1194,2,5
1200,2,6
1206,2,6
1211,2,5
1216,2,5
1221,2,5
1226,2,5
1232,1,6
1238,2,6
1243,2,5
1248,2,5
1253,2,5
1258,2,5
1264,1,6
1270,2,6
1275,2,5
1280,2,5
1285,2,5
1291,1,6
1297,2,6
1302,2,5
1307,2,5
1312,2,5
1319,2,7
1324,2,5
1329,2,5
1334,2,5
1340,1,6
1346,2,6
1351,2,5
1356,2,5
1361,2,5
1367,1,6
1373,2,6
1378,2,5
1383,2,5
1388,2,5
1394,1,6
1400,2,6
1405,2,5
1410,2,5
1419,4,9
1422,2,3
1427,2,5
1432,2,5
1438,1,6
1444,2,6
1449,2,5
1454,2,5
1459,2,5
1465,2,6
1471,1,6
1477,2,6
1482,2,5
1487,2,5
1492,2,5
1498,2,6
1504,1,6
1510,2,6
1515,2,5
1520,2,5
1525,2,5
1531,2,6
1537,1,6
1543,2,6
1548,2,5
1553,2,5
1558,2,5
1564,1,6
1570,2,6
1575,2,5
1580,2,5
1585,2,5
1592,2,7
1597,2,5
1602,2,5
1607,2,5
1613,1,6
1618,1,5
1624,2,6
1629,2,5
1634,2,5
1640,1,6
1646,2,6
1651,2,5
1656,2,5
1661,2,5
1667,1,6
1673,2,6
1678,2,5
1695,13,17
1695,8,0
1695,3,0
1700,2,5
1705,2,5
1711,2,6
1716,2,5
1721,2,5
1726,1,5
1732,2,6
1738,2,6
1744,3,6
1749,3,5
1753,2,4
1758,2,5
1763,2,5
1768,2,5
1774,1,6
1780,2,6
1785,2,5
1790,2,5
1796,1,6
1802,2,6
1807,2,5
1812,2,5
1817,2,5
1824,2,7
1829,2,5
1834,2,5
1839,2,5
1845,1,6
1850,1,5
1856,2,6
1861,2,5
1866,2,5
1872,1,6
1878,2,6
1883,2,5
1888,2,5
1893,2,5
1900,2,7
1905,2,5
1910,2,5
1915,2,5
1921,1,6
1927,2,6
1933,3,6
1938,2,5
1943,2,5
1948,2,5
1954,1,6
1960,2,6
1965,2,5
1970,2,5
1976,1,6
1982,2,6
1987,2,5
1992,2,5
1998,2,6
2004,2,6
2009,2,5
2014,2,5
2019,2,5
2025,1,6
2031,2,6
2036,2,5
2041,2,5
2047,1,6
2053,2,6
2058,2,5
2064,3,6
2069,2,5
2074,2,5
2079,2,5
2085,2,6
2090,1,5
2096,2,6
2101,2,5
2107,3,6
2113,2,6
2118,2,5
2124,1,6
2130,2,6
2135,2,5
2143,3,8
2147,2,4
2176,24,29
2177,4,1
2182,4,5
2186,2,4
2191,2,5
2196,2,5
2202,2,6
2209,3,7
2213,2,4
2219,2,6
2224,2,5
2229,2,5
2234,1,5
2240,2,6
2246,2,6
2252,2,6
2257,2,5
2262,2,5
2267,2,5
2272,2,5
2277,2,5
2283,2,6
2289,1,6
2295,2,6
2300,2,5
2305,2,5
2311,2,6
2318,2,7
2323,2,5
2328,2,5
2333,2,5
2339,1,6
2345,2,6
2350,2,5
2355,2,5
2361,2,6
2366,1,5
2372,2,6
2377,2,5
2382,2,5
2388,1,6
2394,2,6
2399,2,5
2404,2,5
2410,1,6
2416,2,6
2421,2,5
2427,2,6
2433,2,6
2438,2,5
2443,2,5
2448,2,5
2454,1,6
2460,2,6
2465,2,5
2470,2,5
2476,1,6
2482,2,6
2487,2,5
2492,2,5
2497,2,5
2503,1,6
2509,2,6
2514,2,5
2519,2,5
2524,2,5
2530,1,6
2536,2,6
2541,2,5
2546,2,5
2552,2,6
2558,1,6
2564,2,6
2569,2,5
2574,2,5
2579,2,5
2584,1,5
2590,2,6
2595,2,5
2600,2,5
2605,2,5
2611,1,6
2617,2,6
2623,3,6
2627,2,4
2633,1,6
2639,2,6
2644,2,5
2649,2,5
2654,2,5
2660,1,6
2666,2,6
2671,2,5
2676,2,5
2681,2,5
2687,1,6
2693,2,6
2698,2,5
2719,17,21
2724,2,5
2729,2,5
2734,2,5
2740,1,6
2746,2,6
2764,15,18
2764,10,0
2764,5,0
2766,2,2
2772,2,6
2777,2,5
2783,3,6
2787,2,4
2792,2,5
2798,2,6
2803,2,5
2808,2,5
2813,1,5
2819,2,6
2825,2,6
2830,2,5
2835,2,5
2840,2,5
2846,2,6
2852,1,6
2858,1,6
2864,2,6
2869,2,5
2874,2,5
2879,2,5
2884,2,5
2890,1,6
2895,1,5
2901,2,6
2906,2,5
2911,2,5
2916,2,5
2922,2,6
2928,1,6
2934,1,6
2940,2,6
2945,2,5
2950,2,5
2955,2,5
2961,2,6
2968,2,7
2973,2,5
2978,2,5
2983,2,5
2988,2,5
2994,1,6
3000,1,6
3006,2,6
3011,2,5
3016,2,5
3021,2,5
3027,2,6
3033,1,6
3039,2,6
3044,2,5
3049,2,5
3054,2,5
3059,2,5
3065,1,6
3072,2,7
3077,2,5
3082,2,5
3088,1,6
3094,2,6
3099,2,5
3104,2,5
3109,2,5
3115,2,6
3121,1,6
3127,2,6
3132,2,5
3137,2,5
3142,2,5
3147,2,5
3153,1,6
3159,2,6
3164,2,5
3169,2,5
3174,2,5
3179,2,5
3185,2,6
3192,2,7
3197,2,5
3202,2,5
3207,2,5
3212,2,5
3217,2,5
3223,2,6
3229,1,6
3235,2,6
3240,2,5
3245,2,5
3250,2,5
3255,2,5
3261,1,6
3268,2,7
3273,2,5
3278,2,5
3283,2,5
3289,2,6
3296,2,7
3301,2,5
3306,2,5
3311,2,5
3317,1,6
3323,2,6
3328,2,5
3333,2,5
3338,2,5
3343,2,5
3349,2,6
3355,1,6
3361,2,6
3366,2,5
3371,2,5
3376,2,5
3381,2,5
3387,2,6
3393,1,6
3398,1,5
3404,2,6
3409,2,5
3414,2,5
3419,2,5
3426,1,7
3432,1,6
3437,1,5
3443,1,6
3448,1,5
3454,2,6
3460,2,6
3465,2,5
3470,1,5
3476,2,6
3481,1,5
3487,2,6
3491,1,4
3497,2,6
3501,1,4
3507,2,6
3512,1,5
3517,1,5
3523,1,6
3528,1,5
3534,2,6
3539,1,5
3545,2,6
