time (ms),latency (ms),consume (ms)
0,6,0
8,3,8
14,1,6
21,2,7
27,1,6
35,2,8
41,1,6
48,1,7
55,2,7
61,1,6
68,1,7
75,2,7
81,1,6
92,5,11
98,0,6
104,0,6
111,1,7
117,1,6
124,2,7
131,1,7
137,1,6
143,1,6
149,1,6
155,1,6
162,1,7
168,1,6
174,0,6
181,1,7
188,1,7
196,1,8
202,0,6
213,1,11
219,1,6
226,1,7
232,1,6
239,1,7
245,1,6
252,1,7
260,2,8
267,1,7
274,1,7
280,1,6
286,0,6
292,0,6
299,1,7
306,2,7
313,1,7
323,5,10
330,1,7
337,2,7
344,2,7
350,1,6
357,1,7
364,1,7
370,1,6
378,2,8
385,1,7
392,1,7
399,1,7
406,2,7
412,1,6
420,1,8
428,2,8
436,1,8
443,1,7
450,1,7
456,0,6
463,1,7
470,1,7
477,2,7
484,1,7
491,2,7
497,0,6
505,1,8
511,1,6
517,0,6
524,1,7
530,0,6
538,2,8
546,2,8
553,1,7
561,1,8
568,1,7
575,1,7
582,2,7
588,1,6
595,1,7
601,0,6
607,0,6
613,0,6
619,0,6
625,1,6
631,1,6
637,1,6
643,1,6
650,2,7
656,1,6
663,1,7
669,1,6
675,1,6
681,1,6
687,1,6
694,1,7
700,1,6
706,1,6
711,0,5
717,0,6
723,0,6
729,0,6
735,0,6
741,0,6
749,2,8
755,0,6
761,0,6
771,1,10
777,0,6
783,0,6
789,0,6
796,1,7
802,0,6
809,1,7
815,1,6
821,1,6
827,1,6
833,1,6
839,1,6
846,1,7
853,2,7
859,0,6
865,0,6
871,0,6
877,0,6
883,0,6
889,0,6
895,0,6
901,0,6
907,0,6
913,0,6
920,1,7
926,1,6
932,1,6
938,1,6
947,2,9
955,2,8
963,1,8
969,1,6
976,2,7
983,1,7
989,0,6
996,1,7
1002,1,6
1010,1,8
1017,1,7
1023,1,6
1029,1,6
1035,1,6
1042,1,7
1048,1,6
1057,1,9
1063,1,6
1069,1,6
1075,1,6
1082,1,7
1088,1,6
1095,1,7
1101,1,6
1108,1,7
1114,1,6
1120,0,6
1129,1,9
1135,1,6
1142,1,7
1148,1,6
1154,1,6
1161,1,7
1167,1,6
1174,1,7
1180,1,6
1186,1,6
1194,1,8
1200,1,6
1207,2,7
1213,1,6
1219,1,6
1226,1,7
1234,1,8
1241,2,7
1248,1,7
1256,2,8
1262,1,6
1270,1,8
1282,1,12
1289,1,7
1295,1,6
1301,1,6
1307,1,6
1313,0,6
1319,0,6
1325,0,6
1331,1,6
1337,1,6
