time (ms),latency (ms),consume (ms)
0,46,0
1,33,1
3,24,2
3,14,0
3,1,0
14,2,11
25,2,11
34,1,9
44,1,10
55,2,11
65,2,10
76,3,11
85,1,9
96,2,11
108,3,12
119,2,11
129,2,10
139,2,10
150,3,11
159,2,9
171,3,12
182,3,11
194,4,12
203,1,9
216,4,13
226,2,10
236,2,10
247,3,11
256,1,9
268,2,12
282,5,14
288,1,6
299,2,11
310,2,11
323,4,13
334,3,11
343,2,9
354,3,11
363,2,9
373,2,10
384,3,11
394,2,10
406,3,12
415,2,9
425,2,10
435,2,10
445,2,10
455,2,10
466,2,11
476,2,10
485,1,9
496,2,11
507,3,11
518,3,11
529,2,11
540,2,11
551,2,11
562,2,11
573,2,11
583,2,10
592,1,9
605,4,13
618,5,13
627,2,9
640,4,13
651,2,11
662,2,11
673,2,11
684,2,11
693,1,9
703,1,10
713,1,10
724,1,11
735,1,11
746,2,11
757,2,11
766,1,9
776,1,10
787,1,11
798,1,11
809,1,11
822,3,13
831,1,9
842,1,11
853,1,11
864,2,11
875,2,11
884,1,9
894,1,10
907,3,13
918,1,11
929,1,11
940,1,11
954,4,14
962,2,8
974,4,12
984,2,10
995,2,11
1005,2,10
1015,2,10
1024,1,9
1034,1,10
1045,1,11
1056,2,11
1067,2,11
1078,2,11
1088,2,10
1097,1,9
1107,1,10
1118,1,11
1129,2,11
1140,2,11
1151,2,11
1161,2,10
1172,3,11
1182,2,10
1191,1,9
1201,1,10
1212,1,11
1223,1,11
1234,2,11
1246,3,12
1256,2,10
1267,1,11
1280,3,13
1291,2,11
1303,2,12
1315,4,12
1325,2,10
1340,6,15
1350,3,10
1365,7,15
1374,1,9
1385,1,11
1396,2,11
1407,2,11
1418,2,11
1428,2,10
1438,2,10
1447,1,9
1457,1,10
1468,1,11
1479,2,11
1490,2,11
1501,2,11
1510,1,9
1520,1,10
1531,1,11
1542,2,11
1553,2,11
1564,2,11
1575,2,11
1584,1,9
1594,1,10
1605,1,11
1627,13,22
1628,3,1
1637,2,9
1646,1,9
1657,2,11
1666,1,9
1677,2,11
1686,1,9
1697,2,11
1707,1,10
1718,2,11
1728,1,10
1739,2,11
1749,1,10
1760,2,11
1771,2,11
1781,1,10
1792,2,11
1803,2,11
1812,1,9
