time (ms),latency (ms),consume (ms)
0,11,0
39,44,39
39,38,0
39,38,0
40,39,1
40,39,0
44,41,4
44,41,0
44,41,0
44,40,0
46,42,2
55,51,9
55,51,0
56,51,1
58,52,2
58,51,0
61,54,3
62,55,1
69,62,7
70,62,1
76,68,6
76,68,0
76,68,0
80,71,4
80,71,0
80,70,0
80,69,0
88,77,8
88,76,0
88,75,0
90,77,2
92,79,2
96,83,4
99,85,3
99,85,0
107,93,8
108,94,1
109,94,1
112,97,3
113,97,1
114,98,1
114,97,0
117,100,3
122,105,5
124,107,2
124,106,0
124,106,0
124,106,0
124,106,0
124,105,0
129,110,5
129,110,0
129,110,0
130,110,1
130,109,0
130,109,0
133,111,3
136,114,3
136,114,0
137,115,1
139,116,2
143,120,4
144,117,1
145,116,1
146,117,1
148,116,2
149,112,1
150,104,1
156,107,6
157,107,1
159,108,2
160,106,1
160,105,0
160,103,0
163,103,3
165,104,2
165,103,0
166,97,1
166,97,0
166,96,0
166,94,0
172,97,6
172,92,0
179,96,7
180,95,1
180,93,0
181,93,1
181,91,0
181,88,0
181,87,0
195,93,14
195,89,0
199,91,4
199,89,0
200,88,1
201,86,1
201,84,0
202,84,1
202,82,0
202,81,0
202,77,0
202,76,0
203,76,1
204,74,1
204,72,0
205,73,1
206,72,1
206,71,0
206,68,0
206,66,0
206,64,0
207,64,1
208,63,1
211,64,3
211,62,0
211,60,0
212,59,1
213,58,1
218,62,5
219,61,1
219,60,0
221,59,2
221,58,0
225,61,4
236,69,11
237,54,1
261,71,24
277,84,16
281,87,4
286,90,5
286,80,0
307,96,21
327,107,20
328,107,1
329,105,1
331,104,2
331,102,0
333,102,2
333,100,0
335,99,2
337,98,2
339,97,2
340,96,1
342,96,2
344,95,2
350,98,6
351,99,1
351,98,0
351,98,0
355,99,4
355,96,0
357,97,2
357,95,0
357,93,0
357,91,0
357,88,0
357,86,0
358,85,1
358,84,0
358,83,0
366,89,8
368,89,2
370,90,2
373,90,3
375,91,2
376,90,1
376,87,0
376,86,0
376,83,0
382,88,6
382,85,0
384,85,2
384,84,0
384,82,0
384,79,0
384,78,0
384,76,0
388,78,4
391,79,3
392,79,1
394,78,2
394,76,0
395,76,1
395,73,0
401,74,6
401,72,0
403,72,2
405,72,2
406,71,1
406,69,0
406,67,0
408,66,2
411,67,3
425,73,14
496,141,71
496,137,0
497,136,1
500,138,3
501,137,1
502,135,1
514,144,12
516,144,2
516,141,0
516,138,0
516,136,0
519,137,3
519,134,0
522,136,3
522,134,0
522,132,0
522,131,0
522,127,0
525,128,3
527,128,2
527,126,0
527,123,0
528,122,1
532,124,4
532,122,0
534,123,2
544,129,10
547,130,3
549,132,2
549,131,0
549,128,0
551,129,2
551,125,0
551,125,0
551,124,0
551,121,0
551,120,0
556,122,5
556,121,0
556,120,0
560,122,4
561,122,1
561,120,0
561,119,0
561,118,0
565,120,4
565,118,0
566,116,1
566,115,0
566,113,0
570,115,4
573,116,3
573,113,0
574,112,1
574,112,0
574,110,0
