time (ms),latency (ms),consume (ms)
0,50,0
1,34,1
3,25,2
3,15,0
3,2,0
14,2,11
25,2,11
36,2,11
47,2,11
58,2,11
69,2,11
81,3,12
90,1,9
100,1,10
111,2,11
122,2,11
133,2,11
144,2,11
155,3,11
163,1,8
175,3,12
184,2,9
196,4,12
204,1,8
216,3,12
226,2,10
237,2,11
249,3,12
259,2,10
270,2,11
284,4,14
292,2,8
302,2,10
313,2,11
325,3,12
336,2,11
347,2,11
358,2,11
368,2,10
378,2,10
388,2,10
399,1,11
411,2,12
421,2,10
432,2,11
443,2,11
453,2,10
462,1,9
473,2,11
483,1,10
494,2,11
505,2,11
516,2,11
528,4,12
537,1,9
548,2,11
557,1,9
568,2,11
578,2,10
588,2,10
598,2,10
609,3,11
623,6,14
631,2,8
644,4,13
654,2,10
665,2,11
676,2,11
687,2,11
697,2,10
706,1,9
716,1,10
727,1,11
738,1,11
749,2,11
759,1,10
769,1,10
779,1,10
790,1,11
801,1,11
812,2,11
825,4,13
835,1,10
846,1,11
857,2,11
868,2,11
879,1,11
890,2,11
901,2,11
914,4,13
925,2,11
936,2,11
947,2,11
961,5,14
968,1,7
980,3,12
990,2,10
1000,1,10
1010,1,10
1020,1,10
1031,1,11
1042,1,11
1053,1,11
1064,1,11
1075,2,11
1086,2,11
1097,2,11
1106,1,9
1116,1,10
1127,1,11
1138,1,11
1149,1,11
1160,2,11
1171,2,11
1183,3,12
1194,2,11
1205,2,11
1215,2,10
1225,2,10
1234,1,9
1244,1,10
1257,3,13
1265,1,8
1275,1,10
1288,3,13
1300,2,12
1311,3,11
1322,4,11
1333,2,11
1347,6,14
1357,3,10
1374,8,17
1382,2,8
1391,1,9
1401,1,10
1411,1,10
1421,1,10
1432,1,11
1443,2,11
1454,2,11
1465,2,11
1474,1,9
1484,1,10
1495,1,11
1505,1,10
1516,1,11
1527,2,11
1538,2,11
1549,2,11
1559,2,10
1568,1,9
1578,1,10
1589,1,11
1600,2,11
1611,2,11
1632,13,21
1632,3,0
1641,2,9
1651,1,10
1662,2,11
1671,1,9
1682,2,11
1691,1,9
1702,2,11
1712,1,10
1723,2,11
1733,1,10
1744,2,11
1755,2,11
1765,1,10
1776,2,11
1786,1,10
1797,2,11
1808,2,11
1819,2,11
1828,1,9
1838,1,10
1849,1,11
1860,2,11
1871,2,11
1881,2,10
1890,1,9
1901,1,11
1912,2,11
1923,2,11
1934,2,11
1943,1,9
1954,2,11
1965,2,11
1974,1,9
1985,1,11
1996,2,11
2007,2,11
2021,5,14
2032,1,11
2042,1,10
2053,1,11
2064,2,11
2075,2,11
2085,2,10
2095,2,10
2104,1,9
2115,1,11
2148,23,33
2149,14,1
2149,4,0
2157,1,8
2168,2,11
2179,2,11
2190,2,11
2201,2,11
2212,2,11
2223,2,11
2234,2,11
