time (ms),latency (ms),consume (ms)
0,21,0
9,18,9
22,30,13
25,31,3
27,31,2
29,31,2
31,28,2
32,28,1
34,29,2
35,27,1
37,26,2
39,27,2
40,27,1
46,28,6
48,25,2
50,26,2
51,25,1
54,2,3
58,3,4
61,1,3
67,1,6
69,1,2
72,1,3
74,1,2
77,1,3
79,1,2
82,1,3
84,1,2
86,1,2
90,1,4
94,2,4
96,1,2
98,1,2
100,1,2
105,1,5
107,1,2
111,1,4
113,1,2
115,2,2
118,2,3
121,2,3
123,1,2
127,1,4
131,1,4
133,1,2
135,1,2
139,1,4
143,1,4
145,1,2
147,1,2
149,1,2
155,1,6
159,1,4
161,1,2
163,2,2
165,1,2
167,1,2
171,1,4
173,1,2
175,1,2
177,1,2
183,1,6
187,1,4
189,1,2
191,1,2
194,1,3
196,1,2
198,1,2
203,1,5
205,1,2
207,1,2
211,1,4
213,1,2
215,1,2
217,1,2
227,1,10
229,1,2
231,1,2
233,1,2
235,1,2
237,1,2
239,2,2
241,1,2
243,2,2
244,1,1
247,1,3
250,1,3
255,1,5
257,1,2
259,2,2
260,1,1
263,1,3
267,1,4
269,1,2
271,2,2
275,1,4
277,1,2
279,2,2
283,1,4
285,1,2
287,1,2
290,1,3
292,1,2
294,2,2
296,2,2
299,1,3
302,2,3
304,2,2
305,1,1
311,1,6
313,1,2
315,1,2
316,1,1
318,1,2
321,2,3
326,2,5
327,1,1
331,1,4
333,1,2
335,1,2
339,1,4
346,7,7
347,5,1
348,6,1
349,6,1
351,7,2
355,1,4
359,1,4
361,1,2
363,1,2
365,1,2
367,2,2
368,1,1
371,1,3
375,1,4
379,1,4
381,1,2
383,1,2
384,1,1
386,1,2
388,1,2
391,1,3
394,1,3
396,2,2
399,1,3
401,1,2
404,1,3
406,1,2
408,1,2
410,1,2
412,1,2
416,1,4
419,1,3
421,2,2
422,1,1
424,1,2
426,1,2
428,1,2
435,1,7
438,2,3
440,1,2
442,1,2
444,1,2
446,1,2
447,1,1
450,2,3
453,2,3
455,2,2
458,2,3
467,1,9
469,1,2
471,1,2
473,1,2
474,1,1
479,1,5
481,2,2
482,1,1
484,1,2
486,1,2
488,2,2
489,1,1
491,1,2
493,1,2
495,1,2
499,1,4
502,2,3
504,2,2
507,1,3
508,1,1
510,1,2
515,1,5
517,1,2
523,1,6
525,1,2
527,1,2
528,1,1
530,1,2
532,1,2
534,1,2
539,1,5
541,1,2
542,1,1
544,1,2
546,1,2
548,1,2
549,1,1
552,1,3
553,1,1
557,1,4
559,1,2
563,1,4
565,1,2
567,1,2
570,2,3
571,1,1
573,1,2
576,2,3
578,1,2
579,1,1
