time (ms),latency (ms),consume (ms)
0,12,0
4,12,4
7,14,3
8,15,1
10,16,2
26,32,16
28,29,2
29,29,1
30,28,1
33,30,3
37,33,4
39,35,2
41,35,2
43,37,2
44,35,1
46,33,2
48,35,2
58,44,10
59,44,1
62,46,3
63,46,1
65,43,2
69,38,4
70,36,1
72,37,2
74,38,2
76,40,2
77,39,1
79,40,2
81,42,2
82,42,1
85,43,3
86,44,1
90,46,4
92,48,2
95,50,3
97,48,2
98,49,1
99,46,1
102,48,3
104,49,2
105,48,1
107,43,2
108,42,1
110,38,2
111,38,1
113,38,2
115,39,2
117,39,2
118,38,1
119,39,1
121,41,2
122,39,1
129,45,7
131,40,2
132,40,1
133,40,1
135,41,2
137,43,2
151,55,14
155,59,4
159,59,4
164,61,5
165,56,1
167,54,2
168,44,1
170,45,2
172,46,2
174,48,2
177,51,3
178,42,1
179,43,1
187,51,8
191,53,4
193,55,2
194,49,1
196,49,2
197,47,1
199,48,2
201,50,2
203,51,2
209,56,6
210,57,1
212,58,2
213,57,1
215,59,2
217,54,2
218,52,1
220,54,2
221,55,1
223,49,2
225,49,2
252,72,27
256,75,4
258,77,2
260,78,2
262,79,2
265,82,3
268,84,3
270,84,2
272,86,2
274,88,2
276,86,2
279,89,3
281,89,2
283,91,2
285,90,2
287,92,2
289,93,2
292,94,3
294,96,2
296,97,2
298,98,2
300,100,2
302,100,2
304,100,2
306,101,2
308,103,2
315,107,7
318,109,3
319,108,1
320,108,1
323,111,3
338,123,15
343,128,5
348,124,5
352,127,4
379,153,27
383,156,4
384,151,1
388,146,4
400,156,12
410,155,10
414,157,4
416,155,2
418,155,2
420,155,2
422,155,2
424,155,2
426,154,2
428,153,2
431,154,3
432,153,1
435,153,3
438,154,3
439,153,1
442,153,3
443,152,1
445,151,2
448,151,3
450,151,2
451,150,1
454,150,3
456,150,2
458,149,2
461,151,3
462,149,1
464,149,2
466,149,2
468,145,2
473,148,5
475,148,2
478,150,3
480,149,2
482,150,2
483,148,1
485,149,2
488,150,3
490,150,2
493,150,3
494,150,1
496,149,2
498,150,2
501,151,3
503,150,2
505,150,2
508,152,3
509,150,1
511,151,2
513,151,2
515,151,2
517,152,2
520,153,3
522,152,2
524,153,2
526,153,2
528,153,2
531,153,3
532,152,1
534,152,2
536,151,2
544,157,8
546,157,2
548,157,2
550,156,2
552,155,2
558,159,6
559,156,1
561,156,2
564,157,3
566,157,2
568,157,2
570,157,2
571,155,1
573,155,2
576,155,3
578,154,2
580,153,2
582,153,2
583,151,1
584,151,1
585,148,1
586,146,1
587,144,1
588,143,1
589,141,1
590,139,1
591,139,1
592,137,1
593,135,1
593,133,0
594,131,1
595,129,1
596,128,1
597,127,1
598,126,1
599,125,1
600,123,1
601,122,1
602,119,1
603,119,1
603,116,0
604,114,1
605,113,1
606,111,1
607,109,1
608,109,1
609,107,1
610,106,1
611,104,1
612,103,1
613,101,1
614,99,1
615,99,1
616,97,1
617,96,1
640,115,23
641,113,1
642,112,1
643,110,1
644,109,1
645,107,1
646,106,1
646,104,0
648,105,2
649,103,1
649,100,0
651,100,2
652,99,1
652,97,0
653,96,1
654,93,1
655,92,1
656,91,1
657,89,1
658,87,1
659,86,1
660,85,1
660,82,0
661,81,1
661,78,0
663,79,2
664,79,1
664,78,0
665,78,1
666,78,1
667,79,1
668,78,1
669,79,1
670,79,1
671,79,1
672,78,1
673,78,1
674,78,1
674,77,0
675,77,1
676,77,1
677,77,1
679,78,2
679,77,0
680,78,1
682,78,2
682,77,0
683,77,1
684,77,1
685,77,1
686,77,1
687,77,1
687,76,0
688,76,1
690,77,2
691,77,1
692,77,1
692,76,0
693,76,1
694,76,1
695,77,1
696,77,1
696,76,0
697,77,1
699,78,2
700,78,1
700,77,0
701,78,1
702,78,1
703,78,1
704,78,1
704,77,0
705,77,1
705,77,0
706,77,1
707,77,1
708,77,1
708,77,0
709,77,1
710,77,1
711,77,1
711,76,0
712,77,1
713,77,1
713,76,0
714,76,1
714,76,0
715,76,1
716,76,1
716,75,0
717,75,1
718,75,1
718,74,0
719,74,1
720,74,1
720,73,0
721,73,1
722,73,1
723,73,1
723,72,0
724,72,1
725,72,1
726,71,1
726,71,0
728,72,2
728,70,0
728,70,0
729,70,1
729,67,0
730,67,1
730,66,0
734,69,4
735,69,1
736,69,1
737,69,1
737,67,0
738,67,1
739,67,1
740,67,1
741,67,1
742,67,1
743,67,1
744,67,1
745,67,1
746,66,1
747,67,1
748,67,1
749,66,1
750,66,1
751,66,1
752,66,1
753,66,1
754,66,1
755,66,1
755,65,0
756,65,1
757,64,1
758,64,1
759,64,1
768,72,9
769,72,1
776,78,7
777,78,1
779,78,2
781,79,2
781,79,0
782,76,1
793,84,11
796,64,3
797,64,1
798,64,1
799,64,1
800,64,1
801,64,1
802,64,1
803,64,1
804,64,1
806,65,2
807,65,1
808,65,1
808,64,0
809,64,1
810,63,1
811,63,1
812,63,1
812,62,0
813,62,1
814,62,1
815,63,1
816,63,1
817,63,1
818,62,1
819,62,1
820,62,1
821,62,1
822,62,1
823,63,1
824,63,1
825,63,1
825,62,0
826,62,1
827,62,1
828,63,1
829,63,1
830,63,1
831,63,1
832,64,1
832,62,0
833,63,1
834,63,1
835,63,1
836,63,1
837,63,1
838,63,1
839,64,1
840,64,1
841,63,1
844,65,3
844,65,0
845,65,1
845,64,0
847,65,2
847,64,0
847,63,0
848,63,1
848,62,0
849,62,1
850,62,1
851,63,1
851,62,0
852,62,1
852,61,0
853,61,1
854,61,1
855,62,1
855,60,0
856,61,1
856,60,0
857,60,1
858,60,1
858,59,0
859,59,1
859,58,0
860,58,1
861,57,1
861,56,0
862,57,1
862,56,0
865,58,3
865,56,0
866,56,1
866,55,0
866,54,0
867,54,1
868,54,1
868,53,0
869,53,1
870,53,1
871,53,1
