time (ms),latency (ms),consume (ms)
0,11,0
10,5,10
18,2,8
30,3,12
39,2,9
50,2,11
60,1,10
71,1,11
82,2,11
92,1,10
103,2,11
113,1,10
124,1,11
135,1,11
147,2,12
157,1,10
168,1,11
180,2,12
190,1,10
201,2,11
211,1,10
222,2,11
232,1,10
243,1,11
253,1,10
264,1,11
275,2,11
285,1,10
296,2,11
306,1,10
317,1,11
328,2,11
339,2,11
349,1,10
360,2,11
370,1,10
381,2,11
391,1,10
402,1,11
413,2,11
423,1,10
434,2,11
444,1,10
455,1,11
466,2,11
476,1,10
487,1,11
499,2,12
510,1,11
521,2,11
531,1,10
543,2,12
553,1,10
564,2,11
574,1,10
585,2,11
595,1,10
606,2,11
616,1,10
627,2,11
637,1,10
648,1,11
660,2,12
671,1,11
682,1,11
693,2,11
703,1,10
713,1,10
724,1,11
734,1,10
745,2,11
755,1,10
766,2,11
776,1,10
787,2,11
797,1,10
808,2,11
818,1,10
829,2,11
840,2,11
851,2,11
861,1,10
872,2,11
883,2,11
893,1,10
905,2,12
915,2,10
925,1,10
936,2,11
947,1,11
957,1,10
968,1,11
979,2,11
989,1,10
1001,2,12
1011,1,10
1022,2,11
1032,1,10
1043,2,11
1054,1,11
1064,1,10
1075,2,11
1085,1,10
1096,2,11
1106,1,10
1117,2,11
1127,1,10
1138,1,11
1149,2,11
1159,1,10
1170,2,11
1181,2,11
1191,1,10
1202,1,11
1212,1,10
1223,1,11
1233,1,10
1244,1,11
1255,2,11
1265,1,10
1276,2,11
1286,1,10
1297,1,11
1308,2,11
1318,1,10
1329,2,11
1340,2,11
1350,2,10
1360,1,10
1371,1,11
1381,1,10
1392,2,11
1402,1,10
1413,2,11
1423,1,10
1433,1,10
1444,1,11
1455,1,11
1465,1,10
1476,2,11
1486,1,10
1496,1,10
1507,1,11
1519,2,12
1529,1,10
1540,2,11
1550,1,10
1561,1,11
1572,1,11
1583,2,11
1593,1,10
1604,2,11
1614,1,10
1624,1,10
