time (ms),latency (ms),consume (ms)
0,13,0
1,10,1
1,8,0
1,6,0
1,4,0
4,5,3
4,2,0
5,1,1
9,4,4
9,2,0
10,2,1
12,2,2
13,1,1
15,1,2
18,2,3
20,2,2
22,2,2
24,1,2
28,3,4
30,3,2
30,1,0
32,1,2
34,1,2
36,2,2
37,1,1
40,3,3
41,2,1
42,2,1
43,1,1
45,1,2
47,2,2
49,2,2
50,1,1
52,2,2
53,1,1
55,1,2
57,2,2
58,1,1
60,1,2
62,2,2
64,2,2
65,1,1
67,2,2
68,1,1
70,2,2
71,1,1
73,1,2
74,1,1
76,1,2
78,2,2
79,1,1
81,1,2
83,2,2
84,1,1
86,2,2
88,2,2
89,1,1
91,2,2
92,1,1
94,1,2
96,2,2
97,1,1
99,2,2
101,2,2
102,1,1
104,2,2
105,1,1
107,1,2
109,2,2
110,1,1
112,2,2
113,1,1
116,2,3
117,1,1
119,2,2
120,1,1
122,1,2
124,2,2
125,1,1
127,2,2
129,2,2
130,1,1
132,1,2
134,2,2
135,1,1
137,2,2
138,1,1
140,1,2
142,2,2
143,1,1
145,1,2
146,1,1
148,1,2
150,2,2
151,1,1
153,1,2
155,2,2
156,1,1
158,1,2
160,2,2
161,1,1
163,2,2
164,1,1
166,1,2
168,2,2
169,1,1
171,2,2
172,1,1
174,2,2
175,1,1
177,2,2
178,1,1
180,2,2
181,1,1
183,1,2
185,2,2
186,1,1
188,2,2
189,1,1
191,1,2
192,1,1
194,1,2
196,2,2
197,1,1
199,1,2
201,2,2
202,1,1
204,2,2
205,1,1
207,1,2
208,1,1
210,1,2
212,2,2
215,3,3
215,2,0
216,1,1
218,2,2
220,2,2
221,1,1
223,2,2
224,1,1
226,2,2
227,1,1
230,3,3
230,1,0
232,1,2
234,2,2
235,1,1
237,2,2
238,1,1
240,2,2
241,1,1
243,2,2
244,1,1
246,1,2
247,1,1
249,1,2
251,2,2
252,1,1
254,2,2
255,1,1
257,2,2
258,1,1
260,2,2
261,1,1
263,2,2
264,1,1
266,2,2
268,2,2
269,1,1
270,1,1
282,11,12
282,10,0
282,8,0
282,7,0
282,5,0
282,4,0
282,2,0
283,2,1
284,1,1
286,2,2
287,1,1
289,1,2
290,1,1
292,1,2
293,1,1
295,1,2
297,2,2
299,1,2
301,2,2
