time (ms),latency (ms),consume (ms)
0,15,0
1,6,1
1,4,0
1,1,0
3,1,2
5,1,2
7,1,2
9,1,2
12,2,3
15,1,3
17,1,2
19,1,2
21,1,2
27,4,6
30,1,3
33,2,3
34,0,1
37,1,3
40,2,3
42,0,2
44,0,2
46,1,2
50,2,4
52,1,2
54,1,2
56,1,2
60,2,4
62,1,2
64,1,2
68,1,4
71,1,3
75,1,4
78,1,3
79,0,1
81,0,2
83,1,2
85,1,2
88,2,3
90,1,2
92,1,2
94,1,2
96,1,2
98,1,2
100,1,2
101,0,1
104,1,3
106,1,2
109,2,3
111,1,2
113,1,2
114,0,1
116,0,2
118,1,2
120,1,2
121,0,1
123,0,2
125,1,2
127,1,2
129,1,2
131,1,2
133,1,2
135,1,2
137,1,2
139,1,2
140,0,1
142,0,2
144,1,2
146,1,2
148,1,2
149,0,1
151,0,2
154,2,3
155,0,1
157,0,2
159,1,2
161,1,2
163,1,2
165,0,2
167,0,2
172,3,5
174,1,2
177,1,3
179,1,2
181,1,2
183,0,2
186,1,3
188,1,2
190,1,2
192,1,2
194,1,2
196,1,2
198,1,2
199,0,1
201,0,2
203,1,2
205,1,2
207,1,2
208,0,1
210,0,2
212,0,2
214,0,2
216,1,2
218,1,2
220,1,2
222,1,2
224,1,2
226,1,2
228,1,2
230,1,2
231,0,1
233,0,2
235,1,2
237,1,2
239,1,2
240,0,1
246,1,6
247,0,1
249,0,2
251,1,2
253,1,2
254,0,1
256,0,2
258,0,2
260,1,2
262,1,2
263,0,1
265,0,2
267,1,2
269,1,2
270,0,1
272,0,2
274,1,2
276,1,2
277,0,1
279,1,2
281,1,2
282,0,1
284,1,2
286,1,2
287,0,1
289,0,2
291,1,2
293,1,2
295,1,2
297,0,2
299,1,2
301,1,2
303,1,2
305,1,2
306,0,1
308,0,2
310,1,2
311,0,1
313,0,2
315,1,2
316,0,1
318,0,2
320,1,2
322,1,2
323,0,1
325,1,2
327,1,2
328,0,1
330,0,2
332,1,2
333,0,1
335,0,2
337,1,2
339,1,2
340,0,1
342,0,2
344,1,2
346,1,2
347,0,1
349,1,2
352,2,3
354,1,2
356,1,2
357,0,1
359,0,2
361,1,2
363,1,2
365,0,2
367,1,2
368,0,1
370,0,2
372,1,2
375,1,3
377,0,2
379,1,2
381,1,2
383,1,2
385,1,2
387,1,2
389,1,2
391,1,2
392,0,1
394,0,2
396,0,2
398,0,2
400,0,2
402,1,2
404,1,2
406,1,2
408,1,2
409,0,1
411,0,2
414,1,3
416,1,2
418,1,2
419,0,1
421,0,2
423,0,2
425,1,2
427,1,2
429,1,2
430,0,1
445,13,15
445,7,0
445,5,0
445,3,0
445,1,0
452,6,7
452,2,0
453,1,1
455,1,2
456,0,1
458,1,2
460,1,2
462,1,2
463,0,1
465,1,2
467,1,2
468,0,1
470,1,2
473,2,3
475,1,2
477,1,2
479,1,2
481,1,2
483,0,2
485,1,2
488,2,3
491,2,3
492,1,1
494,1,2
495,0,1
498,2,3
501,2,3
503,1,2
507,2,4
509,1,2
511,1,2
513,1,2
515,1,2
517,1,2
519,1,2
520,0,1
522,0,2
524,1,2
526,1,2
527,0,1
529,1,2
531,1,2
532,0,1
534,1,2
535,0,1
537,0,2
539,1,2
540,0,1
542,1,2
543,0,1
545,0,2
547,1,2
549,1,2
550,0,1
552,0,2
554,0,2
556,1,2
557,0,1
559,0,2
561,1,2
562,0,1
