time (ms),latency (ms),consume (ms)
0,7,0
3,2,3
5,1,2
7,1,2
9,1,2
12,1,3
15,2,3
17,1,2
21,3,4
23,1,2
25,1,2
27,1,2
30,1,3
35,4,5
37,1,2
39,1,2
42,1,3
44,1,2
49,3,5
52,2,3
55,1,3
57,1,2
59,1,2
61,1,2
63,1,2
65,1,2
69,2,4
71,1,2
74,1,3
78,1,4
80,1,2
83,1,3
86,2,3
88,1,2
89,0,1
92,1,3
94,1,2
96,1,2
98,1,2
100,0,2
103,1,3
105,1,2
107,1,2
109,1,2
111,1,2
114,2,3
116,1,2
121,4,5
123,1,2
125,1,2
127,1,2
129,1,2
131,1,2
132,0,1
134,0,2
136,1,2
139,2,3
140,0,1
142,0,2
144,1,2
146,1,2
148,1,2
151,1,3
153,0,2
155,0,2
157,1,2
159,1,2
161,1,2
163,1,2
165,1,2
167,0,2
170,1,3
173,1,3
175,1,2
178,2,3
182,1,4
185,1,3
194,1,9
197,1,3
200,2,3
203,1,3
205,1,2
207,1,2
209,1,2
211,0,2
213,0,2
215,0,2
217,1,2
219,1,2
221,1,2
223,1,2
225,1,2
227,0,2
230,2,3
232,1,2
234,1,2
236,1,2
238,1,2
239,0,1
241,0,2
243,1,2
245,1,2
247,1,2
249,1,2
251,1,2
253,0,2
255,0,2
257,1,2
259,1,2
261,1,2
263,1,2
267,3,4
270,2,3
272,1,2
275,2,3
279,1,4
281,1,2
282,0,1
284,0,2
286,0,2
289,1,3
291,1,2
293,1,2
295,1,2
296,0,1
298,0,2
300,0,2
302,1,2
304,1,2
306,1,2
308,1,2
310,1,2
311,0,1
313,0,2
315,0,2
317,1,2
319,1,2
320,0,1
322,1,2
324,1,2
326,1,2
327,0,1
329,0,2
331,0,2
334,2,3
336,1,2
337,0,1
339,1,2
341,1,2
343,1,2
344,0,1
346,0,2
348,1,2
350,1,2
351,0,1
353,0,2
355,1,2
357,1,2
359,1,2
361,1,2
363,1,2
365,1,2
367,0,2
370,1,3
372,1,2
374,1,2
376,1,2
378,1,2
380,1,2
382,1,2
383,0,1
385,0,2
387,1,2
389,1,2
390,0,1
392,0,2
394,1,2
