time (ms),latency (ms),consume (ms)
0,7,0
5,4,5
5,2,0
7,1,2
9,1,2
11,1,2
13,1,2
15,1,2
18,2,3
20,1,2
22,1,2
24,1,2
26,1,2
31,4,5
33,1,2
34,0,1
36,0,2
38,0,2
41,1,3
44,1,3
46,1,2
48,1,2
50,1,2
52,1,2
54,1,2
56,1,2
58,1,2
60,1,2
62,1,2
66,1,4
68,1,2
74,1,6
76,1,2
78,0,2
80,0,2
82,1,2
85,1,3
87,1,2
90,1,3
93,1,3
95,1,2
97,1,2
99,0,2
101,1,2
103,1,2
106,2,3
108,1,2
110,1,2
114,1,4
116,1,2
118,1,2
119,0,1
121,0,2
123,1,2
125,1,2
127,1,2
129,1,2
132,1,3
134,1,2
136,1,2
138,1,2
140,1,2
142,1,2
144,1,2
146,1,2
148,1,2
149,0,1
151,0,2
153,0,2
155,1,2
157,1,2
160,2,3
162,1,2
164,1,2
166,1,2
167,0,1
169,0,2
171,1,2
173,1,2
176,2,3
180,2,4
182,1,2
183,0,1
185,0,2
187,1,2
189,1,2
191,0,2
193,1,2
195,1,2
197,1,2
198,0,1
200,0,2
202,1,2
204,1,2
206,1,2
208,1,2
209,0,1
211,0,2
213,1,2
215,1,2
217,1,2
218,0,1
221,1,3
222,0,1
224,1,2
226,1,2
227,0,1
229,0,2
231,1,2
233,0,2
235,1,2
238,2,3
240,0,2
242,1,2
244,1,2
246,1,2
249,0,3
251,1,2
253,1,2
255,1,2
256,0,1
258,0,2
260,1,2
262,1,2
264,1,2
266,1,2
267,0,1
269,0,2
271,1,2
273,1,2
275,1,2
277,1,2
278,0,1
280,0,2
282,1,2
284,1,2
288,1,4
290,1,2
292,1,2
294,1,2
296,1,2
298,1,2
300,1,2
302,1,2
304,1,2
306,1,2
308,1,2
310,1,2
311,0,1
313,0,2
315,1,2
317,1,2
319,1,2
320,0,1
322,1,2
324,1,2
326,1,2
328,1,2
330,1,2
332,1,2
333,0,1
335,0,2
337,1,2
338,0,1
340,0,2
342,1,2
343,0,1
345,0,2
348,2,3
350,1,2
351,0,1
353,1,2
355,1,2
357,1,2
358,0,1
360,1,2
362,1,2
364,1,2
366,1,2
368,1,2
369,0,1
372,1,3
374,1,2
376,1,2
377,0,1
379,0,2
381,1,2
384,1,3
388,1,4
390,1,2
392,1,2
400,1,8
402,1,2
404,1,2
405,0,1
407,0,2
409,1,2
411,1,2
412,0,1
414,0,2
416,1,2
418,1,2
426,1,8
428,0,2
430,1,2
431,0,1
433,0,2
435,1,2
437,1,2
438,0,1
440,0,2
442,1,2
444,1,2
446,1,2
448,1,2
449,0,1
451,0,2
459,7,8
462,1,3
463,0,1
465,1,2
467,1,2
471,3,4
473,1,2
474,0,1
476,1,2
478,1,2
480,1,2
482,1,2
484,1,2
485,0,1
487,1,2
489,1,2
491,1,2
493,1,2
496,2,3
499,2,3
501,1,2
502,0,1
505,1,3
506,0,1
510,3,4
513,2,3
516,2,3
518,1,2
519,0,1
522,1,3
527,4,5
529,1,2
532,2,3
534,1,2
535,0,1
537,0,2
539,1,2
541,1,2
543,1,2
544,0,1
546,0,2
550,3,4
550,1,0
551,0,1
553,1,2
555,1,2
556,0,1
558,1,2
560,1,2
561,0,1
563,1,2
565,1,2
566,0,1
568,0,2
570,1,2
571,0,1
574,1,3
575,0,1
577,1,2
579,1,2
580,0,1
582,1,2
584,1,2
586,1,2
587,0,1
589,0,2
591,1,2
593,1,2
594,0,1
596,0,2
598,0,2
600,0,2
602,1,2
603,0,1
605,0,2
607,1,2
609,1,2
611,1,2
612,0,1
614,0,2
616,1,2
618,1,2
620,1,2
623,2,3
626,1,3
627,0,1
629,0,2
631,0,2
633,1,2
635,1,2
636,0,1
638,0,2
640,1,2
643,1,3
645,1,2
647,1,2
648,0,1
650,0,2
652,1,2
654,1,2
655,0,1
657,1,2
660,1,3
662,1,2
664,1,2
665,0,1
667,1,2
669,1,2
672,2,3
674,1,2
675,0,1
680,4,5
682,1,2
683,0,1
685,1,2
687,1,2
689,1,2
690,0,1
692,1,2
694,1,2
695,0,1
697,1,2
699,1,2
700,0,1
702,0,2
704,1,2
706,1,2
708,1,2
709,0,1
711,0,2
713,1,2
715,1,2
716,0,1
718,0,2
720,1,2
725,4,5
728,1,3
728,0,0
730,0,2
732,1,2
734,1,2
735,0,1
737,1,2
739,1,2
741,1,2
742,0,1
744,0,2
746,0,2
748,1,2
750,1,2
752,1,2
753,0,1
755,1,2
758,2,3
759,0,1
761,0,2
763,1,2
764,0,1
766,0,2
768,1,2
770,1,2
775,4,5
780,3,5
783,0,3
785,1,2
787,1,2
800,5,13
810,2,10
812,0,2
814,1,2
816,1,2
817,0,1
819,1,2
821,1,2
823,1,2
824,0,1
826,0,2
828,1,2
830,1,2
831,0,1
833,0,2
835,0,2
837,0,2
839,1,2
841,1,2
843,1,2
845,1,2
847,1,2
848,0,1
850,0,2
852,0,2
854,1,2
856,1,2
858,1,2
860,1,2
862,1,2
864,1,2
865,0,1
867,0,2
869,0,2
871,1,2
873,1,2
875,1,2
876,0,1
878,0,2
880,0,2
883,1,3
885,1,2
886,0,1
888,1,2
890,1,2
892,1,2
893,0,1
895,0,2
897,1,2
898,0,1
900,0,2
902,1,2
903,0,1
905,0,2
907,1,2
908,0,1
910,0,2
912,1,2
914,1,2
915,0,1
917,1,2
919,1,2
920,0,1
922,1,2
924,1,2
925,0,1
927,0,2
930,1,3
931,0,1
933,1,2
935,1,2
936,0,1
938,0,2
940,1,2
941,0,1
943,1,2
945,1,2
946,0,1
948,0,2
950,1,2
951,0,1
953,1,2
955,1,2
956,0,1
958,0,2
960,1,2
962,1,2
963,0,1
965,0,2
967,1,2
969,1,2
970,0,1
972,0,2
974,1,2
975,0,1
977,0,2
979,1,2
980,0,1
982,0,2
984,1,2
985,0,1
988,1,3
993,1,5
995,1,2
996,0,1
998,0,2
1000,1,2
1001,0,1
1003,0,2
1005,0,2
1007,1,2
1008,0,1
1010,0,2
1012,1,2
1013,0,1
1015,0,2
1017,1,2
1018,0,1
1020,1,2
1022,1,2
1023,0,1
1026,2,3
1030,3,4
1033,1,3
1036,2,3
1039,0,3
1041,1,2
1043,1,2
1045,0,2
1047,1,2
1049,1,2
1050,0,1
1052,1,2
1054,1,2
1055,0,1
1057,1,2
1059,1,2
1060,0,1
1062,1,2
1063,0,1
1065,1,2
1068,2,3
1069,0,1
1071,1,2
1073,1,2
1074,0,1
1076,1,2
1078,1,2
1079,0,1
1081,1,2
1082,0,1
1084,0,2
1086,1,2
1087,0,1
1089,0,2
1091,1,2
1092,0,1
1094,0,2
1096,1,2
1098,1,2
1101,0,3
1103,1,2
1104,0,1
1106,0,2
1108,1,2
1109,0,1
1111,1,2
1112,0,1
1114,0,2
1116,1,2
1117,0,1
1119,1,2
1121,0,2
1123,1,2
1124,0,1
1126,1,2
1127,0,1
1129,1,2
1130,0,1
1132,0,2
1134,1,2
1135,0,1
1137,1,2
1138,0,1
1140,0,2
1142,1,2
1143,0,1
1145,0,2
1147,1,2
1148,0,1
1150,1,2
1151,0,1
1153,0,2
1155,1,2
1156,0,1
1158,1,2
1160,1,2
1162,1,2
1163,0,1
1165,0,2
1167,1,2
1169,1,2
1171,1,2
1172,0,1
1174,0,2
1176,0,2
1178,1,2
1180,1,2
1181,0,1
1183,1,2
1185,1,2
1186,0,1
1188,1,2
1190,1,2
1191,0,1
1193,1,2
1195,1,2
1196,0,1
1198,1,2
1199,0,1
1201,0,2
1203,1,2
1204,0,1
1206,1,2
1207,0,1
1209,0,2
