time (ms),latency (ms),consume (ms)
0,8,0
35,34,35
36,29,1
36,24,0
37,20,1
37,14,0
37,9,0
40,3,3
45,2,5
50,1,5
55,1,5
62,3,7
66,1,4
72,2,6
78,2,6
84,2,6
89,1,5
95,2,6
101,2,6
106,2,5
112,2,6
117,2,5
121,1,4
128,3,7
133,3,5
138,1,5
144,2,6
152,4,8
156,1,4
161,1,5
167,2,6
172,1,5
178,2,6
183,1,5
188,1,5
194,2,6
199,1,5
205,2,6
211,2,6
216,1,5
222,2,6
228,2,6
234,2,6
239,2,5
244,1,5
250,2,6
255,1,5
260,1,5
266,2,6
271,1,5
277,2,6
283,1,6
289,2,6
295,3,6
300,2,5
304,1,4
309,1,5
315,2,6
319,1,4
325,2,6
331,2,6
340,5,9
345,4,5
348,1,3
355,2,7
360,2,5
365,1,5
370,1,5
376,2,6
381,1,5
386,1,5
392,2,6
397,1,5
403,2,6
408,1,5
415,3,7
420,3,5
425,1,5
431,2,6
436,1,5
442,2,6
449,3,7
454,2,5
459,1,5
464,1,5
470,2,6
475,1,5
481,2,6
486,1,5
494,4,8
500,2,6
504,1,4
510,2,6
515,1,5
521,2,6
527,2,6
532,2,5
538,2,6
544,2,6
550,2,6
555,2,5
560,2,5
565,2,5
570,2,5
575,2,5
581,2,6
586,2,5
592,2,6
598,2,6
603,2,5
608,2,5
613,2,5
617,1,4
623,2,6
628,1,5
633,1,5
639,2,6
644,1,5
650,2,6
656,2,6
660,1,4
666,2,6
673,2,7
678,1,5
687,5,9
694,3,7
698,2,4
705,3,7
713,4,8
723,9,10
731,5,8
740,6,9
752,9,12
753,5,1
771,17,18
773,14,2
773,9,0
773,3,0
777,2,4
783,2,6
788,2,5
794,2,6
801,2,7
806,2,5
811,1,5
817,2,6
823,2,6
827,1,4
832,1,5
838,2,6
844,2,6
849,1,5
855,2,6
859,1,4
865,2,6
870,1,5
876,2,6
881,1,5
887,2,6
891,1,4
897,2,6
903,2,6
908,2,5
913,1,5
919,2,6
923,1,4
929,2,6
934,2,5
939,2,5
944,1,5
950,2,6
956,2,6
961,1,5
967,2,6
973,2,6
977,1,4
983,2,6
988,1,5
994,2,6
999,1,5
1005,2,6
1009,1,4
1015,1,6
1023,4,8
1027,1,4
1032,1,5
1038,1,6
1043,1,5
1049,1,6
1055,2,6
1060,1,5
1066,2,6
1072,2,6
1078,2,6
1085,3,7
1090,2,5
1096,2,6
1102,2,6
1107,1,5
1113,2,6
1119,2,6
1124,1,5
1130,2,6
1135,2,5
1140,2,5
1146,2,6
1152,2,6
1157,1,5
1163,1,6
1169,2,6
1174,1,5
1180,1,6
1186,2,6
1191,1,5
1197,1,6
1203,2,6
1208,1,5
1214,1,6
1220,2,6
1225,1,5
1231,2,6
1237,2,6
1243,1,6
1249,2,6
1255,2,6
1260,1,5
1266,2,6
1271,2,5
1276,2,5
1281,1,5
1287,2,6
1292,2,5
