time (ms),latency (ms),consume (ms)
0,11,0
11,3,11
25,4,14
37,3,12
50,3,13
65,5,15
79,3,14
88,1,9
101,4,13
111,3,10
121,2,10
132,3,11
142,2,10
161,10,19
164,1,3
177,2,13
188,3,11
199,2,11
217,10,18
222,2,5
233,2,11
243,1,10
254,2,11
266,3,12
280,1,14
292,1,12
305,2,13
318,2,13
331,2,13
344,2,13
356,1,12
368,1,12
381,2,13
393,2,12
405,2,12
417,2,12
429,1,12
442,2,13
455,2,13
467,1,12
479,1,12
491,1,12
503,2,12
515,2,12
527,1,12
542,3,15
554,2,12
566,2,12
583,2,17
596,2,13
608,1,12
620,1,12
632,1,12
644,2,12
656,2,12
668,1,12
680,1,12
692,1,12
704,1,12
717,3,13
729,2,12
741,1,12
753,2,12
766,2,13
778,1,12
791,2,13
803,1,12
815,1,12
826,1,11
838,1,12
850,1,12
864,3,14
875,1,11
887,1,12
898,1,11
910,1,12
922,2,12
934,1,12
945,1,11
959,4,14
970,1,11
982,2,12
995,2,13
1011,5,16
1023,2,12
1035,1,12
1047,1,12
1059,1,12
1076,1,17
1088,1,12
1100,1,12
1112,2,12
1124,2,12
1137,3,13
1150,2,13
1163,2,13
1174,1,11
1186,1,12
1198,2,12
1209,1,11
1220,1,11
1231,0,11
1243,1,12
1254,1,11
1266,2,12
1278,2,12
1289,1,11
1301,1,12
1313,1,12
1325,2,12
1336,1,11
1350,3,14
1364,1,14
1376,1,12
1389,1,13
1402,2,13
1415,2,13
1426,1,11
1439,3,13
1451,1,12
1464,1,13
1476,1,12
1489,2,13
1502,2,13
1515,2,13
1528,1,13
1544,1,16
1557,2,13
1569,2,12
1581,2,12
1593,2,12
1604,1,11
1615,1,11
1627,1,12
1638,1,11
1650,1,12
1662,2,12
1673,1,11
1685,1,12
1699,2,14
1711,2,12
1723,2,12
1735,2,12
1749,3,14
1761,2,12
1773,2,12
1786,3,13
1797,1,11
1809,1,12
1821,1,12
1833,1,12
1846,2,13
1858,1,12
1870,1,12
1882,2,12
1894,2,12
1906,1,12
1918,1,12
1932,1,14
1943,1,11
1955,1,12
1966,1,11
1978,1,12
1989,1,11
2001,1,12
2012,1,11
2023,1,11
2034,0,11
2047,3,13
2058,1,11
2069,1,11
2081,1,12
2092,1,11
2104,1,12
2116,2,12
2127,1,11
2138,1,11
2150,1,12
2162,2,12
2173,1,11
2184,1,11
2196,2,12
2207,1,11
2219,1,12
2230,1,11
2242,1,12
2254,2,12
2266,0,12
2279,1,13
2290,1,11
2305,5,15
2320,2,15
2332,1,12
2344,1,12
2356,1,12
2368,1,12
2380,2,12
2391,1,11
2403,1,12
2414,1,11
2425,1,11
2436,1,11
2448,1,12
2460,2,12
2472,2,12
2483,1,11
2495,2,12
2506,1,11
2518,1,12
2529,1,11
2541,2,12
2552,1,11
2564,1,12
2576,2,12
2587,1,11
2598,1,11
2610,1,12
2627,7,17
2636,1,9
2647,1,11
2658,1,11
2670,1,12
2684,4,14
2696,2,12
2707,1,11
2718,1,11
2730,2,12
2741,1,11
2752,1,11
2764,1,12
2776,2,12
2787,1,11
2798,1,11
2810,1,12
2821,1,11
2834,3,13
2847,3,13
2859,2,12
