time (ms),latency (ms),consume (ms)
0,11,0
7,6,7
7,5,0
9,4,2
9,1,0
12,2,3
13,0,1
15,1,2
18,2,3
20,1,2
23,1,3
26,1,3
28,1,2
34,4,6
37,1,3
40,2,3
42,1,2
45,1,3
48,2,3
52,1,4
54,0,2
57,1,3
60,1,3
62,0,2
66,1,4
69,1,3
72,1,3
75,1,3
77,1,2
82,1,5
84,1,2
90,1,6
93,1,3
96,1,3
98,1,2
100,1,2
102,0,2
105,1,3
108,1,3
110,1,2
112,1,2
114,1,2
116,1,2
118,1,2
120,0,2
123,1,3
126,1,3
130,3,4
133,1,3
151,12,18
151,9,0
151,7,0
152,6,1
153,5,1
153,3,0
157,5,4
158,5,1
159,4,1
159,2,0
160,1,1
162,1,2
163,0,1
165,0,2
167,1,2
169,1,2
170,0,1
172,1,2
174,1,2
176,1,2
178,1,2
180,1,2
183,1,3
185,1,2
187,0,2
189,0,2
191,0,2
193,0,2
195,0,2
197,0,2
201,2,4
203,1,2
205,1,2
207,1,2
209,1,2
211,1,2
213,1,2
215,0,2
217,1,2
219,1,2
220,0,1
222,0,2
224,0,2
226,0,2
228,0,2
230,0,2
232,0,2
234,0,2
236,0,2
239,1,3
241,1,2
242,0,1
244,0,2
246,0,2
248,0,2
250,0,2
252,0,2
255,1,3
257,1,2
259,1,2
261,1,2
264,2,3
267,2,3
269,0,2
272,1,3
274,1,2
280,1,6
282,0,2
285,1,3
287,1,2
289,1,2
291,1,2
293,1,2
295,1,2
297,0,2
299,0,2
302,1,3
304,1,2
306,1,2
308,1,2
310,1,2
312,1,2
314,1,2
316,1,2
318,1,2
320,1,2
322,1,2
324,1,2
326,1,2
329,2,3
331,1,2
333,1,2
335,1,2
337,1,2
341,2,4
344,1,3
346,1,2
349,1,3
352,1,3
354,1,2
356,1,2
358,0,2
360,0,2
362,0,2
365,1,3
366,0,1
368,0,2
370,0,2
372,0,2
374,0,2
376,0,2
378,1,2
380,1,2
382,1,2
384,1,2
386,1,2
387,0,1
389,0,2
391,0,2
393,0,2
395,0,2
397,0,2
399,0,2
402,1,3
404,1,2
406,1,2
409,2,3
412,1,3
414,1,2
416,1,2
418,1,2
420,1,2
423,2,3
425,1,2
428,1,3
431,1,3
433,1,2
436,1,3
438,0,2
441,1,3
443,1,2
445,0,2
447,0,2
450,1,3
452,1,2
454,1,2
456,1,2
458,1,2
460,1,2
462,1,2
464,0,2
466,0,2
468,1,2
470,1,2
472,1,2
474,1,2
475,0,1
477,0,2
479,0,2
481,0,2
483,0,2
485,0,2
487,0,2
490,1,3
491,0,1
493,0,2
501,1,8
503,0,2
513,8,10
513,2,0
514,1,1
515,0,1
517,1,2
521,3,4
522,1,1
524,1,2
526,1,2
527,0,1
529,1,2
531,1,2
532,0,1
534,1,2
536,1,2
537,0,1
540,1,3
541,1,1
545,3,4
546,2,1
547,1,1
548,0,1
550,1,2
551,0,1
553,1,2
555,1,2
558,2,3
560,1,2
562,1,2
563,1,1
566,2,3
566,0,0
569,2,3
572,2,3
573,0,1
575,1,2
576,0,1
578,0,2
580,0,2
582,1,2
584,1,2
586,1,2
588,1,2
590,1,2
592,1,2
594,1,2
596,1,2
597,0,1
600,1,3
602,1,2
603,0,1
605,0,2
607,0,2
609,1,2
611,1,2
613,1,2
615,1,2
617,1,2
619,1,2
621,1,2
623,1,2
624,0,1
626,0,2
628,0,2
630,1,2
632,1,2
634,1,2
635,0,1
637,0,2
639,0,2
641,1,2
643,1,2
644,0,1
646,0,2
650,2,4
651,0,1
653,0,2
655,0,2
657,1,2
659,1,2
661,1,2
662,0,1
664,0,2
668,3,4
670,1,2
671,0,1
673,1,2
674,0,1
676,0,2
678,0,2
680,0,2
682,1,2
684,1,2
686,1,2
688,1,2
690,1,2
691,0,1
693,0,2
695,0,2
697,1,2
699,1,2
701,1,2
706,1,5
708,1,2
710,1,2
711,0,1
713,0,2
715,0,2
717,1,2
719,0,2
721,1,2
725,3,4
727,0,2
729,0,2
731,0,2
733,0,2
735,0,2
737,1,2
739,1,2
740,0,1
742,0,2
744,0,2
746,0,2
748,0,2
750,1,2
752,1,2
754,1,2
756,1,2
757,0,1
759,0,2
761,0,2
763,0,2
765,1,2
767,1,2
769,1,2
771,1,2
772,0,1
774,0,2
776,0,2
778,1,2
780,1,2
782,1,2
790,1,8
792,0,2
794,0,2
796,0,2
798,0,2
800,1,2
802,1,2
804,1,2
806,1,2
808,1,2
810,1,2
814,3,4
816,1,2
818,1,2
820,1,2
823,0,3
826,1,3
832,1,6
835,2,3
837,0,2
842,3,5
842,2,0
843,0,1
845,1,2
847,1,2
853,3,6
856,1,3
858,1,2
860,1,2
862,1,2
864,1,2
867,1,3
869,1,2
871,1,2
873,1,2
875,1,2
877,1,2
879,1,2
881,0,2
883,0,2
885,0,2
887,0,2
889,1,2
891,1,2
893,1,2
894,0,1
896,0,2
898,1,2
900,1,2
901,0,1
903,0,2
905,0,2
907,1,2
909,1,2
910,0,1
912,0,2
914,1,2
916,1,2
917,0,1
919,0,2
921,0,2
923,1,2
925,1,2
926,0,1
929,0,3
931,0,2
933,1,2
935,1,2
937,1,2
938,0,1
940,0,2
942,1,2
944,1,2
945,0,1
947,0,2
949,0,2
951,1,2
953,1,2
954,0,1
957,0,3
959,0,2
961,1,2
963,1,2
965,1,2
966,0,1
968,0,2
970,1,2
972,1,2
974,1,2
975,0,1
977,0,2
979,0,2
981,0,2
983,1,2
986,2,3
988,1,2
990,0,2
992,1,2
994,1,2
996,1,2
997,0,1
999,0,2
1001,1,2
1003,1,2
1005,1,2
1006,0,1
1008,0,2
1010,1,2
1012,1,2
1014,1,2
1016,1,2
1018,1,2
1021,2,3
1023,1,2
1025,0,2
1027,0,2
1029,0,2
1031,0,2
1033,0,2
1035,0,2
1038,1,3
1040,1,2
1042,1,2
1044,1,2
1045,0,1
1050,3,5
1054,1,4
1056,1,2
1058,1,2
1060,1,2
1062,0,2
1064,0,2
1066,1,2
1068,1,2
1070,1,2
1072,1,2
1074,1,2
1076,1,2
1078,1,2
1079,0,1
1081,0,2
1083,0,2
1085,0,2
1087,0,2
1089,0,2
1091,0,2
1095,1,4
1100,4,5
1103,1,3
1105,1,2
1107,1,2
1111,0,4
1129,6,18
1138,3,9
1140,1,2
1142,1,2
1144,1,2
1146,1,2
1148,1,2
1150,0,2
1152,0,2
1154,0,2
1156,1,2
1158,1,2
1159,0,1
1161,0,2
1163,0,2
1166,1,3
1168,1,2
1169,0,1
1171,0,2
1173,0,2
1175,0,2
1177,0,2
1179,1,2
1181,1,2
1183,1,2
1185,1,2
1187,1,2
1189,1,2
1190,0,1
1192,0,2
1194,1,2
1198,3,4
1200,1,2
1202,1,2
1204,1,2
1206,1,2
1207,0,1
1209,0,2
1211,0,2
1213,1,2
1215,1,2
1216,0,1
1218,0,2
1222,2,4
1223,0,1
1225,0,2
1227,1,2
1229,1,2
1230,0,1
1232,0,2
1234,1,2
1235,0,1
1237,0,2
1239,1,2
1241,1,2
1243,1,2
1245,1,2
1247,1,2
1249,1,2
1251,1,2
1253,0,2
1255,0,2
1257,0,2
1259,0,2
1261,0,2
1263,0,2
1266,1,3
1268,1,2
1270,1,2
1272,0,2
1274,0,2
1277,1,3
1279,1,2
1285,4,6
1286,0,1
1288,0,2
1290,0,2
1292,1,2
1294,1,2
1296,1,2
1298,1,2
1300,1,2
1303,1,3
1305,1,2
1308,1,3
1310,1,2
1313,1,3
1315,0,2
1318,1,3
1320,0,2
1323,1,3
1325,1,2
1328,1,3
1330,1,2
1333,1,3
1335,1,2
1337,1,2
1339,0,2
1342,1,3
1344,1,2
1347,1,3
1349,1,2
1352,1,3
1354,1,2
1357,1,3
1359,1,2
1368,1,9
1371,2,3
1374,1,3
1376,1,2
1379,1,3
1381,1,2
1384,2,3
1386,1,2
1388,1,2
1391,1,3
1393,1,2
1396,1,3
1398,1,2
1400,1,2
1403,1,3
1405,1,2
1409,3,4
1411,1,2
1413,0,2
1416,1,3
1418,1,2
1422,1,4
