time (ms),latency (ms),consume (ms)
0,9,0
36,35,36
44,41,8
45,42,1
46,43,1
47,43,1
48,44,1
49,45,1
50,46,1
51,46,1
54,49,3
60,55,6
62,57,2
64,58,2
66,59,2
67,59,1
68,60,1
73,65,5
76,68,3
79,70,3
84,75,5
90,81,6
91,81,1
93,83,2
94,84,1
95,84,1
97,85,2
103,91,6
105,91,2
106,92,1
108,94,2
110,96,2
113,98,3
114,99,1
116,101,2
119,104,3
121,105,2
123,107,2
124,107,1
128,111,4
130,113,2
131,113,1
136,118,5
138,119,2
140,121,2
142,123,2
144,124,2
145,125,1
147,127,2
148,128,1
149,128,1
151,130,2
152,131,1
154,132,2
154,131,0
156,133,2
159,135,3
160,136,1
162,138,2
178,154,16
181,156,3
183,158,2
184,155,1
186,155,2
187,156,1
190,148,3
192,140,2
192,139,0
195,140,3
197,140,2
199,142,2
201,143,2
211,152,10
218,157,7
220,157,2
221,157,1
223,158,2
225,155,2
228,157,3
229,157,1
231,157,2
237,162,6
239,161,2
241,161,2
243,161,2
245,162,2
247,163,2
249,163,2
250,163,1
253,165,3
254,158,1
259,161,5
264,165,5
265,165,1
267,166,2
268,166,1
270,167,2
272,167,2
274,167,2
276,169,2
277,168,1
279,168,2
280,168,1
282,168,2
284,169,2
284,167,0
287,169,3
288,169,1
289,169,1
291,169,2
293,170,2
295,170,2
297,171,2
298,171,1
300,171,2
302,171,2
304,173,2
305,172,1
311,177,6
313,178,2
315,178,2
318,181,3
321,182,3
335,194,14
340,198,5
343,180,3
348,181,5
374,205,26
378,208,4
380,207,2
383,203,3
396,209,13
407,207,11
409,207,2
411,208,2
413,209,2
414,209,1
416,210,2
418,211,2
420,212,2
421,212,1
460,250,39
462,251,2
464,253,2
466,253,2
468,253,2
470,255,2
472,255,2
474,257,2
475,256,1
477,257,2
479,257,2
481,258,2
483,259,2
484,259,1
486,259,2
487,259,1
489,260,2
491,259,2
493,261,2
496,262,3
498,263,2
500,264,2
501,264,1
503,265,2
505,266,2
507,266,2
509,267,2
509,265,0
510,264,1
511,265,1
513,265,2
515,266,2
515,264,0
516,264,1
518,264,2
520,265,2
521,265,1
522,265,1
524,267,2
525,265,1
526,266,1
527,266,1
529,266,2
531,264,2
533,264,2
534,264,1
535,264,1
536,264,1
538,263,2
540,264,2
540,263,0
542,264,2
544,259,2
545,259,1
546,257,1
548,256,2
548,255,0
550,256,2
551,256,1
553,256,2
554,256,1
555,255,1
556,255,1
558,255,2
559,254,1
561,256,2
561,255,0
563,256,2
564,256,1
566,257,2
567,256,1
568,257,1
569,256,1
570,256,1
572,256,2
573,256,1
574,256,1
576,257,2
577,257,1
589,267,12
590,268,1
591,268,1
591,267,0
592,267,1
592,266,0
597,270,5
604,275,7
606,276,2
607,276,1
608,276,1
609,276,1
618,284,9
620,285,2
621,285,1
622,285,1
622,284,0
623,284,1
623,282,0
624,282,1
626,283,2
627,283,1
628,283,1
630,285,2
630,283,0
636,287,6
638,289,2
639,288,1
644,293,5
646,293,2
646,293,0
647,293,1
647,292,0
650,293,3
652,295,2
652,294,0
668,309,16
670,310,2
671,310,1
672,310,1
673,310,1
673,309,0
674,309,1
677,311,3
682,315,5
683,315,1
685,316,2
694,324,9
695,324,1
697,325,2
698,323,1
698,322,0
701,324,3
704,326,3
706,327,2
707,326,1
707,325,0
708,326,1
719,336,11
722,338,3
723,337,1
724,337,1
725,338,1
729,340,4
735,345,6
736,345,1
738,346,2
738,345,0
739,345,1
740,345,1
741,346,1
742,345,1
742,344,0
748,350,6
750,350,2
750,350,0
756,355,6
757,354,1
758,354,1
759,355,1
761,356,2
763,356,2
764,356,1
765,356,1
774,363,9
776,364,2
777,364,1
777,362,0
778,362,1
779,362,1
779,361,0
780,359,1
780,358,0
781,358,1
790,366,9
792,367,2
793,367,1
794,367,1
797,369,3
800,371,3
801,372,1
806,375,5
808,376,2
809,377,1
810,377,1
811,377,1
811,376,0
813,377,2
815,377,2
816,378,1
816,377,0
817,377,1
821,380,4
827,385,6
833,391,6
838,394,5
840,395,2
841,396,1
842,396,1
845,398,3
850,402,5
851,402,1
852,402,1
852,401,0
853,400,1
854,401,1
854,400,0
855,401,1
858,402,3
859,402,1
861,404,2
862,404,1
863,404,1
864,404,1
864,400,0
865,400,1
865,399,0
865,397,0
866,397,1
866,395,0
867,395,1
867,394,0
867,393,0
868,392,1
868,391,0
869,391,1
869,390,0
869,388,0
870,388,1
870,386,0
871,386,1
871,384,0
872,385,1
872,383,0
873,383,1
874,382,1
875,382,1
876,382,1
876,380,0
877,379,1
878,380,1
878,378,0
879,377,1
880,377,1
881,377,1
884,378,3
885,377,1
886,369,1
886,359,0
888,360,2
889,359,1
890,359,1
890,353,0
900,357,10
903,314,3
903,313,0
904,314,1
905,314,1
906,309,1
906,309,0
907,310,1
908,311,1
909,312,1
909,311,0
910,312,1
911,313,1
912,314,1
912,314,0
913,315,1
914,315,1
915,316,1
915,316,0
916,317,1
917,318,1
917,318,0
918,319,1
919,319,1
919,319,0
920,320,1
921,321,1
921,321,0
922,322,1
923,322,1
923,322,0
924,323,1
925,324,1
925,324,0
926,325,1
927,325,1
927,325,0
928,326,1
929,326,1
929,326,0
930,327,1
931,327,1
932,328,1
932,328,0
933,328,1
934,328,1
935,329,1
935,329,0
936,330,1
937,330,1
937,330,0
938,330,1
939,331,1
940,331,1
940,331,0
941,328,1
942,329,1
942,329,0
943,330,1
944,331,1
945,332,1
946,332,1
946,332,0
947,333,1
948,334,1
949,335,1
949,335,0
950,336,1
951,336,1
951,336,0
952,337,1
953,338,1
953,338,0
954,338,1
955,339,1
956,340,1
956,340,0
957,341,1
958,342,1
959,343,1
959,341,0
960,342,1
960,342,0
961,343,1
962,343,1
962,342,0
963,343,1
964,344,1
965,345,1
965,344,0
966,345,1
967,342,1
967,342,0
968,343,1
969,344,1
972,347,3
973,348,1
974,348,1
974,347,0
975,348,1
976,348,1
977,348,1
977,348,0
978,349,1
979,350,1
980,350,1
980,350,0
981,348,1
982,349,1
982,349,0
983,350,1
984,351,1
984,351,0
985,351,1
986,352,1
986,352,0
987,353,1
988,354,1
988,354,0
989,354,1
990,355,1
990,355,0
991,355,1
998,362,7
998,361,0
1000,363,2
1001,364,1
1002,365,1
1003,365,1
1003,364,0
1004,363,1
1005,364,1
1005,364,0
1006,365,1
1007,366,1
1007,366,0
1008,366,1
1009,367,1
1010,368,1
1010,368,0
1011,369,1
1012,370,1
1013,370,1
1013,370,0
1014,371,1
1015,371,1
1015,371,0
1016,372,1
1016,371,0
1017,372,1
1018,372,1
1018,372,0
1019,370,1
1020,371,1
1021,372,1
1022,373,1
1022,373,0
1023,374,1
1023,373,0
1024,374,1
1025,374,1
1025,374,0
1026,375,1
1027,375,1
1028,373,1
1028,373,0
1029,374,1
1030,375,1
1030,374,0
1031,375,1
1032,376,1
1032,376,0
1033,377,1
1034,373,1
1034,373,0
1035,374,1
1036,375,1
1037,376,1
1037,376,0
1038,377,1
1039,377,1
1040,378,1
1041,379,1
1041,379,0
1042,380,1
1043,381,1
1044,381,1
1044,381,0
1045,382,1
1046,383,1
1046,383,0
1047,384,1
1048,384,1
1048,384,0
1049,385,1
1050,386,1
1051,387,1
1051,387,0
1052,387,1
1053,388,1
1053,388,0
1054,389,1
1055,390,1
1056,391,1
1056,390,0
1057,389,1
1058,390,1
