time (ms),latency (ms),consume (ms)
0,7,0
34,27,34
34,17,0
34,6,0
40,2,6
50,1,10
61,2,11
72,2,11
82,1,10
93,2,11
103,1,10
115,3,12
124,1,9
135,1,11
147,2,12
157,1,10
167,1,10
178,2,11
189,2,11
198,1,9
210,2,12
219,1,9
231,3,12
240,1,9
251,2,11
262,2,11
272,1,10
284,3,12
293,1,9
304,1,11
315,2,11
325,1,10
336,2,11
346,1,10
357,1,11
367,1,10
377,1,10
388,2,11
399,1,11
409,1,10
420,1,11
431,1,11
441,1,10
451,1,10
462,1,11
472,1,10
483,1,11
494,2,11
503,1,9
514,2,11
524,1,10
535,1,11
545,1,10
557,2,12
568,1,11
578,1,10
589,1,11
599,1,10
609,1,10
620,2,11
630,1,10
644,4,14
652,2,8
661,1,9
672,2,11
683,2,11
694,1,11
704,1,10
714,1,10
724,1,10
735,1,11
746,2,11
756,1,10
767,1,11
779,3,12
788,2,9
799,2,11
810,1,11
820,1,10
831,1,11
841,1,10
854,3,13
864,2,10
874,1,10
884,1,10
895,2,11
904,1,9
914,1,10
924,1,10
936,3,12
946,1,10
956,1,10
966,1,10
977,1,11
987,1,10
998,1,11
1008,1,10
1018,1,10
1028,1,10
1038,1,10
1048,1,10
1059,1,11
1069,1,10
1080,1,11
1090,1,10
1100,1,10
1110,1,10
1121,1,11
1131,1,10
1142,1,11
1152,1,10
1162,1,10
1172,1,10
1182,1,10
1192,1,10
1203,1,11
1213,1,10
1224,1,11
1235,2,11
1245,1,10
1257,3,12
1266,1,9
1276,1,10
1286,1,10
1299,4,13
1312,3,13
1320,1,8
1332,3,12
1343,2,11
1360,8,17
1371,2,11
1387,7,16
1395,1,8
1406,2,11
1416,1,10
1427,2,11
1437,1,10
1448,2,11
1458,1,10
1468,1,10
1479,2,11
1489,1,10
1499,1,10
1510,1,11
1520,1,10
1531,1,11
1542,2,11
1551,1,9
1562,1,11
1572,1,10
1582,1,10
1592,1,10
1603,1,11
1613,1,10
1624,1,11
1634,1,10
1645,1,11
1655,1,10
1666,2,11
1676,1,10
1686,1,10
1697,1,11
1707,1,10
1718,1,11
1728,1,10
1739,1,11
1749,1,10
1760,2,11
1770,1,10
1781,2,11
1791,1,10
1802,1,11
1812,1,10
1823,1,11
1833,1,10
1844,1,11
1854,1,10
1865,1,11
1875,1,10
1886,1,11
1896,1,10
1907,1,11
1917,1,10
1928,2,11
1938,1,10
1948,1,10
1958,1,10
1969,1,11
1981,3,12
1990,1,9
2001,2,11
2011,1,10
2022,2,11
2035,4,13
2046,1,11
2056,1,10
2067,1,11
2077,1,10
2088,1,11
2098,1,10
2108,1,10
2118,1,10
2128,1,10
2138,1,10
2148,1,10
2158,1,10
2169,1,11
2179,1,10
2190,2,11
2200,1,10
2211,2,11
2220,1,9
2230,1,10
2240,1,10
2250,1,10
2261,2,11
2272,1,11
2282,1,10
2292,1,10
2302,1,10
2312,1,10
2323,2,11
2334,1,11
2344,1,10
2354,1,10
2364,1,10
2374,1,10
2385,2,11
2396,1,11
2406,1,10
2416,1,10
2427,1,11
2437,1,10
2448,2,11
2458,1,10
2468,1,10
2479,1,11
2489,1,10
2499,1,10
2509,1,10
2520,1,11
2549,16,29
2550,7,1
2555,1,5
2565,1,10
2575,1,10
2586,1,11
2596,1,10
2606,1,10
2617,1,11
2627,1,10
2637,1,10
2647,1,10
2657,1,10
2668,2,11
2678,1,10
2688,1,10
2699,1,11
2710,2,11
2720,1,10
2730,1,10
2741,1,11
2751,1,10
2762,1,11
2772,1,10
2783,1,11
2793,1,10
2804,1,11
2814,1,10
2825,1,11
2835,1,10
2846,2,11
2856,1,10
2866,1,10
2877,1,11
