time (ms),latency (ms),consume (ms)
0,7,0
37,36,37
37,30,0
38,25,1
38,19,0
38,14,0
38,8,0
40,2,2
45,1,5
51,1,6
56,1,5
63,2,7
68,1,5
74,2,6
80,2,6
86,1,6
91,1,5
97,1,6
103,2,6
108,2,5
114,2,6
118,1,4
124,1,6
131,3,7
137,2,6
142,1,5
147,1,5
155,4,8
159,1,4
165,1,6
170,1,5
175,1,5
181,2,6
186,1,5
192,2,6
197,1,5
203,2,6
209,2,6
214,1,5
220,1,6
226,1,6
232,1,6
238,1,6
243,1,5
249,1,6
254,1,5
260,1,6
265,1,5
271,1,6
276,1,5
281,1,5
287,2,6
292,1,5
299,2,7
305,2,6
310,1,5
316,2,6
321,1,5
326,1,5
332,2,6
338,2,6
346,4,8
350,2,4
355,1,5
361,1,6
367,2,6
372,1,5
377,1,5
382,1,5
387,1,5
392,1,5
398,1,6
403,1,5
409,1,6
414,1,5
422,3,8
426,2,4
432,1,6
437,1,5
443,1,6
448,1,5
455,3,7
460,2,5
466,2,6
471,1,5
477,1,6
483,2,6
488,1,5
494,1,6
501,3,7
507,1,6
512,1,5
518,1,6
523,1,5
529,1,6
534,1,5
540,1,6
545,1,5
551,1,6
557,2,6
562,1,5
567,1,5
573,1,6
579,2,6
584,1,5
590,2,6
595,1,5
600,1,5
606,1,6
611,1,5
617,1,6
622,1,5
628,1,6
633,1,5
639,2,6
643,1,4
648,1,5
653,1,5
658,1,5
664,2,6
669,1,5
675,1,6
680,1,5
687,2,7
695,5,8
701,2,6
706,1,5
713,3,7
720,3,7
730,8,10
735,3,5
746,7,11
749,1,3
755,1,6
760,1,5
766,1,6
771,1,5
776,1,5
781,1,5
787,1,6
792,1,5
798,2,6
803,1,5
808,1,5
814,1,6
819,1,5
825,1,6
830,1,5
836,1,6
841,1,5
847,1,6
852,1,5
857,1,5
862,1,5
868,1,6
873,1,5
879,1,6
884,1,5
890,2,6
895,1,5
900,1,5
905,1,5
911,1,6
916,1,5
922,2,6
927,1,5
933,2,6
938,1,5
943,1,5
949,1,6
954,1,5
960,1,6
965,1,5
971,1,6
976,1,5
982,2,6
987,1,5
992,1,5
998,1,6
1003,1,5
1008,1,5
1013,1,5
1019,1,6
1025,2,6
1031,1,6
1036,1,5
1041,1,5
1047,2,6
1052,1,5
1057,1,5
1062,1,5
1069,2,7
1073,1,4
1078,1,5
1096,13,18
1097,9,1
1097,4,0
1099,1,2
1104,1,5
1109,1,5
1115,2,6
1121,1,6
1127,1,6
1132,1,5
1137,1,5
1142,1,5
1148,2,6
1154,1,6
1159,1,5
1164,1,5
1169,1,5
1174,1,5
1179,1,5
1185,1,6
1190,1,5
1196,1,6
1201,1,5
1207,2,6
1212,1,5
1217,1,5
1223,1,6
1228,1,5
1234,1,6
1239,1,5
1243,0,4
1249,1,6
1254,1,5
1258,0,4
1264,1,6
1270,1,6
1274,0,4
1280,1,6
1286,1,6
1290,0,4
1296,1,6
1302,1,6
1306,0,4
1312,0,6
1318,1,6
1322,0,4
1328,0,6
1334,1,6
1338,0,4
1344,0,6
1350,1,6
1354,0,4
1360,0,6
1366,1,6
1370,0,4
1375,0,5
1381,1,6
1385,0,4
1390,0,5
1396,1,6
1401,1,5
1405,0,4
1411,1,6
1415,0,4
1420,0,5
1426,1,6
1431,1,5
1435,0,4
1441,1,6
1446,1,5
1450,0,4
1456,1,6
1462,1,6
1499,33,37
1499,28,0
1499,23,0
1499,17,0
1499,12,0
1500,8,1
1500,3,0
1539,36,39
1539,31,0
1539,26,0
1539,20,0
1540,16,1
1540,11,0
1540,6,0
