time (ms),latency (ms),consume (ms)
0,12,0
12,3,12
25,3,13
37,2,12
50,3,13
62,1,12
76,2,14
88,2,12
101,3,13
113,2,12
125,1,12
137,2,12
149,2,12
164,5,15
176,1,12
189,3,13
201,1,12
213,1,12
227,3,14
239,1,12
252,2,13
264,2,12
276,1,12
288,1,12
300,1,12
312,1,12
324,1,12
336,1,12
348,1,12
362,2,14
373,1,11
390,2,17
402,2,12
414,2,12
425,1,11
438,1,13
450,1,12
462,1,12
474,1,12
488,2,14
501,2,13
513,1,12
525,1,12
537,2,12
550,2,13
564,3,14
579,1,15
596,2,17
608,2,12
619,1,11
632,2,13
644,2,12
655,1,11
667,2,12
680,2,13
691,1,11
703,1,12
715,1,12
727,1,12
741,4,14
753,1,12
766,2,13
778,2,12
790,1,12
802,1,12
815,1,13
828,2,13
839,1,11
851,1,12
863,1,12
875,1,12
889,2,14
905,1,16
917,2,12
928,1,11
940,1,12
952,2,12
964,1,12
975,1,11
989,3,14
1001,2,12
1013,1,12
1027,3,14
1056,19,29
1057,1,1
1068,2,11
1079,1,11
1091,2,12
1108,1,17
1120,1,12
1132,1,12
1144,1,12
1157,2,13
1169,1,12
1181,1,12
1195,3,14
1207,2,12
1219,1,12
1232,2,13
1244,2,12
1257,2,13
1268,1,11
1280,1,12
1292,1,12
1304,1,12
1316,1,12
1328,1,12
1340,2,12
1352,2,12
1364,2,12
1375,1,11
1391,5,16
1404,2,13
1416,2,12
1428,1,12
1442,3,14
1454,1,12
1465,1,11
1478,2,13
1490,2,12
1502,1,12
1514,1,12
1527,2,13
1539,1,12
1552,2,13
1565,1,13
1577,1,12
1589,1,12
1604,1,15
1616,1,12
1628,2,12
1639,1,11
1651,1,12
1663,2,12
1674,1,11
1685,1,11
1697,1,12
1709,2,12
1720,1,11
1733,1,13
1745,1,12
1757,2,12
1769,2,12
1783,3,14
1794,1,11
1806,1,12
1820,3,14
1832,2,12
1844,2,12
1855,1,11
1867,1,12
1881,2,14
1892,1,11
1905,2,13
1916,1,11
1928,1,12
1941,2,13
1952,1,11
1968,2,16
1980,2,12
1992,2,12
2003,1,11
2015,1,12
2027,1,12
2039,1,12
2051,1,12
2063,1,12
2074,1,11
2087,2,13
2100,1,13
2113,2,13
2126,2,13
2138,2,12
2151,2,13
2164,2,13
2176,2,12
2189,2,13
2201,2,12
2213,1,12
2225,1,12
2237,1,12
2249,2,12
2260,1,11
2272,1,12
2284,1,12
2296,1,12
2309,2,13
2322,2,13
2335,1,13
2347,2,12
2360,3,13
2377,1,17
2391,1,14
2403,1,12
2415,2,12
2426,1,11
2438,1,12
2449,1,11
2461,1,12
2472,1,11
2484,1,12
2495,1,11
2507,1,12
2518,1,11
2529,1,11
2541,1,12
2552,1,11
2564,1,12
2576,2,12
2587,1,11
2599,1,12
2610,1,11
2622,1,12
2633,1,11
2645,1,12
2657,1,12
2668,1,11
2691,12,23
2696,1,5
2708,2,12
2719,1,11
2730,1,11
2746,5,16
2757,1,11
2769,1,12
2780,1,11
2792,2,12
2803,1,11
2815,2,12
2826,1,11
2837,1,11
2849,1,12
2860,1,11
2872,1,12
2884,2,12
2897,3,13
2909,2,12
2921,1,12
2933,1,12
2946,2,13
2959,1,13
2971,2,12
