time (ms),latency (ms),consume (ms)
0,1,0
5,1,5
7,0,2
9,0,2
10,0,1
12,1,2
14,0,2
15,0,1
18,0,3
19,0,1
21,1,2
23,0,2
24,0,1
26,1,2
29,1,3
31,0,2
32,0,1
34,0,2
35,0,1
36,0,1
38,0,2
39,0,1
40,0,1
42,0,2
43,0,1
44,0,1
47,0,3
48,0,1
50,1,2
52,0,2
55,0,3
57,1,2
59,0,2
60,0,1
62,0,2
63,0,1
64,0,1
66,0,2
67,0,1
68,0,1
71,0,3
72,0,1
74,1,2
76,0,2
77,0,1
79,1,2
81,0,2
82,0,1
85,0,3
86,0,1
88,1,2
90,0,2
91,0,1
93,0,2
95,0,2
96,0,1
98,0,2
99,0,1
100,0,1
103,0,3
104,0,1
106,1,2
108,0,2
109,0,1
112,0,3
115,0,3
116,0,1
118,0,2
119,0,1
120,0,1
123,0,3
124,0,1
126,1,2
128,0,2
129,0,1
131,0,2
132,0,1
133,0,1
136,0,3
137,0,1
138,0,1
141,0,3
142,0,1
144,1,2
146,0,2
147,0,1
149,0,2
150,0,1
153,0,3
154,0,1
155,0,1
159,1,4
161,0,2
163,0,2
165,0,2
167,1,2
169,0,2
170,0,1
173,0,3
175,1,2
177,0,2
178,0,1
181,0,3
182,0,1
184,1,2
186,0,2
187,0,1
189,0,2
190,0,1
191,0,1
195,0,4
196,0,1
197,0,1
200,0,3
201,0,1
203,1,2
205,0,2
207,1,2
209,0,2
210,0,1
213,0,3
214,0,1
216,1,2
218,0,2
219,0,1
221,0,2
222,0,1
223,0,1
226,0,3
227,0,1
231,0,4
239,1,8
241,0,2
244,0,3
245,0,1
247,1,2
249,0,2
250,0,1
253,0,3
254,0,1
255,0,1
258,0,3
259,0,1
260,0,1
263,0,3
264,0,1
266,1,2
268,0,2
269,0,1
271,1,2
273,0,2
274,0,1
276,1,2
278,0,2
279,0,1
281,1,2
283,0,2
284,0,1
287,0,3
288,0,1
290,0,2
291,0,1
292,0,1
295,0,3
296,0,1
297,0,1
300,0,3
301,0,1
303,0,2
304,0,1
305,0,1
308,0,3
309,0,1
311,0,2
312,0,1
314,1,2
316,0,2
317,0,1
320,0,3
321,0,1
323,0,2
324,0,1
325,0,1
328,0,3
329,0,1
331,0,2
332,0,1
334,1,2
336,0,2
337,0,1
340,0,3
341,0,1
343,0,2
344,0,1
346,0,2
348,1,2
352,2,4
355,0,3
357,0,2
358,0,1
360,1,2
362,0,2
363,0,1
366,0,3
367,0,1
369,1,2
371,0,2
372,0,1
375,0,3
376,0,1
378,0,2
379,0,1
381,1,2
383,0,2
384,0,1
387,0,3
388,0,1
390,0,2
391,0,1
393,1,2
395,0,2
396,0,1
399,0,3
400,0,1
402,0,2
403,0,1
405,1,2
407,0,2
408,0,1
411,0,3
412,0,1
415,0,3
416,0,1
418,0,2
419,0,1
421,1,2
423,0,2
424,0,1
427,0,3
428,0,1
430,0,2
431,0,1
433,1,2
435,0,2
436,0,1
439,0,3
440,0,1
442,0,2
443,0,1
445,1,2
447,0,2
448,0,1
451,0,3
453,1,2
455,0,2
457,0,2
458,0,1
460,1,2
462,0,2
464,1,2
466,0,2
467,0,1
470,0,3
471,0,1
473,0,2
474,0,1
476,1,2
478,0,2
479,0,1
482,0,3
483,0,1
485,0,2
486,0,1
488,1,2
490,0,2
491,0,1
494,0,3
495,0,1
497,0,2
498,0,1
500,1,2
502,0,2
504,1,2
506,0,2
507,0,1
510,0,3
511,0,1
513,1,2
515,0,2
516,0,1
518,0,2
524,5,6
531,1,7
533,0,2
534,0,1
537,0,3
538,0,1
541,0,3
543,1,2
545,0,2
546,0,1
549,0,3
550,0,1
552,1,2
554,0,2
555,0,1
558,0,3
559,0,1
561,1,2
563,0,2
564,0,1
566,1,2
568,0,2
570,1,2
572,0,2
573,0,1
576,0,3
577,0,1
578,0,1
581,0,3
582,0,1
583,0,1
585,0,2
586,0,1
588,0,2
589,0,1
591,1,2
593,0,2
594,0,1
596,1,2
598,0,2
599,0,1
601,0,2
602,0,1
603,0,1
606,0,3
607,0,1
609,0,2
610,0,1
611,0,1
614,0,3
615,0,1
616,0,1
619,0,3
620,0,1
622,0,2
623,0,1
624,0,1
626,0,2
627,0,1
628,0,1
630,1,2
632,0,2
633,0,1
635,1,2
637,0,2
638,0,1
640,0,2
641,0,1
642,0,1
644,0,2
645,0,1
646,0,1
649,0,3
650,0,1
651,0,1
654,0,3
655,0,1
657,1,2
659,0,2
660,0,1
662,0,2
663,0,1
664,0,1
666,0,2
667,0,1
668,0,1
670,0,2
671,0,1
672,0,1
674,0,2
675,0,1
676,0,1
679,0,3
680,0,1
681,0,1
684,0,3
685,0,1
688,0,3
689,0,1
691,1,2
693,0,2
697,0,4
699,0,2
703,0,4
704,0,1
707,0,3
708,0,1
709,0,1
712,0,3
713,0,1
715,1,2
717,0,2
718,0,1
720,0,2
721,0,1
722,0,1
725,0,3
726,0,1
728,1,2
730,0,2
731,0,1
734,0,3
735,0,1
737,1,2
739,0,2
740,0,1
742,0,2
743,0,1
745,1,2
747,0,2
748,0,1
751,0,3
752,0,1
754,1,2
756,0,2
757,0,1
759,0,2
760,0,1
762,1,2
764,0,2
765,0,1
768,0,3
769,0,1
771,1,2
773,0,2
774,0,1
777,0,3
778,0,1
780,0,2
781,0,1
