time (ms),latency (ms),consume (ms)
0,12,0
1,8,1
16,21,15
16,14,0
16,12,0
17,12,1
17,11,0
17,9,0
18,8,1
21,10,3
40,28,19
40,20,0
41,20,1
41,18,0
42,17,1
43,16,1
43,10,0
43,8,0
59,22,16
63,19,4
63,18,0
64,18,1
64,17,0
64,16,0
65,15,1
68,16,3
77,23,9
77,16,0
77,14,0
77,13,0
78,13,1
78,12,0
78,9,0
79,6,1
94,20,15
94,15,0
94,14,0
95,14,1
95,13,0
95,12,0
95,10,0
96,9,1
111,20,15
111,15,0
111,13,0
111,12,0
112,12,1
112,10,0
112,8,0
112,6,0
125,17,13
125,12,0
126,11,1
126,10,0
126,9,0
126,8,0
127,8,1
127,7,0
145,23,18
145,18,0
146,17,1
146,16,0
146,15,0
146,10,0
147,8,1
147,7,0
162,20,15
164,17,2
165,16,1
165,14,0
165,13,0
165,12,0
166,10,1
166,9,0
175,17,9
176,13,1
176,9,0
177,9,1
177,8,0
180,10,3
180,9,0
183,11,3
206,33,23
206,28,0
206,25,0
224,42,18
224,41,0
224,40,0
225,39,1
226,38,1
226,23,0
226,16,0
227,16,1
227,14,0
227,13,0
227,11,0
228,11,1
229,10,1
238,18,9
238,15,0
238,13,0
238,12,0
239,11,1
239,10,0
239,8,0
240,7,1
249,15,9
249,12,0
249,11,0
249,9,0
251,9,2
251,8,0
251,7,0
252,7,1
263,17,11
263,13,0
263,10,0
263,9,0
264,9,1
264,8,0
264,7,0
264,6,0
288,28,24
288,23,0
289,23,1
289,19,0
289,17,0
291,18,2
291,14,0
291,13,0
306,22,15
309,17,3
310,13,1
311,13,1
311,12,0
311,11,0
311,10,0
312,10,1
324,21,12
324,14,0
325,14,1
325,12,0
325,10,0
325,9,0
325,7,0
327,8,2
340,19,13
340,14,0
341,14,1
341,12,0
341,10,0
341,9,0
341,7,0
342,7,1
358,21,16
358,16,0
358,14,0
358,13,0
359,13,1
359,11,0
360,11,1
360,10,0
374,23,14
375,15,1
375,13,0
375,12,0
375,10,0
375,8,0
376,8,1
376,6,0
389,18,13
389,13,0
390,12,1
390,11,0
391,10,1
391,8,0
391,7,0
392,7,1
405,19,13
405,13,0
405,11,0
407,12,2
407,10,0
408,9,1
408,8,0
408,7,0
423,21,15
423,14,0
423,13,0
424,11,1
424,10,0
424,8,0
424,7,0
425,6,1
438,18,13
438,13,0
438,12,0
439,11,1
439,10,0
439,9,0
439,8,0
439,6,0
454,19,15
455,15,1
455,14,0
455,12,0
455,10,0
455,9,0
456,8,1
456,6,0
471,20,15
471,15,0
471,13,0
471,11,0
472,11,1
472,9,0
472,8,0
472,6,0
487,20,15
487,14,0
488,14,1
488,12,0
488,10,0
488,9,0
488,7,0
489,7,1
510,26,21
511,20,1
511,19,0
511,16,0
512,16,1
512,14,0
512,13,0
513,12,1
517,15,4
517,12,0
518,12,1
518,11,0
518,9,0
519,9,1
519,8,0
519,7,0
531,17,12
531,15,0
531,13,0
531,12,0
533,12,2
533,10,0
533,9,0
533,7,0
546,18,13
547,15,1
547,14,0
547,12,0
547,10,0
548,10,1
548,8,0
