time (ms),latency (ms),consume (ms)
0,10,0
1,8,1
3,9,2
3,8,0
3,7,0
3,6,0
3,4,0
3,4,0
3,3,0
4,4,1
4,3,0
4,3,0
4,2,0
4,1,0
9,6,5
9,6,0
9,5,0
9,4,0
9,4,0
10,4,1
10,4,0
10,3,0
10,3,0
11,4,1
11,4,0
12,4,1
12,4,0
12,4,0
12,3,0
15,6,3
16,6,1
16,6,0
16,3,0
16,2,0
16,1,0
17,2,1
17,1,0
19,2,2
20,2,1
21,2,1
22,2,1
22,2,0
23,2,1
23,2,0
23,2,0
24,2,1
24,2,0
24,2,0
25,2,1
25,2,0
26,2,1
26,2,0
27,2,1
27,2,0
27,1,0
28,2,1
28,2,0
29,2,1
29,2,0
29,1,0
30,2,1
30,2,0
30,1,0
31,2,1
31,1,0
32,2,1
32,1,0
33,2,1
33,1,0
34,2,1
34,2,0
34,1,0
35,2,1
35,2,0
36,2,1
36,2,0
37,2,1
37,2,0
37,2,0
38,2,1
38,2,0
38,2,0
39,2,1
39,2,0
39,2,0
40,2,1
40,2,0
40,1,0
41,2,1
41,2,0
41,1,0
42,2,1
42,1,0
43,2,1
43,1,0
44,2,1
44,2,0
45,2,1
45,2,0
45,1,0
46,2,1
46,2,0
46,1,0
47,2,1
47,1,0
48,2,1
49,3,1
49,2,0
50,3,1
50,3,0
50,3,0
50,2,0
51,3,1
51,3,0
51,2,0
52,3,1
52,3,0
52,2,0
53,3,1
53,2,0
53,2,0
54,3,1
54,2,0
54,2,0
55,2,1
55,2,0
56,2,1
56,2,0
57,2,1
57,2,0
58,2,1
58,2,0
58,2,0
59,2,1
59,2,0
60,3,1
62,4,2
62,4,0
62,4,0
62,3,0
63,4,1
63,4,0
63,3,0
64,4,1
64,4,0
64,4,0
64,3,0
64,3,0
65,4,1
65,3,0
65,3,0
65,3,0
65,2,0
66,3,1
66,3,0
66,2,0
66,2,0
67,3,1
67,2,0
67,2,0
68,2,1
68,1,0
69,2,1
69,1,0
70,2,1
70,1,0
71,2,1
72,2,1
73,2,1
74,2,1
74,1,0
76,2,2
76,1,0
77,1,1
77,1,0
79,2,2
79,1,0
81,2,2
81,2,0
82,2,1
82,1,0
82,1,0
83,2,1
83,2,0
83,1,0
83,1,0
84,2,1
84,2,0
84,2,0
84,1,0
85,2,1
85,2,0
86,3,1
86,2,0
86,2,0
86,2,0
86,2,0
86,1,0
87,2,1
87,2,0
87,2,0
87,2,0
87,1,0
88,2,1
88,2,0
88,2,0
88,1,0
88,1,0
89,2,1
89,2,0
89,2,0
89,1,0
89,1,0
90,2,1
90,2,0
90,1,0
91,2,1
91,2,0
91,2,0
91,2,0
91,1,0
92,2,1
92,2,0
92,1,0
92,1,0
92,1,0
93,2,1
93,2,0
93,1,0
94,2,1
94,2,0
95,3,1
95,3,0
95,2,0
95,2,0
96,3,1
96,3,0
97,4,1
97,3,0
97,3,0
97,3,0
97,3,0
97,3,0
97,2,0
97,2,0
97,2,0
97,2,0
97,1,0
98,2,1
98,2,0
98,2,0
99,2,1
99,2,0
99,1,0
99,1,0
100,2,1
100,1,0
100,1,0
100,1,0
101,2,1
101,2,0
101,1,0
102,2,1
102,2,0
102,2,0
102,2,0
102,1,0
102,1,0
103,2,1
104,3,1
104,2,0
104,2,0
104,2,0
104,2,0
104,2,0
104,1,0
105,2,1
105,2,0
105,2,0
106,3,1
106,2,0
106,2,0
106,2,0
106,2,0
106,2,0
107,2,1
107,2,0
107,2,0
107,2,0
107,2,0
107,1,0
107,1,0
108,2,1
108,2,0
109,3,1
109,2,0
109,2,0
109,2,0
109,2,0
110,3,1
110,2,0
110,2,0
110,2,0
111,3,1
111,3,0
111,2,0
111,2,0
111,2,0
111,2,0
112,3,1
112,3,0
112,2,0
112,2,0
112,2,0
112,2,0
112,1,0
112,1,0
113,2,1
117,5,4
122,10,5
122,10,0
122,10,0
122,10,0
122,9,0
122,9,0
122,9,0
122,9,0
122,9,0
122,8,0
122,8,0
123,9,1
123,9,0
123,9,0
123,8,0
123,8,0
123,8,0
123,8,0
123,8,0
123,8,0
123,7,0
123,7,0
123,7,0
124,8,1
124,8,0
124,8,0
124,7,0
124,7,0
124,7,0
124,7,0
124,7,0
124,6,0
124,6,0
124,6,0
124,6,0
124,5,0
125,6,1
125,6,0
125,6,0
125,6,0
125,6,0
125,5,0
125,5,0
125,5,0
125,5,0
125,5,0
125,4,0
125,4,0
125,4,0
125,4,0
125,3,0
126,4,1
126,4,0
126,4,0
129,6,3
129,6,0
129,6,0
129,6,0
129,6,0
129,5,0
129,5,0
129,5,0
129,5,0
129,5,0
137,11,8
137,11,0
137,11,0
137,11,0
137,11,0
137,10,0
137,10,0
137,10,0
138,11,1
138,11,0
138,10,0
138,10,0
138,10,0
138,10,0
138,10,0
138,9,0
138,9,0
138,9,0
138,9,0
138,9,0
138,8,0
139,9,1
139,9,0
139,9,0
139,9,0
139,9,0
139,8,0
139,8,0
139,8,0
139,8,0
139,8,0
140,9,1
140,8,0
140,8,0
140,8,0
140,8,0
140,8,0
140,8,0
140,8,0
140,7,0
140,7,0
140,7,0
140,7,0
140,7,0
140,7,0
140,6,0
141,7,1
141,7,0
141,7,0
141,7,0
141,7,0
141,6,0
141,6,0
141,6,0
141,6,0
141,6,0
141,6,0
142,6,1
142,6,0
142,6,0
142,6,0
142,6,0
142,6,0
142,6,0
142,5,0
142,5,0
142,5,0
142,5,0
142,5,0
143,5,1
143,5,0
143,5,0
143,5,0
143,5,0
143,4,0
143,4,0
143,4,0
143,4,0
143,4,0
143,4,0
143,3,0
143,3,0
143,3,0
144,4,1
144,3,0
144,3,0
144,3,0
144,3,0
144,3,0
144,2,0
144,2,0
144,2,0
144,2,0
144,1,0
144,1,0
145,2,1
145,2,0
145,2,0
145,1,0
145,1,0
146,2,1
146,2,0
146,2,0
146,2,0
146,1,0
147,2,1
147,2,0
147,2,0
147,2,0
147,2,0
148,2,1
148,2,0
148,2,0
148,2,0
148,2,0
148,2,0
148,1,0
149,2,1
149,2,0
149,1,0
150,2,1
151,3,1
151,3,0
151,3,0
151,2,0
152,3,1
152,3,0
152,3,0
153,3,1
153,3,0
153,3,0
153,3,0
153,2,0
153,2,0
153,2,0
154,3,1
154,3,0
154,3,0
154,3,0
154,2,0
154,2,0
154,2,0
154,2,0
154,2,0
154,2,0
155,2,1
155,2,0
155,2,0
155,2,0
155,2,0
155,1,0
155,1,0
155,1,0
156,2,1
156,2,0
156,1,0
156,1,0
156,1,0
157,2,1
157,1,0
157,1,0
157,1,0
169,13,12
169,12,0
169,12,0
169,11,0
169,11,0
169,11,0
169,11,0
169,11,0
170,11,1
170,11,0
170,11,0
170,11,0
170,10,0
170,10,0
170,10,0
170,10,0
170,9,0
170,9,0
170,9,0
170,9,0
170,9,0
170,8,0
170,8,0
170,8,0
170,8,0
170,8,0
170,7,0
170,7,0
170,7,0
170,7,0
170,6,0
170,6,0
171,7,1
171,7,0
171,7,0
171,6,0
171,6,0
171,6,0
171,6,0
171,6,0
171,5,0
171,5,0
171,5,0
171,2,0
171,2,0
171,1,0
171,1,0
171,1,0
171,1,0
172,1,1
172,1,0
173,2,1
173,1,0
173,1,0
173,1,0
174,2,1
211,39,37
211,38,0
211,38,0
211,38,0
211,37,0
211,37,0
211,36,0
211,36,0
211,36,0
211,36,0
211,36,0
212,37,1
212,36,0
212,36,0
212,35,0
212,35,0
212,35,0
212,35,0
212,35,0
212,34,0
212,34,0
212,33,0
212,33,0
212,33,0
212,32,0
212,32,0
212,32,0
212,32,0
212,32,0
212,31,0
212,31,0
213,31,1
213,31,0
213,31,0
213,30,0
213,30,0
213,29,0
213,29,0
213,29,0
213,29,0
213,29,0
213,28,0
213,28,0
213,27,0
213,27,0
213,27,0
213,27,0
214,28,1
214,27,0
214,27,0
214,26,0
214,26,0
214,26,0
214,25,0
214,25,0
214,25,0
214,25,0
214,25,0
214,25,0
214,24,0
214,24,0
214,24,0
214,24,0
214,24,0
214,24,0
214,24,0
214,24,0
215,24,1
215,24,0
215,24,0
215,24,0
215,24,0
215,24,0
215,24,0
215,23,0
215,23,0
215,23,0
215,23,0
215,23,0
215,23,0
215,23,0
215,23,0
215,23,0
215,22,0
215,22,0
215,22,0
216,23,1
216,23,0
216,23,0
216,23,0
216,23,0
216,22,0
216,22,0
216,22,0
216,22,0
216,22,0
216,22,0
216,22,0
216,22,0
216,22,0
216,21,0
216,21,0
216,21,0
216,21,0
217,21,1
217,21,0
217,21,0
217,21,0
217,20,0
217,20,0
217,20,0
217,20,0
217,19,0
217,19,0
217,18,0
217,18,0
217,18,0
217,18,0
217,17,0
217,17,0
217,17,0
217,17,0
218,18,1
218,18,0
218,18,0
218,18,0
218,17,0
218,17,0
218,17,0
218,17,0
218,17,0
218,17,0
218,17,0
218,16,0
218,16,0
218,16,0
218,16,0
218,16,0
218,16,0
