time (ms),latency (ms),consume (ms)
0,10,0
11,3,11
24,3,13
36,2,12
48,2,12
61,2,13
73,1,12
85,1,12
98,3,13
110,2,12
122,1,12
135,2,13
146,1,11
160,3,14
174,2,14
185,1,11
197,1,12
210,2,13
224,3,14
236,1,12
249,2,13
260,1,11
273,2,13
284,1,11
296,1,12
308,2,12
320,1,12
332,1,12
345,1,13
358,1,13
371,2,13
388,2,17
400,2,12
412,1,12
424,1,12
436,1,12
449,1,13
462,3,13
474,2,12
487,2,13
499,2,12
511,1,12
523,1,12
535,1,12
548,2,13
561,3,13
573,2,12
588,4,15
601,2,13
615,3,14
627,2,12
639,2,12
651,2,12
663,2,12
676,2,13
688,1,12
702,3,14
714,2,12
725,1,11
738,2,13
750,1,12
763,2,13
776,3,13
789,2,13
802,2,13
815,1,13
828,1,13
840,1,12
852,1,12
864,1,12
875,1,11
888,1,13
900,1,12
912,1,12
924,1,12
936,1,12
948,2,12
960,1,12
971,1,11
984,3,13
996,1,12
1008,2,12
1022,3,14
1037,5,15
1049,1,12
1062,2,13
1073,1,11
1085,1,12
1100,1,15
1112,1,12
1124,1,12
1136,1,12
1147,1,11
1160,1,13
1172,1,12
1185,2,13
1198,2,13
1211,1,13
1223,2,12
1234,1,11
1246,1,12
1257,1,11
1269,1,12
1281,2,12
1292,1,11
1304,1,12
1315,1,11
1327,1,12
1338,1,11
1350,1,12
1366,5,16
1383,8,17
1396,2,13
1410,3,14
1423,2,13
1435,1,12
1449,1,14
1461,2,12
1473,2,12
1488,2,15
1500,1,12
1513,2,13
1525,2,12
1537,1,12
1550,2,13
1563,1,13
1575,1,12
1587,1,12
1599,1,12
1611,2,12
1622,1,11
1633,2,11
1643,1,10
1653,1,10
1664,1,11
1674,1,10
1685,1,11
1695,1,10
1706,1,11
1716,1,10
1727,2,11
1737,1,10
1748,1,11
1759,2,11
1771,1,12
1783,2,12
1796,3,13
1808,2,12
1819,1,11
1831,1,12
1843,2,12
1856,1,13
1868,2,12
1879,1,11
1891,1,12
1903,1,12
1916,1,13
1927,1,11
1941,1,14
1953,1,12
1965,1,12
1977,2,12
1988,1,11
2000,1,12
2012,1,12
2024,2,12
2036,2,12
2047,1,11
2060,2,13
2073,1,13
2085,1,12
2097,2,12
2113,1,16
2125,1,12
2137,2,12
2148,1,11
2160,1,12
2172,2,12
2183,1,11
2195,1,12
2207,2,12
2219,2,12
2231,2,12
2242,1,11
2254,2,12
2265,1,11
2278,2,13
2292,3,14
2306,2,14
2319,2,13
2332,3,13
2355,2,23
