time (ms),latency (ms),consume (ms)
0,22,0
3,20,3
5,20,2
6,19,1
6,18,0
38,49,32
39,47,1
40,39,1
40,37,0
45,41,5
47,42,2
47,40,0
48,39,1
48,38,0
49,38,1
49,36,0
51,37,2
52,35,1
52,34,0
53,34,1
53,31,0
74,47,21
74,41,0
84,39,10
84,37,0
84,36,0
88,38,4
88,37,0
88,35,0
90,36,2
90,34,0
92,35,2
92,34,0
92,33,0
93,33,1
94,33,1
94,31,0
118,53,24
118,43,0
118,38,0
119,36,1
121,36,2
127,36,6
128,35,1
128,30,0
131,31,3
131,30,0
131,28,0
132,27,1
132,26,0
133,26,1
134,26,1
134,25,0
157,47,23
158,42,1
160,32,2
160,31,0
160,30,0
164,32,4
165,31,1
174,39,9
175,38,1
180,41,5
181,40,1
182,40,1
183,38,1
185,37,2
186,37,1
187,37,1
201,50,14
201,34,0
205,35,4
205,34,0
213,40,8
213,38,0
213,35,0
217,37,4
219,34,2
219,33,0
219,31,0
223,33,4
227,36,4
234,41,7
239,45,5
241,38,2
241,33,0
241,32,0
243,28,2
246,29,3
249,27,3
250,20,1
253,20,3
260,20,7
260,17,0
261,16,1
261,12,0
275,23,14
282,26,7
282,23,0
285,22,3
288,22,3
289,20,1
289,17,0
294,19,5
296,18,2
296,16,0
342,59,46
348,61,6
348,57,0
348,55,0
349,52,1
351,52,2
354,52,3
355,50,1
355,48,0
355,42,0
356,40,1
356,37,0
361,39,5
363,39,2
363,35,0
363,33,0
363,30,0
367,31,4
370,32,3
370,23,0
371,21,1
376,23,5
382,21,6
387,18,5
393,5,6
403,7,10
414,9,11
414,6,0
417,7,3
420,6,3
421,5,1
427,7,6
430,6,3
432,6,2
434,4,2
437,4,3
440,4,3
444,4,4
447,4,3
450,4,3
453,4,3
456,4,3
459,4,3
463,5,4
466,5,3
469,5,3
472,2,3
475,2,3
478,2,3
481,2,3
484,2,3
487,2,3
491,3,4
496,4,5
501,6,5
502,4,1
505,5,3
508,4,3
511,4,3
514,5,3
517,4,3
523,8,6
526,7,3
531,10,5
532,7,1
535,8,3
535,5,0
538,5,3
541,4,3
545,5,4
547,5,2
550,4,3
553,4,3
558,6,5
559,5,1
564,7,5
565,5,1
568,6,3
571,5,3
574,4,3
589,17,15
591,14,2
591,12,0
592,10,1
596,11,4
597,9,1
597,7,0
598,5,1
602,6,4
602,3,0
607,6,5
609,4,2
611,4,2
614,4,3
616,4,2
618,3,2
621,4,3
623,3,2
626,4,3
628,3,2
631,3,3
633,3,2
635,3,2
638,3,3
640,3,2
649,10,9
649,8,0
649,5,0
654,7,5
655,7,1
657,6,2
657,4,0
660,4,3
662,4,2
665,4,3
667,4,2
670,4,3
672,4,2
673,2,1
677,4,4
679,4,2
682,4,3
686,7,4
686,4,0
690,5,4
692,5,2
693,4,1
697,5,4
699,4,2
701,5,2
704,5,3
706,4,2
709,6,3
710,5,1
712,5,2
714,4,2
720,7,6
720,5,0
723,5,3
724,5,1
726,4,2
730,6,4
732,6,2
733,4,1
736,5,3
737,3,1
741,5,4
743,4,2
745,5,2
749,6,4
759,14,10
761,13,2
767,16,6
767,15,0
768,14,1
771,14,3
782,23,11
782,20,0
782,18,0
782,17,0
782,14,0
846,76,64
846,72,0
846,71,0
847,70,1
851,71,4
851,69,0
851,67,0
851,65,0
851,63,0
851,60,0
853,60,2
857,62,4
858,61,1
858,59,0
858,57,0
858,55,0
862,57,4
864,56,2
864,54,0
865,53,1
865,51,0
865,48,0
865,46,0
868,48,3
871,48,3
872,47,1
872,45,0
873,44,1
876,45,3
876,43,0
878,43,2
879,42,1
879,40,0
879,37,0
880,35,1
880,32,0
883,33,3
884,31,1
884,30,0
884,28,0
884,25,0
884,23,0
884,21,0
886,20,2
888,20,2
890,20,2
891,17,1
891,15,0
891,13,0
891,10,0
892,10,1
892,7,0
895,8,3
906,16,11
907,14,1
907,12,0
907,10,0
908,6,1
911,7,3
913,6,2
916,5,3
917,3,1
920,4,3
922,4,2
924,3,2
927,4,3
929,4,2
932,3,3
934,3,2
937,4,3
939,3,2
941,3,2
944,3,3
946,3,2
949,4,3
951,3,2
954,4,3
956,3,2
959,4,3
961,3,2
964,4,3
966,3,2
968,3,2
971,3,3
973,3,2
976,3,3
978,3,2
980,2,2
983,2,3
986,3,3
988,3,2
990,3,2
993,2,3
996,3,3
998,3,2
1001,4,3
1003,3,2
1006,4,3
1008,3,2
1011,4,3
1013,3,2
1016,3,3
1019,4,3
1020,3,1
1024,5,4
1025,3,1
1028,3,3
1031,4,3
1033,3,2
1036,4,3
1038,3,2
1040,2,2
1042,1,2
1045,2,3
1047,1,2
1050,2,3
1052,2,2
1055,2,3
1066,10,11
1067,9,1
1069,8,2
1070,7,1
1072,6,2
1073,4,1
1076,4,3
1078,2,2
1095,16,17
1097,2,2
1098,1,1
1099,1,1
1101,2,2
1102,1,1
1103,1,1
1105,2,2
1106,1,1
1107,1,1
1109,2,2
1110,1,1
1112,2,2
1113,1,1
1115,2,2
1116,1,1
1117,1,1
1119,1,2
1120,1,1
1122,1,2
1123,1,1
1124,1,1
1126,1,2
1127,1,1
1129,1,2
1130,1,1
1131,1,1
1133,1,2
1135,2,2
1136,2,1
1138,2,2
1139,2,1
1141,2,2
1142,2,1
1143,1,1
1145,2,2
1148,4,3
1148,2,0
1149,2,1
1150,2,1
1152,2,2
1154,2,2
1156,2,2
1157,2,1
1158,2,1
1160,2,2
1161,2,1
1163,2,2
1164,2,1
1165,2,1
1173,8,8
1173,7,0
1174,6,1
1175,6,1
1175,5,0
1176,4,1
1177,4,1
1178,4,1
1178,3,0
1180,3,2
1182,4,2
1182,2,0
1184,3,2
1184,2,0
1186,1,2
1188,2,2
1190,2,2
1191,2,1
1192,2,1
1193,2,1
1198,5,5
1198,4,0
1198,2,0
1199,2,1
1201,3,2
1202,2,1
1204,3,2
1205,2,1
1206,2,1
1208,3,2
1209,2,1
1210,2,1
1212,2,2
1215,4,3
1215,3,0
1216,2,1
1217,2,1
1219,1,2
1221,2,2
1222,2,1
1223,2,1
1225,2,2
1226,2,1
1235,10,9
1235,9,0
1237,9,2
1237,8,0
1237,6,0
1244,12,7
1245,1,1
1246,1,1
1248,1,2
1249,1,1
1251,2,2
1252,1,1
1253,1,1
1255,2,2
1256,1,1
1257,1,1
1259,1,2
1260,1,1
1262,1,2
1263,1,1
1265,1,2
1266,1,1
1267,1,1
1269,1,2
1270,1,1
1271,1,1
1273,1,2
1275,2,2
1276,2,1
1277,1,1
1279,2,2
1279,1,0
1281,1,2
1283,1,2
1285,2,2
1286,2,1
1287,2,1
1289,3,2
1289,1,0
1291,1,2
1293,2,2
1294,2,1
1295,1,1
1296,1,1
1298,1,2
1300,2,2
1301,2,1
1303,2,2
1304,2,1
1305,1,1
1307,2,2
1308,2,1
1310,2,2
1310,1,0
1313,2,3
1314,2,1
1315,2,1
1317,3,2
1318,2,1
1319,2,1
1321,3,2
1322,2,1
1324,3,2
1325,2,1
1326,2,1
1328,1,2
1330,2,2
1330,1,0
1332,1,2
1334,1,2
1336,2,2
1337,2,1
1338,1,1
1340,2,2
1341,2,1
1343,2,2
1343,1,0
1345,1,2
1347,1,2
1349,2,2
1349,1,0
1351,1,2
1353,2,2
1354,1,1
1356,1,2
1358,2,2
1358,1,0
1360,1,2
1362,1,2
1364,2,2
1364,1,0
1366,1,2
1368,2,2
1368,1,0
1396,28,28
1396,26,0
1396,24,0
1396,21,0
1396,20,0
1396,19,0
1396,18,0
1396,16,0
1396,15,0
1396,14,0
1400,17,4
1400,16,0
1401,16,1
1401,15,0
1402,15,1
1402,14,0
1403,14,1
1403,13,0
1403,11,0
1403,10,0
1403,9,0
1403,8,0
1403,6,0
1403,5,0
1403,4,0
1403,3,0
1408,7,5
1408,4,0
1408,3,0
1408,2,0
1411,4,3
1412,3,1
1413,3,1
1414,2,1
1416,3,2
1418,3,2
1419,3,1
1421,4,2
1422,4,1
1422,3,0
1423,3,1
1423,2,0
1424,2,1
1426,1,2
1429,3,3
1429,2,0
1431,3,2
1431,1,0
1436,5,5
1436,4,0
1436,3,0
1436,1,0
1438,1,2
1440,1,2
1443,2,3
1443,1,0
1444,1,1
1447,3,3
1447,2,0
1448,2,1
1449,1,1
1452,3,3
1452,2,0
1453,2,1
1454,1,1
1456,1,2
1458,2,2
1459,2,1
1460,2,1
1462,2,2
1463,2,1
1464,1,1
1466,2,2
1467,2,1
1471,5,4
1471,4,0
1471,3,0
1474,5,3
1474,4,0
1474,3,0
