time (ms),latency (ms),consume (ms)
0,7,0
7,2,7
16,4,9
24,3,8
31,2,7
39,2,8
47,2,8
53,1,6
61,2,8
67,1,6
74,1,7
81,1,7
89,1,8
101,3,12
108,1,7
114,1,6
121,2,7
132,1,11
140,3,8
146,2,6
153,2,7
159,1,6
165,1,6
172,1,7
178,1,6
184,1,6
191,2,7
198,2,7
205,2,7
212,2,7
222,5,10
230,3,8
237,1,7
245,2,8
252,2,7
259,2,7
266,1,7
273,2,7
281,3,8
288,1,7
295,2,7
303,2,8
309,1,6
317,2,8
323,1,6
331,2,8
338,1,7
346,2,8
353,2,7
361,3,8
367,1,6
375,2,8
381,1,6
388,1,7
396,2,8
402,1,6
409,1,7
416,1,7
423,2,7
430,2,7
436,1,6
443,1,7
452,3,9
459,1,7
466,1,7
473,1,7
479,1,6
486,1,7
492,1,6
498,1,6
505,1,7
512,1,7
518,1,6
524,1,6
531,1,7
537,1,6
542,0,5
549,1,7
555,1,6
562,2,7
569,1,7
576,1,7
584,2,8
592,3,8
599,1,7
607,1,8
613,1,6
620,1,7
626,1,6
632,1,6
638,1,6
645,1,7
656,1,11
664,3,8
671,2,7
678,1,7
685,2,7
691,1,6
698,1,7
704,1,6
711,1,7
724,8,13
731,2,7
737,1,6
743,1,6
750,2,7
756,1,6
762,1,6
769,1,7
776,2,7
782,1,6
791,4,9
797,1,6
804,1,7
812,1,8
824,2,12
831,1,7
838,2,7
844,1,6
852,2,8
859,1,7
866,1,7
872,1,6
879,1,7
886,1,7
894,1,8
900,1,6
906,1,6
912,1,6
918,0,6
925,1,7
931,1,6
937,0,6
943,1,6
949,1,6
955,1,6
961,0,6
968,1,7
974,1,6
980,1,6
987,1,7
992,0,5
998,0,6
1006,3,8
1012,1,6
1018,1,6
1025,2,7
1032,2,7
1043,1,11
1049,1,6
1055,1,6
1062,1,7
1068,1,6
1074,1,6
1084,1,10
1091,1,7
1098,1,7
1104,1,6
1112,1,8
1118,0,6
1125,1,7
1131,1,6
1137,1,6
1143,1,6
1149,1,6
1155,1,6
1160,0,5
1167,1,7
1174,2,7
1180,1,6
1186,0,6
1192,0,6
1198,1,6
1204,1,6
1210,1,6
1216,1,6
1222,1,6
1228,1,6
1233,0,5
1240,1,7
1246,1,6
1253,2,7
1259,1,6
1265,1,6
1271,1,6
1277,1,6
1284,1,7
1291,0,7
1298,1,7
1304,0,6
1313,3,9
1324,1,11
1330,1,6
1336,1,6
1342,1,6
1349,1,7
1355,1,6
1361,1,6
1368,1,7
1374,1,6
1380,1,6
1386,1,6
1392,1,6
1398,1,6
1405,1,7
1411,1,6
1418,2,7
1424,1,6
1430,1,6
1436,0,6
1442,0,6
1448,0,6
1454,0,6
1460,0,6
1467,1,7
1473,1,6
1479,1,6
1493,9,14
1496,1,3
1502,1,6
1508,1,6
1514,1,6
1523,4,9
1528,1,5
1535,1,7
1541,1,6
1547,1,6
1554,2,7
