time (ms),latency (ms),consume (ms)
0,12,0
0,8,0
2,9,2
2,7,0
2,6,0
3,7,1
3,6,0
3,5,0
3,5,0
4,5,1
4,5,0
4,4,0
4,4,0
5,3,1
5,2,0
7,4,2
7,2,0
7,2,0
7,1,0
8,2,1
8,2,0
8,2,0
9,2,1
9,2,0
10,2,1
10,1,0
12,3,2
12,2,0
12,1,0
14,2,2
14,2,0
15,2,1
15,2,0
16,3,1
16,2,0
16,2,0
17,3,1
17,2,0
18,3,1
18,2,0
19,3,1
19,3,0
19,2,0
19,2,0
19,2,0
21,3,2
21,3,0
21,3,0
21,2,0
21,2,0
22,3,1
22,2,0
22,2,0
23,3,1
23,2,0
23,2,0
24,2,1
24,2,0
24,2,0
25,3,1
25,2,0
25,2,0
25,2,0
26,2,1
27,3,1
27,3,0
27,2,0
28,3,1
28,2,0
29,3,1
29,3,0
29,2,0
29,2,0
30,3,1
30,3,0
30,2,0
31,3,1
31,2,0
31,2,0
31,2,0
31,1,0
31,1,0
32,2,1
32,1,0
33,2,1
33,2,0
33,1,0
34,2,1
34,1,0
34,1,0
35,2,1
36,2,1
37,3,1
37,2,0
38,3,1
38,3,0
38,3,0
39,3,1
39,3,0
39,3,0
39,2,0
39,2,0
39,2,0
40,3,1
40,2,0
40,2,0
41,3,1
41,2,0
42,3,1
42,3,0
42,2,0
43,3,1
43,3,0
43,3,0
43,2,0
44,3,1
44,3,0
44,3,0
45,3,1
45,3,0
45,3,0
45,3,0
46,3,1
46,3,0
46,2,0
46,2,0
47,3,1
47,2,0
47,2,0
48,3,1
48,3,0
48,2,0
48,2,0
48,2,0
48,2,0
49,2,1
49,2,0
50,3,1
50,2,0
50,2,0
50,1,0
51,2,1
51,2,0
51,2,0
52,2,1
52,2,0
52,2,0
53,2,1
53,2,0
53,2,0
54,3,1
54,2,0
54,2,0
54,2,0
54,1,0
55,2,1
55,2,0
55,1,0
56,2,1
56,2,0
57,2,1
57,2,0
57,2,0
58,3,1
58,2,0
58,2,0
58,2,0
59,3,1
59,2,0
59,2,0
59,2,0
60,2,1
60,2,0
61,3,1
61,2,0
61,2,0
61,2,0
62,3,1
63,4,1
64,4,1
64,4,0
64,4,0
64,3,0
64,3,0
64,3,0
64,3,0
65,4,1
65,3,0
65,3,0
65,3,0
65,2,0
66,3,1
66,3,0
66,3,0
66,2,0
66,2,0
66,2,0
67,3,1
67,2,0
67,2,0
67,1,0
68,1,1
69,1,1
70,2,1
70,1,0
72,2,2
73,2,1
74,1,1
75,1,1
77,3,2
77,2,0
77,2,0
78,3,1
78,2,0
79,3,1
79,3,0
79,3,0
79,2,0
80,3,1
81,4,1
81,3,0
81,3,0
81,3,0
81,3,0
81,2,0
84,5,3
84,4,0
84,4,0
85,5,1
85,4,0
85,3,0
85,2,0
85,2,0
85,1,0
86,2,1
86,1,0
87,1,1
88,2,1
88,1,0
89,2,1
90,2,1
91,2,1
91,1,0
92,2,1
92,1,0
93,2,1
93,1,0
94,2,1
94,1,0
95,2,1
96,2,1
96,1,0
97,2,1
97,1,0
98,2,1
99,2,1
99,1,0
100,1,1
101,2,1
101,1,0
102,2,1
102,1,0
102,1,0
103,2,1
103,1,0
104,2,1
104,2,0
105,2,1
105,2,0
105,1,0
106,2,1
106,2,0
107,1,1
107,1,0
108,2,1
108,1,0
109,2,1
109,2,0
109,1,0
109,1,0
110,2,1
110,1,0
111,2,1
111,2,0
111,1,0
112,2,1
112,2,0
113,2,1
113,2,0
114,3,1
114,2,0
114,2,0
114,1,0
114,1,0
115,2,1
115,2,0
115,1,0
116,2,1
116,2,0
116,1,0
117,2,1
117,2,0
118,2,1
118,2,0
118,2,0
118,1,0
119,2,1
119,2,0
119,1,0
120,2,1
120,2,0
120,1,0
120,1,0
121,2,1
121,2,0
121,1,0
122,2,1
122,1,0
123,2,1
123,1,0
125,3,2
126,2,1
126,2,0
126,1,0
127,2,1
127,1,0
128,1,1
128,1,0
128,1,0
130,2,2
130,1,0
130,1,0
131,2,1
131,1,0
132,1,1
132,1,0
133,1,1
134,1,1
135,2,1
135,1,0
136,2,1
136,1,0
137,2,1
137,1,0
138,1,1
151,14,13
151,13,0
151,12,0
151,12,0
151,11,0
151,11,0
151,10,0
151,10,0
152,10,1
152,9,0
152,9,0
152,8,0
152,8,0
152,7,0
152,6,0
152,6,0
152,5,0
152,5,0
152,4,0
152,4,0
152,3,0
152,2,0
152,2,0
152,1,0
165,14,13
165,13,0
165,12,0
165,12,0
165,11,0
166,12,1
166,11,0
166,11,0
166,11,0
166,10,0
166,10,0
166,9,0
166,9,0
166,8,0
166,8,0
167,8,1
168,9,1
168,8,0
169,8,1
169,7,0
169,7,0
169,7,0
170,7,1
170,7,0
170,7,0
171,8,1
171,7,0
171,7,0
171,7,0
171,7,0
171,6,0
173,8,2
173,8,0
173,7,0
173,7,0
173,7,0
173,7,0
173,7,0
174,7,1
174,7,0
175,8,1
175,8,0
175,7,0
175,7,0
175,7,0
176,7,1
176,7,0
177,8,1
177,7,0
177,7,0
177,7,0
177,7,0
178,7,1
178,7,0
178,7,0
180,8,2
180,8,0
180,8,0
180,8,0
180,7,0
181,8,1
181,8,0
181,7,0
181,7,0
181,7,0
181,7,0
181,6,0
181,6,0
181,6,0
181,5,0
181,5,0
181,4,0
181,4,0
181,3,0
182,4,1
182,3,0
182,3,0
182,2,0
182,2,0
182,1,0
183,2,1
183,2,0
183,1,0
184,2,1
184,1,0
184,1,0
185,1,1
186,2,1
186,1,0
187,2,1
187,1,0
187,1,0
188,2,1
188,1,0
188,1,0
189,2,1
189,1,0
189,1,0
190,2,1
190,2,0
190,1,0
190,1,0
