time (ms),latency (ms),consume (ms)
0,11,0
1,3,1
7,3,6
12,2,5
18,3,6
23,2,5
28,2,5
33,1,5
40,2,7
46,2,6
52,1,6
59,2,7
65,2,6
71,2,6
77,1,6
83,2,6
88,1,5
94,2,6
101,3,7
106,2,5
112,2,6
117,2,5
123,2,6
128,2,5
133,1,5
139,2,6
145,2,6
150,1,5
156,2,6
161,1,5
167,2,6
173,2,6
179,2,6
185,2,6
190,2,5
196,2,6
201,2,5
207,2,6
212,2,5
218,2,6
223,2,5
229,2,6
234,1,5
240,2,6
245,1,5
251,2,6
257,2,6
262,2,5
269,2,7
274,1,5
280,2,6
286,2,6
291,2,5
297,2,6
302,1,5
308,1,6
314,2,6
320,2,6
326,2,6
336,4,10
340,1,4
346,2,6
351,1,5
357,2,6
362,1,5
368,2,6
373,1,5
379,2,6
384,1,5
389,1,5
395,1,6
401,1,6
407,1,6
413,1,6
418,1,5
424,2,6
429,1,5
436,2,7
441,1,5
448,2,7
454,2,6
459,1,5
465,1,6
472,2,7
478,2,6
483,1,5
489,2,6
494,1,5
500,2,6
505,1,5
511,2,6
516,1,5
521,1,5
527,1,6
533,2,6
538,1,5
544,1,6
550,2,6
555,1,5
561,1,6
567,1,6
573,2,6
578,1,5
584,1,6
589,1,5
595,1,6
601,2,6
606,1,5
612,1,6
618,2,6
623,1,5
629,1,6
635,1,6
641,2,6
646,1,5
652,2,6
657,1,5
663,2,6
668,1,5
674,2,6
682,4,8
685,2,3
694,5,9
698,4,4
701,1,3
707,2,6
713,2,6
718,1,5
723,1,5
729,2,6
734,1,5
740,2,6
745,1,5
751,2,6
756,1,5
762,2,6
767,2,5
773,2,6
778,2,5
784,2,6
789,2,5
795,2,6
800,2,5
805,1,5
811,2,6
816,1,5
821,1,5
827,2,6
832,1,5
838,2,6
843,1,5
848,1,5
855,2,7
860,1,5
866,2,6
871,1,5
876,1,5
882,2,6
887,1,5
893,2,6
898,1,5
904,2,6
909,1,5
914,1,5
920,2,6
925,1,5
931,2,6
936,1,5
942,2,6
947,1,5
952,1,5
958,2,6
963,1,5
969,2,6
974,1,5
980,2,6
985,1,5
991,2,6
996,1,5
1001,1,5
1007,2,6
1012,1,5
1018,2,6
1023,1,5
1029,2,6
1034,1,5
1040,2,6
1045,1,5
1051,2,6
1056,1,5
1062,2,6
1068,2,6
1073,2,5
1079,2,6
1084,1,5
1089,1,5
1095,2,6
1100,1,5
1106,2,6
1111,1,5
1117,2,6
1122,1,5
1127,1,5
1133,1,6
1138,1,5
1144,2,6
1149,1,5
1155,2,6
1160,1,5
1166,2,6
1171,1,5
1177,2,6
1182,1,5
1188,2,6
1194,2,6
1199,1,5
1205,2,6
1224,15,19
1224,10,0
1225,5,1
1226,1,1
1232,1,6
1237,1,5
1243,2,6
1249,1,6
1255,1,6
1261,1,6
1267,1,6
1273,1,6
1279,1,6
1284,1,5
1290,1,6
1296,2,6
1301,1,5
1306,1,5
1312,1,6
1317,1,5
1323,2,6
1328,1,5
1334,1,6
1340,2,6
1345,1,5
1351,2,6
1356,1,5
1362,2,6
1367,1,5
1373,1,6
1378,1,5
1384,2,6
1389,1,5
1394,1,5
1400,2,6
1405,1,5
1419,10,14
1421,2,2
1426,1,5
1432,1,6
1438,2,6
1443,2,5
1448,1,5
1454,2,6
1459,1,5
1464,1,5
1470,1,6
1475,1,5
1481,2,6
1486,1,5
1492,2,6
1497,2,5
1502,1,5
1507,1,5
1513,1,6
1518,1,5
1524,1,6
1529,1,5
1535,2,6
1540,1,5
1546,2,6
1551,1,5
1556,1,5
1562,1,6
1568,1,6
1573,1,5
1579,2,6
1584,1,5
