time (ms),latency (ms),consume (ms)
0,16,0
3,14,3
6,15,3
7,15,1
9,15,2
36,41,27
38,37,2
39,37,1
40,36,1
42,35,2
45,37,3
47,38,2
49,39,2
51,39,2
53,40,2
55,38,2
57,39,2
62,42,5
63,40,1
65,41,2
67,40,2
72,40,5
76,35,4
80,34,4
82,35,2
83,34,1
85,34,2
86,34,1
88,35,2
90,36,2
91,35,1
93,35,2
95,36,2
97,37,2
98,36,1
100,36,2
102,36,2
111,43,9
112,41,1
115,42,3
116,42,1
118,41,2
120,41,2
121,37,1
123,30,2
125,31,2
127,31,2
129,31,2
130,31,1
131,30,1
133,30,2
134,30,1
136,30,2
149,42,13
151,38,2
152,36,1
153,36,1
155,37,2
158,39,3
171,50,13
174,52,3
177,53,3
179,53,2
180,48,1
182,49,2
184,46,2
188,47,4
190,48,2
192,48,2
196,50,4
198,42,2
200,43,2
205,47,5
207,48,2
209,48,2
210,43,1
212,44,2
216,44,4
218,45,2
219,44,1
221,45,2
224,46,3
226,46,2
228,47,2
229,46,1
233,48,4
234,46,1
235,46,1
240,49,5
241,49,1
243,46,2
245,46,2
272,71,27
274,72,2
276,72,2
277,72,1
281,74,4
282,74,1
284,74,2
285,74,1
286,74,1
288,75,2
291,75,3
292,75,1
294,75,2
295,75,1
297,75,2
298,75,1
300,76,2
301,76,1
302,76,1
304,77,2
306,77,2
308,78,2
309,78,1
313,80,4
314,79,1
317,81,3
323,84,6
325,84,2
328,86,3
330,86,2
333,88,3
349,103,16
352,104,3
355,104,3
359,106,4
387,133,28
390,133,3
393,128,3
396,116,3
410,120,14
422,117,12
425,116,3
426,116,1
430,117,4
432,117,2
434,116,2
436,116,2
438,116,2
440,115,2
442,115,2
445,116,3
446,114,1
447,113,1
450,115,3
452,115,2
454,115,2
456,115,2
458,115,2
460,115,2
462,115,2
464,112,2
466,111,2
469,113,3
471,112,2
473,112,2
475,113,2
477,113,2
479,113,2
483,115,4
484,114,1
488,116,4
489,115,1
491,115,2
492,114,1
494,114,2
496,114,2
497,113,1
499,114,2
500,111,1
502,111,2
504,111,2
506,112,2
507,110,1
508,110,1
510,110,2
512,110,2
513,108,1
515,108,2
517,108,2
519,109,2
521,108,2
522,108,1
524,108,2
525,107,1
527,107,2
528,104,1
530,103,2
531,103,1
533,103,2
539,106,6
541,106,2
542,105,1
544,104,2
546,103,2
550,106,4
551,101,1
553,100,2
555,101,2
557,100,2
558,99,1
560,98,2
561,97,1
563,96,2
565,96,2
566,95,1
568,94,2
570,94,2
571,92,1
573,93,2
575,93,2
576,91,1
578,92,2
579,91,1
581,91,2
583,92,2
585,91,2
587,91,2
588,90,1
589,90,1
591,90,2
594,91,3
595,90,1
597,90,2
598,89,1
600,89,2
602,90,2
604,90,2
605,89,1
606,88,1
608,88,2
611,89,3
613,89,2
613,87,0
615,87,2
617,87,2
618,86,1
620,86,2
622,86,2
624,87,2
625,87,1
626,86,1
628,86,2
630,87,2
633,88,3
671,124,38
673,124,2
675,125,2
677,125,2
679,125,2
680,124,1
682,124,2
