time (ms),latency (ms),consume (ms)
0,12,0
7,7,7
7,5,0
8,3,1
9,1,1
11,1,2
13,1,2
15,1,2
18,2,3
20,1,2
22,1,2
24,1,2
28,2,4
32,3,4
35,1,3
37,1,2
39,1,2
41,1,2
45,2,4
49,1,4
52,1,3
54,1,2
57,1,3
59,1,2
61,1,2
63,1,2
67,2,4
69,1,2
71,1,2
76,1,5
79,1,3
84,2,5
86,1,2
88,0,2
90,0,2
92,1,2
94,0,2
97,1,3
100,1,3
102,1,2
105,1,3
107,1,2
110,1,3
112,1,2
115,1,3
117,1,2
119,0,2
125,5,6
127,0,2
129,0,2
131,0,2
133,0,2
135,0,2
137,1,2
139,1,2
141,1,2
143,1,2
145,0,2
147,1,2
149,1,2
151,1,2
153,1,2
154,0,1
156,0,2
158,0,2
160,0,2
162,0,2
164,1,2
166,1,2
168,1,2
169,0,1
172,2,3
173,0,1
175,0,2
177,0,2
179,1,2
181,1,2
182,0,1
184,0,2
187,1,3
189,1,2
191,0,2
194,1,3
196,1,2
198,1,2
201,1,3
203,1,2
205,1,2
207,1,2
209,1,2
211,1,2
213,1,2
214,0,1
216,0,2
219,1,3
221,1,2
223,1,2
225,1,2
227,1,2
229,1,2
230,0,1
232,0,2
234,0,2
236,0,2
238,1,2
240,1,2
242,1,2
244,1,2
246,1,2
248,1,2
250,1,2
252,1,2
254,0,2
257,1,3
259,1,2
263,1,4
265,1,2
267,1,2
269,1,2
272,1,3
274,1,2
276,1,2
278,1,2
280,1,2
282,1,2
284,1,2
286,1,2
288,1,2
289,0,1
291,0,2
293,0,2
295,0,2
297,0,2
299,0,2
301,0,2
303,1,2
305,1,2
307,1,2
309,1,2
311,1,2
313,1,2
315,1,2
316,0,1
320,2,4
322,1,2
324,1,2
326,1,2
328,1,2
330,1,2
332,1,2
334,1,2
337,1,3
339,1,2
341,1,2
343,1,2
345,1,2
347,1,2
348,0,1
354,1,6
356,1,2
358,0,2
360,1,2
362,1,2
364,1,2
366,0,2
368,0,2
370,0,2
372,0,2
375,1,3
377,1,2
379,0,2
381,1,2
383,1,2
385,1,2
386,0,1
389,1,3
391,1,2
392,0,1
394,0,2
396,0,2
398,0,2
401,1,3
403,0,2
405,0,2
407,1,2
408,0,1
412,2,4
414,1,2
417,1,3
419,1,2
421,1,2
426,1,5
428,1,2
430,1,2
432,1,2
433,0,1
435,0,2
438,1,3
440,1,2
442,1,2
443,0,1
445,0,2
447,0,2
449,0,2
451,1,2
452,0,1
454,0,2
456,1,2
457,0,1
459,0,2
461,1,2
463,1,2
465,1,2
466,0,1
468,0,2
476,1,8
478,1,2
485,6,7
487,1,2
488,0,1
490,1,2
492,1,2
496,3,4
498,1,2
500,1,2
501,0,1
503,1,2
505,1,2
507,1,2
509,1,2
511,1,2
513,1,2
515,1,2
516,0,1
518,1,2
521,2,3
523,1,2
525,1,2
528,2,3
530,1,2
532,1,2
534,1,2
537,2,3
541,2,4
545,1,4
547,1,2
549,1,2
553,2,4
557,1,4
560,1,3
562,0,2
566,1,4
568,1,2
570,1,2
572,1,2
574,1,2
576,1,2
578,1,2
580,1,2
582,1,2
584,1,2
586,1,2
